mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
19	18	1/2	1/2	3/4	2	1	iv7{					e	i		iv7		iv		7					{	mm7	1	1	3, 0, 4, 1		3	3	3	7	0.3	0.375	2.875	0.11538461538461539
21	20	0	0	3/4	2	1	i6					e	i		i6		i		6						m	1	1	1, 5, 4		4	1	1	5	0.16666666666666666	0.125	2.125	0.05555555555555555
22	21	0	0	3/4	2	1	ii%43/VII					e	i		ii%43/VII		ii	%	43		VII				%7	1	1	-2, 2, 4, 1		4	-2	3	6	0.3333333333333333	0.375	2.625	0.125
23	22	0	0	3/4	2	1	V/VII				IV	e	i		V/VII		V				VII				M	1	1	3, 7, 4		3	3	1	5	0.16666666666666666	0.125	2.125	0.05555555555555555
24	23	0	0	3/4	2	1	VI					e	i		VI		VI								M	1	1	0, 4, 1		0	0	2	8	0.2	0.25	4.25	0.05555555555555555
25	24	0	0	3/4	2	1	V7/V					e	i		V7/V		V		7		V				Mm7	1	1	6, 10, 7, 4		6	6	0	7	0.0	0.0	2.75	0.0
26	25	0	0	3/4	2	1	V7					e	i		V7		V		7						Mm7	1	1	5, 9, 6, 3		5	5	3	8	0.2727272727272727	0.375	3.375	0.1
27	26	0	0	3/4	2	1	i}					e	i		i		i							}	m	1	1	4, 1, 5		4	4	0	1	0.0	0.0	0.75	0.0
27	26	1/4	1/4	3/4	2	1	i(b964)					e	i		i(b964)		i			b964					m	1	1	4, 3, 0	-1	4	4	0	5	0.0	0.0	2.25	0.0
27	26	1/2	1/2	3/4	2	1	i(964)					e	i		i(964)		i			964					m	1	1	4, 3, 0	6	4	4	0	1	0.0	0.0	0.25	0.0
28	27	0	0	3/4	2	1	i|PAC					e	i		i		i						PAC		m	1	1	4, 1, 5		4	4	0	5	0.0	0.0	3.75	0.0
29	28	0	0	3/4	2	1	I.I{	-0.118374	-8.95935	/		e	I		I		I							{	M	1	0	4, 8, 5		4	4	1	9	0.1	0.0625	1.4375	0.041666666666666664
29	28	1/2	1/2	3/4	2	1	I(96+#4)	0	-9.1961	/		e	I		I(96+#4)		I			96+#4					M	1	0	4, 8, 7	6, 10	4	4	1	4	0.2	0.125	0.625	0.16666666666666666
30	29	0	0	3/4	2	1	I					e	I		I		I								M	1	0	4, 8, 5		4	4	0	5	0.0	0.0	0.75	0.0
30	29	1/4	1/4	3/4	2	1	I(96+#4)					e	I		I(96+#4)		I			96+#4					M	1	0	4, 8, 7	6, 10	4	4	1	4	0.2	0.125	0.625	0.16666666666666666
30	29	1/2	1/2	3/4	2	1	I					e	I		I		I								M	1	0	4, 8, 5		4	4	0	4	0.0	0.0	0.75	0.0
31	30	0	0	3/4	2	1	V					e	I		V		V								M	1	0	5, 9, 6		5	5	1	9	0.1	0.0625	1.4375	0.041666666666666664
31	30	1/2	1/2	3/4	2	1	V(96+#4)					e	I		V(96+#4)		V			96+#4					M	1	0	5, 9, 8	7, 11	5	5	1	4	0.2	0.125	0.625	0.16666666666666666
32	31	0	0	3/4	2	1	V					e	I		V		V								M	1	0	5, 9, 6		5	5	0	10	0.0	0.0	2.25	0.0
33	32	0	0	3/4	2	1	IV	0	-8.72261	/		e	I		IV		IV								M	1	0	3, 7, 4		3	3	1	9	0.1	0.0625	1.4375	0.041666666666666664
33	32	1/2	1/2	3/4	2	1	IV(96+4)					e	I		IV(96+4)		IV			96+4					M	1	0	3, 7, 6	5, 9	3	3	1	4	0.2	0.125	0.625	0.16666666666666666
34	33	0	0	3/4	2	1	IV					e	I		IV		IV								M	1	0	3, 7, 4		3	3	0	5	0.0	0.0	0.75	0.0
34	33	1/4	1/4	3/4	2	1	IV(96+4)					e	I		IV(96+4)		IV			96+4					M	1	0	3, 7, 6	5, 9	3	3	1	4	0.2	0.125	0.625	0.16666666666666666
34	33	1/2	1/2	3/4	2	1	IV					e	I		IV		IV								M	1	0	3, 7, 4		3	3	0	4	0.0	0.0	0.75	0.0
35	34	0	0	3/4	2	1	I					e	I		I		I								M	1	0	4, 8, 5		4	4	1	9	0.1	0.0625	1.4375	0.041666666666666664
35	34	1/2	1/2	3/4	2	1	I(96+#4)					e	I		I(96+#4)		I			96+#4					M	1	0	4, 8, 7	6, 10	4	4	1	4	0.2	0.125	0.625	0.16666666666666666
36	35	0	0	3/4	2	1	I					e	I		I		I								M	1	0	4, 8, 5		4	4	0	10	0.0	0.0	2.25	0.0
37	36	0	0	3/4	2	1	V					e	I		V		V								M	1	0	5, 9, 6		5	5	1	7	0.125	0.0625	1.9375	0.03125
37	36	1/2	1/2	3/4	2	1	ii7					e	I		ii7		ii		7						mm7	1	0	6, 3, 7, 4		6	6	2	12	0.14285714285714285	0.25	3.5	0.06666666666666667
38	37	1/2	1/2	3/4	2	1	V					e	I		V		V								M	1	0	5, 9, 6		5	5	0	4	0.0	0.0	0.5	0.0
39	38	0	0	3/4	2	1	V/III					e	I		V/III		V				III				M	1	0	9, 13, 10		9	9	1	7	0.125	0.0625	1.9375	0.03125
39	38	1/2	1/2	3/4	2	1	ii7/III					e	I		ii7/III		ii		7		III				mm7	1	0	10, 7, 11, 8		10	10	5	15	0.25	0.3125	3.4375	0.08333333333333333
40	39	1/2	1/2	3/4	2	1	V/III					e	I		V/III		V				III				M	1	0	9, 13, 10		9	9	0	7	0.0	0.0	0.75	0.0
41	40	1/8	1/8	3/4	2	1	ii/III					e	I		ii/III		ii				III				m	1	0	10, 7, 11		10	10	0	3	0.0	0.0	0.25	0.0
41	40	3/8	3/8	3/4	2	1	V/III					e	I		V/III		V				III				M	1	0	9, 13, 10		9	9	0	3	0.0	0.0	0.25	0.0
41	40	5/8	5/8	3/4	2	1	ii/III					e	I		ii/III		ii				III				m	1	0	10, 7, 11		10	10	0	3	0.0	0.0	0.25	0.0
42	41	1/8	1/8	3/4	2	1	V/III					e	I		V/III		V				III				M	1	0	9, 13, 10		9	9	0	3	0.0	0.0	0.25	0.0
42	41	3/8	3/8	3/4	2	1	ii/III					e	I		ii/III		ii				III				m	1	0	10, 7, 11		10	10	0	3	0.0	0.0	0.25	0.0
42	41	5/8	5/8	3/4	2	1	V/III					e	I		V/III		V				III				M	1	0	9, 13, 10		9	9	0	3	0.0	0.0	0.25	0.0
43	42	1/8	1/8	3/4	2	1	vi					e	I		vi		vi								m	1	0	7, 4, 8		7	7	0	3	0.0	0.0	0.25	0.0
43	42	3/8	3/8	3/4	2	1	V					e	I		V		V								M	1	0	5, 9, 6		5	5	0	3	0.0	0.0	0.25	0.0
43	42	5/8	5/8	3/4	2	1	IVM65				I6	e	I		IVM65		IV	M	65						MM7	1	0	7, 4, 8, 3		3	7	0	3	0.0	0.0	0.25	0.0
44	43	0	0	3/4	2	1	IV6					e	I		IV6		IV		6						M	1	0	7, 4, 3		3	7	0	2	0.0	0.0	0.25	0.0
44	43	1/8	1/8	3/4	2	1	iii65				viio6	e	I		iii65		iii		65						mm7	1	0	5, 9, 6, 8		8	5	0	3	0.0	0.0	0.25	0.0
44	43	1/4	1/4	3/4	2	1	iii6					e	I		iii6		iii		6						m	1	0	5, 9, 8		8	5	0	2	0.0	0.0	0.25	0.0
44	43	3/8	3/8	3/4	2	1	ii65				vi6	e	I		ii65		ii		65						mm7	1	0	3, 7, 4, 6		6	3	0	3	0.0	0.0	0.25	0.0
44	43	1/2	1/2	3/4	2	1	ii6					e	I		ii6		ii		6						m	1	0	3, 7, 6		6	3	0	2	0.0	0.0	0.25	0.0
44	43	5/8	5/8	3/4	2	1	V6|HC}					e	I		V6		V		6				HC	}	M	1	0	9, 6, 5		5	9	0	2	0.0	0.0	0.25	0.0
45	44	0	0	3/4	2	1	I{					e	I		I		I							{	M	1	0	4, 8, 5		4	4	4	10	0.2857142857142857	0.1875	1.3125	0.125
45	44	1/2	1/2	3/4	2	1	I(96+#4)					e	I		I(96+#4)		I			96+#4					M	1	0	4, 8, 7	6, 10	4	4	2	4	0.3333333333333333	0.1875	0.5625	0.25
46	45	0	0	3/4	2	1	I					e	I		I		I								M	1	0	4, 8, 5		4	4	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
46	45	1/4	1/4	3/4	2	1	I(96+#4)					e	I		I(96+#4)		I			96+#4					M	1	0	4, 8, 7	6, 10	4	4	2	4	0.3333333333333333	0.1875	0.5625	0.25
46	45	1/2	1/2	3/4	2	1	I					e	I		I		I								M	1	0	4, 8, 5		4	4	0	4	0.0	0.0	0.75	0.0
47	46	0	0	3/4	2	1	V					e	I		V		V								M	1	0	5, 9, 6		5	5	4	10	0.2857142857142857	0.1875	1.3125	0.125
47	46	1/2	1/2	3/4	2	1	V(96+#4)					e	I		V(96+#4)		V			96+#4					M	1	0	5, 9, 8	7, 11	5	5	2	4	0.3333333333333333	0.1875	0.5625	0.25
48	47	0	0	3/4	2	1	V					e	I		V		V								M	1	0	5, 9, 6		5	5	0	10	0.0	0.0	2.25	0.0
49	48	0	0	3/4	2	1	IV					e	I		IV		IV								M	1	0	3, 7, 4		3	3	4	10	0.2857142857142857	0.1875	1.3125	0.125
49	48	1/2	1/2	3/4	2	1	IV(96+4)					e	I		IV(96+4)		IV			96+4					M	1	0	3, 7, 6	5, 9	3	3	2	4	0.3333333333333333	0.1875	0.5625	0.25
50	49	0	0	3/4	2	1	IV					e	I		IV		IV								M	1	0	3, 7, 4		3	3	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
50	49	1/4	1/4	3/4	2	1	IV(96+4)					e	I		IV(96+4)		IV			96+4					M	1	0	3, 7, 6	5, 9	3	3	2	4	0.3333333333333333	0.1875	0.5625	0.25
50	49	1/2	1/2	3/4	2	1	IV					e	I		IV		IV								M	1	0	3, 7, 4		3	3	0	4	0.0	0.0	0.75	0.0
51	50	0	0	3/4	2	1	I[I					e	I	I	I		I								M	1	0	4, 8, 5		4	4	4	10	0.2857142857142857	0.1875	1.3125	0.125
51	50	1/2	1/2	3/4	2	1	I(96+#4)					e	I		I(96+#4)		I			96+#4					M	1	0	4, 8, 7	6, 10	4	4	2	4	0.3333333333333333	0.1875	0.5625	0.25
52	51	0	0	3/4	2	1	I					e	I		I		I								M	1	0	4, 8, 5		4	4	0	10	0.0	0.0	2.25	0.0
53	52	0	0	3/4	2	1	V					e	I		V		V								M	1	0	5, 9, 6		5	5	1	7	0.125	0.0625	1.9375	0.03125
53	52	1/2	1/2	3/4	2	1	ii7					e	I		ii7		ii		7						mm7	1	0	6, 3, 7, 4		6	6	2	12	0.14285714285714285	0.25	3.5	0.06666666666666667
54	53	1/2	1/2	3/4	2	1	V					e	I		V		V								M	1	0	5, 9, 6		5	5	0	4	0.0	0.0	0.5	0.0
55	54	0	0	3/4	2	1	V/III					e	I		V/III		V				III				M	1	0	9, 13, 10		9	9	1	7	0.125	0.0625	1.9375	0.03125
55	54	1/2	1/2	3/4	2	1	ii7/III					e	I		ii7/III		ii		7		III				mm7	1	0	10, 7, 11, 8		10	10	5	15	0.25	0.3125	3.4375	0.08333333333333333
56	55	1/2	1/2	3/4	2	1	V/III					e	I		V/III		V				III				M	1	0	9, 13, 10		9	9	0	7	0.0	0.0	0.75	0.0
57	56	1/8	1/8	3/4	2	1	ii/III					e	I		ii/III		ii				III				m	1	0	10, 7, 11		10	10	0	3	0.0	0.0	0.25	0.0
57	56	3/8	3/8	3/4	2	1	V/III					e	I		V/III		V				III				M	1	0	9, 13, 10		9	9	0	3	0.0	0.0	0.25	0.0
57	56	5/8	5/8	3/4	2	1	ii/III					e	I		ii/III		ii				III				m	1	0	10, 7, 11		10	10	0	3	0.0	0.0	0.25	0.0
58	57	1/8	1/8	3/4	2	1	V/III					e	I		V/III		V				III				M	1	0	9, 13, 10		9	9	0	3	0.0	0.0	0.25	0.0
58	57	3/8	3/8	3/4	2	1	ii/III					e	I		ii/III		ii				III				m	1	0	10, 7, 11		10	10	0	3	0.0	0.0	0.25	0.0
58	57	5/8	5/8	3/4	2	1	V/III					e	I		V/III		V				III				M	1	0	9, 13, 10		9	9	0	3	0.0	0.0	0.25	0.0
59	58	1/8	1/8	3/4	2	1	vi					e	I		vi		vi								m	1	0	7, 4, 8		7	7	0	3	0.0	0.0	0.25	0.0
59	58	3/8	3/8	3/4	2	1	V					e	I		V		V								M	1	0	5, 9, 6		5	5	0	3	0.0	0.0	0.25	0.0
59	58	5/8	5/8	3/4	2	1	IVM65				I6	e	I		IVM65		IV	M	65						MM7	1	0	7, 4, 8, 3		3	7	0	3	0.0	0.0	0.25	0.0
60	59	0	0	3/4	2	1	IV6					e	I		IV6		IV		6						M	1	0	7, 4, 3		3	7	0	2	0.0	0.0	0.25	0.0
60	59	1/8	1/8	3/4	2	1	iii65				viio6	e	I		iii65		iii		65						mm7	1	0	5, 9, 6, 8		8	5	0	3	0.0	0.0	0.25	0.0
60	59	1/4	1/4	3/4	2	1	iii6					e	I		iii6		iii		6						m	1	0	5, 9, 8		8	5	0	2	0.0	0.0	0.25	0.0
60	59	3/8	3/8	3/4	2	1	ii65				vi6	e	I		ii65		ii		65						mm7	1	0	3, 7, 4, 6		6	3	0	3	0.0	0.0	0.25	0.0
60	59	1/2	1/2	3/4	2	1	ii6					e	I		ii6		ii		6						m	1	0	3, 7, 6		6	3	0	2	0.0	0.0	0.25	0.0
60	59	5/8	5/8	3/4	2	1	V6|HC}					e	I		V6		V		6				HC	}	M	1	0	9, 6, 5		5	9	0	2	0.0	0.0	0.25	0.0
61	60	0	0	3/4	2	1	I{					e	I		I		I							{	M	1	0	4, 8, 5		4	4	4	10	0.2857142857142857	0.1875	1.3125	0.125
61	60	1/2	1/2	3/4	2	1	I(96+#4)					e	I		I(96+#4)		I			96+#4					M	1	0	4, 8, 7	6, 10	4	4	2	4	0.3333333333333333	0.1875	0.5625	0.25
62	61	0	0	3/4	2	1	I					e	I		I		I								M	1	0	4, 8, 5		4	4	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
62	61	1/4	1/4	3/4	2	1	I(96+#4)					e	I		I(96+#4)		I			96+#4					M	1	0	4, 8, 7	6, 10	4	4	2	4	0.3333333333333333	0.1875	0.5625	0.25
62	61	1/2	1/2	3/4	2	1	I]					e	I		I		I					]			M	1	0	4, 8, 5		4	4	0	4	0.0	0.0	0.75	0.0
63	62	0	0	3/4	2	1	V					e	I		V		V								M	1	0	5, 9, 6		5	5	4	10	0.2857142857142857	0.1875	1.3125	0.125
63	62	1/2	1/2	3/4	2	1	V(96+#4)					e	I		V(96+#4)		V			96+#4					M	1	0	5, 9, 8	7, 11	5	5	2	4	0.3333333333333333	0.1875	0.5625	0.25
64	63	0	0	3/4	2	1	V					e	I		V		V								M	1	0	5, 9, 6		5	5	0	10	0.0	0.0	2.25	0.0
65	64	0	0	3/4	2	1	IV					e	I		IV		IV								M	1	0	3, 7, 4		3	3	4	10	0.2857142857142857	0.1875	1.3125	0.125
65	64	1/2	1/2	3/4	2	1	IV(96+4)					e	I		IV(96+4)		IV			96+4					M	1	0	3, 7, 6	5, 9	3	3	2	4	0.3333333333333333	0.1875	0.5625	0.25
66	65	0	0	3/4	2	1	IV					e	I		IV		IV								M	1	0	3, 7, 4		3	3	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
66	65	1/4	1/4	3/4	2	1	IV(96+4)					e	I		IV(96+4)		IV			96+4					M	1	0	3, 7, 6	5, 9	3	3	2	4	0.3333333333333333	0.1875	0.5625	0.25
66	65	1/2	1/2	3/4	2	1	IV					e	I		IV		IV								M	1	0	3, 7, 4		3	3	0	4	0.0	0.0	0.75	0.0
67	66	0	0	3/4	2	1	I					e	I		I		I								M	1	0	4, 8, 5		4	4	4	10	0.2857142857142857	0.1875	1.3125	0.125
67	66	1/2	1/2	3/4	2	1	I(96+#4)					e	I		I(96+#4)		I			96+#4					M	1	0	4, 8, 7	6, 10	4	4	2	4	0.3333333333333333	0.1875	0.5625	0.25
68	67	0	0	3/4	2	1	I]|PC}					e	I		I		I					]	PC	}	M	1	0	4, 8, 5		4	4	0	13	0.0	0.0	2.75	0.0
69	68	1/2	1/2	3/4	2	1	i.iv7{					e	i		iv7		iv		7					{	mm7	1	1	3, 0, 4, 1		3	3	3	7	0.3	0.375	2.875	0.11538461538461539
71	70	0	0	3/4	2	1	i6					e	i		i6		i		6						m	1	1	1, 5, 4		4	1	1	5	0.16666666666666666	0.125	2.125	0.05555555555555555
72	71	0	0	3/4	2	1	ii%43/VII					e	i		ii%43/VII		ii	%	43		VII				%7	1	1	-2, 2, 4, 1		4	-2	3	6	0.3333333333333333	0.375	2.625	0.125
73	72	0	0	3/4	2	1	V/VII				IV	e	i		V/VII		V				VII				M	1	1	3, 7, 4		3	3	1	5	0.16666666666666666	0.125	2.125	0.05555555555555555
74	73	0	0	3/4	2	1	VI					e	i		VI		VI								M	1	1	0, 4, 1		0	0	2	8	0.2	0.25	4.25	0.05555555555555555
75	74	0	0	3/4	2	1	V7/V					e	i		V7/V		V		7		V				Mm7	1	1	6, 10, 7, 4		6	6	0	7	0.0	0.0	2.75	0.0
76	75	0	0	3/4	2	1	V7					e	i		V7		V		7						Mm7	1	1	5, 9, 6, 3		5	5	3	8	0.2727272727272727	0.375	3.375	0.1
77	76	0	0	3/4	2	1	i|PAC}					e	i		i		i						PAC	}	m	1	1	4, 1, 5		4	4	1	6	0.14285714285714285	0.125	2.625	0.045454545454545456
78	77	0	0	3/4	2	1	iv43					e	i		iv43		iv		43						mm7	1	1	4, 1, 3, 0		3	4	4	8	0.3333333333333333	0.5	2.5	0.16666666666666666
79	78	0	0	3/4	2	1	IIIM43					e	i		IIIM43		III	M	43						MM7	1	1	2, 6, 1, 5		1	2	3	7	0.3	0.375	2.625	0.125
80	79	0	0	3/4	2	1	ii%43					e	i		ii%43		ii	%	43						%7	1	1	0, 4, 6, 3		6	0	4	8	0.3333333333333333	0.5	2.5	0.16666666666666666
81	80	0	0	3/4	2	1	i43					e	i		i43		i		43						mm7	1	1	5, 2, 4, 1		4	5	3	7	0.3	0.375	2.625	0.125
82	81	0	0	3/4	2	1	#viio43					e	i		#viio43		#vii	o	43						o7	1	1	3, 0, 9, 6		9	3	4	8	0.3333333333333333	0.5	2.5	0.16666666666666666
83	82	0	0	3/4	2	1	#vi%43				ii%43/V	e	i		#vi%43		#vi	%	43						%7	1	1	1, 5, 7, 4		7	1	4	8	0.3333333333333333	0.5	2.5	0.16666666666666666
84	83	0	0	3/4	2	1	V64					e	i		V64		V		64						M	1	1	6, 5, 9		5	6	1	4	0.2	0.125	1.5	0.07692307692307693
84	83	1/4	1/4	3/4	2	1	V2					e	i		V2		V		2						Mm7	1	1	3, 5, 9, 6		5	3	0	2	0.0	0.0	0.375	0.0
84	83	1/2	1/2	3/4	2	1	Ger2(2)					e	i		Ger2(2)	Ger	vii	o	2	b32	V				Ger	1	1	1, 5, 0, 4		10	1	0	4	0.0	0.0	0.875	0.0
84	83	5/8	5/8	3/4	2	1	Ger2					e	i		Ger2	Ger	vii	o	2	b3	V				Ger	1	1	1, 10, 0, 4		10	1	0	1	0.0	0.0	0.125	0.0
85	84	0	0	3/4	2	1	V|HC}					e	i		V		V						HC	}	M	1	1	5, 9, 6		5	5	0	11	0.0	0.0	2.0	0.0
85	84	1/2	1/2	3/4	2	1	Ger2					e	i		Ger2	Ger	vii	o	2	b3	V				Ger	1	1	1, 10, 0, 4		10	1	1	4	0.2	0.125	0.875	0.125
86	85	0	0	3/4	2	1	V|HC					e	i		V		V						HC		M	1	1	5, 9, 6		5	5	3	14	0.17647058823529413	0.375	2.375	0.13636363636363635
87	86	1/2	1/2	3/4	2	1	iv7{					e	i		iv7		iv		7					{	mm7	1	1	3, 0, 4, 1		3	3	3	7	0.3	0.375	2.875	0.11538461538461539
89	88	0	0	3/4	2	2	i6					e	i		i6		i		6						m	1	1	1, 5, 4		4	1	1	5	0.16666666666666666	0.125	2.125	0.05555555555555555
90	89	0	0	3/4	2	1	ii%43/VII					e	i		ii%43/VII		ii	%	43		VII				%7	1	1	-2, 2, 4, 1		4	-2	3	6	0.3333333333333333	0.375	2.625	0.125
91	90	0	0	3/4	2	1	V/VII				IV	e	i		V/VII		V				VII				M	1	1	3, 7, 4		3	3	1	5	0.16666666666666666	0.125	2.125	0.05555555555555555
92	91	0	0	3/4	2	1	VI					e	i		VI		VI								M	1	1	0, 4, 1		0	0	2	8	0.2	0.25	4.25	0.05555555555555555
93	92	0	0	3/4	2	1	V7/V					e	i		V7/V		V		7		V				Mm7	1	1	6, 10, 7, 4		6	6	0	7	0.0	0.0	2.75	0.0
94	93	0	0	3/4	2	1	V7					e	i		V7		V		7						Mm7	1	1	5, 9, 6, 3		5	5	3	8	0.2727272727272727	0.375	3.375	0.1
95	94	0	0	3/4	2	1	i}					e	i		i		i							}	m	1	1	4, 1, 5		4	4	0	1	0.0	0.0	0.75	0.0
95	94	1/4	1/4	3/4	2	1	i(b964)					e	i		i(b964)		i			b964					m	1	1	4, 3, 0	-1	4	4	0	5	0.0	0.0	2.25	0.0
95	94	1/2	1/2	3/4	2	1	i(964)					e	i		i(964)		i			964					m	1	1	4, 3, 0	6	4	4	0	1	0.0	0.0	0.25	0.0
96	95	0	0	3/4	2	1	i|PAC					e	i		i		i						PAC		m	1	1	4, 1, 5		4	4	0	5	0.0	0.0	3.75	0.0
