mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
20	20	0	0	4/4	2	1	I(4)}						D	I		I(4)	I			4				}	M	0	0	2, 1, 3		2	2	0	5	0.0	0.0	1.25	0.0
20	20	1/4	1/4	4/4	2	1	I|PAC						D	I		I	I						PAC		M	0	0	2, 6, 3		2	2	0	12	0.0	0.0	1.75	0.0
21	21	0	0	4/4	2	1	V.I{						D	V		I	I							{	M	0	0	3, 7, 4		3	3	1	18	0.05263157894736842	0.0625	2.9375	0.020833333333333332
22	22	1/4	1/4	4/4	2	1	I(9+64)						D	V		I(9+64)	I			9+64					M	0	0	3, 2, 4	5, 6	3	3	0	7	0.0	0.0	1.0	0.0
22	22	1/2	1/2	4/4	2	1	I						D	V		I	I								M	0	0	3, 7, 4		3	3	1	6	0.14285714285714285	0.0625	0.9375	0.0625
22	22	3/4	3/4	4/4	2	1	I(9+64)						D	V		I(9+64)	I			9+64					M	0	0	3, 2, 4	5, 6	3	3	0	7	0.0	0.0	1.0	0.0
23	23	0	0	4/4	2	1	vii%7						D	V		vii%7	vii	%	7						%7	0	0	8, 5, 2, 6		8	8	0	5	0.0	0.0	0.375	0.0
23	23	1/4	1/4	4/4	2	1	I						D	V		I	I								M	0	0	3, 7, 4		3	3	0	9	0.0	0.0	2.25	0.0
24	24	0	0	4/4	2	1	V+6					I64(b6)/bIII	D	V		V+6	V	+	6						+	0	0	8, 12, 4		4	8	11	7	0.6111111111111112	1.875	1.125	0.625
25	25	0	0	4/4	2	1	bIII/V.V(64)					I64	D	bIII/V		V(64)	V			64					M	0	0	1, 0, 4		1	1	2	13	0.13333333333333333	0.25	1.5625	0.13793103448275862
25	25	1/2	1/2	4/4	2	1	V7						D	bIII/V		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1	2	13	0.13333333333333333	0.25	1.5625	0.13793103448275862
26	26	0	0	4/4	2	1	I(9)}						D	bIII/V		I(9)	I			9				}	M	0	0	0, 4, 1	2	0	0	0	7	0.0	0.0	1.0	0.0
26	26	1/4	1/4	4/4	2	1	I|PAC						D	bIII/V		I	I						PAC		M	0	0	0, 4, 1		0	0	1	22	0.043478260869565216	0.0625	3.4375	0.017857142857142856
27	27	1/4	1/4	4/4	2	1	I(9+64)						D	bIII/V		I(9+64)	I			9+64					M	0	0	0, -1, 1	2, 3	0	0	0	7	0.0	0.0	1.0	0.0
27	27	1/2	1/2	4/4	2	1	I						D	bIII/V		I	I								M	0	0	0, 4, 1		0	0	1	6	0.14285714285714285	0.0625	0.9375	0.0625
27	27	3/4	3/4	4/4	2	1	I(9+64)						D	bIII/V		I(9+64)	I			9+64					M	0	0	0, -1, 1	2, 3	0	0	0	7	0.0	0.0	1.0	0.0
28	28	1/8	1/8	4/4	2	1	vii%7						D	bIII/V		vii%7	vii	%	7						%7	0	0	5, 2, -1, 3		5	5	0	5	0.0	0.0	0.375	0.0
28	28	1/4	1/4	4/4	2	1	I						D	bIII/V		I	I								M	0	0	0, 4, 1		0	0	0	9	0.0	0.0	2.25	0.0
29	29	0	0	4/4	2	1	V+6					I64(b6)/bIII	D	bIII/V		V+6	V	+	6						+	0	0	5, 9, 1		1	5	7	11	0.3888888888888889	1.125	1.875	0.375
30	30	0	0	4/4	2	1	bIII/bIII/V.V(64)					I64	D	bIII/bIII/V		V(64)	V			64					M	0	0	-2, -3, 1		-2	-2	2	13	0.13333333333333333	0.25	1.5625	0.13793103448275862
30	30	1/2	1/2	4/4	2	1	V7						D	bIII/bIII/V		V7	V		7						Mm7	0	0	-2, 2, -1, -4		-2	-2	2	13	0.13333333333333333	0.25	1.5625	0.13793103448275862
31	31	0	0	4/4	2	1	I(9)}						D	bIII/bIII/V		I(9)	I			9				}	M	0	0	-3, 1, -2	-1	-3	-3	0	7	0.0	0.0	1.0	0.0
31	31	1/4	1/4	4/4	2	1	I|PAC						D	bIII/bIII/V		I	I						PAC		M	0	0	-3, 1, -2		-3	-3	0	12	0.0	0.0	2.0	0.0
31	31	3/4	3/4	4/4	2	1	V7/IV{						D	bIII/bIII/V		V7/IV	V		7		IV			{	Mm7	0	0	-3, 1, -2, -5		-3	-3	5	61	0.07575757575757576	0.3125	3.8125	0.07575757575757576
33	33	3/4	3/4	4/4	2	1	V(64)/IV					IV64	D	bIII/bIII/V		V(64)/IV	V			64	IV				M	0	0	-3, -4, 0		-3	-3	9	57	0.13636363636363635	0.5625	3.5625	0.13636363636363635
35	35	3/4	3/4	4/4	2	1	V43/IV/IV					V43/bVII	D	bIII/bIII/V		V43/IV/IV	V		43		IV/IV				Mm7	0	0	-3, -6, -4, 0		-4	-3	5	61	0.07575757575757576	0.3125	3.8125	0.07575757575757576
37	37	3/4	3/4	4/4	2	1	IV64/IV					bVII64	D	bIII/bIII/V		IV64/IV	IV		64		IV				M	0	0	-4, -5, -1		-5	-4	17	49	0.25757575757575757	1.0625	3.0625	0.25757575757575757
39	39	3/4	3/4	4/4	2	1	V7]						D	bIII/bIII/V		V7	V		7			]			Mm7	0	0	-2, 2, -1, -4		-2	-2	24	51	0.32	2.75	5.6875	0.32592592592592595
41	41	3/4	3/4	4/4	2	1	ii						D	bIII/bIII/V		ii	ii								m	0	0	-1, -4, 0		-1	-1	3	21	0.125	0.3125	2.1875	0.125
42	42	3/4	3/4	4/4	2	1	viio						D	bIII/bIII/V		viio	vii	o							o	0	0	2, -1, -4		2	2	0	9	0.0	0.0	0.9375	0.0
43	43	1/8	1/8	4/4	2	1	V						D	bIII/bIII/V		V	V								M	0	0	-2, 2, -1		-2	-2	0	9	0.0	0.0	0.9375	0.0
43	43	1/2	1/2	4/4	2	1	iii						D	bIII/bIII/V		iii	iii								m	0	0	1, -2, 2		1	1	0	9	0.0	0.0	0.9375	0.0
43	43	7/8	7/8	4/4	2	1	I						D	bIII/bIII/V		I	I								M	0	0	-3, 1, -2		-3	-3	0	9	0.0	0.0	0.9375	0.0
44	44	1/4	1/4	4/4	2	1	vi						D	bIII/bIII/V		vi	vi								m	0	0	0, -3, 1		0	0	0	9	0.0	0.0	0.9375	0.0
44	44	5/8	5/8	4/4	2	1	IV						D	bIII/bIII/V		IV	IV								M	0	0	-4, 0, -3		-4	-4	0	9	0.0	0.0	0.9375	0.0
45	45	0	0	4/4	2	1	IVM2						D	bIII/bIII/V		IVM2	IV	M	2						MM7	0	0	1, -4, 0, -3		-4	1	0	24	0.0	0.0	8.25	0.0
46	46	0	0	4/4	2	1	V2/bVII					V2/IV/IV	D	bIII/bIII/V		V2/bVII	V		2		bVII				Mm7	0	0	-6, -4, 0, -3		-4	-6	0	24	0.0	0.0	8.25	0.0
47	47	0	0	4/4	2	1	ii%7						D	bIII/bIII/V		ii%7	ii	%	7						%7	0	0	-1, -4, -7, -3		-1	-1	0	24	0.0	0.0	8.25	0.0
48	48	0	0	4/4	2	1	I.V43|HC}						D	I		V43	V		43				HC	}	Mm7	0	0	4, 1, 3, 7		3	4	1	29	0.03333333333333333	0.041666666666666664	8.083333333333334	0.005128205128205128
49	49	0	0	4/4	2	1	I						D	I		I	I								M	0	0	2, 6, 3		2	2	1	34	0.02857142857142857	0.125	3.5625	0.03389830508474576
50	50	0	0	4/4	2	1	I(+6)						D	I		I(+6)	I			+6					M	0	0	2, 6, 3	5	2	2	1	32	0.030303030303030304	0.125	5.5	0.022222222222222223
51	51	0	0	4/4	2	1	vi7					ii7/V	D	I		vi7	vi		7						mm7	0	0	5, 2, 6, 3		5	5	1	16	0.058823529411764705	0.125	1.75	0.06666666666666667
51	51	1/2	1/2	4/4	2	1	V7(9)/V						D	I		V7(9)/V	V		7	9	V				Mm7	0	0	4, 8, 5, 2	6	4	4	1	15	0.0625	0.125	1.75	0.06666666666666667
52	52	0	0	4/4	2	1	V(4)}						D	I		V(4)	V			4				}	M	0	0	3, 2, 4		3	3	1	9	0.1	0.25	1.875	0.11764705882352941
52	52	1/4	1/4	4/4	2	1	V|HC						D	I		V	V						HC		M	0	0	3, 7, 4		3	3	1	20	0.047619047619047616	0.041666666666666664	2.9583333333333335	0.013888888888888888
53	53	0	0	4/4	2	1	IV						D	I		IV	IV								M	0	0	1, 5, 2		1	1	1	34	0.02857142857142857	0.125	3.5625	0.03389830508474576
54	54	0	0	4/4	2	1	ii7(9)						D	I		ii7(9)	ii		7	9					mm7	0	0	4, 1, 5, 2	6	4	4	1	35	0.027777777777777776	0.125	6.125	0.02
55	55	0	0	4/4	2	1	V7(9)						D	I		V7(9)	V		7	9					Mm7	0	0	3, 7, 4, 1	5	3	3	3	29	0.09375	0.3	3.45	0.08
56	56	0	0	4/4	2	1	I(4)}						D	I		I(4)	I			4				}	M	0	0	2, 1, 3		2	2	1	9	0.1	0.25	1.875	0.11764705882352941
56	56	1/4	1/4	4/4	2	1	I|PAC						D	I		I	I						PAC		M	0	0	2, 6, 3		2	2	0	18	0.0	0.0	2.875	0.0
57	57	0	0	2/4	2	1	IV.I[I{						D	IV	I	I	I							{	M	0	0	1, 5, 2		1	1	1	10	0.09090909090909091	0.25	4.25	0.05555555555555555
60	60	0	0	2/4	2	1	IM7						D	IV		IM7	I	M	7						MM7	0	0	1, 5, 2, 6		1	1	1	7	0.125	0.25	2.75	0.08333333333333333
61	61	0	0	2/4	2	1	V7						D	IV		V7	V		7						Mm7	0	0	2, 6, 3, 0		2	2	2	6	0.25	0.75	2.25	0.25
62	62	0	0	2/4	2	1	V7(9)						D	IV		V7(9)	V		7	9					Mm7	0	0	2, 6, 3, 0	4	2	2	2	6	0.25	0.75	2.25	0.25
63	63	0	0	2/4	2	1	I(+6)]					ii65/V]	D	IV		I(+6)	I			+6		]			M	0	0	1, 5, 2	4	1	1	1	7	0.125	0.25	2.75	0.08333333333333333
64	64	0	0	2/4	2	1	vi7					ii7/V	D	IV		vi7	vi		7						mm7	0	0	4, 1, 5, 2		4	4	1	6	0.14285714285714285	0.25	2.25	0.1
65	65	0	0	2/4	2	1	V7(13)/V						D	IV		V7(13)/V	V		7	13	V				Mm7	0	0	3, 7, 4, 1	6	3	3	0	7	0.0	0.0	2.5	0.0
66	66	0	0	2/4	2	1	V|HC}						D	IV		V	V						HC	}	M	0	0	2, 6, 3		2	2	2	6	0.25	0.25	1.75	0.125
67	67	0	0	2/4	2	1	IVM7{						D	IV		IVM7	IV	M	7					{	MM7	0	0	0, 4, 1, 5		0	0	1	7	0.125	0.25	2.75	0.08333333333333333
68	68	0	0	2/4	2	1	IVM65						D	IV		IVM65	IV	M	65						MM7	0	0	4, 1, 5, 0		0	4	2	6	0.25	0.5	2.25	0.18181818181818182
68	68	3/8	3/8	2/4	2	1	IVM7						D	IV		IVM7	IV	M	7						MM7	0	0	0, 4, 1, 5		0	0	0	2	0.0	0.0	0.25	0.0
69	69	0	0	2/4	2	1	iii7						D	IV		iii7	iii		7						mm7	0	0	5, 2, 6, 3		5	5	1	7	0.125	0.25	2.75	0.08333333333333333
70	70	0	0	2/4	2	1	iii65						D	IV		iii65	iii		65						mm7	0	0	2, 6, 3, 5		5	2	2	6	0.25	0.5	2.25	0.18181818181818182
70	70	3/8	3/8	2/4	2	1	iii7						D	IV		iii7	iii		7						mm7	0	0	5, 2, 6, 3		5	5	0	2	0.0	0.0	0.25	0.0
71	71	0	0	2/4	2	1	ii7						D	IV		ii7	ii		7						mm7	0	0	3, 0, 4, 1		3	3	1	8	0.1111111111111111	0.25	2.875	0.08
72	72	0	0	2/4	2	1	ii7(6)						D	IV		ii7(6)	ii		7	6					mm7	0	0	3, 0, 6, 1		3	3	1	7	0.125	0.25	2.0	0.1111111111111111
72	72	3/8	3/8	2/4	2	1	ii7						D	IV		ii7	ii		7						mm7	0	0	3, 0, 4, 1		3	3	0	4	0.0	0.0	0.25	0.0
73	73	0	0	2/4	2	1	V7(13)						D	IV		V7(13)	V		7	13					Mm7	0	0	2, 6, 3, 0	5	2	2	0	7	0.0	0.0	2.5	0.0
74	74	0	0	2/4	2	1	I(4)}						D	IV		I(4)	I			4				}	M	0	0	1, 0, 2		1	1	0	4	0.0	0.0	1.625	0.0
74	74	1/8	1/8	2/4	2	1	I|PAC						D	IV		I	I						PAC		M	0	0	1, 5, 2		1	1	0	1	0.0	0.0	0.375	0.0
75	75	0	0	2/4	2	1	III.IM43{						D	III		IM43	I	M	43					{	MM7	0	0	7, 11, 6, 10		6	7	14	12	0.5384615384615384	5.25	4.75	0.525
78	78	0	0	2/4	2	1	IIIM43(13)						D	III		IIIM43(13)	III	M	43	13					MM7	0	0	11, 15, 10, 14	6	10	11	5	4	0.5555555555555556	2.25	1.25	0.6428571428571429
79	79	0	0	2/4	2	1	V43/ii						D	III		V43/ii	V		43		ii				Mm7	0	0	10, 7, 9, 13		9	10	5	1	0.8333333333333334	1.5	0.5	0.75
80	80	0	0	2/4	2	1	V/V						D	III		V/V	V				V				M	0	0	8, 12, 9		8	8	4	1	0.8	1.125	0.5	0.6923076923076923
80	80	1/4	1/4	2/4	2	1	ii7						D	III		ii7	ii		7						mm7	0	0	8, 5, 9, 6		8	8	1	1	0.5	0.25	0.125	0.6666666666666666
81	81	0	0	2/4	2	1	V7(13)						D	III		V7(13)	V		7	13					Mm7	0	0	7, 11, 8, 5	10	7	7	4	2	0.6666666666666666	1.25	0.75	0.625
82	82	0	0	2/4	2	1	I(4)}						D	III		I(4)	I			4				}	M	0	0	6, 5, 7		6	6	1	3	0.25	0.125	1.5	0.07692307692307693
82	82	1/8	1/8	2/4	2	1	I|PAC						D	III		I	I						PAC		M	0	0	6, 10, 7		6	6	1	0	1.0	0.375	0.0	1.0
83	83	0	0	2/4	2	1	I.IM43{						D	I		IM43	I	M	43					{	MM7	0	0	3, 7, 2, 6		2	3	14	12	0.5384615384615384	5.25	4.75	0.525
86	86	0	0	2/4	2	1	IM43(13)						D	I		IM43(13)	I	M	43	13					MM7	0	0	3, 7, 2, 6	5	2	3	3	6	0.3333333333333333	1.25	2.25	0.35714285714285715
87	87	0	0	2/4	2	1	V43/ii						D	I		V43/ii	V		43		ii				Mm7	0	0	6, 3, 5, 9		5	6	4	2	0.6666666666666666	1.25	0.75	0.625
88	88	0	0	2/4	2	1	V/V						D	I		V/V	V				V				M	0	0	4, 8, 5		4	4	3	2	0.6	0.875	0.75	0.5384615384615384
88	88	1/4	1/4	2/4	2	1	ii7						D	I		ii7	ii		7						mm7	0	0	4, 1, 5, 2		4	4	1	1	0.5	0.25	0.125	0.6666666666666666
89	89	0	0	2/4	2	1	V7(13)|HC}						D	I		V7(13)	V		7	13			HC	}	Mm7	0	0	3, 7, 4, 1	6	3	3	5	5	0.5	1.75	1.25	0.5833333333333334
91	91	0	0	2/4	2	1	I[I{						D	I	I	I	I							{	M	0	0	2, 6, 3		2	2	4	4	0.5	1.0	1.25	0.4444444444444444
92	92	0	0	2/4	2	1	IM7						D	I		IM7	I	M	7						MM7	0	0	2, 6, 3, 7		2	2	4	4	0.5	1.25	1.75	0.4166666666666667
93	93	0	0	2/4	2	1	V7						D	I		V7	V		7						Mm7	0	0	3, 7, 4, 1		3	3	5	4	0.5555555555555556	1.375	1.125	0.55
94	94	0	0	2/4	2	1	V7(9)						D	I		V7(9)	V		7	9					Mm7	0	0	3, 7, 4, 1	5	3	3	3	5	0.375	1.125	1.875	0.375
95	95	0	0	2/4	2	1	I(+6)]					ii65/V]	D	I		I(+6)	I			+6		]			M	0	0	2, 6, 3	5	2	2	5	4	0.5555555555555556	1.25	1.25	0.5
96	96	0	0	2/4	2	1	vi7					ii7/V	D	I		vi7	vi		7						mm7	0	0	5, 2, 6, 3		5	5	5	2	0.7142857142857143	1.75	0.75	0.7
97	97	0	0	2/4	2	1	V7(13)/V						D	I		V7(13)/V	V		7	13	V				Mm7	0	0	4, 8, 5, 2	7	4	4	6	2	0.75	1.5	0.75	0.6666666666666666
98	98	0	0	2/4	2	1	V|HC}						D	I		V	V						HC	}	M	0	0	3, 7, 4		3	3	5	3	0.625	1.625	0.375	0.8125
99	99	0	0	2/4	2	1	IVM7{						D	I		IVM7	IV	M	7					{	MM7	0	0	1, 5, 2, 6		1	1	5	4	0.5555555555555556	1.25	1.25	0.5
100	100	0	0	2/4	2	1	IVM65						D	I		IVM65	IV	M	65						MM7	0	0	5, 2, 6, 1		1	5	3	5	0.375	0.75	2.0	0.2727272727272727
100	100	3/8	3/8	2/4	2	1	IVM7						D	I		IVM7	IV	M	7						MM7	0	0	1, 5, 2, 6		1	1	2	0	1.0	0.25	0.0	1.0
101	101	0	0	2/4	2	1	iii7						D	I		iii7	iii		7						mm7	0	0	6, 3, 7, 4		6	6	6	3	0.6666666666666666	1.5	1.0	0.6
102	102	0	0	2/4	2	1	iii65						D	I		iii65	iii		65						mm7	0	0	3, 7, 4, 6		6	3	5	3	0.625	1.25	1.5	0.45454545454545453
102	102	3/8	3/8	2/4	2	1	iii7						D	I		iii7	iii		7						mm7	0	0	6, 3, 7, 4		6	6	2	0	1.0	0.25	0.0	1.0
103	103	0	0	2/4	2	1	ii7						D	I		ii7	ii		7						mm7	0	0	4, 1, 5, 2		4	4	6	4	0.6	1.375	1.25	0.5238095238095238
104	104	0	0	2/4	2	1	ii7(6)						D	I		ii7(6)	ii		7	6					mm7	0	0	4, 1, 7, 2		4	4	7	1	0.875	1.75	0.5	0.7777777777777778
104	104	3/8	3/8	2/4	2	1	ii7						D	I		ii7	ii		7						mm7	0	0	4, 1, 5, 2		4	4	2	2	0.5	0.16666666666666666	0.08333333333333333	0.6666666666666666
105	105	0	0	2/4	2	1	V7(13)						D	I		V7(13)	V		7	13					Mm7	0	0	3, 7, 4, 1	6	3	3	6	2	0.75	1.5	0.75	0.6666666666666666
106	106	0	0	2/4	2	1	I(4)}						D	I		I(4)	I			4				}	M	0	0	2, 1, 3		2	2	1	3	0.25	0.125	0.75	0.14285714285714285
106	106	1/8	1/8	2/4	2	1	I|PAC						D	I		I	I						PAC		M	0	0	2, 6, 3		2	2	3	1	0.75	0.5	0.125	0.8
107	107	0	0	4/4	2	1	I.I{						D	I		I	I							{	M	0	0	2, 6, 3		2	2	2	51	0.03773584905660377	0.16666666666666666	7.958333333333333	0.020512820512820513
110	110	0	0	4/4	2	1	I(+6)						D	I		I(+6)	I			+6					M	0	0	2, 6, 3	5	2	2	1	24	0.04	0.125	3.9375	0.03076923076923077
111	111	0	0	4/4	2	1	vi7					ii7/V	D	I		vi7	vi		7						mm7	0	0	5, 2, 6, 3		5	5	1	15	0.0625	0.125	2.375	0.05
111	111	1/2	1/2	4/4	2	1	V7(9)/V						D	I		V7(9)/V	V		7	9	V				Mm7	0	0	4, 8, 5, 2	6	4	4	1	15	0.0625	0.125	2.375	0.05
112	112	0	0	4/4	2	1	V(4)}						D	I		V(4)	V			4				}	M	0	0	3, 2, 4		3	3	0	5	0.0	0.0	1.25	0.0
112	112	1/4	1/4	4/4	2	1	V|HC						D	I		V	V						HC		M	0	0	3, 7, 4		3	3	1	14	0.06666666666666667	0.041666666666666664	1.8333333333333333	0.02222222222222222
113	113	0	0	4/4	2	1	IV						D	I		IV	IV								M	0	0	1, 5, 2		1	1	1	23	0.041666666666666664	0.125	3.625	0.03333333333333333
114	114	0	0	4/4	2	1	ii7(9)						D	I		ii7(9)	ii		7	9					mm7	0	0	4, 1, 5, 2	6	4	4	1	28	0.034482758620689655	0.125	4.625	0.02631578947368421
115	115	0	0	4/4	2	1	V7(9)						D	I		V7(9)	V		7	9					Mm7	0	0	3, 7, 4, 1	5	3	3	2	26	0.07142857142857142	0.25	4.25	0.05555555555555555
116	116	0	0	4/4	2	1	I(4)}						D	I		I(4)	I			4				}	M	0	0	2, 1, 3		2	2	0	5	0.0	0.0	1.25	0.0
116	116	1/4	1/4	4/4	2	1	I|PAC						D	I		I	I						PAC		M	0	0	2, 6, 3		2	2	2	67	0.028985507246376812	0.16666666666666666	10.208333333333334	0.01606425702811245
120	120	0	0	4/4	2	1	I(+6)						D	I		I(+6)	I			+6					M	0	0	2, 6, 3	5	2	2	1	24	0.04	0.125	3.9375	0.03076923076923077
121	121	0	0	4/4	2	1	vi7					ii7/V	D	I		vi7	vi		7						mm7	0	0	5, 2, 6, 3		5	5	1	15	0.0625	0.125	2.375	0.05
121	121	1/2	1/2	4/4	2	1	V7(9)/V						D	I		V7(9)/V	V		7	9	V				Mm7	0	0	4, 8, 5, 2	6	4	4	1	15	0.0625	0.125	2.375	0.05
122	122	0	0	4/4	2	1	V(4)}						D	I		V(4)	V			4				}	M	0	0	3, 2, 4		3	3	0	5	0.0	0.0	1.25	0.0
122	122	1/4	1/4	4/4	2	1	V|HC						D	I		V	V						HC		M	0	0	3, 7, 4		3	3	1	14	0.06666666666666667	0.041666666666666664	1.8333333333333333	0.02222222222222222
123	123	0	0	4/4	2	1	IV						D	I		IV	IV								M	0	0	1, 5, 2		1	1	1	23	0.041666666666666664	0.125	3.625	0.03333333333333333
124	124	0	0	4/4	2	1	ii7(9)						D	I		ii7(9)	ii		7	9					mm7	0	0	4, 1, 5, 2	6	4	4	1	28	0.034482758620689655	0.125	4.625	0.02631578947368421
125	125	0	0	4/4	2	1	V7(9)						D	I		V7(9)	V		7	9					Mm7	0	0	3, 7, 4, 1	5	3	3	2	26	0.07142857142857142	0.25	4.25	0.05555555555555555
126	126	0	0	4/4	2	1	I(4)}						D	I		I(4)	I			4				}	M	0	0	2, 1, 3		2	2	0	5	0.0	0.0	1.25	0.0
126	126	1/4	1/4	4/4	2	1	I|PAC						D	I		I	I						PAC		M	0	0	2, 6, 3		2	2	0	12	0.0	0.0	1.75	0.0
127	127	0	0	4/4	2	1	V.I{						D	V		I	I							{	M	0	0	3, 7, 4		3	3	1	18	0.05263157894736842	0.0625	2.9375	0.020833333333333332
128	128	1/4	1/4	4/4	2	1	I(9+64)						D	V		I(9+64)	I			9+64					M	0	0	3, 2, 4	5, 6	3	3	0	7	0.0	0.0	1.0	0.0
128	128	1/2	1/2	4/4	2	1	I						D	V		I	I								M	0	0	3, 7, 4		3	3	1	6	0.14285714285714285	0.0625	0.9375	0.0625
128	128	3/4	3/4	4/4	2	1	I(9+64)						D	V		I(9+64)	I			9+64					M	0	0	3, 2, 4	5, 6	3	3	0	7	0.0	0.0	1.0	0.0
129	129	0	0	4/4	2	1	vii%7						D	V		vii%7	vii	%	7						%7	0	0	8, 5, 2, 6		8	8	0	5	0.0	0.0	0.375	0.0
129	129	1/4	1/4	4/4	2	1	I						D	V		I	I								M	0	0	3, 7, 4		3	3	0	9	0.0	0.0	2.25	0.0
130	130	0	0	4/4	2	1	V+6					I64(b6)/bIII	D	V		V+6	V	+	6						+	0	0	8, 12, 4		4	8	11	7	0.6111111111111112	1.875	1.125	0.625
131	131	0	0	4/4	2	1	bIII/V.V(64)	0.107503	8.61687	0.177491	/	I64	D	bIII/V		V(64)	V			64					M	0	0	1, 0, 4		1	1	2	13	0.13333333333333333	0.25	1.5625	0.13793103448275862
131	131	1/2	1/2	4/4	2	1	V7						D	bIII/V		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1	2	13	0.13333333333333333	0.25	1.5625	0.13793103448275862
132	132	0	0	4/4	2	1	I(9)}						D	bIII/V		I(9)	I			9				}	M	0	0	0, 4, 1	2	0	0	0	7	0.0	0.0	1.0	0.0
132	132	1/4	1/4	4/4	2	1	I|PAC						D	bIII/V		I	I						PAC		M	0	0	0, 4, 1		0	0	1	22	0.043478260869565216	0.0625	3.4375	0.017857142857142856
133	133	1/4	1/4	4/4	2	1	I(9+64)						D	bIII/V		I(9+64)	I			9+64					M	0	0	0, -1, 1	2, 3	0	0	0	7	0.0	0.0	1.0	0.0
133	133	1/2	1/2	4/4	2	1	I						D	bIII/V		I	I								M	0	0	0, 4, 1		0	0	1	6	0.14285714285714285	0.0625	0.9375	0.0625
