mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
59	59	1/4	1/4	2/4	2	1	V43		e	i		V43		V		43						Mm7	1	1	6, 3, 5, 9		5	6	3	5	0.375	0.20833333333333334	0.7916666666666666	0.20833333333333334
60	60	0	0	2/4	2	1	i6		e	i		i6		i		6						m	1	1	1, 5, 4		4	1	3	6	0.3333333333333333	0.25	1.75	0.125
61	61	0	0	2/4	2	1	VI(4)		e	i		VI(4)		VI			4					M	1	1	0, 6, 1		0	0	1	7	0.125	0.5	2.25	0.18181818181818182
61	61	1/4	1/4	2/4	2	1	VI		e	i		VI		VI								M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	0.25	0.0
62	62	0	0	2/4	2	1	VI(4)		e	i		VI(4)		VI			4					M	1	1	0, 6, 1		0	0	1	5	0.16666666666666666	0.5	2.25	0.18181818181818182
62	62	1/4	1/4	2/4	2	1	VI		e	i		VI		VI								M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	0.25	0.0
63	63	0	0	2/4	2	1	V7(b5)/V	Fr6	e	i		V7(b5)/V		V		7	b5	V				Mm7	1	1	6, 10, 0, 4		6	6	0	33	0.0	0.0	9.0	0.0
66	66	0	0	2/4	2	1	V[V(6+4)	V[i64(#7)	e	i	V	V(6+4)		V			6+4					M	1	1	5, 9, 1	4	5	5	0	7	0.0	0.0	2.125	0.0
66	66	3/8	3/8	2/4	2	1	i%65		e	i		i%65		i	%	65						%7	1	1	1, -2, 2, 4		4	1	1	5	0.16666666666666666	0.5	0.875	0.36363636363636365
67	67	1/4	1/4	2/4	2	1	#vii%65		e	i		#vii%65		#vii	%	65						%7	1	1	6, 3, 7, 9		9	6	1	7	0.125	0.5	1.375	0.26666666666666666
68	68	1/8	1/8	2/4	2	1	vii%65		e	i		vii%65		vii	%	65						%7	1	1	-1, -4, 0, 2		2	-1	0	5	0.0	0.0	0.875	0.0
69	69	0	0	2/4	2	1	#vi%65	ii%65/V	e	i		#vi%65		#vi	%	65						%7	1	1	4, 1, 5, 7		7	4	0	5	0.0	0.0	1.25	0.0
69	69	1/4	1/4	2/4	2	1	VIM43		e	i		VIM43		VI	M	43						MM7	1	1	1, 5, 0, 4		0	1	1	3	0.25	0.125	0.625	0.16666666666666666
70	70	0	0	2/4	2	1	v6(4)		e	i		v6(4)		v		6	4					m	1	1	4, 6, 5		5	4	0	5	0.0	0.0	1.5	0.0
70	70	1/4	1/4	2/4	2	1	v6	iv6/ii	e	i		v6		v		6						m	1	1	2, 6, 5		5	2	0	2	0.0	0.0	0.5	0.0
71	71	0	0	2/4	2	1	V7/ii		e	i		V7/ii		V		7		ii				Mm7	1	1	7, 11, 8, 5		7	7	3	2	0.6	0.625	0.625	0.5
71	71	1/4	1/4	2/4	2	1	i6		e	i		i6		i		6						m	1	1	1, 5, 4		4	1	0	4	0.0	0.0	0.75	0.0
72	72	0	0	2/4	2	1	V43(4)		e	i		V43(4)		V		43	4					Mm7	1	1	6, 3, 5, 4		5	6	0	6	0.0	0.0	2.25	0.0
72	72	1/4	1/4	2/4	2	1	V43		e	i		V43		V		43						Mm7	1	1	6, 3, 5, 9		5	6	1	1	0.5	0.125	0.125	0.5
73	73	0	0	2/4	2	1	i|IAC}		e	i		i		i						IAC	}	m	1	1	4, 1, 5		4	4	0	9	0.0	0.0	2.5	0.0
74	74	0	0	2/4	2	1	i(9)		e	i		i(9)		i			9					m	1	1	4, 1, 5	6	4	4	2	6	0.25	0.16666666666666666	2.3333333333333335	0.06666666666666667
75	75	0	0	2/4	2	1	i		e	i		i		i								m	1	1	4, 1, 5		4	4	0	6	0.0	0.0	2.5	0.0
76	76	0	0	2/4	2	1	i(9)		e	i		i(9)		i			9					m	1	1	4, 1, 5	6	4	4	2	6	0.25	0.16666666666666666	2.3333333333333335	0.06666666666666667
77	77	0	0	2/4	2	1	i		e	i		i		i								m	1	1	4, 1, 5		4	4	0	6	0.0	0.0	2.0	0.0
77	77	1/4	1/4	2/4	2	1	i(9)		e	i		i(9)		i			9					m	1	1	4, 1, 5	6	4	4	2	2	0.5	0.16666666666666666	0.3333333333333333	0.3333333333333333
78	78	0	0	2/4	2	1	i		e	i		i		i								m	1	1	4, 1, 5		4	4	0	6	0.0	0.0	2.0	0.0
78	78	1/4	1/4	2/4	2	1	i(9)		e	i		i(9)		i			9					m	1	1	4, 1, 5	6	4	4	10	14	0.4166666666666667	0.8333333333333334	4.666666666666667	0.15151515151515152
81	81	0	0	2/4	2	1	i		e	i		i		i								m	1	1	4, 1, 5		4	4	0	18	0.0	0.0	9.0	0.0
85	85	0	0	2/4	2	1	V7(9)/VII{		e	i		V7(9)/VII		V		7	9	VII			{	Mm7	1	1	3, 7, 4, 1	5	3	3	0	22	0.0	0.0	7.0	0.0
87	87	1/4	1/4	2/4	2	1	V2/VII	ii7(2)	e	i		V2/VII		V		2		VII				Mm7	1	1	1, 3, 7, 4		3	1	0	10	0.0	0.0	3.25	0.0
88	88	1/4	1/4	2/4	2	1	ii7		e	i		ii7		ii		7						mm7	1	1	6, 3, 7, 4		6	6	0	2	0.0	0.0	0.5	0.0
89	89	1/4	1/4	2/4	2	1	i|PC}		e	i		i		i						PC	}	m	1	1	4, 1, 5		4	4	0	10	0.0	0.0	3.75	0.0
