mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
26	26	1/4	1/4	2/4	2	1	#vii%2/vi						C	V		#vii%2/vi	#vii	%	2		vi				%7	0	0	7, 9, 6, 3		9.0	7.0	1	5	0.16666666666666666	0.0625	0.5	0.1111111111111111
27	27	0	0	2/4	2	1	V						C	V		V	V								M	0	0	2, 6, 3		2.0	2.0	0	6	0.0	0.0	0.5625	0.0
27	27	1/4	1/4	2/4	2	1	#vii%7/vi						C	V		#vii%7/vi	#vii	%	7		vi				%7	0	0	9, 6, 3, 7		9.0	9.0	0	6	0.0	0.0	0.5625	0.0
28	28	0	0	2/4	2	1	vii%65}						C	V		vii%65	vii	%	65					}	%7	0	0	3, 0, 4, 6		6.0	3.0	1	11	0.08333333333333333	0.25	1.625	0.13333333333333333
29	29	0	0	2/4	2	1	V[V7{						C	V	V	V7	V		7					{	Mm7	0	0	2, 6, 3, 0		2.0	2.0	0	7	0.0	0.0	0.6875	0.0
29	29	1/4	1/4	2/4	2	1	IVM65						C	V		IVM65	IV	M	65						MM7	0	0	4, 1, 5, 0		0.0	4.0	1	4	0.2	0.0625	0.625	0.09090909090909091
30	30	0	0	2/4	2	1	V65						C	V		V65	V		65						Mm7	0	0	6, 3, 0, 2		2.0	6.0	0	5	0.0	0.0	0.6875	0.0
30	30	1/4	1/4	2/4	2	1	IVM65						C	V		IVM65	IV	M	65						MM7	0	0	4, 1, 5, 0		0.0	4.0	1	4	0.2	0.0625	0.625	0.09090909090909091
31	31	0	0	2/4	2	1	V7						C	V		V7	V		7						Mm7	0	0	2, 6, 3, 0		2.0	2.0	0	7	0.0	0.0	0.6875	0.0
31	31	1/4	1/4	2/4	2	1	IVM65						C	V		IVM65	IV	M	65						MM7	0	0	4, 1, 5, 0		0.0	4.0	1	6	0.14285714285714285	0.0625	0.625	0.09090909090909091
32	32	0	0	2/4	2	1	V65						C	V		V65	V		65						Mm7	0	0	6, 3, 0, 2		2.0	6.0	0	7	0.0	0.0	0.6875	0.0
32	32	1/4	1/4	2/4	2	1	IV6						C	V		IV6	IV		6						M	0	0	4, 1, 0		0.0	4.0	1	3	0.25	0.0625	0.6875	0.08333333333333333
33	33	0	0	2/4	2	1	V7						C	V		V7	V		7						Mm7	0	0	2, 6, 3, 0		2.0	2.0	1	7	0.125	0.0625	0.5625	0.1
33	33	1/4	1/4	2/4	2	1	IVM65						C	V		IVM65	IV	M	65						MM7	0	0	4, 1, 5, 0		0.0	4.0	1	4	0.2	0.0625	0.625	0.09090909090909091
34	34	0	0	2/4	2	1	V65						C	V		V65	V		65						Mm7	0	0	6, 3, 0, 2		2.0	6.0	1	7	0.125	0.0625	0.5625	0.1
34	34	1/4	1/4	2/4	2	1	IVM65						C	V		IVM65	IV	M	65						MM7	0	0	4, 1, 5, 0		0.0	4.0	1	4	0.2	0.0625	0.625	0.09090909090909091
35	35	0	0	2/4	2	1	V7						C	V		V7	V		7						Mm7	0	0	2, 6, 3, 0		2.0	2.0	1	7	0.125	0.0625	0.5625	0.1
35	35	1/4	1/4	2/4	2	1	IVM65						C	V		IVM65	IV	M	65						MM7	0	0	4, 1, 5, 0		0.0	4.0	2	6	0.25	0.125	0.5	0.2
36	36	0	0	2/4	2	1	V65						C	V		V65	V		65						Mm7	0	0	6, 3, 0, 2		2.0	6.0	1	7	0.125	0.0625	0.5625	0.1
36	36	1/4	1/4	2/4	2	1	V7]}						C	V		V7	V		7			]		}	Mm7	0	0	2, 6, 3, 0		2.0	2.0	1	7	0.125	0.0625	0.5625	0.1
37	37	0	0	2/4	2	1	I.V[V7{						C	I	V	V7	V		7					{	Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	7	0.0	0.0	0.6875	0.0
37	37	1/4	1/4	2/4	2	1	IVM65						C	I		IVM65	IV	M	65						MM7	0	0	3, 0, 4, -1		-1.0	3.0	1	4	0.2	0.0625	0.625	0.09090909090909091
38	38	0	0	2/4	2	1	V65						C	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1.0	5.0	0	5	0.0	0.0	0.6875	0.0
38	38	1/4	1/4	2/4	2	1	IVM65						C	I		IVM65	IV	M	65						MM7	0	0	3, 0, 4, -1		-1.0	3.0	1	4	0.2	0.0625	0.625	0.09090909090909091
39	39	0	0	2/4	2	1	V7						C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	7	0.0	0.0	0.6875	0.0
39	39	1/4	1/4	2/4	2	1	IVM65						C	I		IVM65	IV	M	65						MM7	0	0	3, 0, 4, -1		-1.0	3.0	1	6	0.14285714285714285	0.0625	0.625	0.09090909090909091
40	40	0	0	2/4	2	1	V65						C	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1.0	5.0	0	7	0.0	0.0	0.6875	0.0
40	40	1/4	1/4	2/4	2	1	IV6						C	I		IV6	IV		6						M	0	0	3, 0, -1		-1.0	3.0	1	3	0.25	0.0625	0.6875	0.08333333333333333
41	41	0	0	2/4	2	1	V7						C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	1	7	0.125	0.0625	0.5625	0.1
41	41	1/4	1/4	2/4	2	1	IVM65						C	I		IVM65	IV	M	65						MM7	0	0	3, 0, 4, -1		-1.0	3.0	1	4	0.2	0.0625	0.625	0.09090909090909091
42	42	0	0	2/4	2	1	V65						C	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1.0	5.0	1	7	0.125	0.0625	0.5625	0.1
42	42	1/4	1/4	2/4	2	1	IVM65						C	I		IVM65	IV	M	65						MM7	0	0	3, 0, 4, -1		-1.0	3.0	1	4	0.2	0.0625	0.625	0.09090909090909091
43	43	0	0	2/4	2	1	V7						C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	1	7	0.125	0.0625	0.5625	0.1
43	43	1/4	1/4	2/4	2	1	IVM65						C	I		IVM65	IV	M	65						MM7	0	0	3, 0, 4, -1		-1.0	3.0	2	6	0.25	0.125	0.5	0.2
44	44	0	0	2/4	2	1	V65						C	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1.0	5.0	1	7	0.125	0.0625	0.5625	0.1
44	44	1/4	1/4	2/4	2	1	IV6						C	I		IV6	IV		6						M	0	0	3, 0, -1		-1.0	3.0	2	6	0.25	0.125	0.5	0.2
45	45	0	0	2/4	2	1	V7]						C	I		V7	V		7			]			Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	7	0.0	0.0	0.9375	0.0
45	45	1/4	1/4	2/4	2	1	V						C	I		V	V								M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	0.5	0.0
46	46	0	0	2/4	2	1	V(9)					ii	C	I		V(9)	V			9					M	0	0	1, 5, 2	3	1.0	1.0	0	4	0.0	0.0	0.5	0.0
46	46	1/4	1/4	2/4	2	1	V						C	I		V	V								M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	0.5	0.0
47	47	0	0	2/4	2	1	V7						C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	7	0.0	0.0	0.9375	0.0
47	47	1/4	1/4	2/4	2	1	V						C	I		V	V								M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	0.5	0.0
48	48	0	0	2/4	2	1	V(9)					ii	C	I		V(9)	V			9					M	0	0	1, 5, 2	3	1.0	1.0	0	4	0.0	0.0	0.5	0.0
48	48	1/4	1/4	2/4	2	1	V						C	I		V	V								M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	0.5	0.0
49	49	0	0	2/4	2	1	V7						C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	7	0.0	0.0	0.9375	0.0
49	49	1/4	1/4	2/4	2	1	V(9)					ii	C	I		V(9)	V			9					M	0	0	1, 5, 2	3	1.0	1.0	0	4	0.0	0.0	0.5	0.0
50	50	0	0	2/4	2	1	V7						C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	7	0.0	0.0	0.9375	0.0
50	50	1/4	1/4	2/4	2	1	V(9)					ii	C	I		V(9)	V			9					M	0	0	1, 5, 2	3	1.0	1.0	0	4	0.0	0.0	0.5	0.0
51	51	0	0	2/4	2	1	V7						C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	7	0.0	0.0	0.9375	0.0
51	51	1/4	1/4	2/4	2	1	V(9)					ii	C	I		V(9)	V			9					M	0	0	1, 5, 2	3	1.0	1.0	0	4	0.0	0.0	0.5	0.0
52	52	0	0	2/4	2	1	V7						C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	7	0.0	0.0	0.9375	0.0
52	52	1/4	1/4	2/4	2	1	V(9)					ii	C	I		V(9)	V			9					M	0	0	1, 5, 2	3	1.0	1.0	0	4	0.0	0.0	0.5	0.0
53	53	0	0	2/4	2	1	V7						C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	7	0.0	0.0	0.9375	0.0
53	53	1/4	1/4	2/4	2	1	V7(b5)					bII	C	I		V7(b5)	V		7	b5					Mm7	0	0	1, 5, -5, -1		1.0	1.0	0	2	0.0	0.0	0.5	0.0
54	54	0	0	2/4	2	1	V7						C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	7	0.0	0.0	0.9375	0.0
54	54	1/4	1/4	2/4	2	1	V7(b5)					bII	C	I		V7(b5)	V		7	b5					Mm7	0	0	1, 5, -5, -1		1.0	1.0	0	2	0.0	0.0	0.5	0.0
55	55	0	0	2/4	2	1	V7						C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	7	0.0	0.0	0.9375	0.0
55	55	1/4	1/4	2/4	2	1	V7(b5)					bII	C	I		V7(b5)	V		7	b5					Mm7	0	0	1, 5, -5, -1		1.0	1.0	0	2	0.0	0.0	0.5	0.0
56	56	0	0	2/4	2	1	V7						C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	7	0.0	0.0	0.9375	0.0
56	56	1/4	1/4	2/4	2	1	V7(b5)					bII	C	I		V7(b5)	V		7	b5					Mm7	0	0	1, 5, -5, -1		1.0	1.0	0	2	0.0	0.0	0.5	0.0
57	57	0	0	2/4	2	1	V7						C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	0	7	0.0	0.0	0.9375	0.0
57	57	1/4	1/4	2/4	2	1	V7(b5)}					bII}	C	I		V7(b5)	V		7	b5				}	Mm7	0	0	1, 5, -5, -1		1.0	1.0	16	29	0.35555555555555557	0.14814814814814814	4.601851851851852	0.031189083820662766
61	61	0	0	2/4	2	1	I[IV6{						C	I	I	IV6	IV		6					{	M	0	0	3, 0, -1		-1.0	3.0	0	10	0.0	0.0	1.0	0.0
61	61	1/4	1/4	2/4	2	1	ii6						C	I		ii6	ii		6						m	0	0	-1, 3, 2		2.0	-1.0	2	6	0.25	0.25	0.75	0.25
62	62	0	0	2/4	2	1	iii6						C	I		iii6	iii		6						m	0	0	1, 5, 4		4.0	1.0	2	8	0.2	0.25	0.75	0.25
62	62	1/4	1/4	2/4	2	1	I6						C	I		I6	I		6						M	0	0	4, 1, 0		0.0	4.0	0	8	0.0	0.0	1.0	0.0
63	63	0	0	2/4	2	1	ii6						C	I		ii6	ii		6						m	0	0	-1, 3, 2		2.0	-1.0	2	8	0.2	0.25	0.75	0.25
63	63	1/4	1/4	2/4	2	1	vi6						C	I		vi6	vi		6						m	0	0	0, 4, 3		3.0	0.0	0	10	0.0	0.0	1.0	0.0
64	64	0	0	2/4	2	1	viio6						C	I		viio6	vii	o	6						o	0	0	2, -1, 5		5.0	2.0	2	8	0.2	0.25	0.75	0.25
64	64	1/4	1/4	2/4	2	1	I6						C	I		I6	I		6						M	0	0	4, 1, 0		0.0	4.0	0	8	0.0	0.0	1.0	0.0
65	65	0	0	2/4	2	1	IV6						C	I		IV6	IV		6						M	0	0	3, 0, -1		-1.0	3.0	0	12	0.0	0.0	1.0	0.0
65	65	1/4	1/4	2/4	2	1	ii6						C	I		ii6	ii		6						m	0	0	-1, 3, 2		2.0	-1.0	2	6	0.25	0.25	0.75	0.25
66	66	0	0	2/4	2	1	iii6						C	I		iii6	iii		6						m	0	0	1, 5, 4		4.0	1.0	2	10	0.16666666666666666	0.25	0.75	0.25
66	66	1/4	1/4	2/4	2	1	I6						C	I		I6	I		6						M	0	0	4, 1, 0		0.0	4.0	0	8	0.0	0.0	1.0	0.0
67	67	0	0	2/4	2	1	ii6						C	I		ii6	ii		6						m	0	0	-1, 3, 2		2.0	-1.0	2	10	0.16666666666666666	0.25	0.75	0.25
67	67	1/4	1/4	2/4	2	1	vi6						C	I		vi6	vi		6						m	0	0	0, 4, 3		3.0	0.0	0	12	0.0	0.0	1.0	0.0
68	68	0	0	2/4	2	1	viio6						C	I		viio6	vii	o	6						o	0	0	2, -1, 5		5.0	2.0	2	10	0.16666666666666666	0.25	0.75	0.25
68	68	1/4	1/4	2/4	2	1	I6]}						C	I		I6	I		6			]		}	M	0	0	4, 1, 0		0.0	4.0	0	6	0.0	0.0	1.0	0.0
69	69	0	0	2/4	2	1	IV.I[V7{						C	IV	I	V7	V		7					{	Mm7	0	0	0, 4, 1, -2		0.0	0.0	5	9	0.35714285714285715	0.3125	1.1875	0.20833333333333334
70	70	0	0	2/4	2	1	I						C	IV		I	I								M	0	0	-1, 3, 0		-1.0	-1.0	1	7	0.125	0.0625	0.6875	0.08333333333333333
70	70	1/4	1/4	2/4	2	1	vi65					I(+6)	C	IV		vi65	vi		65						mm7	0	0	-1, 3, 0, 2		2.0	-1.0	0	6	0.0	0.0	0.75	0.0
71	71	0	0	2/4	2	1	V7						C	IV		V7	V		7						Mm7	0	0	0, 4, 1, -2		0.0	0.0	2	6	0.25	0.125	0.625	0.16666666666666666
71	71	1/4	1/4	2/4	2	1	V7(9)						C	IV		V7(9)	V		7	9					Mm7	0	0	0, 4, 1, -2	2	0.0	0.0	3	5	0.375	0.1875	0.5625	0.25
72	72	0	0	2/4	2	1	V7						C	IV		V7	V		7						Mm7	0	0	0, 4, 1, -2		0.0	0.0	1	7	0.125	0.0625	0.6875	0.08333333333333333
72	72	1/4	1/4	2/4	2	1	I]|PAC}						C	IV		I	I					]	PAC	}	M	0	0	-1, 3, 0		-1.0	-1.0	0	5	0.0	0.0	0.5625	0.0
73	73	0	0	2/4	2	1	I.I[V7{						C	I	I	V7	V		7					{	Mm7	0	0	1, 5, 2, -1		1.0	1.0	5	9	0.35714285714285715	0.3125	1.1875	0.20833333333333334
74	74	0	0	2/4	2	1	I						C	I		I	I								M	0	0	0, 4, 1		0.0	0.0	1	7	0.125	0.0625	0.6875	0.08333333333333333
74	74	1/4	1/4	2/4	2	1	vi65					I(+6)	C	I		vi65	vi		65						mm7	0	0	0, 4, 1, 3		3.0	0.0	0	6	0.0	0.0	0.75	0.0
75	75	0	0	2/4	2	1	V7						C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	2	6	0.25	0.125	0.625	0.16666666666666666
75	75	1/4	1/4	2/4	2	1	V7(9)						C	I		V7(9)	V		7	9					Mm7	0	0	1, 5, 2, -1	3	1.0	1.0	3	5	0.375	0.1875	0.5625	0.25
76	76	0	0	2/4	2	1	V7						C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	1	7	0.125	0.0625	0.6875	0.08333333333333333
76	76	1/4	1/4	2/4	2	1	I]|PAC}						C	I		I	I					]	PAC	}	M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
77	77	0	0	2/4	2	1	IV.I[V7{						C	IV	I	V7	V		7					{	Mm7	0	0	0, 4, 1, -2		0.0	0.0	7	9	0.4375	0.4375	1.0625	0.2916666666666667
78	78	0	0	2/4	2	1	I						C	IV		I	I								M	0	0	-1, 3, 0		-1.0	-1.0	2	8	0.2	0.125	0.625	0.16666666666666666
78	78	1/4	1/4	2/4	2	1	vi65					I(+6)	C	IV		vi65	vi		65						mm7	0	0	-1, 3, 0, 2		2.0	-1.0	0	6	0.0	0.0	0.75	0.0
79	79	0	0	2/4	2	1	V7						C	IV		V7	V		7						Mm7	0	0	0, 4, 1, -2		0.0	0.0	3	7	0.3	0.1875	0.5625	0.25
79	79	1/4	1/4	2/4	2	1	V7(9)						C	IV		V7(9)	V		7	9					Mm7	0	0	0, 4, 1, -2	2	0.0	0.0	5	5	0.5	0.3125	0.4375	0.4166666666666667
80	80	0	0	2/4	2	1	V7						C	IV		V7	V		7						Mm7	0	0	0, 4, 1, -2		0.0	0.0	1	9	0.1	0.0625	0.6875	0.08333333333333333
80	80	1/4	1/4	2/4	2	1	I]|PAC}						C	IV		I	I					]	PAC	}	M	0	0	-1, 3, 0		-1.0	-1.0	0	5	0.0	0.0	0.5625	0.0
81	81	0	0	2/4	2	1	I.I[V7{						C	I	I	V7	V		7					{	Mm7	0	0	1, 5, 2, -1		1.0	1.0	8	9	0.47058823529411764	0.5	1.0625	0.32
82	82	0	0	2/4	2	1	I						C	I		I	I								M	0	0	0, 4, 1		0.0	0.0	2	8	0.2	0.125	0.625	0.16666666666666666
82	82	1/4	1/4	2/4	2	1	vi65					I(+6)	C	I		vi65	vi		65						mm7	0	0	0, 4, 1, 3		3.0	0.0	0	6	0.0	0.0	0.75	0.0
83	83	0	0	2/4	2	1	V7						C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	3	7	0.3	0.1875	0.5625	0.25
83	83	1/4	1/4	2/4	2	1	V7(9)						C	I		V7(9)	V		7	9					Mm7	0	0	1, 5, 2, -1	3	1.0	1.0	5	5	0.5	0.3125	0.4375	0.4166666666666667
84	84	0	0	2/4	2	1	V7				1.0		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	1	9	0.1	0.0625	0.6875	0.08333333333333333
84	84	1/4	1/4	2/4	2	1	I]|PAC}				1.0		C	I		I	I					]	PAC	}	M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
85	84	0	0	2/4	2	1	V7|HC}				2.0		C	I		V7	V		7				HC	}	Mm7	0	0	1, 5, 2, -1		1.0	1.0	8	24	0.25	0.5	2.5	0.16666666666666666
90	89	0	0	2/4	2	1	V{						C	I		V	V							{	M	0	0	1, 5, 2		1.0	1.0	2	4	0.3333333333333333	0.125	0.375	0.25
90	89	1/4	1/4	2/4	2	1	I						C	I		I	I								M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
91	90	0	0	2/4	2	1	V/VII						C	I		V/VII	V				VII				M	0	0	6, 10, 7		6.0	6.0	2	2	0.5	0.125	0.375	0.25
91	90	1/4	1/4	2/4	2	1	VII						C	I		VII	VII								M	0	0	5, 9, 6		5.0	5.0	0	4	0.0	0.0	0.5	0.0
92	91	0	0	2/4	2	1	V/bVII						C	I		V/bVII	V				bVII				M	0	0	-1, 3, 0		-1.0	-1.0	2	4	0.3333333333333333	0.125	0.375	0.25
92	91	1/4	1/4	2/4	2	1	bVII						C	I		bVII	bVII								M	0	0	-2, 2, -1		-2.0	-2.0	0	4	0.0	0.0	0.5	0.0
93	92	0	0	2/4	2	1	V/VI						C	I		V/VI	V				VI				M	0	0	4, 8, 5		4.0	4.0	2	2	0.5	0.125	0.375	0.25
93	92	1/4	1/4	2/4	2	1	VI						C	I		VI	VI								M	0	0	3, 7, 4		3.0	3.0	0	4	0.0	0.0	0.5	0.0
94	93	0	0	2/4	2	1	V/bVI						C	I		V/bVI	V				bVI				M	0	0	-3, 1, -2		-3.0	-3.0	2	4	0.3333333333333333	0.125	0.375	0.25
94	93	1/4	1/4	2/4	2	1	bVI						C	I		bVI	bVI								M	0	0	-4, 0, -3		-4.0	-4.0	0	4	0.0	0.0	0.5	0.0
95	94	0	0	2/4	2	1	V/V						C	I		V/V	V				V				M	0	0	2, 6, 3		2.0	2.0	2	4	0.3333333333333333	0.125	0.375	0.25
95	94	1/4	1/4	2/4	2	1	V						C	I		V	V								M	0	0	1, 5, 2		1.0	1.0	4	26	0.13333333333333333	0.25	2.25	0.1
98	97	1/4	1/4	2/4	2	2	I|PAC}						C	I		I	I						PAC	}	M	0	0	0, 4, 1		0.0	0.0	0	12	0.0	0.0	4.5	0.0
