mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
60	60	1/4	1/4	3/4	2	1	V65/II	1.06422	3.0439		/	V65/V/V	e	i		V65/II		V		65		II			Mm7	1	1	11, 8, 5, 7		7.0	11.0	0	4	0.0	0.0	0.75	0.0
60	60	1/2	1/2	3/4	2	1	IIM7	-0.304064	3.34797		/	V(#7)/V	e	i		IIM7		II	M	7					MM7	1	1	6, 10, 7, 11		6.0	6.0	1	4	0.2	0.125	1.375	0.08333333333333333
61	61	1/4	1/4	3/4	2	1	II	1.21626	3.02476		/	V/V	e	i		II		II							M	1	1	6, 10, 7		6.0	6.0	1	12	0.07692307692307693	0.125	3.375	0.03571428571428571
63	63	1/4	1/4	3/4	2	1	ii7						e	i		ii7		ii		7					mm7	1	1	6, 3, 7, 4		6.0	6.0	0	4	0.0	0.0	0.75	0.0
63	63	1/2	1/2	3/4	2	1	#viio7/ii	-1	-6		/		e	i		#viio7/ii		#vii	o	7		ii			o7	1	1	11, 8, 5, 2		11.0	11.0	1	3	0.25	0.125	0.625	0.16666666666666666
64	64	0	0	3/4	2	1	ii						e	i		ii		ii							m	1	1	6, 3, 7		6.0	6.0	1	3	0.25	0.125	0.625	0.16666666666666666
64	64	1/4	1/4	3/4	2	1	V65/ii						e	i		V65/ii		V		65		ii			Mm7	1	1	11, 8, 5, 7		7.0	11.0	1	3	0.25	0.125	0.625	0.16666666666666666
64	64	1/2	1/2	3/4	2	1	ii7						e	i		ii7		ii		7					mm7	1	1	6, 3, 7, 4		6.0	6.0	1	3	0.25	0.125	0.625	0.16666666666666666
65	65	0	0	3/4	2	1	ii						e	i		ii		ii							m	1	1	6, 3, 7		6.0	6.0	0	12	0.0	0.0	4.0	0.0
67	67	0	0	3/4	2	1	V65/III						e	i		V65/III		V		65		III			Mm7	1	1	6, 3, 0, 2		2.0	6.0	0	12	0.0	0.0	4.0	0.0
69	69	0	0	3/4	2	1	V43						e	i		V43		V		43					Mm7	1	1	6, 3, 5, 9		5.0	6.0	2	14	0.125	0.0	4.75	0.0
71	71	1/4	1/4	3/4	2	1	Fr6/iv					V43(b5)	e	i		Fr6/iv	Fr	V		43	b5	V/iv			Fr	1	1	-1, 3, 5, 9		5.0	-1.0	1	12	0.07692307692307693	0.0	3.25	0.0
73	73	0	0	3/4	2	1	iv{						e	i		iv		iv						{	m	1	1	3, 0, 4		3.0	3.0	0	11	0.0	0.0	3.0	0.0
74	74	1/4	1/4	3/4	2	1	iv(+#4)						e	i		iv(+#4)		iv			+#4				m	1	1	3, 0, 4	9	3.0	3.0	0	5	0.0	0.0	0.875	0.0
74	74	1/2	1/2	3/4	2	1	IV						e	i		IV		IV							M	1	1	3, 7, 4		3.0	3.0	0	3	0.0	0.0	0.625	0.0
75	75	0	0	3/4	2	1	i6(#7)						e	i		i6(#7)		i		6	#7				m	1	1	1, 5, 9		4.0	1.0	4	8	0.3333333333333333	1.0	2.0	0.3333333333333333
76	76	1/4	1/4	3/4	2	1	i6(#6)						e	i		i6(#6)		i		6	#6				m	1	1	1, 5, 4	7	4.0	1.0	1	4	0.2	0.0	0.875	0.0
76	76	1/2	1/2	3/4	2	1	i6						e	i		i6		i		6					m	1	1	1, 5, 4		4.0	1.0	0	3	0.0	0.0	0.625	0.0
77	77	0	0	3/4	2	1	V43(#9)						e	i		V43(#9)		V		43	#9				Mm7	1	1	6, 3, 5, 9	7	5.0	6.0	2	19	0.09523809523809523	0.25	4.25	0.05555555555555555
79	79	0	0	3/4	2	1	i|IAC}						e	i		i		i					IAC	}	m	1	1	4, 1, 5		4.0	4.0	0	14	0.0	0.0	4.25	0.0
81	81	0	0	3/4	2	1	iv/v{						e	i		iv/v		iv				v		{	m	1	1	4, 1, 5		4.0	4.0	0	11	0.0	0.0	3.0	0.0
82	82	1/4	1/4	3/4	2	1	iv(+#4)/v						e	i		iv(+#4)/v		iv			+#4	v			m	1	1	4, 1, 5	10	4.0	4.0	0	5	0.0	0.0	0.875	0.0
82	82	1/2	1/2	3/4	2	1	IV/v						e	i		IV/v		IV				v			M	1	1	4, 8, 5		4.0	4.0	0	3	0.0	0.0	0.625	0.0
83	83	0	0	3/4	2	1	i6(#7)/v						e	i		i6(#7)/v		i		6	#7	v			m	1	1	2, 6, 10		5.0	2.0	4	8	0.3333333333333333	1.0	2.0	0.3333333333333333
84	84	1/4	1/4	3/4	2	1	i6/v						e	i		i6/v		i		6		v			m	1	1	2, 6, 5		5.0	2.0	3	5	0.375	0.375	1.125	0.25
85	85	0	0	3/4	2	1	V43(#9)/V						e	i		V43(#9)/V		V		43	#9	V			Mm7	1	1	7, 4, 6, 10	15	6.0	7.0	6	15	0.2857142857142857	1.125	3.375	0.25
87	87	0	0	3/4	2	1	I/V|HC}						e	i		I/V		I				V	HC	}	M	1	1	5, 9, 6		5.0	5.0	0	14	0.0	0.0	4.5	0.0
89	89	0	0	3/4	2	1	ii%43{						e	i		ii%43		ii	%	43				{	%7	1	1	0, 4, 6, 3		6.0	0.0	5	15	0.25	0.625	3.625	0.14705882352941177
91	91	1/4	1/4	3/4	2	1	V(13)						e	i		V(13)		V			13				M	1	1	5, 9, 6	1	5.0	5.0	0	13	0.0	0.0	3.0	0.0
