mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
101	101	302	302	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		11	65	E#4	4	544
101	101	302	302	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		5	71	B4	4	544
102	102	303	303	1.0	0	0	3/4	2	1	1/4		1/4	1		6	54	F#3	3	547
102	102	303	303	2.0	0	0	3/4	1	1	1/2		1/2	1		4	76	E5	5	545
102	102	303	303	2.0	0	0	3/4	1	1	1/2		1/2	1		10	82	A#5	5	545
102	102	303	303	2.0	0	0	3/4	1	1	1/2		1/2	1		2	86	D6	6	545
102	102	303	303	2.0	0	0	3/4	1	1	1/2		1/2	1		4	88	E6	6	545
102	102	304	304	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		7	61	C#4	4	548
102	102	304	304	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		10	70	A#4	4	548
102	102	305	305	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64	E4	4	549
102	102	305	305	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		7	73	C#5	5	549
102	102	305	305	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	4	76	E5	5	546
102	102	305	305	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	10	82	A#5	5	546
102	102	305	305	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	7	85	C#6	6	546
102	102	305	305	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	4	88	E6	6	546
103	103	306	306	1.0	0	0	3/4	2	1	1/4		1/4	1		6	54	F#3	3	555
103	103	306	306	1.0	0	0	3/4	1	1	1/4		1/4	1	-1	4	76	E5	5	550
103	103	306	306	1.0	0	0	3/4	1	1	1/4		1/4	1	-1	10	82	A#5	5	550
103	103	306	306	1.0	0	0	3/4	1	1	1/4		1/4	1	-1	7	85	C#6	6	550
103	103	306	306	1.0	0	0	3/4	1	1	1/4		1/4	1	-1	4	88	E6	6	550
103	103	307	307	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		7	61	C#4	4	556
103	103	307	307	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		10	70	A#4	4	556
103	103	307	307	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		5	83	B5	5	551
103	103	307	307	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		2	86	D6	6	551
103	103	615/2	615/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		7	85	C#6	6	552
103	103	615/2	615/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		4	88	E6	6	552
103	103	308	308	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64	E4	4	557
103	103	308	308	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		7	73	C#5	5	557
103	103	308	308	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		5	83	B5	5	553
103	103	308	308	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		2	86	D6	6	553
103	103	617/2	617/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		10	82	A#5	5	554
103	103	617/2	617/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		7	85	C#6	6	554
104	104	309	309	1.0	0	0	3/4	2	1	1/4		1/4	1		-1	53	F3	3	560
104	104	309	309	2.0	0	0	3/4	1	1	1/2		1/2	1		-1	77	F5	5	558
104	104	309	309	2.0	0	0	3/4	1	1	1/2		1/2	1		-2	82	Bb5	5	558
104	104	309	309	2.0	0	0	3/4	1	1	1/2		1/2	1		-3	87	Eb6	6	558
104	104	309	309	2.0	0	0	3/4	1	1	1/2		1/2	1		-1	89	F6	6	558
104	104	310	310	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	561
104	104	310	310	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-2	70	Bb4	4	561
104	104	311	311	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	65	F4	4	562
104	104	311	311	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	74	D5	5	562
104	104	311	311	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	-1	77	F5	5	559
104	104	311	311	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	-2	82	Bb5	5	559
104	104	311	311	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	2	86	D6	6	559
104	104	311	311	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	-1	89	F6	6	559
105	105	312	312	1.0	0	0	3/4	2	1	1/4		1/4	1		-1	53	F3	3	568
105	105	312	312	1.0	0	0	3/4	1	1	1/4		1/4	1	-1	-1	77	F5	5	563
105	105	312	312	1.0	0	0	3/4	1	1	1/4		1/4	1	-1	-2	82	Bb5	5	563
105	105	312	312	1.0	0	0	3/4	1	1	1/4		1/4	1	-1	2	86	D6	6	563
105	105	312	312	1.0	0	0	3/4	1	1	1/4		1/4	1	-1	-1	89	F6	6	563
105	105	313	313	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	569
