mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
8	8	63/4	63/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		1	67	G4	4	45
9	9	16	16	0.75		0	0	2/4	2	1	3/16		1/8	3/2		1	43	G2	2	56
9	9	16	16	0.25		0	0	2/4	1	1	1/16		1/16	1		2	62	D4	4	50
9	9	16	16	0.25		0	0	2/4	1	1	1/16		1/16	1		-1	65	F4	4	50
9	9	65/4	65/4	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		1	67	G4	4	51
9	9	33/2	33/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		-1	65	F4	4	52
9	9	67/4	67/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		0	36	C2	2	57
9	9	67/4	67/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		3	69	A4	4	53
9	9	17	17	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		1	43	G2	2	58
9	9	17	17	0.75		1/4	1/4	2/4	1	1	3/16		1/8	3/2		5	59	B3	3	54
9	9	17	17	0.75		1/4	1/4	2/4	1	1	3/16		1/8	3/2		2	62	D4	4	54
9	9	71/4	71/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		0	36	C2	2	59
9	9	71/4	71/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		-1	65	F4	4	55
10	10	18	18	0.75		0	0	2/4	2	1	3/16		1/8	3/2		1	43	G2	2	66
10	10	18	18	0.25		0	0	2/4	1	1	1/16		1/16	1		0	60	C4	4	60
10	10	18	18	0.25		0	0	2/4	1	1	1/16		1/16	1		4	64	E4	4	60
10	10	73/4	73/4	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		-1	65	F4	4	61
10	10	37/2	37/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		4	64	E4	4	62
10	10	75/4	75/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		0	36	C2	2	67
10	10	75/4	75/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		1	67	G4	4	63
10	10	19	19	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		1	43	G2	2	68
10	10	19	19	0.75		1/4	1/4	2/4	1	1	3/16		1/8	3/2		3	57	A3	3	64
10	10	19	19	0.75		1/4	1/4	2/4	1	1	3/16		1/8	3/2		0	60	C4	4	64
10	10	79/4	79/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		0	36	C2	2	69
10	10	79/4	79/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		4	64	E4	4	65
11	11	20	20	0.75		0	0	2/4	2	1	3/16		1/8	3/2		1	43	G2	2	78
11	11	20	20	0.25		0	0	2/4	1	1	1/16		1/16	1		5	59	B3	3	70
11	11	20	20	0.25		0	0	2/4	1	1	1/16		1/16	1		2	62	D4	4	70
11	11	81/4	81/4	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		4	64	E4	4	71
11	11	41/2	41/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		2	62	D4	4	72
11	11	83/4	83/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		0	36	C2	2	79
11	11	83/4	83/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		-1	65	F4	4	73
11	11	21	21	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		1	43	G2	2	80
11	11	21	21	0.25		1/4	1/4	2/4	1	1	1/16		1/16	1		-1	53	F3	3	74
11	11	21	21	0.25		1/4	1/4	2/4	1	1	1/16		1/16	1		3	57	A3	3	74
11	11	85/4	85/4	0.25		5/16	5/16	2/4	1	1	1/16		1/16	1		5	59	B3	3	75
11	11	43/2	43/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		3	57	A3	3	76
11	11	87/4	87/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		0	36	C2	2	81
11	11	87/4	87/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		0	60	C4	4	77
12	12	22	22	0.75		0	0	2/4	2	1	3/16		1/8	3/2		1	43	G2	2	87
12	12	22	22	0.25		0	0	2/4	1	1	1/16		1/16	1		1	55	G3	3	82
12	12	22	22	0.25		0	0	2/4	1	1	1/16		1/16	1		5	59	B3	3	82
12	12	89/4	89/4	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		0	60	C4	4	83
12	12	45/2	45/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		5	59	B3	3	84
12	12	91/4	91/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		0	36	C2	2	88
12	12	91/4	91/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		2	62	D4	4	85
12	12	23	23	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		1	43	G2	2	89
12	12	23	23	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		4	52	E3	3	86
12	12	23	23	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		0	60	C4	4	86
12	12	95/4	95/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		0	36	C2	2	90
13	13	24	24	0.5		0	0	2/4	2	1	1/8		1/8	1		1	43	G2	2	96
13	13	24	24	0.5		0	0	2/4	1	1	1/8		1/8	1		1	55	G3	3	91
13	13	49/2	49/2	0.25		1/8	1/8	2/4	2	1	1/16		1/16	1		1	43	G2	2	97
13	13	49/2	49/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		1	55	G3	3	92
13	13	99/4	99/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		2	50	D3	3	98
13	13	99/4	99/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		2	62	D4	4	93
13	13	25	25	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		2	38	D2	2	99
13	13	25	25	0.75		1/4	1/4	2/4	1	1	3/16		1/8	3/2		2	50	D3	3	94
13	13	103/4	103/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		2	50	D3	3	100
13	13	103/4	103/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		2	62	D4	4	95
14	14	26	26	0.75		0	0	2/4	2	1	3/16		1/8	3/2		3	45	A2	2	104
14	14	26	26	0.75		0	0	2/4	1	1	3/16		1/8	3/2		3	57	A3	3	101
14	14	107/4	107/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		2	50	D3	3	105
14	14	107/4	107/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		2	62	D4	4	102
14	14	27	27	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		2	38	D2	2	106
14	14	27	27	1.0		1/4	1/4	2/4	1	1	1/4		1/4	1		2	50	D3	3	103
15	15	28	28	0.75		0	0	2/4	2	1	3/16		1/8	3/2		1	43	G2	2	113
15	15	28	28	0.75		0	0	2/4	2	1	3/16		1/8	3/2		2	50	D3	3	113
15	15	28	28	0.5		0	0	2/4	1	1	1/8		1/8	1		5	71	B4	4	107
15	15	28	28	0.5		0	0	2/4	1	1	1/8		1/8	1		2	74	D5	5	107
15	15	57/2	57/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		5	71	B4	4	108
15	15	57/2	57/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		2	74	D5	5	108
15	15	115/4	115/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		2	38	D2	2	114
15	15	115/4	115/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		1	79	G5	5	109
15	15	115/4	115/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		5	83	B5	5	109
15	15	29	29	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		1	43	G2	2	115
15	15	29	29	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		2	50	D3	3	115
15	15	29	29	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		0	72	C5	5	110
15	15	29	29	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		4	76	E5	5	110
15	15	59/2	59/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		0	72	C5	5	111
15	15	59/2	59/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		4	76	E5	5	111
15	15	119/4	119/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		2	38	D2	2	116
15	15	119/4	119/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		1	79	G5	5	112
15	15	119/4	119/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		5	83	B5	5	112
16	16	30	30	0.75		0	0	2/4	2	1	3/16		1/8	3/2		1	43	G2	2	120
16	16	30	30	0.75		0	0	2/4	2	1	3/16		1/8	3/2		2	50	D3	3	120
16	16	30	30	0.5		0	0	2/4	1	1	1/8		1/8	1		5	71	B4	4	117
16	16	30	30	0.5		0	0	2/4	1	1	1/8		1/8	1		2	74	D5	5	117
16	16	61/2	61/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		5	83	B5	5	118
16	16	61/2	61/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		1	91	G6	6	118
16	16	123/4	123/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		2	38	D2	2	121
16	16	31	31	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		1	43	G2	2	122
16	16	31	31	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		2	50	D3	3	122
16	16	31	31	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		1	55	G3	3	119
16	16	31	31	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		2	62	D4	4	119
16	16	127/4	127/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		2	38	D2	2	123
17	17	32	32	0.5		0	0	2/4	2	1	1/8		1/8	1		2	38	D2	2	129
17	17	32	32	0.5		0	0	2/4	1	1	1/8		1/8	1		2	62	D4	4	124
17	17	65/2	65/2	0.25		1/8	1/8	2/4	2	1	1/16		1/16	1		2	38	D2	2	130
17	17	65/2	65/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		2	62	D4	4	125
17	17	131/4	131/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		3	45	A2	2	131
17	17	131/4	131/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		3	69	A4	4	126
17	17	33	33	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		3	33	A1	1	132
17	17	33	33	0.75		1/4	1/4	2/4	1	1	3/16		1/8	3/2		3	57	A3	3	127
17	17	135/4	135/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		3	45	A2	2	133
17	17	135/4	135/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		3	69	A4	4	128
18	18	34	34	0.75		0	0	2/4	2	1	3/16		1/8	3/2		4	40	E2	2	137
18	18	34	34	0.75		0	0	2/4	1	1	3/16		1/8	3/2		4	64	E4	4	134
18	18	139/4	139/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		3	45	A2	2	138
18	18	139/4	139/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		3	69	A4	4	135
18	18	35	35	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		3	33	A1	1	139
18	18	35	35	1.0		1/4	1/4	2/4	1	1	1/4		1/4	1		3	57	A3	3	136
19	19	36	36	0.75		0	0	2/4	2	1	3/16		1/8	3/2		2	38	D2	2	146
19	19	36	36	0.75		0	0	2/4	2	1	3/16		1/8	3/2		3	45	A2	2	146
19	19	36	36	0.5		0	0	2/4	1	1	1/8		1/8	1		6	66	F#4	4	140
19	19	36	36	0.5		0	0	2/4	1	1	1/8		1/8	1		3	69	A4	4	140
19	19	73/2	73/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		6	66	F#4	4	141
19	19	73/2	73/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		3	69	A4	4	141
19	19	147/4	147/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		3	33	A1	1	147
19	19	147/4	147/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		2	74	D5	5	142
19	19	147/4	147/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		6	78	F#5	5	142
19	19	37	37	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		2	38	D2	2	148
19	19	37	37	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		3	45	A2	2	148
19	19	37	37	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		1	67	G4	4	143
19	19	37	37	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		5	71	B4	4	143
19	19	75/2	75/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		1	67	G4	4	144
19	19	75/2	75/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		5	71	B4	4	144
19	19	151/4	151/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		3	33	A1	1	149
19	19	151/4	151/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		2	74	D5	5	145
19	19	151/4	151/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		6	78	F#5	5	145
20	20	38	38	0.75		0	0	2/4	2	1	3/16		1/8	3/2		2	38	D2	2	153
20	20	38	38	0.75		0	0	2/4	2	1	3/16		1/8	3/2		3	45	A2	2	153
20	20	38	38	0.5		0	0	2/4	1	1	1/8		1/8	1		6	66	F#4	4	150
20	20	38	38	0.5		0	0	2/4	1	1	1/8		1/8	1		3	69	A4	4	150
20	20	77/2	77/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		6	78	F#5	5	151
20	20	77/2	77/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		2	86	D6	6	151
20	20	155/4	155/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		3	33	A1	1	154
20	20	39	39	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		2	38	D2	2	155
20	20	39	39	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		3	45	A2	2	155
20	20	39	39	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		2	50	D3	3	152
20	20	39	39	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		3	57	A3	3	152
20	20	159/4	159/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		3	33	A1	1	156
21	21	40	40	0.5		0	0	2/4	1	1	1/8		1/8	1		6	78	F#5	5	157
21	21	40	40	0.5		0	0	2/4	1	1	1/8		1/8	1		3	81	A5	5	157
21	21	81/2	81/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		2	74	D5	5	163
21	21	81/2	81/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		6	78	F#5	5	158
21	21	81/2	81/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		3	81	A5	5	158
21	21	163/4	163/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		2	86	D6	6	159
21	21	41	41	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		6	78	F#5	5	160
21	21	41	41	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		3	81	A5	5	160
21	21	83/2	83/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		7	73	C#5	5	164
21	21	83/2	83/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		6	78	F#5	5	161
21	21	83/2	83/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		3	81	A5	5	161
21	21	167/4	167/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		9	87	D#6	6	162
22	22	42	42	0.5		0	0	2/4	1	1	1/8		1/8	1		6	78	F#5	5	165
22	22	42	42	0.5		0	0	2/4	1	1	1/8		1/8	1		3	81	A5	5	165
22	22	85/2	85/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		0	72	C5	5	171
22	22	85/2	85/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		6	78	F#5	5	166
22	22	85/2	85/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		3	81	A5	5	166
22	22	171/4	171/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		4	88	E6	6	167
22	22	43	43	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		6	78	F#5	5	168
22	22	43	43	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		3	81	A5	5	168
22	22	87/2	87/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		7	73	C#5	5	172
22	22	87/2	87/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		6	78	F#5	5	169
22	22	87/2	87/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		3	81	A5	5	169
22	22	175/4	175/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		-3	87	Eb6	6	170
23	23	44	44	0.5		0	0	2/4	1	1	1/8		1/8	1		6	78	F#5	5	173
23	23	44	44	0.5		0	0	2/4	1	1	1/8		1/8	1		3	81	A5	5	173
23	23	89/2	89/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		2	74	D5	5	179
23	23	89/2	89/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		6	78	F#5	5	174
23	23	89/2	89/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		3	81	A5	5	174
23	23	179/4	179/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		2	86	D6	6	175
23	23	45	45	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		6	78	F#5	5	176
23	23	45	45	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		3	81	A5	5	176
23	23	91/2	91/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		9	75	D#5	5	180
23	23	91/2	91/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		6	78	F#5	5	177
23	23	91/2	91/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		3	81	A5	5	177
23	23	183/4	183/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		7	85	C#6	6	178
24	24	46	46	0.5		0	0	2/4	1	1	1/8		1/8	1		6	78	F#5	5	181
24	24	46	46	0.5		0	0	2/4	1	1	1/8		1/8	1		3	81	A5	5	181
24	24	93/2	93/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		3	69	A4	4	184
24	24	93/2	93/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		4	76	E5	5	184
24	24	93/2	93/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		6	78	F#5	5	182
24	24	93/2	93/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		0	84	C6	6	182
24	24	93/2	93/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		4	88	E6	6	182
24	24	47	47	1.0		1/4	1/4	2/4	1	1	1/4		1/4	1		6	66	F#4	4	183
24	24	47	47	1.0		1/4	1/4	2/4	1	1	1/4		1/4	1		0	72	C5	5	183
24	24	47	47	1.0		1/4	1/4	2/4	1	1	1/4		1/4	1		4	76	E5	5	183
24	24	95/2	95/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		3	57	A3	3	185
24	24	95/2	95/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		4	64	E4	4	185
25	25	48	48	0.5		0	0	2/4	1	1	1/8		1/8	1		6	66	F#4	4	186
25	25	48	48	0.5		0	0	2/4	1	1	1/8		1/8	1		3	69	A4	4	186
25	25	97/2	97/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		2	62	D4	4	192
25	25	97/2	97/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		6	66	F#4	4	187
25	25	97/2	97/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		3	69	A4	4	187
25	25	195/4	195/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		2	74	D5	5	188
25	25	49	49	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		6	66	F#4	4	189
25	25	49	49	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		3	69	A4	4	189
25	25	99/2	99/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		7	61	C#4	4	193
25	25	99/2	99/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		6	66	F#4	4	190
25	25	99/2	99/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		3	69	A4	4	190
25	25	199/4	199/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		9	75	D#5	5	191
26	26	50	50	0.5		0	0	2/4	1	1	1/8		1/8	1		6	66	F#4	4	194
26	26	50	50	0.5		0	0	2/4	1	1	1/8		1/8	1		3	69	A4	4	194
26	26	101/2	101/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		0	60	C4	4	200
26	26	101/2	101/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		6	66	F#4	4	195
26	26	101/2	101/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		3	69	A4	4	195
26	26	203/4	203/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		4	76	E5	5	196
26	26	51	51	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		6	66	F#4	4	197
