mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
47	47	93	93	1.0	1/4	1/4	2/4	2	1	V7		e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
48	48	94	94	1.0	0	0	2/4	2	1	i		e	i		i		i								m	1	1	0, -3, 1		0	0
48	48	95	95	1.0	1/4	1/4	2/4	2	1	V		e	i		V		V								M	1	1	1, 5, 2		1	1
49	49	96	96	1.0	0	0	2/4	2	1	i		e	i		i		i								m	1	1	0, -3, 1		0	0
49	49	97	97	1.0	1/4	1/4	2/4	2	1	V7		e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
50	50	98	98	1.0	0	0	2/4	2	1	i		e	i		i		i								m	1	1	0, -3, 1		0	0
50	50	99	99	1.0	1/4	1/4	2/4	2	1	V		e	i		V		V								M	1	1	1, 5, 2		1	1
51	51	100	100	1.0	0	0	2/4	2	1	i]		e	i		i		i					]			m	1	1	0, -3, 1		0	0
51	51	101	101	1.0	1/4	1/4	2/4	2	1	V(b5+4)/V		e	i		V(b5+4)/V		V			b5+4	V				M	1	1	2, 6, -4	1	2	2
52	52	102	102	1.0	0	0	2/4	2	1	i6		e	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
52	52	103	103	1.0	1/4	1/4	2/4	2	1	V(b5+4)/V		e	i		V(b5+4)/V		V			b5+4	V				M	1	1	2, 6, -4	1	2	2
53	53	104	104	1.0	0	0	2/4	2	1	i		e	i		i		i								m	1	1	0, -3, 1		0	0
53	53	105	105	1.0	1/4	1/4	2/4	2	1	V(b5+4)/V		e	i		V(b5+4)/V		V			b5+4	V				M	1	1	2, 6, -4	1	2	2
54	54	106	106	1.0	0	0	2/4	2	1	i6		e	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
54	54	107	107	1.0	1/4	1/4	2/4	2	1	V(b5+4)/V		e	i		V(b5+4)/V		V			b5+4	V				M	1	1	2, 6, -4	1	2	2
55	55	108	108	2.0	0	0	2/4	2	1	i		e	i		i		i								m	1	1	0, -3, 1		0	0
56	56	110	110	2.0	0	0	2/4	2	1	viio65/VII		e	i		viio65/VII		vii	o	65		VII				o7	1	1	0, -3, -6, 3		3	0
57	57	112	112	2.0	0	0	2/4	2	1	V43/VII		e	i		V43/VII		V		43		VII				Mm7	1	1	0, -3, -1, 3		-1	0
58	58	114	114	1.0	0	0	2/4	2	1	Ger7	i(6#4)	e	i		Ger7	Ger	vii	o	7	b3	V				Ger	1	1	6, -4, 0, -3		6	6
58	58	115	115	0.5	1/4	1/4	2/4	2	1	i(#4)		e	i		i(#4)		i			#4					m	1	1	0, -3, 6		0	0
58	58	231/2	231/2	0.5	3/8	3/8	2/4	2	1	i		e	i		i		i								m	1	1	0, -3, 1		0	0
59	59	116	116	1.0	0	0	2/4	2	1	V65/ii		e	i		V65/ii		V		65		ii				Mm7	1	1	7, 4, 1, 3		3	7
59	59	117	117	1.0	1/4	1/4	2/4	2	1	V43		e	i		V43		V		43						Mm7	1	1	2, -1, 1, 5		1	2
60	60	118	118	2.0	0	0	2/4	2	1	i6		e	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
61	61	120	120	1.0	0	0	2/4	2	1	VI(4)		e	i		VI(4)		VI			4					M	1	1	-4, 2, -3		-4	-4
61	61	121	121	1.0	1/4	1/4	2/4	2	1	VI		e	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
62	62	122	122	1.0	0	0	2/4	2	1	VI(4)		e	i		VI(4)		VI			4					M	1	1	-4, 2, -3		-4	-4
62	62	123	123	1.0	1/4	1/4	2/4	2	1	VI		e	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
63	63	124	124	6.0	0	0	2/4	2	1	V7(b5)/V	Fr6	e	i		V7(b5)/V		V		7	b5	V				Mm7	1	1	2, 6, -4, 0		2	2
66	66	130	130	1.5	0	0	2/4	2	1	V[V(6+4)	V[i64(#7)	e	i	V	V(6+4)		V			6+4					M	1	1	1, 5, -3	0	1	1
66	66	263/2	263/2	1.5	3/8	3/8	2/4	2	1	i%65		e	i		i%65		i	%	65						%7	1	1	-3, -6, -2, 0		0	-3
67	67	133	133	1.5	1/4	1/4	2/4	2	1	#vii%65		e	i		#vii%65		#vii	%	65						%7	1	1	2, -1, 3, 5		5	2
68	68	269/2	269/2	1.5	1/8	1/8	2/4	2	1	vii%65		e	i		vii%65		vii	%	65						%7	1	1	-5, -8, -4, -2		-2	-5
69	69	136	136	1.0	0	0	2/4	2	1	#vi%65	ii%65/V	e	i		#vi%65		#vi	%	65						%7	1	1	0, -3, 1, 3		3	0
69	69	137	137	1.0	1/4	1/4	2/4	2	1	VIM43		e	i		VIM43		VI	M	43						MM7	1	1	-3, 1, -4, 0		-4	-3
70	70	138	138	1.0	0	0	2/4	2	1	v6(4)		e	i		v6(4)		v		6	4					m	1	1	0, 2, 1		1	0
70	70	139	139	1.0	1/4	1/4	2/4	2	1	v6	iv6/ii	e	i		v6		v		6						m	1	1	-2, 2, 1		1	-2
71	71	140	140	1.0	0	0	2/4	2	1	V7/ii		e	i		V7/ii		V		7		ii				Mm7	1	1	3, 7, 4, 1		3	3
71	71	141	141	1.0	1/4	1/4	2/4	2	1	i6		e	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
72	72	142	142	1.0	0	0	2/4	2	1	V43(4)		e	i		V43(4)		V		43	4					Mm7	1	1	2, -1, 1, 0		1	2
72	72	143	143	1.0	1/4	1/4	2/4	2	1	V43		e	i		V43		V		43						Mm7	1	1	2, -1, 1, 5		1	2
73	73	144	144	2.0	0	0	2/4	2	1	i|IAC}		e	i		i		i						IAC	}	m	1	1	0, -3, 1		0	0
74	74	146	146	2.0	0	0	2/4	2	1	i(9)		e	i		i(9)		i			9					m	1	1	0, -3, 1	2	0	0
75	75	148	148	2.0	0	0	2/4	2	1	i		e	i		i		i								m	1	1	0, -3, 1		0	0
76	76	150	150	2.0	0	0	2/4	2	1	i(9)		e	i		i(9)		i			9					m	1	1	0, -3, 1	2	0	0
77	77	152	152	1.0	0	0	2/4	2	1	i		e	i		i		i								m	1	1	0, -3, 1		0	0
77	77	153	153	1.0	1/4	1/4	2/4	2	1	i(9)		e	i		i(9)		i			9					m	1	1	0, -3, 1	2	0	0
78	78	154	154	1.0	0	0	2/4	2	1	i		e	i		i		i								m	1	1	0, -3, 1		0	0
78	78	155	155	5.0	1/4	1/4	2/4	2	1	i(9)		e	i		i(9)		i			9					m	1	1	0, -3, 1	2	0	0
81	81	160	160	8.0	0	0	2/4	2	1	i		e	i		i		i								m	1	1	0, -3, 1		0	0
85	85	168	168	5.0	0	0	2/4	2	1	V7(9)/VII{		e	i		V7(9)/VII		V		7	9	VII			{	Mm7	1	1	-1, 3, 0, -3	1	-1	-1
87	87	173	173	2.0	1/4	1/4	2/4	2	1	V2/VII	ii7(2)	e	i		V2/VII		V		2		VII				Mm7	1	1	-3, -1, 3, 0		-1	-3
88	88	175	175	2.0	1/4	1/4	2/4	2	1	ii7		e	i		ii7		ii		7						mm7	1	1	2, -1, 3, 0		2	2
89	89	177	177	3.0	1/4	1/4	2/4	2	1	i|PC}		e	i		i		i						PC	}	m	1	1	0, -3, 1		0	0
