mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
58	55	5/8	I(b94)		g	i	i	I(b94)	I			b94			M	1	1	0, -1, 1	-5	0.0	0.0
59	56	0	I(4)		g	i	i	I(4)	I			4			M	1	1	0, -1, 1		0.0	0.0
59	56	1/8	I		g	i	i	I	I						M	1	1	0, 4, 1		0.0	0.0
59	56	1/4	I(b94)		g	i	i	I(b94)	I			b94			M	1	1	0, -1, 1	-5	0.0	0.0
59	56	3/8	I(4)		g	i	i	I(4)	I			4			M	1	1	0, -1, 1		0.0	0.0
59	56	1/2	I		g	i	i	I	I						M	1	1	0, 4, 1		0.0	0.0
59	56	5/8	I(b94)		g	i	i	I(b94)	I			b94			M	1	1	0, -1, 1	-5	0.0	0.0
60	57	5/8	i		g	i	i	i	i						m	1	1	0, -3, 1		0.0	0.0
61	58	0	i(#4)		g	i	i	i(#4)	i			#4			m	1	1	0, -3, 6		0.0	0.0
61	58	1/4	i		g	i	i	i	i						m	1	1	0, -3, 1		0.0	0.0
61	58	3/8	i(9)		g	i	i	i(9)	i			9			m	1	1	0, -3, 1	2	0.0	0.0
61	58	5/8	i]}		g	i	i	i	i					}	m	1	1	0, -3, 1		0.0	0.0
