mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
23	23	45	0.5	1/4	1/4	2/4	2	1	V(964)		g	i		V(964)	V			964					M	1	1	1, 0, -3	-4	1	1
23	23	91/2	0.5	3/8	3/8	2/4	2	1	V(9)		g	i		V(9)	V			9					M	1	1	1, 5, 2	-4	1	1
24	24	46	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
24	24	93/2	0.5	1/8	1/8	2/4	2	1	iv64(+2)		g	i		iv64(+2)	iv		64	+2					m	1	1	0, -1, -4	1	-1	0
24	24	47	0.5	1/4	1/4	2/4	2	1	v7		g	i		v7	v		7						mm7	1	1	1, -2, 2, -1		1	1
24	24	95/2	0.5	3/8	3/8	2/4	2	1	iv64(+2)		g	i		iv64(+2)	iv		64	+2					m	1	1	0, -1, -4	1	-1	0
25	25	48	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
25	25	97/2	0.5	1/8	1/8	2/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
25	25	49	0.5	1/4	1/4	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
25	25	99/2	0.5	3/8	3/8	2/4	2	1	i]|IAC}		g	i		i	i					]	IAC	}	m	1	1	0, -3, 1		0	0
26	26	50	1.0	0	0	2/4	2	1	V[V{		g	i	V	V	V							{	M	1	1	1, 5, 2		1	1
26	26	51	0.5	1/4	1/4	2/4	2	1	VIM65	V(94)	g	i		VIM65	VI	M	65						MM7	1	1	0, -3, 1, -4		-4	0
26	26	103/2	0.5	3/8	3/8	2/4	2	1	V65/ii	V(#9#4)	g	i		V65/ii	V		65		ii				Mm7	1	1	7, 4, 1, 3		3	7
27	27	52	1.0	0	0	2/4	2	1	V2/ii		g	i		V2/ii	V		2		ii				Mm7	1	1	1, 3, 7, 4		3	1
27	27	53	0.5	1/4	1/4	2/4	2	1	v64	V(b3)	g	i		v64	v		64						m	1	1	2, 1, -2		1	2
27	27	107/2	2.0	3/8	3/8	2/4	2	1	V+64	V(#5)	g	i		V+64	V	+	64						+	1	1	9, 1, 5		1	9
28	28	111/2	1.0	3/8	3/8	2/4	2	1	I64	V(64)	g	i		I64	I		64						M	1	1	1, 0, 4		0	1
29	29	113/2	1.5	1/8	1/8	2/4	2	1	v%7	V7(b5)	g	i		v%7	v	%	7						%7	1	1	1, -2, -5, -1		1	1
30	30	58	1.0	0	0	2/4	2	1	bII		g	i		bII	bII								M	1	1	-5, -1, -4		-5	-5
30	30	59	0.5	1/4	1/4	2/4	2	1	IV6(9)/bII		g	i		IV6(9)/bII	IV		6	9	bII				M	1	1	-2, -5, -6	-4	-6	-2
30	30	119/2	0.5	3/8	3/8	2/4	2	1	V65/bII		g	i		V65/bII	V		65		bII				Mm7	1	1	0, -3, -6, -4		-4	0
31	31	60	1.0	0	0	2/4	2	1	bII		g	i		bII	bII								M	1	1	-5, -1, -4		-5	-5
31	31	61	0.5	1/4	1/4	2/4	2	1	IV6(9)/bII		g	i		IV6(9)/bII	IV		6	9	bII				M	1	1	-2, -5, -6	-4	-6	-2
31	31	123/2	0.5	3/8	3/8	2/4	2	1	V65/bII		g	i		V65/bII	V		65		bII				Mm7	1	1	0, -3, -6, -4		-4	0
32	32	62	1.0	0	0	2/4	2	1	bII		g	i		bII	bII								M	1	1	-5, -1, -4		-5	-5
32	32	63	1.0	1/4	1/4	2/4	2	1	iv6		g	i		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
33	33	64	2.0	0	0	2/4	2	1	V7(9)		g	i		V7(9)	V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1
34	34	66	1.0	0	0	2/4	2	1	#viio2		g	i		#viio2	#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
34	34	67	0.5	1/4	1/4	2/4	2	1	#viio43(b64)		g	i		#viio43(b64)	#vii	o	43	b64					o7	1	1	-6, -4, 5, -3		5	-6
34	34	135/2	0.5	3/8	3/8	2/4	2	1	#viio43}		g	i		#viio43	#vii	o	43					}	o7	1	1	-1, -4, 5, 2		5	-1
35	35	68	0.5	0	0	2/4	2	1	i[i{		g	i	i	i	i							{	m	1	1	0, -3, 1		0	0
35	35	137/2	0.5	1/8	1/8	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
35	35	69	0.5	1/4	1/4	2/4	2	1	V(96)		g	i		V(96)	V			96					M	1	1	1, 5, -3	-4	1	1
35	35	139/2	0.5	3/8	3/8	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
36	36	70	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
36	36	141/2	0.5	1/8	1/8	2/4	2	1	V(9)		g	i		V(9)	V			9					M	1	1	1, 5, 2	-4	1	1
36	36	71	0.5	1/4	1/4	2/4	2	1	V(964)		g	i		V(964)	V			964					M	1	1	1, 0, -3	-4	1	1
36	36	143/2	0.5	3/8	3/8	2/4	2	1	V(9)		g	i		V(9)	V			9					M	1	1	1, 5, 2	-4	1	1
37	37	72	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
37	37	145/2	0.5	1/8	1/8	2/4	2	1	iv64(+2)		g	i		iv64(+2)	iv		64	+2					m	1	1	0, -1, -4	1	-1	0
37	37	73	0.5	1/4	1/4	2/4	2	1	v7		g	i		v7	v		7						mm7	1	1	1, -2, 2, -1		1	1
37	37	147/2	0.5	3/8	3/8	2/4	2	1	iv64(+2)		g	i		iv64(+2)	iv		64	+2					m	1	1	0, -1, -4	1	-1	0
38	38	74	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
38	38	149/2	0.5	1/8	1/8	2/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
38	38	75	0.5	1/4	1/4	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
38	38	151/2	1.0	3/8	3/8	2/4	2	1	i]|IAC}		g	i		i	i					]	IAC	}	m	1	1	0, -3, 1		0	0
39	39	153/2	3.5	1/8	1/8	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
41	41	80	2.0	0	0	2/4	2	1	i|PAC		g	i		i	i						PAC		m	1	1	0, -3, 1		0	0
