mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
49	49	97	1.0	1/4	1/4	2/4	2	1		V(9)	ii	C	I		V(9)	V			9					M	0	0	1, 5, 2	3	1	1
50	50	98	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
50	50	99	1.0	1/4	1/4	2/4	2	1		V(9)	ii	C	I		V(9)	V			9					M	0	0	1, 5, 2	3	1	1
51	51	100	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
51	51	101	1.0	1/4	1/4	2/4	2	1		V(9)	ii	C	I		V(9)	V			9					M	0	0	1, 5, 2	3	1	1
52	52	102	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
52	52	103	1.0	1/4	1/4	2/4	2	1		V(9)	ii	C	I		V(9)	V			9					M	0	0	1, 5, 2	3	1	1
53	53	104	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
53	53	105	1.0	1/4	1/4	2/4	2	1		V7(b5)	bII	C	I		V7(b5)	V		7	b5					Mm7	0	0	1, 5, -5, -1		1	1
54	54	106	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
54	54	107	1.0	1/4	1/4	2/4	2	1		V7(b5)	bII	C	I		V7(b5)	V		7	b5					Mm7	0	0	1, 5, -5, -1		1	1
55	55	108	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
55	55	109	1.0	1/4	1/4	2/4	2	1		V7(b5)	bII	C	I		V7(b5)	V		7	b5					Mm7	0	0	1, 5, -5, -1		1	1
56	56	110	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
56	56	111	1.0	1/4	1/4	2/4	2	1		V7(b5)	bII	C	I		V7(b5)	V		7	b5					Mm7	0	0	1, 5, -5, -1		1	1
57	57	112	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
57	57	113	7.0	1/4	1/4	2/4	2	1		V7(b5)}	bII}	C	I		V7(b5)	V		7	b5				}	Mm7	0	0	1, 5, -5, -1		1	1
61	61	120	1.0	0	0	2/4	2	1		I[IV6{		C	I	I	IV6	IV		6					{	M	0	0	3, 0, -1		-1	3
61	61	121	1.0	1/4	1/4	2/4	2	1		ii6		C	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
62	62	122	1.0	0	0	2/4	2	1		iii6		C	I		iii6	iii		6						m	0	0	1, 5, 4		4	1
62	62	123	1.0	1/4	1/4	2/4	2	1		I6		C	I		I6	I		6						M	0	0	4, 1, 0		0	4
63	63	124	1.0	0	0	2/4	2	1		ii6		C	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
63	63	125	1.0	1/4	1/4	2/4	2	1		vi6		C	I		vi6	vi		6						m	0	0	0, 4, 3		3	0
64	64	126	1.0	0	0	2/4	2	1		viio6		C	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
64	64	127	1.0	1/4	1/4	2/4	2	1		I6		C	I		I6	I		6						M	0	0	4, 1, 0		0	4
65	65	128	1.0	0	0	2/4	2	1		IV6		C	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
65	65	129	1.0	1/4	1/4	2/4	2	1		ii6		C	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
66	66	130	1.0	0	0	2/4	2	1		iii6		C	I		iii6	iii		6						m	0	0	1, 5, 4		4	1
66	66	131	1.0	1/4	1/4	2/4	2	1		I6		C	I		I6	I		6						M	0	0	4, 1, 0		0	4
67	67	132	1.0	0	0	2/4	2	1		ii6		C	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
67	67	133	1.0	1/4	1/4	2/4	2	1		vi6		C	I		vi6	vi		6						m	0	0	0, 4, 3		3	0
68	68	134	1.0	0	0	2/4	2	1		viio6		C	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
68	68	135	1.0	1/4	1/4	2/4	2	1		I6]}		C	I		I6	I		6			]		}	M	0	0	4, 1, 0		0	4
69	69	136	2.0	0	0	2/4	2	1		IV.I[V7{		C	IV	I	V7	V		7					{	Mm7	0	0	1, 5, 2, -1		1	1
70	70	138	1.0	0	0	2/4	2	1		I		C	IV		I	I								M	0	0	0, 4, 1		0	0
70	70	139	1.0	1/4	1/4	2/4	2	1		vi65	I(+6)	C	IV		vi65	vi		65						mm7	0	0	0, 4, 1, 3		3	0
71	71	140	1.0	0	0	2/4	2	1		V7		C	IV		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
71	71	141	1.0	1/4	1/4	2/4	2	1		V7(9)		C	IV		V7(9)	V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
72	72	142	1.0	0	0	2/4	2	1		V7		C	IV		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
72	72	143	1.0	1/4	1/4	2/4	2	1		I]|PAC}		C	IV		I	I					]	PAC	}	M	0	0	0, 4, 1		0	0
73	73	144	2.0	0	0	2/4	2	1		I.I[V7{		C	I	I	V7	V		7					{	Mm7	0	0	1, 5, 2, -1		1	1
74	74	146	1.0	0	0	2/4	2	1		I		C	I		I	I								M	0	0	0, 4, 1		0	0
74	74	147	1.0	1/4	1/4	2/4	2	1		vi65	I(+6)	C	I		vi65	vi		65						mm7	0	0	0, 4, 1, 3		3	0
75	75	148	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
75	75	149	1.0	1/4	1/4	2/4	2	1		V7(9)		C	I		V7(9)	V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
76	76	150	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
76	76	151	1.0	1/4	1/4	2/4	2	1		I]|PAC}		C	I		I	I					]	PAC	}	M	0	0	0, 4, 1		0	0
77	77	152	2.0	0	0	2/4	2	1		IV.I[V7{		C	IV	I	V7	V		7					{	Mm7	0	0	1, 5, 2, -1		1	1
78	78	154	1.0	0	0	2/4	2	1		I		C	IV		I	I								M	0	0	0, 4, 1		0	0
78	78	155	1.0	1/4	1/4	2/4	2	1		vi65	I(+6)	C	IV		vi65	vi		65						mm7	0	0	0, 4, 1, 3		3	0
79	79	156	1.0	0	0	2/4	2	1		V7		C	IV		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
79	79	157	1.0	1/4	1/4	2/4	2	1		V7(9)		C	IV		V7(9)	V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
80	80	158	1.0	0	0	2/4	2	1		V7		C	IV		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
80	80	159	1.0	1/4	1/4	2/4	2	1		I]|PAC}		C	IV		I	I					]	PAC	}	M	0	0	0, 4, 1		0	0
81	81	160	2.0	0	0	2/4	2	1		I.I[V7{		C	I	I	V7	V		7					{	Mm7	0	0	1, 5, 2, -1		1	1
82	82	162	1.0	0	0	2/4	2	1		I		C	I		I	I								M	0	0	0, 4, 1		0	0
82	82	163	1.0	1/4	1/4	2/4	2	1		vi65	I(+6)	C	I		vi65	vi		65						mm7	0	0	0, 4, 1, 3		3	0
83	83	164	1.0	0	0	2/4	2	1		V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
83	83	165	1.0	1/4	1/4	2/4	2	1		V7(9)		C	I		V7(9)	V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
84	84			0	0	2/4	2	1	1	V7		C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
84	84			1/4	1/4	2/4	2	1	1	I]|PAC}		C	I		I	I					]	PAC	}	M	0	0	0, 4, 1		0	0
85	84	166	10.0	0	0	2/4	2	1	2	V7|HC}		C	I		V7	V		7				HC	}	Mm7	0	0	1, 5, 2, -1		1	1
90	89	176	1.0	0	0	2/4	2	1		V{		C	I		V	V							{	M	0	0	1, 5, 2		1	1
90	89	177	1.0	1/4	1/4	2/4	2	1		I		C	I		I	I								M	0	0	0, 4, 1		0	0
91	90	178	1.0	0	0	2/4	2	1		V/VII		C	I		V/VII	V				VII				M	0	0	6, 10, 7		6	6
91	90	179	1.0	1/4	1/4	2/4	2	1		VII		C	I		VII	VII								M	0	0	5, 9, 6		5	5
92	91	180	1.0	0	0	2/4	2	1		V/bVII		C	I		V/bVII	V				bVII				M	0	0	-1, 3, 0		-1	-1
92	91	181	1.0	1/4	1/4	2/4	2	1		bVII		C	I		bVII	bVII								M	0	0	-2, 2, -1		-2	-2
93	92	182	1.0	0	0	2/4	2	1		V/VI		C	I		V/VI	V				VI				M	0	0	4, 8, 5		4	4
93	92	183	1.0	1/4	1/4	2/4	2	1		VI		C	I		VI	VI								M	0	0	3, 7, 4		3	3
94	93	184	1.0	0	0	2/4	2	1		V/bVI		C	I		V/bVI	V				bVI				M	0	0	-3, 1, -2		-3	-3
94	93	185	1.0	1/4	1/4	2/4	2	1		bVI		C	I		bVI	bVI								M	0	0	-4, 0, -3		-4	-4
95	94	186	1.0	0	0	2/4	2	1		V/V		C	I		V/V	V				V				M	0	0	2, 6, 3		2	2
95	94	187	6.0	1/4	1/4	2/4	2	1		V		C	I		V	V								M	0	0	1, 5, 2		1	1
98	97	193	3.0	1/4	1/4	2/4	2	2		I|PAC}		C	I		I	I						PAC	}	M	0	0	0, 4, 1		0	0
