mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
9	9	17	17	0.5	1/4	1/4	2/4	2	1	V(96)		g	i		V(96)	V			96					M	1	1	1, 5, -3	-4	1	1
9	9	35/2	35/2	0.5	3/8	3/8	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
10	10	18	18	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
10	10	37/2	37/2	0.5	1/8	1/8	2/4	2	1	V(9)		g	i		V(9)	V			9					M	1	1	1, 5, 2	-4	1	1
10	10	19	19	0.5	1/4	1/4	2/4	2	1	V(964)		g	i		V(964)	V			964					M	1	1	1, 0, -3	-4	1	1
10	10	39/2	39/2	0.5	3/8	3/8	2/4	2	1	V(9)		g	i		V(9)	V			9					M	1	1	1, 5, 2	-4	1	1
11	11	20	20	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
11	11	41/2	41/2	0.5	1/8	1/8	2/4	2	1	iv64(+2)		g	i		iv64(+2)	iv		64	+2					m	1	1	0, -1, -4	1	-1	0
11	11	21	21	0.5	1/4	1/4	2/4	2	1	v7		g	i		v7	v		7						mm7	1	1	1, -2, 2, -1		1	1
11	11	43/2	43/2	0.5	3/8	3/8	2/4	2	1	iv64(+2)		g	i		iv64(+2)	iv		64	+2					m	1	1	0, -1, -4	1	-1	0
12	12	22	22	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
12	12	45/2	45/2	0.5	1/8	1/8	2/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
12	12	23	23	0.5	1/4	1/4	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
12	12	47/2	47/2	0.5	3/8	3/8	2/4	2	1	i]|IAC}		g	i		i	i					]	IAC	}	m	1	1	0, -3, 1		0	0
13	13	24	24	1.0	0	0	2/4	2	1	V[V{		g	i	V	V	V							{	M	1	1	1, 5, 2		1	1
13	13	25	25	0.5	1/4	1/4	2/4	2	1	VIM65	V(94)	g	i		VIM65	VI	M	65						MM7	1	1	0, -3, 1, -4		-4	0
13	13	51/2	51/2	1.5	3/8	3/8	2/4	2	1	V65/ii	V(#9#4)	g	i		V65/ii	V		65		ii				Mm7	1	1	7, 4, 1, 3		3	7
14	14	27	27	0.5	1/4	1/4	2/4	2	1	v64	V(b3)	g	i		v64	v		64						m	1	1	2, 1, -2		1	2
14	14	55/2	55/2	2.0	3/8	3/8	2/4	2	1	V+64	V(#5)	g	i		V+64	V	+	64						+	1	1	9, 1, 5		1	9
15	15	59/2	59/2	1.0	3/8	3/8	2/4	2	1	I64	V(64)	g	i		I64	I		64						M	1	1	1, 0, 4		0	1
16	16	61/2	61/2	1.5	1/8	1/8	2/4	2	1	v%7	V7(b5)	g	i		v%7	v	%	7						%7	1	1	1, -2, -5, -1		1	1
17	17	32	32	1.0	0	0	2/4	2	1	bII		g	i		bII	bII								M	1	1	-5, -1, -4		-5	-5
17	17	33	33	0.5	1/4	1/4	2/4	2	1	IV6(9)/bII		g	i		IV6(9)/bII	IV		6	9	bII				M	1	1	-2, -5, -6	-4	-6	-2
17	17	67/2	67/2	0.5	3/8	3/8	2/4	2	1	V65/bII		g	i		V65/bII	V		65		bII				Mm7	1	1	0, -3, -6, -4		-4	0
18	18	34	34	1.0	0	0	2/4	2	1	bII		g	i		bII	bII								M	1	1	-5, -1, -4		-5	-5
18	18	35	35	0.5	1/4	1/4	2/4	2	1	IV6(9)/bII		g	i		IV6(9)/bII	IV		6	9	bII				M	1	1	-2, -5, -6	-4	-6	-2
18	18	71/2	71/2	0.5	3/8	3/8	2/4	2	1	V65/bII		g	i		V65/bII	V		65		bII				Mm7	1	1	0, -3, -6, -4		-4	0
19	19	36	36	1.0	0	0	2/4	2	1	bII		g	i		bII	bII								M	1	1	-5, -1, -4		-5	-5
19	19	37	37	1.0	1/4	1/4	2/4	2	1	iv6		g	i		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
20	20	38	38	2.0	0	0	2/4	2	1	V7(9)		g	i		V7(9)	V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1
21	21	40	40	1.0	0	0	2/4	2	1	#viio2		g	i		#viio2	#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
21	21	41	41	0.5	1/4	1/4	2/4	2	1	#viio43(b64)		g	i		#viio43(b64)	#vii	o	43	b64					o7	1	1	-6, -4, 5, -3		5	-6
21	21	83/2	83/2	0.5	3/8	3/8	2/4	2	1	#viio43}		g	i		#viio43	#vii	o	43					}	o7	1	1	-1, -4, 5, 2		5	-1
22	22	42	42	0.5	0	0	2/4	2	1	i[i{		g	i	i	i	i							{	m	1	1	0, -3, 1		0	0
22	22	85/2	85/2	0.5	1/8	1/8	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
22	22	43	43	0.5	1/4	1/4	2/4	2	1	V(96)		g	i		V(96)	V			96					M	1	1	1, 5, -3	-4	1	1
22	22	87/2	87/2	0.5	3/8	3/8	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
23	23	44	44	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
23	23	89/2	89/2	0.5	1/8	1/8	2/4	2	1	V(9)		g	i		V(9)	V			9					M	1	1	1, 5, 2	-4	1	1
23	23	45	45	0.5	1/4	1/4	2/4	2	1	V(964)		g	i		V(964)	V			964					M	1	1	1, 0, -3	-4	1	1
23	23	91/2	91/2	0.5	3/8	3/8	2/4	2	1	V(9)		g	i		V(9)	V			9					M	1	1	1, 5, 2	-4	1	1
24	24	46	46	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
24	24	93/2	93/2	0.5	1/8	1/8	2/4	2	1	iv64(+2)		g	i		iv64(+2)	iv		64	+2					m	1	1	0, -1, -4	1	-1	0
24	24	47	47	0.5	1/4	1/4	2/4	2	1	v7		g	i		v7	v		7						mm7	1	1	1, -2, 2, -1		1	1
24	24	95/2	95/2	0.5	3/8	3/8	2/4	2	1	iv64(+2)		g	i		iv64(+2)	iv		64	+2					m	1	1	0, -1, -4	1	-1	0
25	25	48	48	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
25	25	97/2	97/2	0.5	1/8	1/8	2/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
25	25	49	49	0.5	1/4	1/4	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
25	25	99/2	99/2	0.5	3/8	3/8	2/4	2	1	i]|IAC}		g	i		i	i					]	IAC	}	m	1	1	0, -3, 1		0	0
26	26	50	50	1.0	0	0	2/4	2	1	V[V{		g	i	V	V	V							{	M	1	1	1, 5, 2		1	1
26	26	51	51	0.5	1/4	1/4	2/4	2	1	VIM65	V(94)	g	i		VIM65	VI	M	65						MM7	1	1	0, -3, 1, -4		-4	0
26	26	103/2	103/2	0.5	3/8	3/8	2/4	2	1	V65/ii	V(#9#4)	g	i		V65/ii	V		65		ii				Mm7	1	1	7, 4, 1, 3		3	7
27	27	52	52	1.0	0	0	2/4	2	1	V2/ii		g	i		V2/ii	V		2		ii				Mm7	1	1	1, 3, 7, 4		3	1
27	27	53	53	0.5	1/4	1/4	2/4	2	1	v64	V(b3)	g	i		v64	v		64						m	1	1	2, 1, -2		1	2
27	27	107/2	107/2	2.0	3/8	3/8	2/4	2	1	V+64	V(#5)	g	i		V+64	V	+	64						+	1	1	9, 1, 5		1	9
28	28	111/2	111/2	1.0	3/8	3/8	2/4	2	1	I64	V(64)	g	i		I64	I		64						M	1	1	1, 0, 4		0	1
29	29	113/2	113/2	1.5	1/8	1/8	2/4	2	1	v%7	V7(b5)	g	i		v%7	v	%	7						%7	1	1	1, -2, -5, -1		1	1
30	30	58	58	1.0	0	0	2/4	2	1	bII		g	i		bII	bII								M	1	1	-5, -1, -4		-5	-5
30	30	59	59	0.5	1/4	1/4	2/4	2	1	IV6(9)/bII		g	i		IV6(9)/bII	IV		6	9	bII				M	1	1	-2, -5, -6	-4	-6	-2
30	30	119/2	119/2	0.5	3/8	3/8	2/4	2	1	V65/bII		g	i		V65/bII	V		65		bII				Mm7	1	1	0, -3, -6, -4		-4	0
31	31	60	60	1.0	0	0	2/4	2	1	bII		g	i		bII	bII								M	1	1	-5, -1, -4		-5	-5
31	31	61	61	0.5	1/4	1/4	2/4	2	1	IV6(9)/bII		g	i		IV6(9)/bII	IV		6	9	bII				M	1	1	-2, -5, -6	-4	-6	-2
31	31	123/2	123/2	0.5	3/8	3/8	2/4	2	1	V65/bII		g	i		V65/bII	V		65		bII				Mm7	1	1	0, -3, -6, -4		-4	0
32	32	62	62	1.0	0	0	2/4	2	1	bII		g	i		bII	bII								M	1	1	-5, -1, -4		-5	-5
32	32	63	63	1.0	1/4	1/4	2/4	2	1	iv6		g	i		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
33	33	64	64	2.0	0	0	2/4	2	1	V7(9)		g	i		V7(9)	V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1
34	34	66	66	1.0	0	0	2/4	2	1	#viio2		g	i		#viio2	#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
34	34	67	67	0.5	1/4	1/4	2/4	2	1	#viio43(b64)		g	i		#viio43(b64)	#vii	o	43	b64					o7	1	1	-6, -4, 5, -3		5	-6
34	34	135/2	135/2	0.5	3/8	3/8	2/4	2	1	#viio43}		g	i		#viio43	#vii	o	43					}	o7	1	1	-1, -4, 5, 2		5	-1
35	35	68	68	0.5	0	0	2/4	2	1	i[i{		g	i	i	i	i							{	m	1	1	0, -3, 1		0	0
35	35	137/2	137/2	0.5	1/8	1/8	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
35	35	69	69	0.5	1/4	1/4	2/4	2	1	V(96)		g	i		V(96)	V			96					M	1	1	1, 5, -3	-4	1	1
35	35	139/2	139/2	0.5	3/8	3/8	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
36	36	70	70	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
36	36	141/2	141/2	0.5	1/8	1/8	2/4	2	1	V(9)		g	i		V(9)	V			9					M	1	1	1, 5, 2	-4	1	1
36	36	71	71	0.5	1/4	1/4	2/4	2	1	V(964)		g	i		V(964)	V			964					M	1	1	1, 0, -3	-4	1	1
36	36	143/2	143/2	0.5	3/8	3/8	2/4	2	1	V(9)		g	i		V(9)	V			9					M	1	1	1, 5, 2	-4	1	1
37	37	72	72	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
37	37	145/2	145/2	0.5	1/8	1/8	2/4	2	1	iv64(+2)		g	i		iv64(+2)	iv		64	+2					m	1	1	0, -1, -4	1	-1	0
37	37	73	73	0.5	1/4	1/4	2/4	2	1	v7		g	i		v7	v		7						mm7	1	1	1, -2, 2, -1		1	1
37	37	147/2	147/2	0.5	3/8	3/8	2/4	2	1	iv64(+2)		g	i		iv64(+2)	iv		64	+2					m	1	1	0, -1, -4	1	-1	0
38	38	74	74	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
38	38	149/2	149/2	0.5	1/8	1/8	2/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
38	38	75	75	0.5	1/4	1/4	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
38	38	151/2	151/2	1.0	3/8	3/8	2/4	2	1	i]|IAC}		g	i		i	i					]	IAC	}	m	1	1	0, -3, 1		0	0
39	39	153/2	153/2	3.5	1/8	1/8	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
41	41	80	80	2.0	0	0	2/4	2	1	i|PAC		g	i		i	i						PAC		m	1	1	0, -3, 1		0	0
