mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
44	43	257/2	257/2	0.5	3/8	3/8	3/4	2	1	ii65	vi6	e	I		ii65		ii		65						mm7	1	0	-1, 3, 0, 2		2	-1
44	43	129	129	0.5	1/2	1/2	3/4	2	1	ii6		e	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
44	43	259/2	259/2	0.5	5/8	5/8	3/4	2	1	V6|HC}		e	I		V6		V		6				HC	}	M	1	0	5, 2, 1		1	5
45	44	130	130	2.0	0	0	3/4	2	1	I{		e	I		I		I							{	M	1	0	0, 4, 1		0	0
45	44	132	132	1.0	1/2	1/2	3/4	2	1	I(96+#4)		e	I		I(96+#4)		I			96+#4					M	1	0	0, 4, 3	2, 6	0	0
46	45	133	133	1.0	0	0	3/4	2	1	I		e	I		I		I								M	1	0	0, 4, 1		0	0
46	45	134	134	1.0	1/4	1/4	3/4	2	1	I(96+#4)		e	I		I(96+#4)		I			96+#4					M	1	0	0, 4, 3	2, 6	0	0
46	45	135	135	1.0	1/2	1/2	3/4	2	1	I		e	I		I		I								M	1	0	0, 4, 1		0	0
47	46	136	136	2.0	0	0	3/4	2	1	V		e	I		V		V								M	1	0	1, 5, 2		1	1
47	46	138	138	1.0	1/2	1/2	3/4	2	1	V(96+#4)		e	I		V(96+#4)		V			96+#4					M	1	0	1, 5, 4	3, 7	1	1
48	47	139	139	3.0	0	0	3/4	2	1	V		e	I		V		V								M	1	0	1, 5, 2		1	1
49	48	142	142	2.0	0	0	3/4	2	1	IV		e	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
49	48	144	144	1.0	1/2	1/2	3/4	2	1	IV(96+4)		e	I		IV(96+4)		IV			96+4					M	1	0	-1, 3, 2	1, 5	-1	-1
50	49	145	145	1.0	0	0	3/4	2	1	IV		e	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
50	49	146	146	1.0	1/4	1/4	3/4	2	1	IV(96+4)		e	I		IV(96+4)		IV			96+4					M	1	0	-1, 3, 2	1, 5	-1	-1
50	49	147	147	1.0	1/2	1/2	3/4	2	1	IV		e	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
51	50	148	148	2.0	0	0	3/4	2	1	I[I		e	I	I	I		I								M	1	0	0, 4, 1		0	0
51	50	150	150	1.0	1/2	1/2	3/4	2	1	I(96+#4)		e	I		I(96+#4)		I			96+#4					M	1	0	0, 4, 3	2, 6	0	0
52	51	151	151	3.0	0	0	3/4	2	1	I		e	I		I		I								M	1	0	0, 4, 1		0	0
53	52	154	154	2.0	0	0	3/4	2	1	V		e	I		V		V								M	1	0	1, 5, 2		1	1
53	52	156	156	3.0	1/2	1/2	3/4	2	1	ii7		e	I		ii7		ii		7						mm7	1	0	2, -1, 3, 0		2	2
54	53	159	159	1.0	1/2	1/2	3/4	2	1	V		e	I		V		V								M	1	0	1, 5, 2		1	1
55	54	160	160	2.0	0	0	3/4	2	1	V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
55	54	162	162	3.0	1/2	1/2	3/4	2	1	ii7/III		e	I		ii7/III		ii		7		III				mm7	1	0	6, 3, 7, 4		6	6
56	55	165	165	1.5	1/2	1/2	3/4	2	1	V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
57	56	333/2	333/2	1.0	1/8	1/8	3/4	2	1	ii/III		e	I		ii/III		ii				III				m	1	0	6, 3, 7		6	6
57	56	335/2	335/2	1.0	3/8	3/8	3/4	2	1	V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
57	56	337/2	337/2	1.0	5/8	5/8	3/4	2	1	ii/III		e	I		ii/III		ii				III				m	1	0	6, 3, 7		6	6
58	57	339/2	339/2	1.0	1/8	1/8	3/4	2	1	V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
58	57	341/2	341/2	1.0	3/8	3/8	3/4	2	1	ii/III		e	I		ii/III		ii				III				m	1	0	6, 3, 7		6	6
58	57	343/2	343/2	1.0	5/8	5/8	3/4	2	1	V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
59	58	345/2	345/2	1.0	1/8	1/8	3/4	2	1	vi		e	I		vi		vi								m	1	0	3, 0, 4		3	3
59	58	347/2	347/2	1.0	3/8	3/8	3/4	2	1	V		e	I		V		V								M	1	0	1, 5, 2		1	1
59	58	349/2	349/2	0.5	5/8	5/8	3/4	2	1	IVM65	I6	e	I		IVM65		IV	M	65						MM7	1	0	3, 0, 4, -1		-1	3
60	59	175	175	0.5	0	0	3/4	2	1	IV6		e	I		IV6		IV		6						M	1	0	3, 0, -1		-1	3
60	59	351/2	351/2	0.5	1/8	1/8	3/4	2	1	iii65	viio6	e	I		iii65		iii		65						mm7	1	0	1, 5, 2, 4		4	1
60	59	176	176	0.5	1/4	1/4	3/4	2	1	iii6		e	I		iii6		iii		6						m	1	0	1, 5, 4		4	1
60	59	353/2	353/2	0.5	3/8	3/8	3/4	2	1	ii65	vi6	e	I		ii65		ii		65						mm7	1	0	-1, 3, 0, 2		2	-1
60	59	177	177	0.5	1/2	1/2	3/4	2	1	ii6		e	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
60	59	355/2	355/2	0.5	5/8	5/8	3/4	2	1	V6|HC}		e	I		V6		V		6				HC	}	M	1	0	5, 2, 1		1	5
61	60	178	178	2.0	0	0	3/4	2	1	I{		e	I		I		I							{	M	1	0	0, 4, 1		0	0
61	60	180	180	1.0	1/2	1/2	3/4	2	1	I(96+#4)		e	I		I(96+#4)		I			96+#4					M	1	0	0, 4, 3	2, 6	0	0
62	61	181	181	1.0	0	0	3/4	2	1	I		e	I		I		I								M	1	0	0, 4, 1		0	0
62	61	182	182	1.0	1/4	1/4	3/4	2	1	I(96+#4)		e	I		I(96+#4)		I			96+#4					M	1	0	0, 4, 3	2, 6	0	0
62	61	183	183	1.0	1/2	1/2	3/4	2	1	I]		e	I		I		I					]			M	1	0	0, 4, 1		0	0
63	62	184	184	2.0	0	0	3/4	2	1	V		e	I		V		V								M	1	0	1, 5, 2		1	1
63	62	186	186	1.0	1/2	1/2	3/4	2	1	V(96+#4)		e	I		V(96+#4)		V			96+#4					M	1	0	1, 5, 4	3, 7	1	1
64	63	187	187	3.0	0	0	3/4	2	1	V		e	I		V		V								M	1	0	1, 5, 2		1	1
65	64	190	190	2.0	0	0	3/4	2	1	IV		e	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
65	64	192	192	1.0	1/2	1/2	3/4	2	1	IV(96+4)		e	I		IV(96+4)		IV			96+4					M	1	0	-1, 3, 2	1, 5	-1	-1
66	65	193	193	1.0	0	0	3/4	2	1	IV		e	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
66	65	194	194	1.0	1/4	1/4	3/4	2	1	IV(96+4)		e	I		IV(96+4)		IV			96+4					M	1	0	-1, 3, 2	1, 5	-1	-1
66	65	195	195	1.0	1/2	1/2	3/4	2	1	IV		e	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
67	66	196	196	2.0	0	0	3/4	2	1	I		e	I		I		I								M	1	0	0, 4, 1		0	0
67	66	198	198	1.0	1/2	1/2	3/4	2	1	I(96+#4)		e	I		I(96+#4)		I			96+#4					M	1	0	0, 4, 3	2, 6	0	0
68	67	199	199	5.0	0	0	3/4	2	1	I]|PC}		e	I		I		I					]	PC	}	M	1	0	0, 4, 1		0	0
69	68	204	204	4.0	1/2	1/2	3/4	2	1	i.iv7{		e	i		iv7		iv		7					{	mm7	1	1	-1, -4, 0, -3		-1	-1
71	70	208	208	3.0	0	0	3/4	2	1	i6		e	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
72	71	211	211	3.0	0	0	3/4	2	1	ii%43/VII		e	i		ii%43/VII		ii	%	43		VII				%7	1	1	-6, -2, 0, -3		0	-6
73	72	214	214	3.0	0	0	3/4	2	1	V/VII	IV	e	i		V/VII		V				VII				M	1	1	-1, 3, 0		-1	-1
74	73	217	217	3.0	0	0	3/4	2	1	VI		e	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
75	74	220	220	3.0	0	0	3/4	2	1	V7/V		e	i		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
76	75	223	223	3.0	0	0	3/4	2	1	V7		e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
77	76	226	226	3.0	0	0	3/4	2	1	i|PAC}		e	i		i		i						PAC	}	m	1	1	0, -3, 1		0	0
77	76	228	228	0.0	1/2	1/2	3/4	2	1	{		e	i											{		1	1				
78	77	229	229	3.0	0	0	3/4	2	1	iv43		e	i		iv43		iv		43						mm7	1	1	0, -3, -1, -4		-1	0
79	78	232	232	3.0	0	0	3/4	2	1	IIIM43		e	i		IIIM43		III	M	43						MM7	1	1	-2, 2, -3, 1		-3	-2
80	79	235	235	3.0	0	0	3/4	2	1	ii%43		e	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
81	80	238	238	3.0	0	0	3/4	2	1	i43		e	i		i43		i		43						mm7	1	1	1, -2, 0, -3		0	1
82	81	241	241	3.0	0	0	3/4	2	1	#viio43		e	i		#viio43		#vii	o	43						o7	1	1	-1, -4, 5, 2		5	-1
83	82	244	244	3.0	0	0	3/4	2	1	#vi%43	ii%43/V	e	i		#vi%43		#vi	%	43						%7	1	1	-3, 1, 3, 0		3	-3
84	83	247	247	1.0	0	0	3/4	2	1	V64		e	i		V64		V		64						M	1	1	2, 1, 5		1	2
84	83	248	248	1.0	1/4	1/4	3/4	2	1	V2		e	i		V2		V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
84	83	249	249	0.5	1/2	1/2	3/4	2	1	Ger2(2)		e	i		Ger2(2)	Ger	vii	o	2	b32	V				Ger	1	1	-3, 1, -4, 0		6	-3
84	83	499/2	499/2	0.5	5/8	5/8	3/4	2	1	Ger2		e	i		Ger2	Ger	vii	o	2	b3	V				Ger	1	1	-3, 6, -4, 0		6	-3
85	84	250	250	2.0	0	0	3/4	2	1	V|HC}		e	i		V		V						HC	}	M	1	1	1, 5, 2		1	1
85	84	252	252	1.0	1/2	1/2	3/4	2	1	Ger2		e	i		Ger2	Ger	vii	o	2	b3	V				Ger	1	1	-3, 6, -4, 0		6	-3
86	85	253	253	5.0	0	0	3/4	2	1	V|HC		e	i		V		V						HC		M	1	1	1, 5, 2		1	1
87	86	258	258	4.0	1/2	1/2	3/4	2	1	iv7{		e	i		iv7		iv		7					{	mm7	1	1	-1, -4, 0, -3		-1	-1
89	88	262	262	3.0	0	0	3/4	2	2	i6		e	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
90	89	265	265	3.0	0	0	3/4	2	1	ii%43/VII		e	i		ii%43/VII		ii	%	43		VII				%7	1	1	-6, -2, 0, -3		0	-6
91	90	268	268	3.0	0	0	3/4	2	1	V/VII	IV	e	i		V/VII		V				VII				M	1	1	-1, 3, 0		-1	-1
92	91	271	271	3.0	0	0	3/4	2	1	VI		e	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
93	92	274	274	3.0	0	0	3/4	2	1	V7/V		e	i		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
94	93	277	277	3.0	0	0	3/4	2	1	V7		e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
95	94	280	280	1.0	0	0	3/4	2	1	i}		e	i		i		i							}	m	1	1	0, -3, 1		0	0
95	94	281	281	1.0	1/4	1/4	3/4	2	1	i(b964)		e	i		i(b964)		i			b964					m	1	1	0, -1, -4	-5	0	0
95	94	282	282	1.0	1/2	1/2	3/4	2	1	i(964)		e	i		i(964)		i			964					m	1	1	0, -1, -4	2	0	0
96	95	283	283	3.0	0	0	3/4	2	1	i|PAC		e	i		i		i						PAC		m	1	1	0, -3, 1		0	0
