mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
16	16	62	2.0	1/2	1/2	4/4	2	1	VIM65/ii	i6(+6)/ii	A	I		VIM65/ii	VI	M	65		ii			MM7	0	0	2, -1, 3, -2		-2	2
17	17	64	3.0	0	0	4/4	2	1	vii%43{		A	I		vii%43	vii	%	43				{	%7	0	0	-1, 3, 5, 2		5	-1
17	17	67	1.0	3/4	3/4	4/4	2	1	I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
18	18	68	1.0	0	0	4/4	2	1	#viio7/ii	V43(#4#2)	A	I		#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
18	18	69	1.0	1/4	1/4	4/4	2	1	V43		A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
18	18	70	1.0	1/2	1/2	4/4	2	1	#viio7/ii	V43(#4#2)	A	I		#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
18	18	71	1.0	3/4	3/4	4/4	2	1	V43		A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
19	19	72	3.0	0	0	4/4	2	1	vii%43		A	I		vii%43	vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
19	19	75	1.0	3/4	3/4	4/4	2	1	I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
20	20	76	3.0	0	0	4/4	2	1	vii%43/V		A	I		vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
20	20	79	1.0	3/4	3/4	4/4	2	1	I6/V		A	I		I6/V	I		6		V			M	0	0	5, 2, 1		1	5
21	21	80	3.0	0	0	4/4	2	1	vii%43		A	I		vii%43	vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
21	21	83	1.0	3/4	3/4	4/4	2	1	I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
22	22	84	2.0	0	0	4/4	2	1	V[V(64)		A	I	V	V(64)	V			64				M	0	0	1, 0, 4		1	1
