mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
33	32	1/2	1/2	3/4	2	1		IV(96+4)		e	I		IV(96+4)		IV			96+4					M	1	0	-1, 3, 2	1, 5	-1	-1
34	33	0	0	3/4	2	1		IV		e	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
34	33	1/4	1/4	3/4	2	1		IV(96+4)		e	I		IV(96+4)		IV			96+4					M	1	0	-1, 3, 2	1, 5	-1	-1
34	33	1/2	1/2	3/4	2	1		IV		e	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
35	34	0	0	3/4	2	1		I		e	I		I		I								M	1	0	0, 4, 1		0	0
35	34	1/2	1/2	3/4	2	1		I(96+#4)		e	I		I(96+#4)		I			96+#4					M	1	0	0, 4, 3	2, 6	0	0
36	35	0	0	3/4	2	1		I		e	I		I		I								M	1	0	0, 4, 1		0	0
37	36	0	0	3/4	2	1		V		e	I		V		V								M	1	0	1, 5, 2		1	1
37	36	1/2	1/2	3/4	2	1		ii7		e	I		ii7		ii		7						mm7	1	0	2, -1, 3, 0		2	2
38	37	1/2	1/2	3/4	2	1		V		e	I		V		V								M	1	0	1, 5, 2		1	1
39	38	0	0	3/4	2	1		V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
39	38	1/2	1/2	3/4	2	1		ii7/III		e	I		ii7/III		ii		7		III				mm7	1	0	6, 3, 7, 4		6	6
40	39	1/2	1/2	3/4	2	1		V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
41	40	1/8	1/8	3/4	2	1		ii/III		e	I		ii/III		ii				III				m	1	0	6, 3, 7		6	6
41	40	3/8	3/8	3/4	2	1		V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
41	40	5/8	5/8	3/4	2	1		ii/III		e	I		ii/III		ii				III				m	1	0	6, 3, 7		6	6
42	41	1/8	1/8	3/4	2	1		V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
42	41	3/8	3/8	3/4	2	1		ii/III		e	I		ii/III		ii				III				m	1	0	6, 3, 7		6	6
42	41	5/8	5/8	3/4	2	1		V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
43	42	1/8	1/8	3/4	2	1		vi		e	I		vi		vi								m	1	0	3, 0, 4		3	3
43	42	3/8	3/8	3/4	2	1		V		e	I		V		V								M	1	0	1, 5, 2		1	1
43	42	5/8	5/8	3/4	2	1		IVM65	I6	e	I		IVM65		IV	M	65						MM7	1	0	3, 0, 4, -1		-1	3
44	43	0	0	3/4	2	1		IV6		e	I		IV6		IV		6						M	1	0	3, 0, -1		-1	3
44	43	1/8	1/8	3/4	2	1		iii65	viio6	e	I		iii65		iii		65						mm7	1	0	1, 5, 2, 4		4	1
44	43	1/4	1/4	3/4	2	1		iii6		e	I		iii6		iii		6						m	1	0	1, 5, 4		4	1
44	43	3/8	3/8	3/4	2	1		ii65	vi6	e	I		ii65		ii		65						mm7	1	0	-1, 3, 0, 2		2	-1
44	43	1/2	1/2	3/4	2	1		ii6		e	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
44	43	5/8	5/8	3/4	2	1		V6|HC}		e	I		V6		V		6				HC	}	M	1	0	5, 2, 1		1	5
45	44	0	0	3/4	2	1		I{		e	I		I		I							{	M	1	0	0, 4, 1		0	0
45	44	1/2	1/2	3/4	2	1		I(96+#4)		e	I		I(96+#4)		I			96+#4					M	1	0	0, 4, 3	2, 6	0	0
46	45	0	0	3/4	2	1		I		e	I		I		I								M	1	0	0, 4, 1		0	0
46	45	1/4	1/4	3/4	2	1		I(96+#4)		e	I		I(96+#4)		I			96+#4					M	1	0	0, 4, 3	2, 6	0	0
46	45	1/2	1/2	3/4	2	1		I		e	I		I		I								M	1	0	0, 4, 1		0	0
47	46	0	0	3/4	2	1		V		e	I		V		V								M	1	0	1, 5, 2		1	1
47	46	1/2	1/2	3/4	2	1		V(96+#4)		e	I		V(96+#4)		V			96+#4					M	1	0	1, 5, 4	3, 7	1	1
48	47	0	0	3/4	2	1		V		e	I		V		V								M	1	0	1, 5, 2		1	1
49	48	0	0	3/4	2	1		IV		e	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
49	48	1/2	1/2	3/4	2	1		IV(96+4)		e	I		IV(96+4)		IV			96+4					M	1	0	-1, 3, 2	1, 5	-1	-1
50	49	0	0	3/4	2	1		IV		e	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
50	49	1/4	1/4	3/4	2	1		IV(96+4)		e	I		IV(96+4)		IV			96+4					M	1	0	-1, 3, 2	1, 5	-1	-1
50	49	1/2	1/2	3/4	2	1		IV		e	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
51	50	0	0	3/4	2	1		I[I		e	I	I	I		I								M	1	0	0, 4, 1		0	0
51	50	1/2	1/2	3/4	2	1		I(96+#4)		e	I		I(96+#4)		I			96+#4					M	1	0	0, 4, 3	2, 6	0	0
52	51	0	0	3/4	2	1		I		e	I		I		I								M	1	0	0, 4, 1		0	0
53	52	0	0	3/4	2	1		V		e	I		V		V								M	1	0	1, 5, 2		1	1
53	52	1/2	1/2	3/4	2	1		ii7		e	I		ii7		ii		7						mm7	1	0	2, -1, 3, 0		2	2
54	53	1/2	1/2	3/4	2	1		V		e	I		V		V								M	1	0	1, 5, 2		1	1
55	54	0	0	3/4	2	1		V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
55	54	1/2	1/2	3/4	2	1		ii7/III		e	I		ii7/III		ii		7		III				mm7	1	0	6, 3, 7, 4		6	6
56	55	1/2	1/2	3/4	2	1		V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
57	56	1/8	1/8	3/4	2	1		ii/III		e	I		ii/III		ii				III				m	1	0	6, 3, 7		6	6
57	56	3/8	3/8	3/4	2	1		V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
57	56	5/8	5/8	3/4	2	1		ii/III		e	I		ii/III		ii				III				m	1	0	6, 3, 7		6	6
58	57	1/8	1/8	3/4	2	1		V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
58	57	3/8	3/8	3/4	2	1		ii/III		e	I		ii/III		ii				III				m	1	0	6, 3, 7		6	6
58	57	5/8	5/8	3/4	2	1		V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
59	58	1/8	1/8	3/4	2	1		vi		e	I		vi		vi								m	1	0	3, 0, 4		3	3
59	58	3/8	3/8	3/4	2	1		V		e	I		V		V								M	1	0	1, 5, 2		1	1
59	58	5/8	5/8	3/4	2	1		IVM65	I6	e	I		IVM65		IV	M	65						MM7	1	0	3, 0, 4, -1		-1	3
60	59	0	0	3/4	2	1		IV6		e	I		IV6		IV		6						M	1	0	3, 0, -1		-1	3
60	59	1/8	1/8	3/4	2	1		iii65	viio6	e	I		iii65		iii		65						mm7	1	0	1, 5, 2, 4		4	1
60	59	1/4	1/4	3/4	2	1		iii6		e	I		iii6		iii		6						m	1	0	1, 5, 4		4	1
60	59	3/8	3/8	3/4	2	1		ii65	vi6	e	I		ii65		ii		65						mm7	1	0	-1, 3, 0, 2		2	-1
60	59	1/2	1/2	3/4	2	1		ii6		e	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
60	59	5/8	5/8	3/4	2	1		V6|HC}		e	I		V6		V		6				HC	}	M	1	0	5, 2, 1		1	5
61	60	0	0	3/4	2	1		I{		e	I		I		I							{	M	1	0	0, 4, 1		0	0
61	60	1/2	1/2	3/4	2	1		I(96+#4)		e	I		I(96+#4)		I			96+#4					M	1	0	0, 4, 3	2, 6	0	0
62	61	0	0	3/4	2	1		I		e	I		I		I								M	1	0	0, 4, 1		0	0
62	61	1/4	1/4	3/4	2	1		I(96+#4)		e	I		I(96+#4)		I			96+#4					M	1	0	0, 4, 3	2, 6	0	0
62	61	1/2	1/2	3/4	2	1		I]		e	I		I		I					]			M	1	0	0, 4, 1		0	0
63	62	0	0	3/4	2	1		V		e	I		V		V								M	1	0	1, 5, 2		1	1
63	62	1/2	1/2	3/4	2	1		V(96+#4)		e	I		V(96+#4)		V			96+#4					M	1	0	1, 5, 4	3, 7	1	1
64	63	0	0	3/4	2	1		V		e	I		V		V								M	1	0	1, 5, 2		1	1
65	64	0	0	3/4	2	1		IV		e	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
65	64	1/2	1/2	3/4	2	1		IV(96+4)		e	I		IV(96+4)		IV			96+4					M	1	0	-1, 3, 2	1, 5	-1	-1
66	65	0	0	3/4	2	1		IV		e	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
66	65	1/4	1/4	3/4	2	1		IV(96+4)		e	I		IV(96+4)		IV			96+4					M	1	0	-1, 3, 2	1, 5	-1	-1
66	65	1/2	1/2	3/4	2	1		IV		e	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
67	66	0	0	3/4	2	1		I		e	I		I		I								M	1	0	0, 4, 1		0	0
67	66	1/2	1/2	3/4	2	1		I(96+#4)		e	I		I(96+#4)		I			96+#4					M	1	0	0, 4, 3	2, 6	0	0
68	67	0	0	3/4	2	1		I]|PC}		e	I		I		I					]	PC	}	M	1	0	0, 4, 1		0	0
69	68	1/2	1/2	3/4	2	1		i.iv7{		e	i		iv7		iv		7					{	mm7	1	1	-1, -4, 0, -3		-1	-1
71	70	0	0	3/4	2	1		i6		e	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
72	71	0	0	3/4	2	1		ii%43/VII		e	i		ii%43/VII		ii	%	43		VII				%7	1	1	-6, -2, 0, -3		0	-6
73	72	0	0	3/4	2	1		V/VII	IV	e	i		V/VII		V				VII				M	1	1	-1, 3, 0		-1	-1
74	73	0	0	3/4	2	1		VI		e	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
75	74	0	0	3/4	2	1		V7/V		e	i		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
76	75	0	0	3/4	2	1		V7		e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
77	76	0	0	3/4	2	1		i|PAC}		e	i		i		i						PAC	}	m	1	1	0, -3, 1		0	0
77	76	1/2	1/2	3/4	2	1		{		e	i											{		1	1				
78	77	0	0	3/4	2	1		iv43		e	i		iv43		iv		43						mm7	1	1	0, -3, -1, -4		-1	0
79	78	0	0	3/4	2	1		IIIM43		e	i		IIIM43		III	M	43						MM7	1	1	-2, 2, -3, 1		-3	-2
80	79	0	0	3/4	2	1		ii%43		e	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
81	80	0	0	3/4	2	1		i43		e	i		i43		i		43						mm7	1	1	1, -2, 0, -3		0	1
82	81	0	0	3/4	2	1		#viio43		e	i		#viio43		#vii	o	43						o7	1	1	-1, -4, 5, 2		5	-1
83	82	0	0	3/4	2	1		#vi%43	ii%43/V	e	i		#vi%43		#vi	%	43						%7	1	1	-3, 1, 3, 0		3	-3
84	83	0	0	3/4	2	1		V64		e	i		V64		V		64						M	1	1	2, 1, 5		1	2
84	83	1/4	1/4	3/4	2	1		V2		e	i		V2		V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
84	83	1/2	1/2	3/4	2	1		Ger2(2)		e	i		Ger2(2)	Ger	vii	o	2	b32	V				Ger	1	1	-3, 1, -4, 0		6	-3
84	83	5/8	5/8	3/4	2	1		Ger2		e	i		Ger2	Ger	vii	o	2	b3	V				Ger	1	1	-3, 6, -4, 0		6	-3
85	84	0	0	3/4	2	1		V|HC}		e	i		V		V						HC	}	M	1	1	1, 5, 2		1	1
85	84	1/2	1/2	3/4	2	1		Ger2		e	i		Ger2	Ger	vii	o	2	b3	V				Ger	1	1	-3, 6, -4, 0		6	-3
86	85	0	0	3/4	2	1		V|HC		e	i		V		V						HC		M	1	1	1, 5, 2		1	1
87	86	1/2	1/2	3/4	2	1		iv7{		e	i		iv7		iv		7					{	mm7	1	1	-1, -4, 0, -3		-1	-1
89	88	0	0	3/4	2	2		i6		e	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
90	89	0	0	3/4	2	1		ii%43/VII		e	i		ii%43/VII		ii	%	43		VII				%7	1	1	-6, -2, 0, -3		0	-6
91	90	0	0	3/4	2	1		V/VII	IV	e	i		V/VII		V				VII				M	1	1	-1, 3, 0		-1	-1
92	91	0	0	3/4	2	1		VI		e	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
93	92	0	0	3/4	2	1		V7/V		e	i		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
94	93	0	0	3/4	2	1		V7		e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
95	94	0	0	3/4	2	1		i}		e	i		i		i							}	m	1	1	0, -3, 1		0	0
95	94	1/4	1/4	3/4	2	1		i(b964)		e	i		i(b964)		i			b964					m	1	1	0, -1, -4	-5	0	0
95	94	1/2	1/2	3/4	2	1		i(964)		e	i		i(964)		i			964					m	1	1	0, -1, -4	2	0	0
96	95	0	0	3/4	2	1		i|PAC		e	i		i		i						PAC		m	1	1	0, -3, 1		0	0
