mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin
12	12	45/2	45/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	78					
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	79					
12	12	23	23	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	80		articStaccatoBelow			
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	81		articAccentBelow			
12	12	22	22	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	82					
12	12	23	23	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	83					
12	12	23	23	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	84					
13	13	24	24	0.0	0	0	Dynamic	2/4	1	1	0					other-dynamics				
13	13	24	24	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	85					
13	13	24	24	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	86		articAccentStaccatoAbove			
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	87		articStaccatoAbove			
13	13	25	25	0.0	1/4	1/4	Chord	2/4	1	1	0	acciaccatura	1/8	1	88					
13	13	25	25	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	89		articAccentStaccatoAbove			
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	90		articStaccatoAbove			
13	13	24	24	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	91					
13	13	25	25	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	92					
13	13	25	25	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	93					
14	14	26	26	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	94				0	
14	14	105/4	105/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	95					
14	14	53/2	53/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	96					
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	97					
14	14	27	27	0.0	1/4	1/4	Spanner	2/4	1	1	0									0
14	14	27	27	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	98					0
14	14	109/4	109/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	99					0
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	100					0
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	101					0
14	14	26	26	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	102					
14	14	27	27	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	103					
14	14	27	27	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	104					
15	15	28	28	0.0	0	0	Dynamic	2/4	1	1	0					p				
15	15	28	28	0.0	0	0	Spanner	2/4	1	1	0									
15	15	28	28	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	105					
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	106					
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	107					
15	15	29	29	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	108					
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	109					
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	110					
15	15	29	29	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	111					
15	15	28	28	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	112					
15	15	29	29	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	113					
15	15	29	29	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	114					
16	16	30	30	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	115					
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	116					
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	117					
16	16	31	31	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	118		articStaccatoBelow			
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	119		articAccentBelow			
16	16	30	30	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	120					
16	16	31	31	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	121					
16	16	31	31	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	122					
17	17	32	32	0.0	0	0	Dynamic	2/4	1	1	0					f				
17	17	32	32	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	123					
17	17	32	32	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	124		articAccentStaccatoAbove			
17	17	65/2	65/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	125		articStaccatoAbove			
17	17	33	33	0.0	1/4	1/4	Chord	2/4	1	1	0	acciaccatura	1/8	1	126					
17	17	33	33	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	127		articAccentStaccatoAbove			
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	128		articStaccatoAbove			
17	17	32	32	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	129					
17	17	33	33	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	130					
17	17	33	33	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	131					
18	18	34	34	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	132				1	
18	18	137/4	137/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	133					
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	134					
18	18	139/4	139/4	0.0	3/16	3/16	Spanner	2/4	1	1	0									1
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	135					1
18	18	35	35	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	136					1
18	18	141/4	141/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	137					1
18	18	71/2	71/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	138					1
18	18	143/4	143/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	139					1
18	18	34	34	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	140					
18	18	35	35	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	141					
18	18	35	35	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	142					
19	19	36	36	0.0	0	0	Dynamic	2/4	1	1	0					p				
19	19	36	36	0.0	0	0	Spanner	2/4	1	1	0									
19	19	36	36	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	143					
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	144					
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	145					
19	19	37	37	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	146					
19	19	75/2	75/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	147					
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	148					
19	19	37	37	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	149					
19	19	36	36	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	150					
19	19	37	37	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	151					
19	19	37	37	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	152					
20	20	38	38	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	153					
20	20	77/2	77/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	154					
20	20	155/4	155/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	155					
20	20	39	39	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	156					
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	157					
20	20	39	39	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	158					
20	20	38	38	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	159					
20	20	39	39	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	160					
20	20	39	39	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	161					
21	21	40	40	0.0	0	0	Dynamic	2/4	1	1	0					fz				
21	21	40	40	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	162		articAccentAbove			
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	163					
21	21	41	41	0.0	1/4	1/4	Dynamic	2/4	1	1	0					fz				
21	21	41	41	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	164		articAccentAbove			
21	21	83/2	83/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	165					
21	21	40	40	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	166				2	
21	21	161/4	161/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	167					
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	168					
21	21	41	41	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	169				3	
21	21	165/4	165/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	170					
21	21	83/2	83/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	171					
21	21	40	40	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	172					
21	21	41	41	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	173					
21	21	41	41	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	174					
22	22	42	42	0.0	0	0	Dynamic	2/4	1	1	0					fz				
22	22	42	42	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	175		articAccentAbove			
22	22	85/2	85/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	176					
22	22	43	43	0.0	1/4	1/4	Dynamic	2/4	1	1	0					fz				
22	22	43	43	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	177		articAccentAbove			
22	22	87/2	87/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	178					
22	22	42	42	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	179				4	
22	22	169/4	169/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	180					
22	22	85/2	85/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	181					
22	22	43	43	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	182				5	
22	22	173/4	173/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	183					
22	22	87/2	87/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	184					
22	22	42	42	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	185					
22	22	43	43	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	186					
22	22	43	43	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	187					
23	23	44	44	0.0	0	0	Dynamic	2/4	1	1	0					p				
23	23	44	44	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	188					
23	23	89/2	89/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	189					
23	23	179/4	179/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	190					
23	23	45	45	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	191					
23	23	91/2	91/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	192					
23	23	183/4	183/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	193					
23	23	45	45	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	194					
23	23	44	44	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	195					
23	23	45	45	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	196					
23	23	45	45	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	197					
24	24	46	46	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	198					
24	24	93/2	93/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	199					
24	24	187/4	187/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	200					
24	24	47	47	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	201		articStaccatoBelow			
24	24	95/2	95/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	202		articAccentBelow			
24	24	46	46	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	203					
24	24	47	47	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	204					
24	24	47	47	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	205					
25	25	48	48	0.0	0	0	Dynamic	2/4	1	1	0					fz				
25	25	48	48	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	206		articAccentAbove		6	
25	25	193/4	193/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	207					
25	25	97/2	97/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	208					
25	25	195/4	195/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	209					
25	25	49	49	0.0	1/4	1/4	Dynamic	2/4	1	1	0					fz				
25	25	49	49	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	210		articAccentAbove		7	
25	25	197/4	197/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	211					
25	25	99/2	99/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	212					
25	25	199/4	199/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	213					
25	25	48	48	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	214					
25	25	49	49	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	215					
25	25	49	49	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	216					
26	26	50	50	0.0	0	0	Dynamic	2/4	1	1	0					fz				
26	26	50	50	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	217		articAccentAbove		8	
26	26	201/4	201/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	218					
26	26	101/2	101/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	219					
26	26	203/4	203/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	220					
26	26	51	51	0.0	1/4	1/4	Dynamic	2/4	1	1	0					fz				
26	26	51	51	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	221		articAccentAbove		9	
26	26	205/4	205/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	222					
26	26	103/2	103/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	223					
26	26	207/4	207/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	224					
26	26	50	50	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	225					
26	26	51	51	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	226					
26	26	51	51	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	227					
27	27	52	52	0.0	0	0	Dynamic	2/4	1	1	0					p				
27	27	52	52	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	228					
27	27	105/2	105/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	229					
27	27	211/4	211/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	230					
27	27	53	53	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	231					
27	27	107/2	107/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	232					
27	27	215/4	215/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	233					
27	27	53	53	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	234					
27	27	52	52	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	235					
27	27	53	53	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	236					
27	27	53	53	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	237					
28	28	54	54	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	238					
28	28	109/2	109/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	239					
28	28	219/4	219/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	240					
28	28	55	55	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	241		articStaccatoBelow			
28	28	111/2	111/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	242		articAccentBelow			
28	28	54	54	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	243					
28	28	55	55	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	244					
28	28	55	55	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	245					
29	29	56	56	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	246					
29	29	113/2	113/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	247					
29	29	227/4	227/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	248					
29	29	57	57	0.0	1/4	1/4	StaffText	2/4	1	1	0							sempre		
29	29	57	57	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	249					
29	29	115/2	115/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	250					
29	29	231/4	231/4	0.0	7/16	7/16	Dynamic	2/4	1	1	0					p				
29	29	231/4	231/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	251					
29	29	57	57	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	252					
29	29	56	56	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	253					
29	29	57	57	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	254					
29	29	57	57	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	255					
30	30	58	58	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	256					
30	30	117/2	117/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	257					
30	30	235/4	235/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	258					
30	30	59	59	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	259		articStaccatoBelow			
30	30	119/2	119/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	260		articAccentBelow			
30	30	58	58	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	261					
30	30	59	59	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	262					
30	30	59	59	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	263					
31	31	60	60	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	264					
31	31	241/4	241/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	265					
31	31	121/2	121/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	266					
31	31	243/4	243/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	267					
31	31	61	61	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	268				10	
31	31	245/4	245/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	269					
