mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	crescendo_hairpin
7	7	39/2	39/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	70		articAccentAbove							
7	7	18	18	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	71									
7	7	19	19	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	72									
7	7	39/2	39/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	73									
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	74									
7	7	18	18	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	75									
7	7	19	19	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	76									
7	7	39/2	39/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	77									
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	78									
8	8	21	21	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	79									
8	8	21	21	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	80									
8	8	22	22	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	81									
8	8	45/2	45/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	82									
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	83									
8	8	21	21	0.0	0	0	Spanner	6/8	2	1	0													0
8	8	21	21	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	84									0
8	8	22	22	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	85									0
8	8	45/2	45/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	86									0
8	8	47/2	47/2	0.0	5/8	5/8	Spanner	6/8	2	1	0													
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	87									
9	9	24	24	0.0	0	0	Dynamic	6/8	1	1	0					f								
9	9	24	24	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	88									
9	9	51/2	51/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	89		articAccentAbove							
9	9	24	24	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	90									
9	9	25	25	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	91									
9	9	51/2	51/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	92									
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	93									
9	9	24	24	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	94									
9	9	25	25	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	95									
9	9	51/2	51/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	96									
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	97									
10	10	27	27	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	98									
10	10	57/2	57/2	0.0	3/8	3/8	Chord	6/8	1	1	0	acciaccatura	1/8	1	99									
10	10	57/2	57/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	100									
10	10	29	29	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	101									
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	102									
10	10	27	27	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	103									
10	10	28	28	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	104									
10	10	57/2	57/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	105									
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	106									
10	10	27	27	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	107									
10	10	28	28	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	108									
10	10	57/2	57/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	109									
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	110									
11	11	30	30	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	111									
11	11	63/2	63/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	112		articAccentAbove							
11	11	30	30	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	113									
11	11	31	31	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	114									
11	11	63/2	63/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	115									
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	116									
11	11	30	30	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	117									
11	11	31	31	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	118									
11	11	63/2	63/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	119									
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	120									
12	12	33	33	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	121									
12	12	69/2	69/2	0.0	3/8	3/8	Chord	6/8	1	1	0	acciaccatura	1/8	1	122									
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	123									
12	12	35	35	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	124									
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	125									
12	12	33	33	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	126									
12	12	34	34	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	127									
12	12	69/2	69/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	128									
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	129									
12	12	33	33	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	130									
12	12	34	34	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	131									
12	12	69/2	69/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	132									
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	133									
13	13	36	36	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	134									
13	13	75/2	75/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	135		articAccentAbove							
13	13	36	36	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	136									
13	13	37	37	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	137									
13	13	75/2	75/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	138									
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	139									
13	13	36	36	0.0	0	0	StaffText	6/8	2	1	0							"<font size=""11.2544""/><font face=""Plantin MT Std""/>dim."						
13	13	36	36	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	140									
13	13	37	37	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	141									
13	13	75/2	75/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	142									
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	143									
14	14	39	39	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	144									
14	14	81/2	81/2	0.0	3/8	3/8	Chord	6/8	1	1	0	acciaccatura	1/8	1	145									
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	146									
14	14	41	41	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	147									
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	148									
14	14	39	39	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	149									
14	14	40	40	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	150									
14	14	81/2	81/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	151									
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	152									
14	14	39	39	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	153									
14	14	40	40	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	154									
14	14	81/2	81/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	155									
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	156									
15	15	42	42	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	157									
15	15	87/2	87/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	158		articAccentAbove							
15	15	42	42	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	159									
15	15	43	43	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	160									
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	161									
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	162									
15	15	42	42	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	163									
15	15	43	43	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	164									
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	165									
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	166									
16	16	45	45	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	167									
16	16	45	45	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	168									
16	16	46	46	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	169									
16	16	93/2	93/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	170									
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	171									
16	16	45	45	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	172									
16	16	46	46	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	173									
16	16	93/2	93/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	174									
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	175		articStaccatoAbove							
17	17	48	48	0.0	0	0	StaffText	6/8	1	1	0							"<font size=""11.2544""/><font face=""Plantin MT Std""/>piu mosso"						
17	17	48	48	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	176									
17	17	99/2	99/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	177		articAccentAbove							
17	17	48	48	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	178									
17	17	49	49	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	179									
17	17	99/2	99/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	180									
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	181									
17	17	48	48	0.0	0	0	Dynamic	6/8	2	1	0					pp								
17	17	48	48	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	182									
17	17	49	49	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	183									
17	17	99/2	99/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	184									
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	185									
18	18	51	51	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	186									
18	18	105/2	105/2	0.0	3/8	3/8	Chord	6/8	1	1	0	acciaccatura	1/8	1	187									
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	188									
18	18	53	53	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	189									
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	190									
18	18	51	51	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	191									
18	18	52	52	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	192									
18	18	105/2	105/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	193									
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	194									
18	18	51	51	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	195									
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	196									
18	18	105/2	105/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	197									
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	198									
19	19	54	54	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	199									
19	19	111/2	111/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	200		articAccentAbove							
19	19	54	54	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	201									
19	19	55	55	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	202									
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	203									
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	204									
19	19	54	54	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	205									
19	19	55	55	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	206									
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	207									
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	208									
20	20	57	57	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	209									
20	20	117/2	117/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	210									
20	20	57	57	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	211									
20	20	58	58	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	212									
20	20	117/2	117/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	213									
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	214									
20	20	57	57	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	215									
20	20	58	58	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	216									
20	20	117/2	117/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	217									
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	218									
21	21	60	60	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	219									
21	21	123/2	123/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	220		articAccentAbove							
21	21	60	60	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	221									
21	21	61	61	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	222									
21	21	123/2	123/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	223									
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	224									
21	21	60	60	0.0	0	0	StaffText	6/8	2	1	0							"<font size=""11.2544""/><font face=""Plantin MT Std""/>stretto"						
21	21	60	60	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	225									
21	21	61	61	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	226									
21	21	123/2	123/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	227									
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	228									
22	22	63	63	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	229									
22	22	129/2	129/2	0.0	3/8	3/8	Chord	6/8	1	1	0	acciaccatura	1/8	1	230									
22	22	129/2	129/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	231									
22	22	65	65	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	232									
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	233									
22	22	63	63	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	234									
22	22	64	64	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	235									
22	22	129/2	129/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	236									
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	237									
22	22	63	63	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	238									
22	22	64	64	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	239									
22	22	129/2	129/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	240									
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	241									
23	23	66	66	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	242									
23	23	135/2	135/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	243		articAccentAbove							
23	23	66	66	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	244									
23	23	67	67	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	245									
23	23	135/2	135/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	246									
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	247									
23	23	66	66	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	248									
23	23	67	67	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	249									
23	23	135/2	135/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	250									
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	251									
24	24	69	69	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	252									
24	24	141/2	141/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	253									
24	24	69	69	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	254									
24	24	70	70	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	255									
24	24	141/2	141/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	256									
24	24	143/2	143/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	257									
24	24	69	69	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	258									
24	24	70	70	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	259									
24	24	141/2	141/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	260									
24	24	143/2	143/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	261									
25	25	72	72	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	262									
25	25	147/2	147/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	263		articAccentAbove							
25	25	72	72	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	264									
25	25	73	73	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	265									
25	25	147/2	147/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	266									
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	267									
25	25	72	72	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	268									
25	25	73	73	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	269									
25	25	147/2	147/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	270									
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	271									
26	26	75	75	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	272									
26	26	153/2	153/2	0.0	3/8	3/8	Chord	6/8	1	1	0	acciaccatura	1/8	1	273									
26	26	153/2	153/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	274									
26	26	77	77	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	275									
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	276									
26	26	75	75	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	277									
26	26	76	76	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	278									
26	26	153/2	153/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	279									
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	280									
