mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
3	3	8	8	0.0	0	0	Spanner	4/4	2	1	0														1	1		
3	3	8	8	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	16									2	1	1		
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	17									2	1	1		
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	18									2	1	1		
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	19									2	1	1		
4	4	12	12	0.0	0	0	Spanner	4/4	1	1	0																	
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	20													
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	21		articAccentAbove							3				
4	4	12	12	4.0	0	0	Chord	4/4	1	2	1		1	1	22													
5	5	16	16	0.0	0	0	Chord	4/4	1	1	0	acciaccatura	1/8	1	23													
5	5	16	16	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	24													
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	25									4				
5	5	16	16	0.0	0	0	Spanner	4/4	2	1	0																	
5	5	16	16	0.0	0	0	Spanner	4/4	2	1	0														2	2		
5	5	16	16	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	26									5	2	2		
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	27									5	2	2		
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	28									5	2	2		
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	29									5	2	2		
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	30									5	2	2		
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	31									5	2	2		
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	32									5	2	2		
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	33										2	2		
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	34									4				
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	35									4				
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	36									4				
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	37													
6	6	20	20	4.0	0	0	Chord	4/4	1	2	1		1	1	38													
6	6	20	20	0.0	0	0	Spanner	4/4	2	1	0																	
6	6	41/2	41/2	0.0	1/8	1/8	Spanner	4/4	2	1	0														3	3		
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	39									6	3	3		
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	40									6	3	3		
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	41									6	3	3		
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	42									6	3	3		
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	43									6	3	3		
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	44									6	3	3		
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	45										3	3		
7	7	24	24	4.0	0	0	Chord	4/4	1	1	1		1	1	46									7				
7	7	24	24	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	47									8				
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	48									8				
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	49									8				
7	7	27	27	0.0	3/4	3/4	Spanner	4/4	1	2	0													8			0	
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	50									8			0	
7	7	24	24	0.0	0	0	Spanner	4/4	2	1	0																	
7	7	49/2	49/2	0.0	1/8	1/8	Spanner	4/4	2	1	0														4	4		
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	51									9	4	4		
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	52									9	4	4		
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	53										4	4		
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	2	1	0																	
7	7	53/2	53/2	0.0	5/8	5/8	Spanner	4/4	2	1	0														5	5		
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	54									10	5	5		
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	55									10	5	5		
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	56										5	5		
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	57									7			0	
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	58									7			0	
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	59									7			0	
8	8	28	28	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	60									8			0	
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	61									8			0	
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	62									8			0	
8	8	28	28	0.0	0	0	Spanner	4/4	2	1	0																	
8	8	57/2	57/2	0.0	1/8	1/8	Spanner	4/4	2	1	0														6	6		
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	63									11	6	6		
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	64									11	6	6		
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	65										6	6		
8	8	30	30	0.0	1/2	1/2	Spanner	4/4	2	1	0																	
8	8	61/2	61/2	0.0	5/8	5/8	Spanner	4/4	2	1	0														7	7		
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	66									12	7	7		
8	8	31	31	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	67									12	7	7		
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	68										7	7		
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	69													
9	9	32	32	0.0	0	0	Spanner	4/4	1	2	0																	
9	9	32	32	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	70													
9	9	32	32	0.0	0	0	Spanner	4/4	2	1	0																	
9	9	65/2	65/2	0.0	1/8	1/8	Spanner	4/4	2	1	0														8	8		
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	71									13	8	8		
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	72									13	8	8		
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	73									13	8	8		
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	74									13	8	8		
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	75									13	8	8		
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	76									13	8	8		
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	77										8	8		
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	78		articAccentAbove											
10	10	38	38	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	79									14				
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	80									14				
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	81													
10	10	36	36	4.0	0	0	Chord	4/4	1	3	1		1	1	82													
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	83													
11	11	40	40	0.0	0	0	Spanner	4/4	2	1	0																	
11	11	40	40	0.0	0	0	Spanner	4/4	2	1	0																	1
11	11	40	40	0.0	0	0	Spanner	4/4	2	1	0														9	9		1
11	11	40	40	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	84									15	9	9		1
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	85									15	9	9		1
11	11	41	41	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	86									15	9	9		1
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	87									15	9	9		1
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	88									15	9	9		1
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	89									15	9	9		1
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	90									15	9	9		1
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	91										9	9		1
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	92		articAccentAbove							16				
12	12	46	46	0.6666666666666666	1/2	1/2	Chord	4/4	1	1	1/6		1/4	2/3	93									16				
12	12	140/3	140/3	0.6666666666666666	2/3	2/3	Chord	4/4	1	1	1/6		1/4	2/3	94									16				
12	12	142/3	142/3	0.6666666666666666	5/6	5/6	Chord	4/4	1	1	1/6		1/4	2/3	95													
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	96													
12	12	44	44	4.0	0	0	Chord	4/4	1	3	1		1	1	97													
12	12	44	44	0.0	0	0	Spanner	4/4	2	1	0														9	9		
13	13	48	48	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	98													
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	99									17				
13	13	48	48	0.0	0	0	Spanner	4/4	2	1	0																	
13	13	48	48	0.0	0	0	Spanner	4/4	2	1	0														10	10		
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	100									18	10	10		
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	101									18	10	10		
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	102									18	10	10		
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	103									18	10	10		
13	13	50	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	104									18	10	10		
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	105									18	10	10		
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	106									18	10	10		
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	107										10	10		
14	14	52	52	0.6666666666666666	0	0	Chord	4/4	1	1	1/6		1/4	2/3	108									17				
14	14	158/3	158/3	0.6666666666666666	1/6	1/6	Chord	4/4	1	1	1/6		1/4	2/3	109									17				
14	14	160/3	160/3	0.6666666666666666	1/3	1/3	Chord	4/4	1	1	1/6		1/4	2/3	110									17				
14	14	54	54	0.6666666666666666	1/2	1/2	Chord	4/4	1	1	1/6		1/4	2/3	111									17				
14	14	164/3	164/3	0.6666666666666666	2/3	2/3	Chord	4/4	1	1	1/6		1/4	2/3	112									17				
14	14	166/3	166/3	0.6666666666666666	5/6	5/6	Chord	4/4	1	1	1/6		1/4	2/3	113									17				
14	14	52	52	4.0	0	0	Chord	4/4	1	2	1		1	1	114													
14	14	52	52	0.0	0	0	Spanner	4/4	2	1	0																	
14	14	105/2	105/2	0.0	1/8	1/8	Spanner	4/4	2	1	0														11	11		
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	115									19	11	11		
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	116									19	11	11		
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	117									19	11	11		
14	14	54	54	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	118									19	11	11		
14	14	109/2	109/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	119									19	11	11		
14	14	55	55	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	120									19	11	11		
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	121										11	11		
15	15	56	56	0.0	0	0	Spanner	4/4	1	1	0													17			1	
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	122									17			1	
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	123												1	
15	15	58	58	0.0	1/2	1/2	Spanner	4/4	1	1	0																	
15	15	56	56	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	124													
15	15	56	56	0.0	0	0	Spanner	4/4	2	1	0																	
15	15	56	56	0.0	0	0	Spanner	4/4	2	1	0														12	12		
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	125										12	12		
15	15	57	57	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	126										12	12		
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	127										12	12		
15	15	58	58	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	128										12	12		
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	129										12	12		
15	15	59	59	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	130										12	12		
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	131										12	12		
16	16	62	62	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	132													
16	16	63	63	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	133													
16	16	255/4	255/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	134													
16	16	60	60	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	135													
16	16	61	61	3.0	1/4	1/4	Chord	4/4	1	2	3/4		1/2	3/2	136		articAccentBelow											
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	3	1/2		1/2	1	137													
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	138									20				
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	139													
17	17	64	64	0.0	0	0	Spanner	4/4	2	1	0																	
17	17	64	64	0.0	0	0	Spanner	4/4	2	1	0														13	13		
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	140									21	13	13		
17	17	65	65	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	141									21	13	13		
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	142									21	13	13		
17	17	66	66	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	143									21	13	13		
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	144									21	13	13		
17	17	67	67	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	145									21	13	13		
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	146									21	13	13		
18	18	69	69	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	147									22				
18	18	70	70	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	148									22				
18	18	71	71	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	149									22				
18	18	69	69	3.0	1/4	1/4	Chord	4/4	1	2	3/4		1/2	3/2	150													
18	18	68	68	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	151										13	13		
18	18	69	69	0.0	1/4	1/4	Spanner	4/4	2	1	0																	
18	18	69	69	3.0	1/4	1/4	Chord	4/4	2	1	3/4		1/2	3/2	152													
19	19	72	72	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	153									22				
19	19	73	73	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	154									22				
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	155													
19	19	72	72	4.0	0	0	Chord	4/4	1	2	1		1	1	156													
19	19	145/2	145/2	0.0	1/8	1/8	Spanner	4/4	2	1	0														14	14		
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	157									23	14	14		
19	19	73	73	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	158									23	14	14		
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	159									23	14	14		
19	19	74	74	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	160									23	14	14		
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	161									23	14	14		
19	19	75	75	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	162									23	14	14		
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	163									23	14	14		
20	20	77	77	0.0	1/4	1/4	StaffText	4/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>cresc.</i>"										
20	20	77	77	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	164									24				
20	20	78	78	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	165									24				
20	20	79	79	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	166													
20	20	77	77	3.0	1/4	1/4	Chord	4/4	1	2	3/4		1/2	3/2	167													
20	20	76	76	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	168										14	14		
20	20	77	77	0.0	1/4	1/4	Spanner	4/4	2	1	0																	
20	20	77	77	3.0	1/4	1/4	Chord	4/4	2	1	3/4		1/2	3/2	169													
21	21	80	80	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	170									25				
21	21	81	81	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	171									25				
21	21	82	82	0.0	1/2	1/2	StaffText	4/4	1	1	0							stretto						25				
21	21	82	82	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	172									25				
21	21	83	83	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	173									25				
21	21	80	80	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	174													
21	21	82	82	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	175													
21	21	161/2	161/2	0.0	1/8	1/8	Spanner	4/4	2	1	0														15	15		
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	176									26	15	15		
21	21	81	81	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	177									26	15	15		
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	178										15	15		
21	21	82	82	0.0	1/2	1/2	Spanner	4/4	2	1	0																	
21	21	165/2	165/2	0.0	5/8	5/8	Spanner	4/4	2	1	0														16	16		
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	179										16	16		
21	21	83	83	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	180										16	16		
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	181										16	16		
22	22	84	84	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	182									25				
22	22	85	85	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	183									25				
22	22	86	86	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	184									25				
22	22	87	87	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	185									25				
22	22	84	84	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	186													
22	22	86	86	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	187													
22	22	84	84	0.0	0	0	Spanner	4/4	2	1	0																	
22	22	169/2	169/2	0.0	1/8	1/8	Spanner	4/4	2	1	0														17	17		
22	22	169/2	169/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	188									27	17	17		
22	22	85	85	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	189									27	17	17		
22	22	171/2	171/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	190										17	17		
22	22	86	86	0.0	1/2	1/2	Spanner	4/4	2	1	0																	
22	22	173/2	173/2	0.0	5/8	5/8	Spanner	4/4	2	1	0														18	18		
22	22	173/2	173/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	191									28	18	18		
22	22	87	87	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	192									28	18	18		
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	193										18	18		
23	23	88	88	4.0	0	0	Chord	4/4	1	1	1		1	1	194													
23	23	88	88	0.0	0	0	Spanner	4/4	2	1	0																	
23	23	88	88	0.6666666666666666	0	0	Chord	4/4	2	1	1/6		1/4	2/3	195									29				
23	23	266/3	266/3	0.6666666666666666	1/6	1/6	Chord	4/4	2	1	1/6		1/4	2/3	196									29				
23	23	268/3	268/3	0.6666666666666666	1/3	1/3	Chord	4/4	2	1	1/6		1/4	2/3	197									29				
23	23	90	90	0.6666666666666666	1/2	1/2	Chord	4/4	2	1	1/6		1/4	2/3	198									29				
23	23	272/3	272/3	0.6666666666666666	2/3	2/3	Chord	4/4	2	1	1/6		1/4	2/3	199									29				
23	23	274/3	274/3	0.6666666666666666	5/6	5/6	Chord	4/4	2	1	1/6		1/4	2/3	200									29				
23	23	88	88	0.6666666666666666	0	0	Chord	4/4	2	2	1/6		1/4	2/3	201									30				
23	23	266/3	266/3	0.6666666666666666	1/6	1/6	Chord	4/4	2	2	1/6		1/4	2/3	202									30				
23	23	268/3	268/3	0.6666666666666666	1/3	1/3	Chord	4/4	2	2	1/6		1/4	2/3	203									30				
23	23	90	90	0.6666666666666666	1/2	1/2	Chord	4/4	2	2	1/6		1/4	2/3	204									30				
23	23	272/3	272/3	0.6666666666666666	2/3	2/3	Chord	4/4	2	2	1/6		1/4	2/3	205									30				
23	23	274/3	274/3	0.6666666666666666	5/6	5/6	Chord	4/4	2	2	1/6		1/4	2/3	206									30				
24	24	92	92	0.0	0	0	StaffText	4/4	1	1	0							ritard.										
24	24	92	92	0.0	0	0	Spanner	4/4	1	1	0																2	
24	24	92	92	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	207												2	
24	24	94	94	1.3333333333333333	1/2	1/2	Chord	4/4	1	1	1/3		1/2	2/3	208									31			2	
24	24	286/3	286/3	0.6666666666666666	5/6	5/6	Chord	4/4	1	1	1/6		1/4	2/3	209												2	
24	24	92	92	0.6666666666666666	0	0	Chord	4/4	2	1	1/6		1/4	2/3	210									29				
24	24	278/3	278/3	0.6666666666666666	1/6	1/6	Chord	4/4	2	1	1/6		1/4	2/3	211									29				
24	24	280/3	280/3	0.6666666666666666	1/3	1/3	Chord	4/4	2	1	1/6		1/4	2/3	212									29				
24	24	94	94	0.6666666666666666	1/2	1/2	Chord	4/4	2	1	1/6		1/4	2/3	213									29				
24	24	284/3	284/3	0.6666666666666666	2/3	2/3	Chord	4/4	2	1	1/6		1/4	2/3	214									29				
24	24	286/3	286/3	0.6666666666666666	5/6	5/6	Chord	4/4	2	1	1/6		1/4	2/3	215													
24	24	92	92	0.6666666666666666	0	0	Chord	4/4	2	2	1/6		1/4	2/3	216									30				
24	24	278/3	278/3	0.6666666666666666	1/6	1/6	Chord	4/4	2	2	1/6		1/4	2/3	217									30				
24	24	280/3	280/3	0.6666666666666666	1/3	1/3	Chord	4/4	2	2	1/6		1/4	2/3	218									30				
24	24	94	94	0.6666666666666666	1/2	1/2	Chord	4/4	2	2	1/6		1/4	2/3	219									30				
24	24	284/3	284/3	0.6666666666666666	2/3	2/3	Chord	4/4	2	2	1/6		1/4	2/3	220									30				
24	24	286/3	286/3	0.6666666666666666	5/6	5/6	Chord	4/4	2	2	1/6		1/4	2/3	221													
25	25	96	96	0.0	0	0	StaffText	4/4	1	1	0							 a tempo										
25	25	96	96	0.0	0	0	Spanner	4/4	1	1	0																	
25	25	96	96	0.0	0	0	Dynamic	4/4	2	1	0					p												
25	25	96	96	0.0	0	0	Spanner	4/4	2	1	0														19	19		
25	25	96	96	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	222									32	19	19		
25	25	193/2	193/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	223									32	19	19		
25	25	97	97	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	224									32	19	19		
25	25	195/2	195/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	225									32	19	19		
25	25	98	98	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	226									32	19	19		
