mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	39								
7	7	18	18	0.0	0	0	Spanner	3/4	2	1	0												
7	7	19	19	0.0	1/4	1/4	Spanner	3/4	2	1	0											3	3
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	40		articStaccatoAbove					3	3
8	8	21	21	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	41								
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	42								
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0												
8	8	22	22	0.0	1/4	1/4	Spanner	3/4	2	1	0											4	4
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	43		articStaccatoAbove					4	4
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	44		articStaccatoBelow					4	4
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	45				5				
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	46				5				
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	47				5				
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	48				5				
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	49				5				
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	50				5				
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0												
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0											5	5
9	9	24	24	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	51							5	5
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	52				5				
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	53				5				
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	54				5				
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	55				5				
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	56				5				
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	57				5				
10	10	27	27	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	58							5	5
10	10	29	29	0.0	1/2	1/2	Spanner	3/4	2	1	0												
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	59				5				
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	60				5				
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	61				5				
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	62				5				
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	63				5				
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	64				5				
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	65				5				
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	66				5				
12	12	34	34	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	67								
12	12	33	33	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	68								
12	12	33	33	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	69				6				
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	70								
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	71				7				
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	72				7				
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	73				7				
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	74				7				
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	75				7				
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	76				7				
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0											6	6
13	13	36	36	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	77							6	6
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	78				7				
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	79				7				
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	80				7				
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	81				7				
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	82				7				
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	83				7				
14	14	39	39	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	84							6	6
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	85				7				
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	86				7				
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	87				7				
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	88				7				
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	89				7				
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	90				7				
15	15	42	42	0.0	0	0	Spanner	3/4	2	1	0												
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	91				7				
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	92				7				
16	16	46	46	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	93								
16	16	45	45	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	94								
16	16	45	45	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	95				8				
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	96								
17	17	48	48	0.0	0	0	Dynamic	3/4	1	1	0					p							
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	97				9				
17	17	97/2	97/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	98				9				
17	17	195/4	195/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	99				9				
17	17	49	49	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	100								
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	101		articStaccatoAbove						
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	102		articStaccatoBelow						
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	103				10				
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	104								
18	18	52	52	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	105				11				
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	106								
18	18	53	53	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	107				12				
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	108								
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	109		articStaccatoBelow						
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	110		articStaccatoBelow						
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	111		articStaccatoAbove						
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	112		articStaccatoAbove						
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	113				13				
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	114								
19	19	55	55	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	115				14				
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	116								
19	19	56	56	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	117				15				
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	118								
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	119		articStaccatoBelow						
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	120		articStaccatoBelow						
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	121		articStaccatoAbove						
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	122		articStaccatoAbove						
20	20	57	57	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	123				16				
20	20	115/2	115/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	124				16				
20	20	231/4	231/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	125				16				
20	20	58	58	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	126								
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	127		articStaccatoAbove						
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	128		articStaccatoBelow						
21	21	60	60	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	129				17				
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	130								
21	21	61	61	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	131				18				
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	132								
21	21	62	62	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	133				19				
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	134								
21	21	61	61	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	135		articStaccatoBelow						
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	136		articStaccatoBelow						
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	137		articStaccatoAbove						
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	138		articStaccatoAbove						
22	22	63	63	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	139				20				
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	140								
22	22	64	64	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	141				21				
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	142								
22	22	65	65	0.0	1/2	1/2	StaffText	3/4	1	1	0							<i>cresc.</i>					
22	22	65	65	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	143				22				
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	144								
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	145		articStaccatoBelow						
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	146		articStaccatoBelow						
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	147		articStaccatoAbove						
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	148		articStaccatoAbove						
23	23	66	66	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	149				23				
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	150								
23	23	67	67	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	151				24				
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	152								
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	153				25				
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	154								
23	23	67	67	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	155		articStaccatoBelow						
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	156		articStaccatoBelow						
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	157		articStaccatoAbove						
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	158		articStaccatoAbove						
24	24	69	69	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	159				26				
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	160								
24	24	70	70	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	161				27				
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	162								
24	24	71	71	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	163				28				
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	164								
24	24	70	70	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	165		articStaccatoBelow						
24	24	71	71	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	166		articStaccatoBelow						
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	167		articStaccatoAbove						
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	168		articStaccatoAbove						
25	25	72	72	0.0	0	0	StaffText	3/4	1	1	0							<i>stretto</i>					
25	25	72	72	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	169		articAccentAbove		29				
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	170				29				
25	25	73	73	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	171				29				
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	172								
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	173		articAccentAbove		30				
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	174				30				
25	25	73	73	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	175								
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	176								
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	177				30				
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	178								
26	26	76	76	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	179		articAccentAbove		31				
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	180				31				
26	26	77	77	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	181				31				
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	182								
26	26	75	75	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	183								
26	26	77	77	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	184								
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	185								
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	186								
27	27	78	78	0.0	0	0	StaffText	3/4	1	1	0							<i>piú cresc.</i>					
27	27	78	78	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	187				32				
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	188								
27	27	79	79	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	189				33				
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	190								
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	191				34				
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	192								
27	27	157/2	157/2	1.0	1/8	1/8	Chord	3/4	2	1	1/4		1/4	1	193		articAccentBelow						
27	27	159/2	159/2	1.0	3/8	3/8	Chord	3/4	2	1	1/4		1/4	1	194		articAccentBelow						
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	195		articAccentAbove						
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	196				35				
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	197								
28	28	82	82	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	198				36				
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	199								
28	28	83	83	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	200				37				
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	201								
28	28	81	81	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	202								
28	28	163/2	163/2	1.0	1/8	1/8	Chord	3/4	2	1	1/4		1/4	1	203		articAccentAbove						
28	28	165/2	165/2	1.0	3/8	3/8	Chord	3/4	2	1	1/4		1/4	1	204		articAccentBelow						
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	205		articAccentBelow						
29	29	84	84	0.0	0	0	Dynamic	3/4	1	1	0					f							
29	29	84	84	0.0	0	0	StaffText	3/4	1	1	0							a tempo					
29	29	84	84	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	206								
29	29	169/2	169/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	207								
29	29	339/4	339/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	208								
29	29	85	85	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	209		articAccentBelow						
29	29	86	86	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	210		articStaccatoAbove						
29	29	84	84	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	211								
29	29	169/2	169/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	212								
29	29	339/4	339/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	213								
29	29	85	85	0.0	1/4	1/4	Spanner	3/4	2	1	0											7	7
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	214		articAccentAbove					7	7
29	29	86	86	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	215		articStaccatoAbove					7	7
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	216								
30	30	175/2	175/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	217								
30	30	351/4	351/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	218								
30	30	88	88	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	219		articAccentBelow						
30	30	89	89	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	220		articStaccatoAbove						
30	30	87	87	0.0	0	0	Spanner	3/4	2	1	0												
30	30	87	87	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	221								
30	30	175/2	175/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	222								
30	30	351/4	351/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	223								
30	30	88	88	0.0	1/4	1/4	Spanner	3/4	2	1	0											8	8
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	224		articAccentAbove					8	8
30	30	89	89	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	225		articStaccatoAbove					8	8
31	31	90	90	0.0	0	0	Dynamic	3/4	1	1	0					other-dynamics							
31	31	90	90	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	226								
31	31	181/2	181/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	227								
31	31	363/4	363/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	228								
31	31	91	91	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	229		articAccentBelow						
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	230		articStaccatoAbove						
31	31	90	90	0.0	0	0	Spanner	3/4	2	1	0												
31	31	90	90	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	231								
31	31	181/2	181/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	232								
31	31	363/4	363/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	233								
31	31	91	91	0.0	1/4	1/4	Spanner	3/4	2	1	0											9	9
31	31	91	91	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	234		articAccentAbove					9	9
31	31	92	92	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	235		articStaccatoAbove					9	9
32	32	93	93	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	236								
32	32	187/2	187/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	237								
32	32	375/4	375/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	238								
32	32	94	94	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	239		articAccentBelow						
32	32	95	95	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	240		articStaccatoAbove						
32	32	93	93	0.0	0	0	Spanner	3/4	2	1	0												
32	32	93	93	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	241								
32	32	187/2	187/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	242								
32	32	375/4	375/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	243								
32	32	94	94	0.0	1/4	1/4	Spanner	3/4	2	1	0											10	10
32	32	94	94	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	244		articAccentAbove					10	10
32	32	95	95	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	245		articStaccatoAbove					10	10
33	33	96	96	0.0	0	0	Dynamic	3/4	1	1	0					ff							
33	33	96	96	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	246								
33	33	96	96	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	247								
33	33	193/2	193/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	248								
33	33	97	97	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	249								
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	250								
33	33	98	98	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	251								
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	252								
33	33	96	96	0.0	0	0	Spanner	3/4	2	1	0												
33	33	96	96	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	253								
33	33	96	96	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	254								
