mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
1	1	13/4	13/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	18					2				
1	1	7/2	7/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	19					2				
1	1	15/4	15/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	20									
2	2	4	4	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	21			articAccentAbove		3				
2	2	19/4	19/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	22					3				
2	2	5	5	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	23			articAccentAbove		3				
2	2	23/4	23/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	24					3				
2	2	6	6	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	25			articAccentAbove		3				
2	2	27/4	27/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	26					3				
2	2	7	7	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	27			articAccentAbove		3				
2	2	31/4	31/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	28									
2	2	17/4	17/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	29					4				
2	2	9/2	9/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	30					4				
2	2	19/4	19/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	31									
2	2	21/4	21/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	32					5				
2	2	11/2	11/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	33					5				
2	2	23/4	23/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	34									
2	2	25/4	25/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	35					6				
2	2	13/2	13/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	36					6				
2	2	27/4	27/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	37									
2	2	29/4	29/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	38					7				
2	2	15/2	15/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	39					7				
2	2	31/4	31/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	40									
3	3	8	8	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	41			articAccentAbove		8				
3	3	35/4	35/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	42					8				
3	3	9	9	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	43					8				
3	3	37/4	37/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	44					8				
3	3	19/2	19/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	45					8				
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	46					8				
3	3	10	10	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	47					8				
3	3	41/4	41/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	48					8				
3	3	21/2	21/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	49					8				
3	3	43/4	43/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	50					8				
3	3	11	11	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	51					8				
3	3	45/4	45/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	52					8				
3	3	23/2	23/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	53					8				
3	3	47/4	47/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	54									
3	3	8	8	0.0	0	0	Spanner	4/4	2	1	0									1	1		
3	3	33/4	33/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	55					9	1	1		
3	3	17/2	17/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	56					9	1	1		
3	3	35/4	35/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	57					9	1	1		
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	58			articStaccatoAbove			1	1		
3	3	11	11	0.0	3/4	3/4	Spanner	4/4	2	1	0												
3	3	45/4	45/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	59					10				
3	3	23/2	23/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	60					10				
3	3	47/4	47/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	61									
4	4	12	12	0.0	0	0	StaffText	4/4	1	1	0							cresc.					
4	4	12	12	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	62			articAccentAbove		11				
4	4	51/4	51/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	63					11				
4	4	13	13	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	64					11				
4	4	53/4	53/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	65					11				
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	66					11				
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	67					11				
4	4	14	14	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	68					11				
4	4	57/4	57/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	69					11				
4	4	29/2	29/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	70					11				
4	4	59/4	59/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	71					11				
4	4	15	15	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	72					11				
4	4	61/4	61/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	73					11				
4	4	31/2	31/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	74					11				
4	4	63/4	63/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	75									
4	4	12	12	0.0	0	0	Spanner	4/4	2	1	0									2	2		
4	4	49/4	49/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	76					12	2	2		
4	4	25/2	25/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	77					12	2	2		
4	4	51/4	51/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	78					12	2	2		
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	79			articStaccatoAbove			2	2		
4	4	15	15	0.0	3/4	3/4	Spanner	4/4	2	1	0												
4	4	61/4	61/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	80					13				
4	4	31/2	31/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	81					13				
4	4	63/4	63/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	82									
5	5	16	16	0.0	0	0	Dynamic	4/4	1	1	0					f							
5	5	16	16	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	83					14				
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	84					14				
5	5	17	17	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	85					14				
5	5	71/4	71/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	86					14				
5	5	18	18	0.0	1/2	1/2	StaffText	4/4	1	1	0							dim.	14				
5	5	18	18	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	87					14				
5	5	75/4	75/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	88					14				
5	5	19	19	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	89					14				
5	5	79/4	79/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	90					14				
5	5	65/4	65/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	91					15				
5	5	33/2	33/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	92					15				
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	93									
5	5	73/4	73/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	94					16				
5	5	37/2	37/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	95					16				
5	5	75/4	75/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	96									
6	6	20	20	0.0	0	0	StaffText	4/4	1	1	0							poco rit.	14				
6	6	20	20	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	97					14				
6	6	83/4	83/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	98					14				
6	6	21	21	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	99					14				
6	6	87/4	87/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	100					14				
6	6	22	22	0.0	1/2	1/2	Dynamic	4/4	1	1	0					p			14				
6	6	22	22	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	101					14				
6	6	91/4	91/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	102									
6	6	81/4	81/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	103					17				
6	6	41/2	41/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	104					17				
6	6	83/4	83/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	105									
6	6	89/4	89/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	106					18				
6	6	45/2	45/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	107									
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	108			articStaccatoBelow						
7	7	24	24	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	109			articAccentBelow		19				
7	7	99/4	99/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	110					19				
7	7	25	25	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	111			articAccentAbove		19				
7	7	101/4	101/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	112					19				
7	7	51/2	51/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	113			articAccentAbove		19				
7	7	103/4	103/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	114					19				
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	1	1	0								19				0
7	7	26	26	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	115			articAccentAbove		19				0
7	7	105/4	105/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	116					19				0
7	7	53/2	53/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	117			articAccentAbove		19				0
7	7	107/4	107/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	118					19				0
7	7	27	27	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	119			articAccentAbove		19				0
7	7	109/4	109/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	120					19				0
7	7	55/2	55/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	121			articAccentAbove		19				0
7	7	111/4	111/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	122									0
7	7	24	24	0.0	0	0	Spanner	4/4	2	1	0									3	3		
7	7	97/4	97/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	123					20	3	3		
7	7	49/2	49/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	124					20	3	3		
7	7	99/4	99/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	125						3	3		
8	8	28	28	0.0	0	0	Spanner	4/4	1	1	0												
8	8	28	28	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	126			articAccentBelow		21				
8	8	115/4	115/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	127									
8	8	29	29	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	128			articAccentBelow		22				
8	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	129									
8	8	30	30	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	130			articAccentBelow		23				
8	8	123/4	123/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	131									
8	8	31	31	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	132			articAccentBelow		24				
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	133									
8	8	28	28	0.0	0	0	Spanner	4/4	2	1	0												
8	8	113/4	113/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	134					25				
8	8	57/2	57/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	135									
8	8	117/4	117/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	136					26				
8	8	59/2	59/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	137									
8	8	121/4	121/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	138					27				
8	8	61/2	61/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	139									
8	8	125/4	125/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	140					28				
8	8	63/2	63/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	141									
9	9	32	32	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	142			articAccentBelow		29				
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	143					29				
9	9	33	33	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	144					29				
9	9	133/4	133/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	145					29				
9	9	67/2	67/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	146					29				
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	147									
9	9	34	34	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	148			articAccentBelow		30				
9	9	139/4	139/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	149									
9	9	35	35	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	150			articAccentBelow		31				
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	151									
9	9	129/4	129/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	152					32				
9	9	65/2	65/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	153					32				
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	154									
9	9	137/4	137/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	155					33				
9	9	69/2	69/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	156					33				
9	9	139/4	139/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	157									
9	9	141/4	141/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	158					34				
9	9	71/2	71/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	159					34				
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	160									
10	10	37	37	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	161									
10	10	149/4	149/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	162									
10	10	75/2	75/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	163									
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	164									
10	10	39	39	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	165									
10	10	157/4	157/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	166									
10	10	79/2	79/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	167									
10	10	159/4	159/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	168									
10	10	36	36	4.0	0	0	Chord	4/4	1	2	1	1	1	169			articAccentBelow						
10	10	36	36	0.0	0	0	Spanner	4/4	2	1	0									4	4		
10	10	145/4	145/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	170					35	4	4		
10	10	73/2	73/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	171					35	4	4		
10	10	147/4	147/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	172					35	4	4		
10	10	153/4	153/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	173					36	4	4		
10	10	77/2	77/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	174					36	4	4		
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	175					36	4	4		
11	11	40	40	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	176			articAccentAbove		37				
11	11	163/4	163/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	177					37				
11	11	41	41	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	178			articAccentAbove		37				
11	11	165/4	165/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	179					37				
11	11	83/2	83/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	180			articAccentAbove		37				
11	11	167/4	167/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	181					37				
11	11	42	42	0.0	1/2	1/2	Spanner	4/4	1	1	0								37				1
11	11	42	42	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	182			articAccentAbove		37				1
11	11	169/4	169/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	183					37				1
11	11	85/2	85/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	184			articAccentAbove		37				1
11	11	171/4	171/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	185					37				1
11	11	43	43	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	186			articAccentAbove		37				1
11	11	173/4	173/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	187					37				1
11	11	87/2	87/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	188			articAccentAbove		37				1
11	11	175/4	175/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	189									1
11	11	40	40	0.0	0	0	Spanner	4/4	2	1	0									5	5		
11	11	40	40	0.0	0	0	Spanner	4/4	2	1	0									5	5		
11	11	161/4	161/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	190					38	5	5		
11	11	81/2	81/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	191					38	5	5		
11	11	163/4	163/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	192						5	5		
12	12	44	44	0.0	0	0	Spanner	4/4	1	1	0												
12	12	44	44	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	193			articAccentAbove		39				
12	12	179/4	179/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	194									
12	12	45	45	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	195			articAccentAbove		40				
12	12	183/4	183/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	196									
12	12	46	46	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	197			articAccentAbove		41				
12	12	187/4	187/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	198									
12	12	47	47	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	199			articAccentAbove		42				
12	12	191/4	191/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	200									
12	12	44	44	0.0	0	0	Spanner	4/4	2	1	0												
12	12	177/4	177/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	201					43				
12	12	89/2	89/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	202									
12	12	181/4	181/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	203					44				
12	12	91/2	91/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	204									
12	12	185/4	185/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	205					45				
12	12	93/2	93/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	206									
12	12	189/4	189/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	207					46				
12	12	95/2	95/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	208									
13	13	48	48	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	209			articAccentAbove		47				
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	210					47				
13	13	49	49	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	211					47				
13	13	197/4	197/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	212					47				
13	13	99/2	99/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	213					47				
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	214									
13	13	50	50	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	215			articAccentAbove		48				
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	216									
13	13	51	51	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	217			articAccentAbove		49				
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	218									
13	13	193/4	193/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	219					50				
13	13	97/2	97/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	220					50				
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	221									
13	13	201/4	201/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	222					51				
13	13	101/2	101/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	223					51				
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	224									
13	13	205/4	205/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	225					52				
13	13	103/2	103/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	226					52				
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	227									
14	14	52	52	0.0	0	0	Dynamic	4/4	1	1	0					pp							
14	14	52	52	0.0	0	0	StaffText	4/4	1	1	0							una corda					
14	14	52	52	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	228			articAccentAbove		53				
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	229					53				
14	14	53	53	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	230					53				
14	14	213/4	213/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	231					53				
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	232					53				
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	233									
14	14	54	54	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	234			articAccentAbove		54				
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	235									
14	14	55	55	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	236			articAccentAbove		55				
14	14	223/4	223/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	237									
14	14	209/4	209/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	238					56				
14	14	105/2	105/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	239					56				
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	240									
14	14	217/4	217/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	241					57				
14	14	109/2	109/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	242					57				
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	243									
14	14	221/4	221/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	244					58				
14	14	111/2	111/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	245					58				
14	14	223/4	223/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	246									
15	15	56	56	0.0	0	0	StaffText	4/4	1	1	0							a tempo					
15	15	57	57	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	247									
