mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
17	15	87/2	87/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	159													
17	15	44	44	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	160													
17	15	89/2	89/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	161													
17	15	45	45	0.0	1/2	1/2	Spanner	3/4	2	1	0														4		
17	15	45	45	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	162											4		
17	15	91/2	91/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	163											4		
18	16	46	46	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	164													
18	16	139/3	139/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	165													
18	16	140/3	140/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	166													
18	16	47	47	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	167													
18	16	48	48	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	168													
18	16	195/4	195/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	169													
18	16	46	46	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	170													
18	16	46	46	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	171											4		
18	16	93/2	93/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	172											4		
18	16	47	47	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	173											4		
18	16	95/2	95/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	174											4		
18	16	48	48	0.0	1/2	1/2	Spanner	3/4	2	1	0																
18	16	48	48	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	175													
18	16	97/2	97/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	176													
19	17	49	49	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	177		articAccentBelow											
19	17	51	51	0.0	1/2	1/2	StaffText	3/4	1	1	0						"<font size=""11""/><font face=""Times New Roman""/><i>poco a poco cresc.</i>"										
19	17	51	51	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	178													
19	17	207/4	207/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	179													
19	17	99/2	99/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	180													
19	17	50	50	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	181													
19	17	101/2	101/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	182													
19	17	51	51	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	183													
19	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	184													
20	18	54	54	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	185													
20	18	219/4	219/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	186													
20	18	105/2	105/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	187													
20	18	53	53	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	188													
20	18	107/2	107/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	189													
20	18	54	54	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	190													
20	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	191													
21	19	55	55	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	192		articAccentBelow											
21	19	57	57	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	193													
21	19	231/4	231/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	194													
21	19	111/2	111/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	195													
21	19	56	56	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	196													
21	19	113/2	113/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	197													
21	19	57	57	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	198													
21	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	199													
22	20	58	58	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	200		articAccentBelow											
22	20	60	60	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	201													
22	20	243/4	243/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	202													
22	20	117/2	117/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	203													
22	20	59	59	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	204													
22	20	119/2	119/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	205													
22	20	60	60	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	206													
22	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	207													
23	21	61	61	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	208		articAccentBelow											
23	21	63	63	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	209													
23	21	255/4	255/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	210													
23	21	123/2	123/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	211													
23	21	62	62	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	212													
23	21	125/2	125/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	213													
23	21	63	63	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	214													
23	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	215													
24	22	64	64	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	216		articAccentBelow											
24	22	259/4	259/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	217													
24	22	65	65	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	218		articAccentBelow											
24	22	263/4	263/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	219													
24	22	66	66	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	220		articAccentBelow											
24	22	267/4	267/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	221													
24	22	129/2	129/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	222													
24	22	65	65	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	223													
24	22	131/2	131/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	224													
24	22	66	66	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	225													
24	22	133/2	133/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	226													
25	23	67	67	0.0	0	0	Dynamic	3/4	1	1	0				other-dynamics												
25	23	67	67	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	227													
25	23	135/2	135/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	228													
25	23	68	68	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	229		articAccentAbove											
25	23	137/2	137/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	230													
25	23	69	69	0.0	1/2	1/2	Spanner	3/4	2	1	0													4			
25	23	69	69	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	231										4			
25	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	232										4			
26	24	70	70	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	233													
26	24	72	72	0.0	1/2	1/2	Dynamic	3/4	1	1	0				p												
26	24	72	72	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	234													
26	24	291/4	291/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	235													
26	24	70	70	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	236										4			
