mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
14	14	27	27	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	142									16				
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	143													
14	14	26	26	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	144													
14	14	27	27	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	145													
14	14	26	26	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	146													
14	14	27	27	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	147													
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	148													
15	15	28	28	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	149									17				
15	15	113/4	113/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	150									17				
15	15	57/2	57/2	0.0	1/8	1/8	Spanner	2/4	1	1	0													17				1
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	151									17				1
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	152									17				1
15	15	29	29	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	153									17				1
15	15	117/4	117/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	154									17				1
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	155									17				1
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	156									17				1
15	15	28	28	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	157													1
15	15	29	29	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	158													1
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	159													1
15	15	28	28	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	160													
15	15	28	28	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	161													
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	162													
15	15	29	29	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	163													
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	164													
16	16	30	30	0.0	0	0	Spanner	2/4	1	1	0													17				
16	16	30	30	0.0	0	0	Spanner	2/4	1	1	0													17			1	
16	16	30	30	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	165		articAccentAbove							17			1	
16	16	31	31	0.0	1/4	1/4	Spanner	2/4	1	1	0																	
16	16	31	31	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	166													
16	16	30	30	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	167													
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	168													
16	16	31	31	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	169													
16	16	30	30	0.0	0	0	Spanner	2/4	2	1	0														5	5		
16	16	30	30	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	170										5	5		
16	16	31	31	0.0	1/4	1/4	Spanner	2/4	2	1	0																	
16	16	31	31	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	171													
17	17	33	33	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	172									18				
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	173													
17	17	33	33	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	174													
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	175													
17	17	32	32	0.0	0	0	Dynamic	2/4	2	1	0					p												
17	17	32	32	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	176		articTenutoBelow							19				
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	177									19				
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	178									19				
17	17	33	33	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	179													
18	18	34	34	0.0	0	0	StaffText	2/4	1	1	0							stretto										
18	18	34	34	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	180									20				
18	18	137/4	137/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	181									20				
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	182									20				
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	183									20				
18	18	34	34	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	184													
18	18	34	34	0.0	0	0	Spanner	2/4	2	1	0														6	6		
18	18	34	34	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	185										6	6		
18	18	35	35	0.0	1/4	1/4	Spanner	2/4	2	1	0																	
18	18	35	35	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	186													
18	18	141/4	141/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	187													
18	18	71/2	71/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	188													
18	18	143/4	143/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	189													
18	18	143/4	143/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	190													
19	19	37	37	0.0	1/4	1/4	Spanner	2/4	1	1	0																	2
19	19	37	37	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	191									21				2
19	19	149/4	149/4	0.5	5/16	5/16	Chord	2/4	1	1	1/8		1/8	1	192									21				2
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	193													2
19	19	37	37	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	194													2
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	195													2
19	19	36	36	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	196		articTenutoBelow							22				
19	19	145/4	145/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	197									22				
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	198									22				
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	199									22				
19	19	37	37	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	200													
20	20	38	38	0.0	0	0	Spanner	2/4	1	1	0																	
20	20	38	38	0.0	0	0	Spanner	2/4	1	1	0																2	
20	20	38	38	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	201									23			2	
20	20	153/4	153/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	202									23			2	
20	20	77/2	77/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	203									23			2	
20	20	155/4	155/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	204									23			2	
20	20	39	39	0.0	1/4	1/4	Spanner	2/4	1	1	0													23				
20	20	38	38	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	205													
20	20	38	38	0.0	0	0	Spanner	2/4	2	1	0														7	7		
20	20	38	38	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	206										7	7		
20	20	39	39	0.0	1/4	1/4	Spanner	2/4	2	1	0																	
20	20	39	39	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	207													
20	20	157/4	157/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	208													
20	20	79/2	79/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	209													
20	20	159/4	159/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	210													
20	20	159/4	159/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	211													
21	21	40	40	0.0	0	0	StaffText	2/4	1	1	0							più mosso e sempre stretto										
21	21	81/2	81/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	212		articTenutoAbove							24				
21	21	83/2	83/2	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	213									24				
21	21	335/8	335/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	214									24				
21	21	161/4	161/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	215													
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	216													
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	217													
21	21	41	41	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	218													
21	21	165/4	165/4	0.5	5/16	5/16	Chord	2/4	1	2	1/8		1/8	1	219													
21	21	167/4	167/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	220													
21	21	40	40	0.0	0	0	Spanner	2/4	2	1	0														8	8		
21	21	40	40	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	221										8	8		
21	21	81/2	81/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	222		articTenutoAbove							25	8	8		
21	21	83/2	83/2	0.375	3/8	3/8	Chord	2/4	2	1	3/32		1/16	3/2	223									25	8	8		
21	21	335/8	335/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	224									25	8	8		
22	22	42	42	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	225		articTenutoAbove							24				
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	226													
22	22	169/4	169/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	227													
22	22	85/2	85/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	228													
22	22	171/4	171/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	229													
22	22	43	43	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	230													
22	22	173/4	173/4	0.5	5/16	5/16	Chord	2/4	1	2	1/8		1/8	1	231													
22	22	175/4	175/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	232													
22	22	42	42	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	233		articTenutoAbove							25	8	8		
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	234										8	8		
23	23	44	44	0.0	0	0	StaffText	2/4	1	1	0							cresc.										
23	23	89/2	89/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	235		articTenutoAbove							26				
23	23	91/2	91/2	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	236									26				
23	23	367/8	367/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	237									26				
23	23	177/4	177/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	238													
23	23	89/2	89/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	239													
23	23	179/4	179/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	240													
23	23	45	45	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	241													
23	23	181/4	181/4	0.5	5/16	5/16	Chord	2/4	1	2	1/8		1/8	1	242													
23	23	183/4	183/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	243													
23	23	44	44	0.0	0	0	Spanner	2/4	2	1	0																	
23	23	44	44	0.0	0	0	Spanner	2/4	2	1	0														9	9		
23	23	44	44	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	244		articStaccatoBelow								9	9		
23	23	89/2	89/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	245		articTenutoAbove							27	9	9		
23	23	91/2	91/2	0.375	3/8	3/8	Chord	2/4	2	1	3/32		1/16	3/2	246									27	9	9		
