mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
13	12	67/2	67/2	1.5		0	0	Chord	6/8	1	1	3/8		1/4	3/2	75		articAccentBelow		12				
13	12	35	35	0.0		3/8	3/8	Spanner	6/8	1	1	0								12				4
13	12	35	35	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	76				12				4
13	12	71/2	71/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	77				12				4
13	12	36	36	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	78				12				4
13	12	67/2	67/2	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	79				13				
13	12	35	35	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	80								
14	13	73/2	73/2	0.0		0	0	Spanner	6/8	1	1	0								12				
14	13	73/2	73/2	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	81				12				
14	13	75/2	75/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	82				12				
14	13	38	38	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	83				12				
14	13	39	39	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	84								
14	13	73/2	73/2	1.5		0	0	Chord	6/8	1	2	3/8		1/4	3/2	85								
14	13	73/2	73/2	3.0		0	0	Chord	6/8	2	1	3/4		1/2	3/2	86								
15	14	79/2	79/2	0.0		0	0	Dynamic	6/8	1	1	0					pp							
15	14	79/2	79/2	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	87				14				
15	14	81/2	81/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	88				14				
15	14	41	41	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	89				14				
15	14	42	42	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	90								
15	14	79/2	79/2	1.5		0	0	Chord	6/8	1	2	3/8		1/4	3/2	91								
15	14	79/2	79/2	3.0		0	0	Chord	6/8	2	1	3/4		1/2	3/2	92				15				
16	15	85/2	85/2	0.0		0	0	Spanner	6/8	1	1	0												5
16	15	85/2	85/2	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	93				16				5
16	15	43	43	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	94				16				5
16	15	87/2	87/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	95				16				5
16	15	44	44	0.0		3/8	3/8	Spanner	6/8	1	1	0								16				
16	15	44	44	0.0		3/8	3/8	Spanner	6/8	1	1	0								16			3	
16	15	44	44	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	96				16			3	
16	15	89/2	89/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	97				16			3	
16	15	45	45	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	98				16			3	
16	15	85/2	85/2	1.5		0	0	Chord	6/8	1	2	3/8		1/4	3/2	99							3	
16	15	44	44	1.5		3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	100							3	
16	15	85/2	85/2	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	101								
16	15	44	44	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	102				17				
17	16	91/2	91/2	1.5		0	0	Chord	6/8	1	1	3/8		1/4	3/2	103				16				
17	16	47	47	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	104								
17	16	91/2	91/2	1.0		0	0	Chord	6/8	1	2	1/4		1/4	1	105								
17	16	93/2	93/2	0.5		1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	106								
17	16	47	47	1.0		3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	107								
17	16	91/2	91/2	0.0		0	0	Spanner	6/8	2	1	0												
17	16	91/2	91/2	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	108								
17	16	47	47	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	109								
17	16	95/2	95/2	0.0		1/2	1/2	Dynamic	6/8	2	1	0					pp							
18	16	48	48	0.0		0	5/8	StaffText	6/8	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>poco mosso</i>"					
18	16	48	48	0.0		0	5/8	Dynamic	6/8	2	1	0					p							
18	16	48	48	0.5		0	5/8	Chord	6/8	2	1	1/8		1/8	1	110				18				
