mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
16	16	45	45	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	104				14				
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	105								
17	17	48	48	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	106				15				
17	17	49	49	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	107				15				
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	108				15				
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	109				15				
17	17	48	48	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	110								
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	111								
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	112								
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	113								
17	17	48	48	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	114				16				
17	17	49	49	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	115				16				
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	116				15				
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	117				15				
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	118				15				
18	18	53	53	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	119				15				
18	18	160/3	160/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	120				15				
18	18	161/3	161/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	121				15				
18	18	51	51	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	122								
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	123								
18	18	51	51	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	124								
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	125								
18	18	51	51	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	126				16				
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	127				15				
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	128				15				
19	19	55	55	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	129								
19	19	54	54	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	130								
19	19	54	54	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	131								
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	132								
20	20	57	57	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	133				17				
20	20	58	58	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	134				17				
20	20	59	59	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	135				17				
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	136				17				
20	20	57	57	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	137								
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	138								
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	139								
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	140								
20	20	57	57	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	141				18				
20	20	58	58	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	142				18				
21	21	60	60	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	143				17				
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	144				17				
21	21	61	61	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	145				17				
21	21	62	62	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	146				17				
21	21	187/3	187/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	147				17				
21	21	188/3	188/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	148				17				
21	21	60	60	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	149								
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	150								
21	21	60	60	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	151								
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	152								
21	21	60	60	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	153				18				
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	154				18				
22	22	63	63	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	155				17				
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	156				17				
22	22	64	64	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	157								
22	22	63	63	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	158								
22	22	63	63	0.0	0	0	Spanner	3/4	2	1	0												0
22	22	63	63	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	159								0
22	22	63	63	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	160				18				0
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	161								0
23	23	66	66	0.0	0	0	Dynamic	3/4	1	1	0					pp							
23	23	66	66	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	162		articAccentAbove		19				
23	23	67	67	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	163								
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	164				20				
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	165								
23	23	66	66	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	166								
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	167								
23	23	66	66	0.0	0	0	Spanner	3/4	2	1	0												
23	23	66	66	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	168		articAccentBelow						
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	169								
24	24	69	69	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	170		articAccentAbove		21				
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	171								
24	24	70	70	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	172								
24	24	69	69	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	173								
24	24	70	70	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	174								
24	24	69	69	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	175		articAccentBelow						
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	176								
25	25	72	72	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	177				22				
25	25	217/3	217/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	178				22				
25	25	218/3	218/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	179				22				
25	25	73	73	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	180				22				
25	25	220/3	220/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	181				22				
25	25	221/3	221/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	182				22				
25	25	74	74	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	183				22				
25	25	223/3	223/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	184				22				
25	25	224/3	224/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	185								
25	25	72	72	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	186								
25	25	74	74	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	187								
25	25	72	72	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	188		articAccentBelow						
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	189								
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	190		articAccentAbove		23				
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	191								
26	26	76	76	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	192								
26	26	75	75	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	193								
26	26	76	76	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	194								
26	26	75	75	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	195		articAccentBelow						
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	196								
27	27	78	78	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	197		articAccentAbove		24				
27	27	79	79	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	198								
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	199				25				
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	200								
27	27	78	78	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	201								
27	27	80	80	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	202								
27	27	78	78	0.0	0	0	StaffText	3/4	2	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>cresc.</i>"					
27	27	78	78	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	203		articAccentAbove						
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	204								
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	205		articAccentAbove		26				
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	206								
28	28	82	82	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	207								
28	28	81	81	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	208								
28	28	82	82	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	209								
28	28	81	81	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	210		articAccentBelow						
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	211								
29	29	84	84	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	212				27				
29	29	253/3	253/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	213				27				
29	29	254/3	254/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	214				27				
29	29	85	85	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	215				27				
29	29	256/3	256/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	216				27				
29	29	257/3	257/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	217				27				
29	29	86	86	0.0	1/2	1/2	Spanner	3/4	1	1	0								27			0	
29	29	86	86	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	218				27			0	
29	29	259/3	259/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	219				27			0	
29	29	260/3	260/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	220							0	
29	29	84	84	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	221							0	
29	29	86	86	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	222							0	
29	29	84	84	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	223		articAccentAbove						
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	224								
30	30	87	87	0.0	0	0	StaffText	3/4	1	1	0							molto				0	
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	225		articAccentAbove		28			0	
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	226							0	
30	30	88	88	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	227							0	
30	30	87	87	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	228							0	
30	30	88	88	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	229							0	
30	30	87	87	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	230		articAccentBelow						
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	231								
31	31	90	90	0.0	0	0	Dynamic	3/4	1	1	0					ff							
31	31	90	90	0.0	0	0	Spanner	3/4	1	1	0												
31	31	90	90	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	232		articAccentAbove		29				
31	31	91	91	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	233								
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	234				30				
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	235								
31	31	90	90	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	236								
31	31	90	90	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	237		articStaccatoBelow						
31	31	91	91	0.0	1/4	1/4	Chord	3/4	2	1	0	acciaccatura	1/8	1	238								
31	31	91	91	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	239		articStaccatoAbove						
32	32	93	93	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	240		articAccentAbove		31				
32	32	94	94	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	241								
32	32	95	95	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	242				32				
32	32	191/2	191/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	243								
32	32	93	93	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	244								
32	32	93	93	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	245		articStaccatoBelow						
32	32	94	94	0.0	1/4	1/4	Chord	3/4	2	1	0	acciaccatura	1/8	1	246								
32	32	94	94	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	247		articStaccatoAbove						
33	33	96	96	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	248		articAccentAbove		33				
33	33	97	97	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	249								
33	33	98	98	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	250				34				
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	251								
33	33	96	96	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	252								
33	33	96	96	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	253		articStaccatoBelow						
33	33	97	97	0.0	1/4	1/4	Chord	3/4	2	1	0	acciaccatura	1/8	1	254								
33	33	97	97	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	255		articStaccatoAbove						
34	34	99	99	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	256		articAccentAbove		35				
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	257				35				
34	34	100	100	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	258				35				
34	34	201/2	201/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	259								
34	34	101	101	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	260		articStaccatoAbove						
34	34	99	99	0.0	0	0	Chord	3/4	2	1	0	acciaccatura	1/8	1	261								
34	34	99	99	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	262		articStaccatoBelow						
34	34	100	100	0.0	1/4	1/4	Chord	3/4	2	1	0	acciaccatura	1/8	1	263								
34	34	100	100	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	264		articStaccatoAbove						
35	35	102	102	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	265		articAccentAbove						
