mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va	decrescendo_hairpin	crescendo_hairpin	crescendo_line
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	22				1						
3	3	6	6	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	23										
3	3	15/2	15/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	24										
3	3	6	6	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	25										
3	3	15/2	15/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	26										
3	3	6	6	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	27										
4	4	9	9	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	28				1						
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	29				1						
4	4	10	10	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	30				1						
4	4	21/2	21/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	31				1						
4	4	11	11	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	32				1						
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	33				1						
4	4	9	9	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	34										
4	4	21/2	21/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	35										
4	4	9	9	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	36										
4	4	21/2	21/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	37										
4	4	9	9	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	38										
5	5	12	12	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	39		articStaccatoAbove								
5	5	13	13	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	40		articAccentAbove		2						
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	41				2						
5	5	14	14	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	42				2						
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	43				2						
5	5	12	12	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	44										
5	5	27/2	27/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	45										
5	5	12	12	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	46										
5	5	27/2	27/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	47										
5	5	12	12	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	48										
6	6	15	15	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	49				2						
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	50				2						
6	6	16	16	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	51				2						
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	52				2						
6	6	17	17	0.0	1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	53				2						
6	6	17	17	0.0	1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	54				2						
6	6	17	17	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	55				2						
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	56				2						
6	6	15	15	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	57										
6	6	33/2	33/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	58										
6	6	15	15	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	59										
6	6	33/2	33/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	60										
6	6	15	15	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	61										
7	7	18	18	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	62				2						
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	63				2						
7	7	19	19	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	64				2						
7	7	39/2	39/2	0.0	3/8	3/8	Spanner	6/8	1	1	0								2				0		
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	65				2				0		
7	7	20	20	0.0	1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	66				2				0		
7	7	20	20	0.0	1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	67				2				0		
7	7	20	20	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	68				2				0		
7	7	41/2	41/2	0.0	5/8	5/8	Spanner	6/8	1	1	0								2						
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	69				2						
7	7	18	18	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	70										
7	7	39/2	39/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	71										
7	7	18	18	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	72										
7	7	39/2	39/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	73										
7	7	18	18	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	74										
8	8	21	21	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	75		articStaccatoBelow								
8	8	22	22	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	76		articAccentBelow								
8	8	45/2	45/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	77										
8	8	21	21	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	78										
8	8	45/2	45/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	79										
9	9	24	24	0.0	0	0	Dynamic	6/8	1	1	0					fp									
9	9	26	26	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	80				3						
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	81				3						
9	9	24	24	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	82										
9	9	51/2	51/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	83										
9	9	24	24	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	84										
10	10	27	27	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	85				3						
10	10	55/2	55/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	86				3						
10	10	28	28	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	87				3						
10	10	57/2	57/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	88				3						
10	10	29	29	0.0	1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	89				3						
10	10	29	29	0.0	1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	90				3						
10	10	29	29	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	91				3						
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	92				3						
10	10	27	27	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	93										
10	10	57/2	57/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	94										
10	10	27	27	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	95										
10	10	57/2	57/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	96										
10	10	27	27	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	97										
11	11	30	30	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	98		articStaccatoAbove								
11	11	31	31	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	99		articAccentAbove		4						
11	11	63/2	63/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	100				4						
11	11	32	32	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	101				4						
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	102				4						
11	11	30	30	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	103										
11	11	63/2	63/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	104										
11	11	30	30	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	105										
11	11	63/2	63/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	106										
11	11	30	30	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	107										
12	12	33	33	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	108				4						
12	12	67/2	67/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	109				4						
12	12	34	34	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	110				4						
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	111				4						
12	12	35	35	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	112				4						
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	113				4						
12	12	33	33	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	114										
12	12	69/2	69/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	115										
12	12	33	33	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	116										
12	12	69/2	69/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	117										
12	12	33	33	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	118										
13	13	36	36	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	119		articStaccatoAbove								
13	13	37	37	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	120		articAccentAbove		5						
13	13	75/2	75/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	121				5						
13	13	38	38	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	122				5						
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	123				5						
13	13	36	36	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	124										
13	13	75/2	75/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	125										
13	13	36	36	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	126										
13	13	75/2	75/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	127										
13	13	36	36	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	128										
14	14	39	39	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	129				5						
14	14	79/2	79/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	130				5						
14	14	40	40	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	131				5						
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	132				5						
14	14	41	41	0.0	1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	133				5						
14	14	41	41	0.0	1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	134				5						
14	14	41	41	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	135				5						
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	136				5						
14	14	39	39	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	137										
14	14	81/2	81/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	138										
14	14	39	39	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	139										
14	14	81/2	81/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	140										
14	14	39	39	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	141										
15	15	42	42	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	142				5						
15	15	85/2	85/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	143				5						
15	15	43	43	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	144				5						
15	15	87/2	87/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	145				5						
15	15	44	44	0.0	1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	146				5						
15	15	44	44	0.0	1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	147				5						
15	15	44	44	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	148				5						
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	149										
15	15	42	42	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	150										
15	15	87/2	87/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	151										
15	15	42	42	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	152										
15	15	87/2	87/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	153										
15	15	42	42	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	154										
16	16	45	45	0.0	0	0	Spanner	6/8	1	1	0												1		
16	16	45	45	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	155		articStaccatoBelow						1		
16	16	46	46	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	156								1		
16	16	93/2	93/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	157								1		
16	16	45	45	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	158										
16	16	93/2	93/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	159										
17	17	48	48	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	160								1		
17	17	49	49	0.0	1/4	1/4	Spanner	6/8	1	1	0														
17	17	49	49	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	161										
17	17	99/2	99/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	162										
17	17	50	50	0.0	1/2	1/2	Dynamic	6/8	1	1	0					ff									
17	17	48	48	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	163										
17	17	99/2	99/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	164										
17	17	50	50	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	165										
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	166										
18	18	51	51	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	167										
18	18	105/2	105/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	168										
18	18	51	51	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	169										
18	18	103/2	103/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	170										
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	171		articAccentAbove								
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	172										
18	18	53	53	0.0	1/2	1/2	Chord	6/8	2	1	0	grace16	1/16	1	173				6						
18	18	53	53	0.0	1/2	1/2	Chord	6/8	2	1	0	grace16	1/16	1	174				6						
18	18	53	53	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	175				6						
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	176										
19	19	54	54	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	177		articStaccatoBelow								
19	19	55	55	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	178		articAccentBelow								
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	179										
19	19	56	56	0.0	1/2	1/2	Dynamic	6/8	1	1	0					p									
19	19	56	56	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	180				7						
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	181				7						
19	19	54	54	0.0	0	0	Spanner	6/8	2	1	0									0	0				
19	19	54	54	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	182					0	0				
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	183					0	0				
19	19	56	56	0.0	1/2	1/2	Spanner	6/8	2	1	0														
20	20	57	57	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	184				7						
20	20	115/2	115/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	185				7						
20	20	58	58	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	186				7						
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	187				7						
20	20	59	59	0.0	1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	188				7						
20	20	59	59	0.0	1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	189				7						
20	20	59	59	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	190				7						
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	191				7						
20	20	57	57	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	192										
20	20	117/2	117/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	193										
20	20	57	57	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	194										
20	20	117/2	117/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	195										
20	20	57	57	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	196										
21	21	60	60	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	197		articStaccatoBelow								
21	21	61	61	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	198		articAccentBelow								
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	199										
21	21	60	60	0.0	0	0	Spanner	6/8	2	1	0									1	1				
21	21	60	60	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	200					1	1				
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	201					1	1				
21	21	62	62	0.0	1/2	1/2	Dynamic	6/8	2	1	0					ff									
21	21	62	62	0.0	1/2	1/2	Spanner	6/8	2	1	0														
21	21	62	62	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	202										
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	203										
22	22	63	63	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	204										
22	22	129/2	129/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	205										
22	22	63	63	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	206										
22	22	127/2	127/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	207										
22	22	64	64	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	208		articAccentBelow								
22	22	129/2	129/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	209										
22	22	65	65	0.0	1/2	1/2	Chord	6/8	2	1	0	grace16	1/16	1	210										
22	22	65	65	0.0	1/2	1/2	Chord	6/8	2	1	0	grace16	1/16	1	211										
22	22	65	65	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	212										
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	213										
23	23	66	66	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	214		articStaccatoAbove								
23	23	67	67	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	215		articAccentAbove								
23	23	135/2	135/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	216										
23	23	68	68	0.0	1/2	1/2	Dynamic	6/8	1	1	0					p									
23	23	68	68	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	217				8						
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	218				8						
23	23	66	66	0.0	0	0	Spanner	6/8	2	1	0									2	2				
23	23	66	66	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	219					2	2				
23	23	135/2	135/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	220					2	2				
23	23	68	68	0.0	1/2	1/2	Spanner	6/8	2	1	0														
24	24	69	69	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	221				8						
24	24	139/2	139/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	222				8						
24	24	70	70	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	223				8						
24	24	141/2	141/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	224				8						
24	24	71	71	0.0	1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	225				8						
24	24	71	71	0.0	1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	226				8						
24	24	71	71	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	227				8						
24	24	143/2	143/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	228										
24	24	69	69	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	229										
24	24	141/2	141/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	230										
24	24	69	69	0.0	0	0	Dynamic	6/8	2	1	0					mp									
24	24	69	69	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	231										
24	24	141/2	141/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	232										
24	24	69	69	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	233										
25	25	72	72	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	234		articStaccatoAbove								
25	25	73	73	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	235		articAccentAbove								
25	25	147/2	147/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	236										
25	25	74	74	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	237				9						
25	25	297/4	297/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	238				9						
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	239										
25	25	72	72	0.0	0	0	Spanner	6/8	2	1	0									3	3				
25	25	72	72	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	240					3	3				
25	25	147/2	147/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	241					3	3				
25	25	149/2	149/2	0.0	5/8	5/8	Spanner	6/8	2	1	0														
26	26	75	75	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	242		articStaccatoAbove								
26	26	76	76	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	243		articAccentAbove								
26	26	153/2	153/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	244										
26	26	77	77	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	245				10						
26	26	309/4	309/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	246				10						
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	247										
26	26	75	75	0.0	0	0	Spanner	6/8	2	1	0									4	4				
26	26	75	75	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	248					4	4				
26	26	153/2	153/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	249					4	4				
26	26	155/2	155/2	0.0	5/8	5/8	Spanner	6/8	2	1	0														
27	27	157/2	157/2	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	250				11						
27	27	315/4	315/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	251				11						
27	27	79	79	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	252		articStaccatoAbove								
27	27	80	80	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	253				12						
27	27	321/4	321/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	254				12						
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	255		articStaccatoAbove								
27	27	78	78	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	256										
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	257										
28	28	163/2	163/2	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	258				13						
28	28	327/4	327/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	259				13						
28	28	82	82	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	260		articStaccatoAbove								
28	28	83	83	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	261				14						
28	28	333/4	333/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	262				14						
28	28	167/2	167/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	263		articStaccatoAbove								
28	28	81	81	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	264										
