mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
6	5	49/4	49/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	27		articStaccatoBelow			2	2			
6	5	53/4	53/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	28		articStaccatoAbove			2	2			
6	5	57/4	57/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
7	6	61/4	61/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	29		articAccentAbove							
7	6	18	18	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	30				11					
7	6	61/4	61/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	31				12					
7	6	65/4	65/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	32		articStaccatoBelow							
7	6	61/4	61/4	0.0	0	0	Spanner	3/4	2	1	0									3	3			
7	6	61/4	61/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	33		articStaccatoBelow			3	3			
7	6	65/4	65/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	34		articStaccatoAbove			3	3			
7	6	69/4	69/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
8	7	73/4	73/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	35									
8	7	19	19	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	36				13					
8	7	77/4	77/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	37									
8	7	20	20	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	38				14					
8	7	81/4	81/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	39									
8	7	21	21	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	40				15					
8	7	73/4	73/4	0.0	0	0	Spanner	3/4	2	1	0									4	4			
8	7	73/4	73/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	41		articStaccatoBelow			4	4			
8	7	77/4	77/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	42		articStaccatoAbove			4	4			
8	7	81/4	81/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
9	8	85/4	85/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	43		articAccentAbove							
9	8	24	24	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	44				16					
9	8	85/4	85/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	45				17					
9	8	89/4	89/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	46		articStaccatoBelow							
9	8	85/4	85/4	0.0	0	0	Spanner	3/4	2	1	0									5	5			
9	8	85/4	85/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	47		articStaccatoBelow			5	5			
9	8	89/4	89/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	48		articStaccatoAbove			5	5			
9	8	93/4	93/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
10	9	97/4	97/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	49		articAccentAbove							
10	9	27	27	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	50				18					
10	9	97/4	97/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	51				19					
10	9	101/4	101/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	52		articStaccatoBelow							
10	9	97/4	97/4	0.0	0	0	Spanner	3/4	2	1	0									6	6			
10	9	97/4	97/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	53		articStaccatoBelow			6	6			
10	9	101/4	101/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	54		articStaccatoAbove			6	6			
10	9	105/4	105/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
11	10	109/4	109/4	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>poco rit.</i>"						
11	10	109/4	109/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	55		articAccentAbove							
11	10	30	30	0.0	11/16	11/16	StaffText	3/4	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>a tempo</i>"						
11	10	30	30	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	56				20					
11	10	109/4	109/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	57				21					
11	10	113/4	113/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	58		articStaccatoBelow							
11	10	109/4	109/4	0.0	0	0	Spanner	3/4	2	1	0									7	7			
11	10	109/4	109/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	59		articStaccatoBelow			7	7			
11	10	113/4	113/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	60		articStaccatoBelow			7	7			
11	10	117/4	117/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
12	11	121/4	121/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	61									
12	11	31	31	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	62				22					
12	11	125/4	125/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	63									
12	11	32	32	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	64				23					
12	11	129/4	129/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	65									
12	11	33	33	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	66				24					
12	11	121/4	121/4	0.0	0	0	Spanner	3/4	2	1	0									8	8			
12	11	121/4	121/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	67		articStaccatoAbove			8	8			
12	11	125/4	125/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	68		articStaccatoAbove			8	8			
12	11	129/4	129/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
13	12	133/4	133/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	69		articAccentAbove							
13	12	36	36	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	70				25					
13	12	133/4	133/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	71				26					
13	12	137/4	137/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	72		articStaccatoBelow							
13	12	133/4	133/4	0.0	0	0	Spanner	3/4	2	1	0									9	9			
13	12	133/4	133/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	73		articStaccatoAbove			9	9			
13	12	137/4	137/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	74		articStaccatoAbove			9	9			
13	12	141/4	141/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
14	13	145/4	145/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	75		articAccentAbove							
14	13	39	39	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	76				27					
14	13	145/4	145/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	77				28					
14	13	149/4	149/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	78		articStaccatoBelow							
14	13	145/4	145/4	0.0	0	0	Spanner	3/4	2	1	0									10	10			
14	13	145/4	145/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	79		articStaccatoAbove			10	10			
14	13	149/4	149/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	80		articStaccatoAbove			10	10			
14	13	153/4	153/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
15	14	157/4	157/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	81		articAccentAbove							
15	14	42	42	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	82				29					
15	14	157/4	157/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	83				30					
15	14	161/4	161/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	84		articStaccatoBelow							
15	14	157/4	157/4	0.0	0	0	Spanner	3/4	2	1	0									11	11			
15	14	157/4	157/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	85		articStaccatoAbove			11	11			
15	14	161/4	161/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	86		articStaccatoAbove			11	11			
15	14	165/4	165/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
16	15	169/4	169/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	87									
16	15	43	43	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	88				31					
16	15	173/4	173/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	89									
16	15	44	44	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	90				32					
16	15	177/4	177/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	91									
16	15	45	45	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	92				33					
16	15	169/4	169/4	0.0	0	0	Spanner	3/4	2	1	0									12	12			
16	15	169/4	169/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	93		articStaccatoBelow			12	12			
16	15	173/4	173/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	94		articStaccatoAbove			12	12			
16	15	177/4	177/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
17	16	181/4	181/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	95		articAccentAbove							
17	16	48	48	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	96				34					
17	16	181/4	181/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	97				35					
17	16	185/4	185/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	98		articStaccatoBelow							
17	16	181/4	181/4	0.0	0	0	Spanner	3/4	2	1	0									13	13			
17	16	181/4	181/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	99		articStaccatoBelow			13	13			
17	16	185/4	185/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	100		articStaccatoAbove			13	13			
17	16	189/4	189/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
18	17	193/4	193/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	101		articAccentAbove							
18	17	51	51	0.0	11/16	11/16	StaffText	3/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>poco rit.</i>"						
18	17	51	51	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	102				36					
18	17	193/4	193/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	103				37					
18	17	197/4	197/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	104		articStaccatoBelow							
18	17	193/4	193/4	0.0	0	0	Spanner	3/4	2	1	0									14	14			
18	17	193/4	193/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	105		articStaccatoBelow			14	14			
18	17	197/4	197/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	106		articStaccatoAbove			14	14			
18	17	201/4	201/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
19	18	205/4	205/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	107		articAccentAbove							
19	18	215/4	215/4	0.0	5/8	5/8	StaffText	3/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>a tempo</i>"						
19	18	215/4	215/4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	108				38					
19	18	205/4	205/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	109				39					
19	18	209/4	209/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	110		articStaccatoBelow							
19	18	205/4	205/4	0.0	0	0	Spanner	3/4	2	1	0									15	15			
19	18	205/4	205/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	111		articStaccatoBelow			15	15			
19	18	209/4	209/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	112		articStaccatoAbove			15	15			
19	18	213/4	213/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
20	19	217/4	217/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	113				38					
20	19	219/4	219/4	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	114				38					
20	19	221/4	221/4	0.0	1/4	1/4	Spanner	3/4	1	1	0								38				0	
20	19	221/4	221/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	115				38				0	
20	19	223/4	223/4	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	116				38				0	
20	19	225/4	225/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	117				38				0	
20	19	227/4	227/4	0.0	5/8	5/8	Spanner	3/4	1	1	0													
20	19	227/4	227/4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	118									
21	20	229/4	229/4	0.0	0	0	Dynamic	3/4	1	1	0					pp								
21	20	229/4	229/4	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	119									
21	20	229/4	229/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	120									
21	20	239/4	239/4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	121				40					
21	20	229/4	229/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	122				41					
21	20	233/4	233/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	123									
21	20	229/4	229/4	0.0	0	0	Spanner	3/4	2	1	0									16	16			
21	20	229/4	229/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	124					16	16			
21	20	233/4	233/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	125					16	16			
22	21	241/4	241/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	126				40					
22	21	243/4	243/4	0.0	1/8	1/8	Spanner	3/4	1	1	0								40					0
22	21	243/4	243/4	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	127				40					0
22	21	245/4	245/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	128				40					0
22	21	247/4	247/4	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	129				40					0
22	21	249/4	249/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	130				40					0
22	21	251/4	251/4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	131									0
22	21	241/4	241/4	0.0	0	0	Spanner	3/4	2	1	0													
23	22	253/4	253/4	0.0	0	0	Spanner	3/4	1	1	0													
23	22	253/4	253/4	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	132									
23	22	253/4	253/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	133		articAccentAbove							
23	22	263/4	263/4	0.0	5/8	5/8	Spanner	3/4	1	1	0												1	
23	22	263/4	263/4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	134				42				1	
23	22	253/4	253/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	135				43				1	
23	22	257/4	257/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	136								1	
23	22	253/4	253/4	0.0	0	0	Spanner	3/4	2	1	0									17	17			
23	22	253/4	253/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	137		articStaccatoBelow			17	17			
23	22	257/4	257/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	138		articStaccatoAbove			17	17			
24	23	265/4	265/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	139				42				1	
24	23	267/4	267/4	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	140				42				1	
24	23	269/4	269/4	0.0	1/4	1/4	Spanner	3/4	1	1	0								42					
24	23	269/4	269/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	141				42					
24	23	271/4	271/4	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	142				42					
24	23	273/4	273/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	143				42					
24	23	275/4	275/4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	144									
24	23	265/4	265/4	0.0	0	0	Spanner	3/4	2	1	0													
25	24	277/4	277/4	0.0	0	0	Dynamic	3/4	1	1	0					pp								
25	24	277/4	277/4	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>string</i>"						
25	24	277/4	277/4	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	145									
25	24	277/4	277/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	146		articAccentAbove							
25	24	277/4	277/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	147				44					
25	24	281/4	281/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	148									
25	24	277/4	277/4	0.0	0	0	Spanner	3/4	2	1	0									18	18			
25	24	277/4	277/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	149					18	18			
25	24	281/4	281/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	150					18	18			
25	24	285/4	285/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
26	25	289/4	289/4	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""6""/><font face=""Times New Roman""/><i>cresc.</i>"						
26	25	289/4	289/4	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	151									
26	25	289/4	289/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	152		articAccentAbove							
26	25	75	75	0.0	11/16	11/16	Dynamic	3/4	1	1	0					f								
26	25	75	75	0.0	11/16	11/16	StaffText	3/4	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>vivacissimo</i>"						
26	25	75	75	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	153				45					
26	25	289/4	289/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	154				46					
26	25	293/4	293/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	155									
26	25	289/4	289/4	0.0	0	0	Spanner	3/4	2	1	0									19	19			
26	25	289/4	289/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	156					19	19			
26	25	293/4	293/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	157					19	19			
26	25	297/4	297/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
26	25	75	75	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	158				47					
27	26	301/4	301/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	159									
27	26	76	76	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	160				48					
27	26	305/4	305/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	161									
27	26	77	77	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	162				49					
27	26	309/4	309/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	163									
27	26	78	78	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	164				50					
27	26	313/4	313/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	165									
27	26	79	79	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	166				51					
27	26	301/4	301/4	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	167									
27	26	76	76	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	168				52					
27	26	305/4	305/4	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	169									
27	26	77	77	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	170				53					
27	26	309/4	309/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	171									
27	26	78	78	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	172				54					
27	26	313/4	313/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	173									
27	26	79	79	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	174				55					
28	27	317/4	317/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	175									
28	27	80	80	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	176				56					
28	27	321/4	321/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	177									
28	27	81	81	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	178				57					
28	27	325/4	325/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	179									
28	27	82	82	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	180				58					
28	27	329/4	329/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	181									
28	27	83	83	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	182				59					
28	27	317/4	317/4	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	183									
28	27	80	80	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	184				60					
28	27	321/4	321/4	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	185									
28	27	81	81	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	186				61					
28	27	325/4	325/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	187									
28	27	82	82	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	188				62					
28	27	329/4	329/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	189									
28	27	83	83	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	190				63					
29	28	333/4	333/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	191									
29	28	84	84	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	192				64					
29	28	337/4	337/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	193									
29	28	85	85	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	194				65					
29	28	341/4	341/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	195									
29	28	86	86	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	196				66					
29	28	345/4	345/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	197									
29	28	87	87	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	198				67					
29	28	333/4	333/4	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	199									
29	28	84	84	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	200				68					
29	28	337/4	337/4	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	201									
29	28	85	85	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	202				69					
29	28	341/4	341/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	203									
29	28	86	86	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	204				70					
29	28	345/4	345/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	205									
29	28	87	87	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	206				71					
30	29	349/4	349/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	207									
30	29	88	88	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	208				72					
30	29	353/4	353/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	209									
30	29	89	89	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	210				73					
30	29	357/4	357/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	211									
30	29	90	90	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	212				74					
30	29	361/4	361/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	213									
30	29	349/4	349/4	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	214									
