mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin
5	5	8	8	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	13		articStaccatoAbove											
5	5	17/2	17/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	14													
5	5	35/4	35/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	15													
5	5	9	9	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	16		articAccentAbove											
5	5	39/4	39/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	17									1				
5	5	8	8	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	18		articAccentAbove											
5	5	35/4	35/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	19													
5	5	9	9	0.0		1/4	1/4	StaffText	2/4	2	1	0							segue										
5	5	9	9	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	20													
5	5	39/4	39/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	21													
6	6	10	10	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	22		articStaccatoAbove											
6	6	21/2	21/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	23													
6	6	43/4	43/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	24													
6	6	11	11	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	25		articAccentAbove											
6	6	47/4	47/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	26									2				
6	6	10	10	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	27													
6	6	43/4	43/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	28													
6	6	11	11	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	29													
6	6	47/4	47/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	30													
7	7	12	12	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	31		articStaccatoAbove											
7	7	25/2	25/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	32													
7	7	51/4	51/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	33													
7	7	13	13	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	34		articStaccatoBelow											
7	7	27/2	27/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	35													
7	7	55/4	55/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	36													
7	7	12	12	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	37													
7	7	51/4	51/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	38													
7	7	13	13	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	39													
7	7	55/4	55/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	40													
8	8	14	14	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	41													
8	8	29/2	29/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	42													
8	8	59/4	59/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	43													
8	8	15	15	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	44													
8	8	63/4	63/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	45													
8	8	14	14	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	46													
8	8	59/4	59/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	47													
8	8	15	15	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	48													
8	8	63/4	63/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	49													
9	9	16	16	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	50													
9	9	65/4	65/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	51													
9	9	33/2	33/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	52													
9	9	67/4	67/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	53													
9	9	17	17	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	54		articAccentBelow											
9	9	71/4	71/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	55													
9	9	16	16	0.0		0	0	Dynamic	2/4	2	1	0					pp												
9	9	16	16	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	56													
9	9	67/4	67/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	57													
9	9	17	17	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	58													
9	9	71/4	71/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	59													
10	10	18	18	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	60													
10	10	73/4	73/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	61													
10	10	37/2	37/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	62													
10	10	75/4	75/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	63													
10	10	19	19	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	64		articAccentBelow											
10	10	79/4	79/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	65													
10	10	18	18	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	66													
10	10	75/4	75/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	67													
10	10	19	19	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	68													
10	10	79/4	79/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	69													
11	11	20	20	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	70													
11	11	81/4	81/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	71													
11	11	41/2	41/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	72													
11	11	83/4	83/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	73													
11	11	21	21	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	74													
11	11	85/4	85/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	75													
11	11	43/2	43/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	76													
11	11	87/4	87/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	77													
11	11	20	20	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	78													
11	11	83/4	83/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	79													
11	11	21	21	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	80													
11	11	87/4	87/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	81													
12	12	22	22	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	82													
12	12	89/4	89/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	83													
12	12	45/2	45/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	84													
12	12	91/4	91/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	85													
12	12	23	23	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	86		articStaccatoBelow											
12	12	22	22	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	87													
12	12	91/4	91/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	88													
12	12	23	23	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	89													
12	12	95/4	95/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	90													
13	13	24	24	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	91		articAccentStaccatoAbove											
13	13	49/2	49/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	92													
13	13	99/4	99/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	93													
13	13	25	25	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	94		articAccentAbove											
13	13	103/4	103/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	95													
13	13	24	24	0.0		0	0	Dynamic	2/4	2	1	0					f												
13	13	24	24	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	96		articAccentStaccatoBelow											
13	13	49/2	49/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	97													
13	13	99/4	99/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	98													
13	13	25	25	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	99		articAccentBelow											
13	13	103/4	103/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	100													
14	14	26	26	0.75		0	0	Chord	2/4	1	1	3/16		1/8	3/2	101		articAccentAbove											
14	14	107/4	107/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	102													
14	14	27	27	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	103		articAccentAbove											
14	14	26	26	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	104		articAccentBelow											
14	14	107/4	107/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	105													
14	14	27	27	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	106		articAccentBelow											
15	15	28	28	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	107		articAccentStaccatoAbove											
15	15	57/2	57/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	108													
15	15	115/4	115/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	109													
15	15	29	29	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	110		articAccentStaccatoAbove											
15	15	59/2	59/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	111													
15	15	119/4	119/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	112													
15	15	28	28	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	113		articAccentBelow											
15	15	115/4	115/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	114													
15	15	29	29	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	115		articAccentBelow											
15	15	119/4	119/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	116													
16	16	30	30	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	117		articStaccatoAbove											
16	16	61/2	61/2	0.0		1/8	1/8	Dynamic	2/4	1	1	0					fz												
16	16	61/2	61/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	118		articStaccatoAbove											
16	16	31	31	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	119		articStaccatoBelow											
16	16	30	30	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	120		articAccentBelow											
16	16	123/4	123/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	121													
16	16	31	31	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	122		articAccentBelow											
16	16	127/4	127/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	123													
17	17	32	32	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	124		articAccentStaccatoBelow											
17	17	65/2	65/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	125													
17	17	131/4	131/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	126													
17	17	33	33	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	127		articAccentBelow											
17	17	135/4	135/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	128													
17	17	32	32	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	129		articAccentBelow											
17	17	65/2	65/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	130													
17	17	131/4	131/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	131													
17	17	33	33	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	132		articAccentBelow											
17	17	135/4	135/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	133													
18	18	34	34	0.75		0	0	Chord	2/4	1	1	3/16		1/8	3/2	134		articAccentBelow											
18	18	139/4	139/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	135													
18	18	35	35	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	136		articAccentBelow											
18	18	34	34	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	137		articAccentBelow											
18	18	139/4	139/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	138													
18	18	35	35	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	139		articAccentBelow											
19	19	36	36	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	140		articAccentStaccatoBelow											
19	19	73/2	73/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	141													
19	19	147/4	147/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	142													
19	19	37	37	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	143		articAccentStaccatoAbove											
19	19	75/2	75/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	144													
19	19	151/4	151/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	145													
19	19	36	36	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	146		articAccentBelow											
19	19	147/4	147/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	147													
19	19	37	37	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	148		articAccentBelow											
19	19	151/4	151/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	149													
20	20	38	38	0.0		0	0	Spanner	2/4	1	1	0														0			
20	20	38	38	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	150		articStaccatoAbove								0			
20	20	77/2	77/2	0.0		1/8	1/8	Dynamic	2/4	1	1	0					fz									0			
20	20	77/2	77/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	151		articStaccatoAbove								0			
20	20	39	39	0.0		1/4	1/4	Spanner	2/4	1	1	0																	
20	20	39	39	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	152		articStaccatoAbove											
20	20	38	38	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	153		articAccentBelow											
20	20	155/4	155/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	154													
20	20	39	39	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	155		articAccentBelow											
20	20	159/4	159/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	156													
21	21	40	40	0.0		0	0	Dynamic	2/4	1	1	0					pp												
21	21	40	40	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	157		articStaccatoAbove											
21	21	81/2	81/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	158									3				
21	21	163/4	163/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	159													
21	21	41	41	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	160		articStaccatoAbove											
21	21	83/2	83/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	161									4				
21	21	167/4	167/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	162													
21	21	81/2	81/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	163		articStaccatoAbove											
21	21	83/2	83/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	164		articStaccatoAbove											
22	22	42	42	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	165		articStaccatoAbove											
22	22	85/2	85/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	166									5				
22	22	171/4	171/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	167													
22	22	43	43	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	168		articStaccatoAbove											
22	22	87/2	87/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	169									6				
22	22	175/4	175/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	170													
22	22	85/2	85/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	171		articStaccatoAbove											
22	22	87/2	87/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	172		articStaccatoAbove											
23	23	44	44	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	173		articStaccatoAbove											
23	23	89/2	89/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	174									7				
23	23	179/4	179/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	175													
23	23	45	45	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	176		articStaccatoAbove											
23	23	91/2	91/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	177		articStaccatoAbove							8				
23	23	183/4	183/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	178													
23	23	89/2	89/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	179		articStaccatoAbove											
23	23	91/2	91/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	180		articStaccatoAbove											
24	24	46	46	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	181		articStaccatoAbove											
24	24	93/2	93/2	0.0		1/8	1/8	Dynamic	2/4	1	1	0					f												
24	24	93/2	93/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	182		articAccentStaccatoAbove											
24	24	47	47	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	183		articAccentBelow											
24	24	46	46	0.0		0	0	Spanner	2/4	2	1	0															0	0	
24	24	93/2	93/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	184		articAccentStaccatoAbove									0	0	
24	24	95/2	95/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	185		articStaccatoBelow									0	0	
25	25	48	48	0.0		0	0	Dynamic	2/4	1	1	0					pp												
25	25	48	48	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	186		articStaccatoBelow											
25	25	97/2	97/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	187									9				
25	25	195/4	195/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	188													
25	25	49	49	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	189		articStaccatoBelow											
25	25	99/2	99/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	190									10				
25	25	199/4	199/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	191													
25	25	48	48	0.0		0	0	Spanner	2/4	2	1	0																	
25	25	97/2	97/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	192		articStaccatoAbove											
25	25	99/2	99/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	193		articStaccatoAbove											
26	26	50	50	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	194		articStaccatoBelow											
26	26	101/2	101/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	195									11				
26	26	203/4	203/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	196													
26	26	51	51	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	197		articStaccatoBelow											
26	26	103/2	103/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	198									12				
26	26	207/4	207/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	199													
26	26	101/2	101/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	200		articStaccatoAbove											
26	26	103/2	103/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	201		articStaccatoAbove											
27	27	52	52	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	202		articStaccatoBelow											
27	27	105/2	105/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	203									13				
27	27	211/4	211/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	204													
27	27	53	53	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	205		articStaccatoBelow											
27	27	107/2	107/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	206									14				
27	27	215/4	215/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	207													
27	27	105/2	105/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	208		articStaccatoAbove											
27	27	107/2	107/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	209		articStaccatoAbove											
28	28	54	54	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	210		articStaccatoBelow											
28	28	109/2	109/2	0.0		1/8	1/8	Dynamic	2/4	1	1	0					f												
28	28	109/2	109/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	211		articAccentStaccatoBelow											
28	28	55	55	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	212		articAccentBelow											
28	28	54	54	0.0		0	0	Spanner	2/4	2	1	0															1	1	
28	28	109/2	109/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	213		articAccentStaccatoAbove									1	1	
28	28	111/2	111/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	214		articAccentStaccatoBelow									1	1	
29	29	56	56	0.0		0	0	Dynamic	2/4	1	1	0					pp												
29	29	56	56	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	215		articStaccatoBelow											
29	29	113/2	113/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	216													
29	29	227/4	227/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	217													
29	29	57	57	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	218		articAccentBelow											
29	29	231/4	231/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	219													
29	29	56	56	0.0		0	0	Spanner	2/4	2	1	0																	
29	29	56	56	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	220		articAccentBelow											
29	29	227/4	227/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	221													
29	29	57	57	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	222		articAccentBelow											
29	29	231/4	231/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	223													
30	30	58	58	0.75		0	0	Chord	2/4	1	1	3/16		1/8	3/2	224		articAccentBelow											
30	30	235/4	235/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	225													
30	30	59	59	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	226		articAccentBelow											
30	30	239/4	239/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	227													
30	30	58	58	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	228		articAccentBelow											
30	30	235/4	235/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	229													
30	30	59	59	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	230		articAccentBelow											
30	30	239/4	239/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	231													
31	31	60	60	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	232		articStaccatoBelow											
31	31	121/2	121/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	233													
31	31	243/4	243/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	234													
31	31	61	61	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	235		articStaccatoBelow											
31	31	123/2	123/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	236													
31	31	247/4	247/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	237													
31	31	60	60	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	238		articAccentBelow											
31	31	243/4	243/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	239													
31	31	61	61	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	240		articAccentBelow											
31	31	247/4	247/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	241													
32	32	62	62	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	242		articStaccatoBelow											
32	32	125/2	125/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	243													
32	32	251/4	251/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	244													
32	32	63	63	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	245		articAccentBelow											
32	32	62	62	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	246		articAccentBelow											
32	32	251/4	251/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	247													
