mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin
37	36	72	72	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	275							
37	36	141/2	141/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	276							
37	36	71	71	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	277							
37	36	143/2	143/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	278							
37	36	143/2	143/2	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	279							
38	37	73	73	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	280							
38	37	74	74	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	281							
38	37	145/2	145/2	0.75	0	0	Chord	2/4	2	1	3/16		1/8	3/2	282							
38	37	293/4	293/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	283							
38	37	147/2	147/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	284							
38	37	74	74	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	285							
38	37	145/2	145/2	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	286							
39	38	75	75	0.0	1/8	1/8	Spanner	2/4	1	1	0											3
39	38	75	75	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	287							3
39	38	76	76	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	288							3
39	38	149/2	149/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	289							
39	38	75	75	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	290							
39	38	151/2	151/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	291							
39	38	76	76	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	292							
39	38	149/2	149/2	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	293							
40	39	77	77	0.0	1/8	1/8	StaffText	2/4	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>sosten.</i>"				3
40	39	77	77	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	294							3
40	39	78	78	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	295							3
40	39	153/2	153/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	296							
40	39	77	77	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	297							
40	39	155/2	155/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	298							
40	39	78	78	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	299							
41	40	157/2	157/2	0.0	0	0	Spanner	2/4	1	1	0											
41	40	79	79	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	300							
41	40	80	80	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	301							
41	40	79	79	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	302							
41	40	159/2	159/2	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	303							
41	40	80	80	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	304							
41	40	157/2	157/2	0.0	0	0	Dynamic	2/4	2	1	0					fz						
41	40	157/2	157/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	305				40			
41	40	159/2	159/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	306				40			
41	40	80	80	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	307							
42	41	81	81	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	308							
42	41	82	82	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	309							
42	41	161/2	161/2	0.75	0	0	Chord	2/4	2	1	3/16		1/8	3/2	310							
42	41	325/4	325/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	311							
42	41	163/2	163/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	312							
42	41	82	82	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	313							
42	41	161/2	161/2	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	314							
43	42	83	83	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	315							
43	42	84	84	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	316							
43	42	165/2	165/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	317							
43	42	83	83	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	318							
43	42	167/2	167/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	319							
43	42	84	84	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	320							
43	42	165/2	165/2	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	321							
44	43	171/2	171/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	322		articAccentAbove					
44	43	85	85	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	323							
44	43	171/2	171/2	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	324							
44	43	86	86	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	325							
44	43	169/2	169/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	326							
44	43	85	85	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	327							
44	43	171/2	171/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	328							
44	43	171/2	171/2	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	329							
45	44	175/2	175/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	330		articAccentAbove					
45	44	87	87	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	331							
45	44	175/2	175/2	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	332							
45	44	88	88	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	333							
45	44	173/2	173/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	334							
45	44	87	87	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	335							
45	44	175/2	175/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	336							
45	44	175/2	175/2	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	337							
46	45	89	89	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	338							
46	45	90	90	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	339							
46	45	177/2	177/2	0.75	0	0	Chord	2/4	2	1	3/16		1/8	3/2	340							
46	45	357/4	357/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	341							
46	45	179/2	179/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	342							
46	45	90	90	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	343							
46	45	177/2	177/2	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	344							
47	46	91	91	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	345							
47	46	92	92	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	346							
47	46	181/2	181/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	347							
47	46	91	91	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	348							
47	46	183/2	183/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	349							
47	46	92	92	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	350							
47	46	181/2	181/2	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	351							
48	47	93	93	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	352							
48	47	94	94	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	353							
48	47	185/2	185/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	354				41			
48	47	93	93	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	355							
48	47	187/2	187/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	356				42			
48	47	94	94	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	357							
48	47	185/2	185/2	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	358							
49	48	95	95	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	359							
49	48	96	96	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	360							
49	48	189/2	189/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	361				43			
49	48	191/2	191/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	362							
49	48	189/2	189/2	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	363							
49	48	191/2	191/2	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	364							
50	49	193/2	193/2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	365							
50	49	389/4	389/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	366							
50	49	195/2	195/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	367							
50	49	98	98	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	368							
50	49	193/2	193/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	369				44			
50	49	97	97	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	370							
50	49	195/2	195/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	371				45			
50	49	98	98	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	372							
51	50	197/2	197/2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	373							
51	50	197/2	197/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	374		articStaccatoAbove					
51	50	99	99	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	375							
51	50	199/2	199/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	376		articAccentAbove					
51	50	197/2	197/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	377				46			
51	50	99	99	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	378							
51	50	199/2	199/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	379				47			
51	50	100	100	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	380							
52	51	201/2	201/2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	381							
52	51	201/2	201/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	382		articStaccatoAbove					
52	51	101	101	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	383							
52	51	203/2	203/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	384		articAccentAbove					
52	51	201/2	201/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	385				48			
52	51	101	101	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	386							
52	51	203/2	203/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	387				49			
52	51	102	102	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	388							
53	52	205/2	205/2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	389							
53	52	205/2	205/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	390		articStaccatoAbove					
53	52	103	103	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	391							
53	52	207/2	207/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	392							
53	52	104	104	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	393							
53	52	205/2	205/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	394				50			
53	52	103	103	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	395							
53	52	207/2	207/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	396				51			
53	52	104	104	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	397							
54	53	209/2	209/2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	398							
54	53	209/2	209/2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	399				52			
54	53	421/4	421/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	400				52			
54	53	211/2	211/2	0.0	1/4	1/4	Chord	2/4	1	1	0	acciaccatura	1/8	1	401				52			
54	53	211/2	211/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	402				52			
54	53	423/4	423/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	403				52			
54	53	106	106	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	404				52			
54	53	425/4	425/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	405				52			
54	53	209/2	209/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	406				53			
54	53	105	105	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	407							
54	53	211/2	211/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	408				54			
54	53	106	106	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	409							
55	54	213/2	213/2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	410							
55	54	213/2	213/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	411		articStaccatoAbove					
55	54	107	107	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	412							
55	54	215/2	215/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	413		articAccentAbove					
55	54	213/2	213/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	414				55			
55	54	107	107	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	415							
55	54	215/2	215/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	416				56			
55	54	108	108	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	417							
56	55	217/2	217/2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	418							
56	55	217/2	217/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	419		articStaccatoAbove					
56	55	109	109	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	420				57			
56	55	219/2	219/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	421				57			
56	55	110	110	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	422							
56	55	217/2	217/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	423				58			
56	55	109	109	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	424							
56	55	219/2	219/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	425				59			
56	55	110	110	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	426							
57	56	221/2	221/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	427				60			
57	56	223/2	223/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	428							
57	56	221/2	221/2	0.0	0	0	Spanner	2/4	2	1	0									2	2	
57	56	221/2	221/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	429				61	2	2	
57	56	111	111	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	430				61	2	2	
57	56	223/2	223/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	431		articStaccatoBelow			2	2	
57	56	112	112	0.0	3/8	3/8	Spanner	2/4	2	1	0											
