mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	63								3	3		
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	64								3	3		
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	65		articAccentStaccatoBelow									
6	6	21	21	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	66											
6	6	87/4	87/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	67											
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	68		articStaccatoBelow									
6	6	47/2	47/2	0.16666666666666666	7/8	7/8	Chord	4/4	1	1	1/24		1/16	2/3	69											
6	6	71/3	71/3	0.16666666666666666	11/12	11/12	Chord	4/4	1	1	1/24		1/16	2/3	70											
6	6	143/6	143/6	0.16666666666666666	23/24	23/24	Chord	4/4	1	1	1/24		1/16	2/3	71											
6	6	20	20	0.0	0	0	Spanner	4/4	2	1	0															
6	6	20	20	0.0	0	0	Spanner	4/4	2	1	0												4	4		
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	72								4	4		
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	73								4	4		
6	6	87/4	87/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	74								4	4		
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	75		articStaccatoAbove						4	4		
7	7	24	24	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	76							4				
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	77											
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	78		articStaccatoAbove									
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	79		articStaccatoAbove									
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	80							5				
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	81											
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	82		articStaccatoAbove									
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	83		articStaccatoAbove									
7	7	24	24	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	84											
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	85											
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	86											
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	87											
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	88											
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	89											
7	7	24	24	0.0	0	0	Spanner	4/4	2	1	0															
7	7	24	24	0.0	0	0	Spanner	4/4	2	1	0												5	5		
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	90								5	5		
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	91								5	5		
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	92								5	5		
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	93								5	5		
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	94		articAccentStaccatoAbove									
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	95											
8	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	96											
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	97											
8	8	31	31	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	98		articStaccatoBelow									
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	99		articStaccatoBelow									
8	8	28	28	0.0	0	0	Spanner	4/4	2	1	0															
8	8	28	28	0.0	0	0	Spanner	4/4	2	1	0												6	6		
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	100								6	6		
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	101								6	6		
8	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	102								6	6		
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	103								6	6		
9	9	32	32	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	104							6				
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	105											
9	9	33	33	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	106		articStaccatoAbove									
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	107		articStaccatoAbove									
9	9	34	34	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	108							7				
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	109											
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	110		articStaccatoAbove									
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	111		articStaccatoAbove									
9	9	32	32	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	112											
9	9	33	33	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	113											
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	114											
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	115											
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	116											
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	117											
9	9	32	32	0.0	0	0	Spanner	4/4	2	1	0															
9	9	32	32	0.0	0	0	Spanner	4/4	2	1	0												7	7		
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	118								7	7		
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	119								7	7		
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	120								7	7		
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	121								7	7		
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	122		articAccentStaccatoBelow									
10	10	37	37	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	123											
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	124											
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	125		articStaccatoBelow									
10	10	36	36	0.0	0	0	Spanner	4/4	2	1	0															
10	10	36	36	0.0	0	0	Spanner	4/4	2	1	0												8	8		
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	126								8	8		
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	127								8	8		
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	128								8	8		
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	129								8	8		
10	10	39	39	0.0	3/4	3/4	StaffText	4/4	2	1	0							"<font size=""11.9992""/><font face=""Times New Roman""/><i>una corda</i>"					8	8		
10	10	39	39	0.0	3/4	3/4	Dynamic	4/4	2	1	0					pp							8	8		
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	130								8	8		
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	131								8	8		
11	11	41	41	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	132											
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	133											
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	134		articAccentStaccatoBelow									
11	11	40	40	0.0	0	0	Spanner	4/4	2	1	0															
11	11	40	40	0.0	0	0	Spanner	4/4	2	1	0												9	9		
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	135		articAccentStaccatoAbove						9	9		
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	136								9	9		
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	137								9	9		
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	138											
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	139											
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	140		articAccentStaccatoBelow									
12	12	95/2	95/2	0.16666666666666666	7/8	7/8	Chord	4/4	1	1	1/24		1/16	2/3	141											
12	12	143/3	143/3	0.16666666666666666	11/12	11/12	Chord	4/4	1	1	1/24		1/16	2/3	142											
12	12	287/6	287/6	0.16666666666666666	23/24	23/24	Chord	4/4	1	1	1/24		1/16	2/3	143											
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	144								9	9		
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	145								9	9		
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	146								9	9		
13	13	48	48	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	147							8				
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	148											
13	13	49	49	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	149		articStaccatoAbove									
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	150		articStaccatoAbove									
13	13	50	50	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	151							9				
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	152											
13	13	51	51	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	153		articStaccatoAbove									
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	154		articStaccatoAbove									
13	13	48	48	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	155											
13	13	49	49	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	156											
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	157											
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	158											
13	13	51	51	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	159											
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	160											
13	13	48	48	0.0	0	0	Spanner	4/4	2	1	0															
13	13	48	48	0.0	0	0	Spanner	4/4	2	1	0												10	10		
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	161								10	10		
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	162								10	10		
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	163								10	10		
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	164								10	10		
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	165								10	10		
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	166								10	10		
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	167		articAccentStaccatoAbove									
14	14	53	53	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	168											
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	169											
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	170											
14	14	55	55	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	171		articStaccatoAbove									
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	172		articStaccatoAbove									
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	173		articAccentStaccatoAbove						10	10		
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	174								10	10		
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	175								10	10		
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	176								10	10		
15	15	56	56	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	177							10				
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	178											
15	15	57	57	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	179		articStaccatoAbove									
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	180		articStaccatoAbove									
15	15	58	58	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	181							11				
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	182											
15	15	59	59	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	183		articStaccatoAbove									
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	184		articStaccatoAbove									
15	15	56	56	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	185											
15	15	57	57	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	186											
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	187											
15	15	58	58	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	188											
15	15	59	59	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	189											
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	190											
15	15	56	56	0.0	0	0	Spanner	4/4	2	1	0															
15	15	56	56	0.0	0	0	Spanner	4/4	2	1	0												11	11		
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	191								11	11		
15	15	57	57	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	192								11	11		
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	193								11	11		
15	15	58	58	0.0	1/2	1/2	Spanner	4/4	2	1	0															
15	15	58	58	0.0	1/2	1/2	Spanner	4/4	2	1	0												12	12		
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	194								12	12		
15	15	59	59	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	195								12	12		
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	196								12	12		
16	16	60	60	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	197		articAccentStaccatoAbove									
16	16	61	61	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	198											
16	16	247/4	247/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	199											
16	16	62	62	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	200		articStaccatoAbove									
16	16	127/2	127/2	0.16666666666666666	7/8	7/8	Chord	4/4	1	1	1/24		1/16	2/3	201											
16	16	191/3	191/3	0.16666666666666666	11/12	11/12	Chord	4/4	1	1	1/24		1/16	2/3	202											
16	16	383/6	383/6	0.16666666666666666	23/24	23/24	Chord	4/4	1	1	1/24		1/16	2/3	203											
16	16	60	60	0.0	0	0	Spanner	4/4	2	1	0															
16	16	60	60	0.0	0	0	Spanner	4/4	2	1	0												13	13		
16	16	60	60	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	204								13	13		
16	16	61	61	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	205								13	13		
16	16	247/4	247/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	206								13	13		
16	16	62	62	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	207								13	13		
17	17	64	64	0.0	0	0	Dynamic	4/4	1	1	0					other-dynamics										
17	17	64	64	0.0	0	0	Dynamic	4/4	1	1	0					pp										
17	17	64	64	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	208							12				
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	209											
17	17	65	65	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	210		articStaccatoAbove									
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	211		articStaccatoAbove									
17	17	66	66	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	212							13				
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	213											
17	17	67	67	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	214		articStaccatoAbove									
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	215		articStaccatoAbove									
17	17	64	64	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	216											
17	17	65	65	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	217											
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	218											
17	17	66	66	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	219											
17	17	67	67	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	220											
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	221											
17	17	64	64	0.0	0	0	Spanner	4/4	2	1	0															
17	17	64	64	0.0	0	0	Spanner	4/4	2	1	0												14	14		
17	17	64	64	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	222								14	14		
17	17	65	65	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	223								14	14		
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	224								14	14		
17	17	66	66	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	225								14	14		
18	18	68	68	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	226		articAccentStaccatoAbove									
18	18	69	69	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	227											
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	228											
18	18	70	70	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	229											
18	18	71	71	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	230											
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	231											
18	18	68	68	0.0	0	0	Spanner	4/4	2	1	0															
18	18	68	68	0.0	0	0	Spanner	4/4	2	1	0												15	15		
18	18	68	68	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	232		articAccentStaccatoBelow						15	15		
18	18	69	69	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	233								15	15		
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	234								15	15		
18	18	70	70	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	235								15	15		
19	19	72	72	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	236							14				
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	237											
19	19	73	73	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	238		articStaccatoAbove									
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	239		articStaccatoAbove									
19	19	74	74	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	240							15				
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	241											
19	19	75	75	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	242		articStaccatoAbove									
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	243		articStaccatoAbove									
