mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	25				5				
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	26								
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	27				6				
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	28								
6	6	20	20	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	29				2				
6	6	41/2	41/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	30				2				
6	6	83/4	83/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	31				2				
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	32								
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	33				7				
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	34				8				
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	35								
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	36				9				
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	37								
7	7	24	24	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	38				7				
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	39				7				
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	40				7				
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	41				7				
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	42				7				
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	43				7				
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	44				7				
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	45				7				
7	7	24	24	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	46								
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	47								
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	48				10				
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	49								
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	50				11				
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	51								
8	8	28	28	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	52				7				
8	8	57/2	57/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	53				7				
8	8	115/4	115/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	54				7				
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	55								
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	56				12				
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	57				13				
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	58								
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	59				14				
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	60								
9	9	32	32	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	61				12				
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	62				12				
9	9	33	33	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	63				12				
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	64				12				
9	9	34	34	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	65				12				
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	66				12				
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	67				12				
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	68				12				
9	9	32	32	4.0	0	0	Chord	4/4	1	2	1	1	1	69								
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	70				15				
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	71								
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	72				16				
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	73								
10	10	36	36	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	74				12				
10	10	73/2	73/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	75				12				
10	10	147/4	147/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	76				12				
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	77								
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	78				17				
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	79				18				
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	80								
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	81				19				
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	82								
11	11	40	40	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	83				17				
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	84				17				
11	11	41	41	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	85				17				
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	86				17				
11	11	42	42	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	87				17				
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	88				17				
11	11	43	43	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	89				17				
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	90				17				
11	11	40	40	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	91								
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	92								
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	93				20				
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	94								
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	95				21				
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	96								
12	12	44	44	0.0	0	0	StaffText	4/4	1	1	0						cresc.	17				
12	12	44	44	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	97				17				
12	12	89/2	89/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	98				17				
12	12	179/4	179/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	99				17				
12	12	45	45	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	100								
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	101				22				
12	12	47	47	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	102				22				
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	103				22				
12	12	44	44	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	104								
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	105								
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	106				23				
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	107								
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	108				24				
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	109								
13	13	48	48	0.0	0	0	Spanner	4/4	1	1	0							22		0		
13	13	48	48	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	110				22		0		
13	13	97/2	97/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	111				22		0		
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	112				22		0		
13	13	49	49	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	113						0		
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	114				25		0		
13	13	51	51	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	115				25		0		
13	13	103/2	103/2	0.0	7/8	7/8	Spanner	4/4	1	1	0											
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	116								
13	13	48	48	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	117								
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	118								
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	119				26				
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	120								
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	121				27				
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	122								
14	14	52	52	0.0	0	0	StaffText	4/4	1	1	0						scherzando					
14	14	105/2	105/2	0.0	1/8	1/8	Dynamic	4/4	1	1	0				pp							
14	14	105/2	105/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	123				28				
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	124				28				
14	14	53	53	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	125		articStaccatoBelow						
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	126								
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	127								
14	14	54	54	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	128		articStaccatoAbove						
14	14	109/2	109/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	129				29				
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	130				29				
14	14	55	55	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	131		articStaccatoAbove						
14	14	111/2	111/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	132				30				
14	14	223/4	223/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	133				30				
14	14	105/2	105/2	0.0	1/8	1/8	StaffText	4/4	2	1	0						senza Ped.					
14	14	105/2	105/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	134				31				
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	135				31				
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	136		articStaccatoAbove						
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	137				32				
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	138				32				
14	14	54	54	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	139		articStaccatoBelow						
14	14	109/2	109/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	140				33				
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	141				33				
14	14	55	55	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	142		articStaccatoBelow						
14	14	111/2	111/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	143				34				
14	14	223/4	223/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	144				34				
15	15	56	56	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	145		articStaccatoAbove						
15	15	57	57	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	146		articStaccatoBelow						
15	15	58	58	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	147		articStaccatoBelow						
15	15	56	56	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	148		articStaccatoBelow						
15	15	57	57	0.0	1/4	1/4	Spanner	4/4	2	1	0										0	0
15	15	57	57	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	149		articStaccatoAbove					0	0
15	15	115/2	115/2	0.0	3/8	3/8	Spanner	4/4	2	1	0											
15	15	58	58	0.0	1/2	1/2	Spanner	4/4	2	1	0										1	1
15	15	58	58	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	150		articStaccatoBelow					1	1
15	15	117/2	117/2	0.0	5/8	5/8	Spanner	4/4	2	1	0											
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	151				35				
16	16	60	60	0.0	0	0	Dynamic	4/4	2	1	0				p							
16	16	60	60	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	152				36				
16	16	61	61	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	153		articStaccatoBelow						
16	16	62	62	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	154				37				
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	155		articStaccatoBelow						
17	17	64	64	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	156				35				
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	157				35				
17	17	65	65	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	158				35				
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	159				35				
17	17	66	66	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	160				35				
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	161				35				
17	17	67	67	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	162				35				
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	163				35				
17	17	64	64	4.0	0	0	Chord	4/4	1	2	1	1	1	164								
17	17	64	64	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	165				38				
17	17	65	65	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	166								
17	17	66	66	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	167				39				
17	17	67	67	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	168								
18	18	68	68	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	169				35				
18	18	137/2	137/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	170				35				
18	18	275/4	275/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	171				35				
18	18	69	69	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	172								
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	173				40				
18	18	68	68	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	174				41				
18	18	69	69	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	175								
18	18	70	70	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	176				42				
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	177								
19	19	72	72	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	178				40				
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	179				40				
19	19	73	73	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	180				40				
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	181				40				
19	19	74	74	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	182				40				
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	183				40				
19	19	75	75	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	184				40				
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	185				40				
19	19	72	72	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	186								
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	187								
19	19	72	72	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	188				43				
19	19	73	73	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	189								
19	19	74	74	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	190				44				
19	19	75	75	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	191								
20	20	76	76	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	192				40				
20	20	153/2	153/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	193				40				
20	20	307/4	307/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	194				40				
20	20	77	77	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	195								
20	20	159/2	159/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	196				45				
20	20	76	76	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	197				46				
20	20	77	77	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	198								
20	20	78	78	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	199				47				
20	20	79	79	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	200								
21	21	80	80	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	201				45				
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	202				45				
21	21	81	81	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	203				45				
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	204				45				
21	21	82	82	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	205				45				
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	206				45				
21	21	83	83	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	207				45				
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	208				45				
21	21	80	80	4.0	0	0	Chord	4/4	1	2	1	1	1	209								
21	21	80	80	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	210				48				
21	21	81	81	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	211								
21	21	82	82	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	212				49				
21	21	83	83	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	213								
22	22	84	84	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	214				45				
22	22	169/2	169/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	215				45				
22	22	339/4	339/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	216				45				
22	22	85	85	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	217								
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	218				50				
22	22	84	84	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	219				51				
22	22	85	85	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	220								
22	22	86	86	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	221				52				
22	22	87	87	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	222								
23	23	88	88	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	223				50				
23	23	177/2	177/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	224				50				
23	23	89	89	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	225				50				
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	226				50				
23	23	90	90	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	227				50				
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	228				50				
23	23	91	91	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	229				50				
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	230				50				
23	23	88	88	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	231								
23	23	90	90	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	232								
23	23	88	88	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	233				53				
23	23	89	89	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	234								
23	23	90	90	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	235				54				
23	23	91	91	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	236								
24	24	92	92	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	237				50				
24	24	185/2	185/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	238				50				
24	24	371/4	371/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	239				50				
24	24	93	93	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	240								
24	24	189/2	189/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	241				55				
24	24	95	95	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	242				55				
24	24	191/2	191/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	243				55				
24	24	92	92	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	244								
24	24	94	94	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	245								
24	24	92	92	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	246				56				
24	24	93	93	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	247								
24	24	94	94	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	248				57				
24	24	95	95	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	249								
25	25	96	96	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	250				55				
25	25	193/2	193/2	0.0	1/8	1/8	Spanner	4/4	1	1	0							55		1		
25	25	193/2	193/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	251				55		1		
25	25	387/4	387/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	252				55		1		
25	25	97	97	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	253						1		
25	25	197/2	197/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	254				58		1		
25	25	99	99	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	255				58		1		
25	25	199/2	199/2	0.0	7/8	7/8	Spanner	4/4	1	1	0											
25	25	199/2	199/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	256								
25	25	96	96	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	257								
25	25	98	98	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	258								
25	25	96	96	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	259				59				
25	25	97	97	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	260								
25	25	98	98	0.0	1/2	1/2	Spanner	4/4	2	1	0										2	2
25	25	98	98	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	261				60			2	2
25	25	99	99	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	262							2	2
26	26	201/2	201/2	0.0	1/8	1/8	Dynamic	4/4	1	1	0				pp							
26	26	201/2	201/2	0.0	1/8	1/8	StaffText	4/4	1	1	0						scherzando					
26	26	201/2	201/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	263				61				
26	26	403/4	403/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	264				61				
26	26	101	101	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	265		articStaccatoBelow						
26	26	203/2	203/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	266				62				
26	26	407/4	407/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	267				62				
26	26	102	102	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	268		articStaccatoAbove						
26	26	205/2	205/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	269				63				
26	26	411/4	411/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	270				63				
26	26	103	103	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	271		articStaccatoAbove						
