mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	70				14					
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	71				14					
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	72									
5	5	17/2	17/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	73									
6	6	10	10	0.0	0	0	Spanner	2/4	1	1	0										1			
6	6	10	10	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	74						1			
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	75		articAccentAbove				1			
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	76						1			
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	77		articAccentAbove				1			
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	78						1			
6	6	10	10	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	79						1			
6	6	21/2	21/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	80				15		1			
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	81				15		1			
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	82						1			
6	6	23/2	23/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	83				16		1			
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	84						1			
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	85				17					
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	86				17					
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	87									
6	6	21/2	21/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	88									
7	7	12	12	0.0	0	0	Spanner	2/4	1	1	0													
7	7	12	12	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	89		articAccentAbove		18					
7	7	49/4	49/4	0.0	1/16	1/16	Spanner	2/4	1	1	0								18	1				
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	90		articStaccatoAbove			1				
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	91		articAccentAbove		19	1				
7	7	27/2	27/2	0.0	3/8	3/8	Spanner	2/4	1	1	0													
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	92		articStaccatoAbove							
7	7	12	12	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	93									
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	94									
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	95									
7	7	13	13	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	96									
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	97									
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	98									
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	99		articAccentAbove		20					
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	100		articStaccatoAbove							
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	101		articAccentAbove		21					
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	102									
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	103									
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	104									
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	105									
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	106									
8	8	14	14	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	107		articAccentAbove		22					
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	108									
8	8	15	15	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	109		articTenutoAbove							
8	8	14	14	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	110				23					
8	8	57/4	57/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	111									
8	8	29/2	29/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	112		articStaccatoBelow							
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	113		articStaccatoBelow							
8	8	14	14	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	114		articStaccatoAbove							
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	115		articStaccatoBelow							
8	8	15	15	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	116		articTenutoBelow							
8	8	14	14	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	117									
9	9	16	16	0.0	0	0	Dynamic	2/4	1	1	0					p								
9	9	33/2	33/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	118		articTenutoAbove							
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	119		articTenutoAbove							
9	9	16	16	0.0	0	0	Chord	2/4	1	2	0	acciaccatura	1/8	1	120									
9	9	16	16	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	121		articStaccatoBelow							
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	122				24					
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	123				24					
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	124									
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	125				25					
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	126				25					
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	127									
9	9	17	17	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	128									
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	129									
9	9	33/2	33/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	130									
10	10	18	18	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	131									
10	10	37/2	37/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	132		articTenutoAbove							
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	133		articTenutoAbove							
10	10	18	18	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	134									
10	10	37/2	37/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	135				26					
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	136				26					
10	10	19	19	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	137									
10	10	39/2	39/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	138				27					
10	10	79/4	79/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	139				27					
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	140									
10	10	19	19	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	141									
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	142									
10	10	37/2	37/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	143									
11	11	20	20	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	144									
11	11	41/2	41/2	0.0	1/8	1/8	Dynamic	2/4	1	1	0					pp								
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	145				28					
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	146				28					
11	11	21	21	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	147		articStaccatoAbove							
11	11	43/2	43/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	148				29					
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	149				29					
11	11	20	20	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	150									
11	11	20	20	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	151									
11	11	41/2	41/2	0.0	1/8	1/8	Spanner	2/4	2	1	0												0	0
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	152				30				0	0
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	153				30				0	0
11	11	21	21	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	154		articStaccatoAbove						0	0
11	11	43/2	43/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	155				31				0	0
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	156				31				0	0
11	11	20	20	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	157								0	0
12	12	22	22	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	158		articStaccatoAbove							
12	12	45/2	45/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	159				32					
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	160				32					
12	12	23	23	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	161		articStaccatoAbove							
12	12	22	22	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	162		articStaccatoAbove						0	0
12	12	45/2	45/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	163				33				0	0
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	164				33				0	0
12	12	23	23	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	165		articStaccatoAbove						0	0
12	12	47/2	47/2	0.0	3/8	3/8	Spanner	2/4	2	1	0													
13	13	24	24	0.0	0	0	Dynamic	2/4	1	1	0					p								
13	13	24	24	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	166									
13	13	24	24	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	167									
13	13	49/2	49/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	168		articTenutoAbove							
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	169		articTenutoAbove							
13	13	24	24	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	170		articStaccatoBelow							
13	13	49/2	49/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	171				34					
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	172				34					
13	13	25	25	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	173									
13	13	51/2	51/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	174				35					
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	175				35					
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	176									
13	13	25	25	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	177									
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	178									
13	13	49/2	49/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	179									
14	14	26	26	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	180									
14	14	53/2	53/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	181		articTenutoAbove							
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	182		articTenutoAbove							
14	14	26	26	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	183									
14	14	53/2	53/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	184				36					
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	185				36					
14	14	27	27	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	186									
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	187				37					
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	188				37					
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	189									
14	14	27	27	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	190									
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	191									
14	14	53/2	53/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	192									
15	15	28	28	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	193									
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	194				38					
15	15	115/4	115/4	0.0	3/16	3/16	Dynamic	2/4	1	1	0					pp			38					
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	195				38					
15	15	29	29	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	196		articStaccatoBelow							
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	197				39					
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	198				39					
15	15	28	28	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	199									
15	15	28	28	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	200									
15	15	57/2	57/2	0.0	1/8	1/8	Spanner	2/4	2	1	0												1	1
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	201				40				1	1
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	202				40				1	1
15	15	29	29	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	203		articStaccatoAbove						1	1
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	204				41				1	1
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	205				41				1	1
15	15	28	28	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	206								1	1
16	16	30	30	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""11""/><font face=""Times New Roman""/><i>ritard.</i>"						
16	16	30	30	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	207		articStaccatoAbove							
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	208				42					
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	209				42					
16	16	31	31	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	210		articStaccatoBelow							
16	16	30	30	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	211		articStaccatoBelow						1	1
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	212				43				1	1
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	213				43				1	1
16	16	31	31	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	214		articStaccatoAbove						1	1
17	17	32	32	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>a tempo</i>"						
17	17	32	32	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	215									
17	17	32	32	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	216		articTenutoBelow							
17	17	32	32	0.0	0	0	Spanner	2/4	2	1	0													
17	17	33	33	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	217									
17	17	33	33	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	218		articTenutoBelow							
18	18	34	34	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	219									
18	18	34	34	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	220		articTenutoAbove							
18	18	35	35	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	221									
18	18	35	35	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	222		articTenutoAbove							
19	19	36	36	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	223									
19	19	36	36	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	224		articAccentStaccatoAbove							
19	19	73/2	73/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	225									
19	19	147/4	147/4	0.0	3/16	3/16	Spanner	2/4	1	1	0										2			
19	19	37	37	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	226		articAccentStaccatoAbove				2			
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	227						2			
19	19	36	36	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	228						2			
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	229				44		2			
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	230				44		2			
19	19	37	37	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	231		articStaccatoBelow				2			
19	19	75/2	75/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	232				45		2			
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	233				45		2			
19	19	73/2	73/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	234									
19	19	37	37	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	235									
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	236									
19	19	73/2	73/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	237									
20	20	38	38	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	238						2			
20	20	38	38	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	239		articAccentStaccatoAbove				2			
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	240						2			
20	20	39	39	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	241		articAccentStaccatoAbove				2			
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	242						2			
20	20	38	38	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	243						2			
20	20	77/2	77/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	244				46		2			
20	20	155/4	155/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	245				46		2			
20	20	39	39	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	246		articStaccatoBelow				2			
20	20	79/2	79/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	247				47		2			
20	20	159/4	159/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	248						2			
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	249									
20	20	39	39	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	250									
