mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
2	2	17/4	17/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	34								
2	2	9/2	9/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	35								
2	2	19/4	19/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	36								
2	2	5	5	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	37								
2	2	3	3	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	38								
2	2	5	5	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	39								
3	3	6	6	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	40		articAccentAbove		2				
3	3	25/4	25/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	41				2				
3	3	13/2	13/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	42				2				
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	43				2				
3	3	7	7	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	44				2				
3	3	29/4	29/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	45				2				
3	3	15/2	15/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	46				2				
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	47				2				
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	48		articStaccatoAbove						
3	3	6	6	0.25	0	0	Chord	3/4	2	1	1/16	1/16	1	49								
3	3	25/4	25/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	50								
3	3	13/2	13/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	51								
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	52								
3	3	7	7	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	53								
3	3	29/4	29/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	54								
3	3	15/2	15/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	55								
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	56								
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	57								
3	3	6	6	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	58								
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	59								
4	4	9	9	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	60		articAccentAbove		3				
4	4	37/4	37/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	61				3				
4	4	19/2	19/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	62				3				
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	63				3				
4	4	10	10	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	64				3				
4	4	41/4	41/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	65				3				
4	4	21/2	21/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	66				3				
4	4	43/4	43/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	67				3				
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	68		articStaccatoAbove						
4	4	9	9	0.25	0	0	Chord	3/4	2	1	1/16	1/16	1	69								
4	4	37/4	37/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	70								
4	4	19/2	19/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	71								
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	72								
4	4	10	10	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	73								
4	4	41/4	41/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	74								
4	4	21/2	21/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	75								
4	4	43/4	43/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	76								
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	77								
4	4	9	9	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	78								
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	79								
5	5	49/4	49/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	80				4				
5	5	25/2	25/2	0.0	1/8	1/8	StaffText	3/4	1	1	0						"<font size=""10""/><font face=""Times New Roman""/><i>cresc.</i>"	4				
5	5	25/2	25/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	81				4				
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	82				4				
5	5	13	13	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	83				4				
5	5	53/4	53/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	84				4				
5	5	27/2	27/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	85				4				
5	5	55/4	55/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	86				4				
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	87		articStaccatoAbove						
5	5	12	12	0.25	0	0	Chord	3/4	2	1	1/16	1/16	1	88								
5	5	49/4	49/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	89								
5	5	25/2	25/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	90								
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	91								
5	5	13	13	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	92								
5	5	53/4	53/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	93								
5	5	27/2	27/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	94								
5	5	55/4	55/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	95								
5	5	14	14	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	96								
5	5	12	12	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	97		articAccentBelow						
5	5	14	14	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	98								
6	6	61/4	61/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	99				5				
6	6	31/2	31/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	100				5				
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	101				5				
6	6	16	16	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	102				5				
6	6	65/4	65/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	103				5				
6	6	33/2	33/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	104				5				
6	6	67/4	67/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	105				5				
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	106		articStaccatoAbove						
6	6	15	15	0.25	0	0	Chord	3/4	2	1	1/16	1/16	1	107								
6	6	61/4	61/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	108								
6	6	31/2	31/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	109								
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	110								
6	6	16	16	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	111								
6	6	65/4	65/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	112								
6	6	33/2	33/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	113								
6	6	67/4	67/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	114								
6	6	17	17	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	115								
6	6	15	15	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	116		articAccentBelow						
6	6	17	17	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	117								
7	7	18	18	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	118				6				
7	7	73/4	73/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	119				6				
7	7	37/2	37/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	120				6				
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	121				6				
7	7	19	19	0.0	1/4	1/4	Spanner	3/4	1	1	0							6		0		
7	7	19	19	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	122				6		0		
7	7	77/4	77/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	123				6		0		
7	7	39/2	39/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	124				6		0		
7	7	79/4	79/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	125				6		0		
7	7	20	20	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	126				6		0		
7	7	81/4	81/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	127				6		0		
7	7	41/2	41/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	128				6		0		
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	129						0		
7	7	18	18	0.25	0	0	Chord	3/4	2	1	1/16	1/16	1	130		articAccentBelow						
7	7	73/4	73/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	131								
7	7	37/2	37/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	132								
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	133								
7	7	19	19	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	134								
7	7	77/4	77/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	135								
7	7	39/2	39/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	136								
7	7	79/4	79/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	137								
7	7	20	20	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	138								
7	7	81/4	81/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	139								
7	7	41/2	41/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	140								
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	141								
8	8	21	21	0.0	0	0	Dynamic	3/4	1	1	0				fz							
8	8	21	21	0.0	0	0	Spanner	3/4	1	1	0											
8	8	21	21	0.0	0	0	Spanner	3/4	1	1	0								0			
8	8	21	21	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	142					0			
8	8	23	23	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	143					0			
8	8	47/2	47/2	0.0	5/8	5/8	Spanner	3/4	1	1	0											
8	8	21	21	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	144								
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	145								
8	8	23	23	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	146								
8	8	21	21	0.25	0	0	Chord	3/4	2	1	1/16	1/16	1	147								
8	8	85/4	85/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	148								
8	8	43/2	43/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	149								
8	8	87/4	87/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	150								
8	8	22	22	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	151								
8	8	89/4	89/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	152								
8	8	45/2	45/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	153								
8	8	91/4	91/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	154								
8	8	23	23	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	155								
9	9	24	24	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	156		articAccentAbove		7				
9	9	97/4	97/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	157				7				
9	9	49/2	49/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	158				7				
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	159				7				
9	9	25	25	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	160				7				
9	9	101/4	101/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	161				7				
9	9	51/2	51/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	162				7				
9	9	103/4	103/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	163				7				
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	164		articStaccatoAbove						
9	9	24	24	0.0	0	0	Dynamic	3/4	2	1	0				p							
9	9	24	24	0.25	0	0	Chord	3/4	2	1	1/16	1/16	1	165								
9	9	97/4	97/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	166								
9	9	49/2	49/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	167								
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	168								
9	9	25	25	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	169								
9	9	101/4	101/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	170								
9	9	51/2	51/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	171								
9	9	103/4	103/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	172								
9	9	26	26	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	173								
9	9	24	24	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	174								
9	9	26	26	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	175								
10	10	27	27	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	176		articAccentAbove		8				
10	10	109/4	109/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	177				8				
10	10	55/2	55/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	178				8				
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	179				8				
10	10	28	28	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	180				8				
10	10	113/4	113/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	181				8				
10	10	57/2	57/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	182				8				
10	10	115/4	115/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	183				8				
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	184		articStaccatoAbove						
10	10	27	27	0.25	0	0	Chord	3/4	2	1	1/16	1/16	1	185								
10	10	109/4	109/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	186								
10	10	55/2	55/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	187								
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	188								
10	10	28	28	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	189								
10	10	113/4	113/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	190								
10	10	57/2	57/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	191								
10	10	115/4	115/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	192								
10	10	29	29	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	193								
10	10	27	27	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	194								
10	10	29	29	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	195								
11	11	30	30	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	196		articAccentAbove		9				
11	11	121/4	121/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	197				9				
11	11	61/2	61/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	198				9				
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	199				9				
11	11	31	31	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	200				9				
11	11	125/4	125/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	201				9				
11	11	63/2	63/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	202				9				
11	11	127/4	127/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	203				9				
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	204		articStaccatoAbove						
11	11	30	30	0.25	0	0	Chord	3/4	2	1	1/16	1/16	1	205								
11	11	121/4	121/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	206								
11	11	61/2	61/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	207								
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	208								
11	11	31	31	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	209								
11	11	125/4	125/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	210								
11	11	63/2	63/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	211								
11	11	127/4	127/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	212								
11	11	32	32	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	213								
11	11	30	30	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	214								
11	11	32	32	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	215								
12	12	33	33	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	216		articAccentAbove		10				
12	12	133/4	133/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	217				10				
12	12	67/2	67/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	218				10				
12	12	135/4	135/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	219				10				
12	12	34	34	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	220				10				
12	12	137/4	137/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	221				10				
12	12	69/2	69/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	222				10				
12	12	139/4	139/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	223				10				
12	12	35	35	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	224		articStaccatoAbove						
12	12	33	33	0.25	0	0	Chord	3/4	2	1	1/16	1/16	1	225								
12	12	133/4	133/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	226								
12	12	67/2	67/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	227								
12	12	135/4	135/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	228								
12	12	34	34	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	229								
12	12	137/4	137/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	230								
12	12	69/2	69/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	231								
12	12	139/4	139/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	232								
12	12	35	35	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	233								
12	12	33	33	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	234								
12	12	35	35	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	235								
13	13	145/4	145/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	236				11				
13	13	73/2	73/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	237				11				
13	13	147/4	147/4	0.0	3/16	3/16	StaffText	3/4	1	1	0						"<font size=""11""/><font face=""Times New Roman""/><i>cresc.</i>"	11				
13	13	147/4	147/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	238				11				
13	13	37	37	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	239				11				
13	13	149/4	149/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	240				11				
13	13	75/2	75/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	241				11				
13	13	151/4	151/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	242				11				
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	243		articStaccatoAbove						
13	13	36	36	0.25	0	0	Chord	3/4	2	1	1/16	1/16	1	244								
13	13	145/4	145/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	245								
13	13	73/2	73/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	246								
13	13	147/4	147/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	247								
13	13	37	37	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	248								
13	13	149/4	149/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	249								
13	13	75/2	75/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	250								
13	13	151/4	151/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	251								
13	13	38	38	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	252								
13	13	36	36	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	253		articAccentBelow						
13	13	38	38	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	254								
14	14	157/4	157/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	255				12				
14	14	79/2	79/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	256				12				
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	257				12				
14	14	40	40	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	258				12				
14	14	161/4	161/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	259				12				
14	14	81/2	81/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	260				12				
14	14	163/4	163/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	261				12				
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	262		articStaccatoAbove						
14	14	39	39	0.25	0	0	Chord	3/4	2	1	1/16	1/16	1	263								
14	14	157/4	157/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	264								
14	14	79/2	79/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	265								
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	266								
14	14	40	40	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	267								
14	14	161/4	161/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	268								
14	14	81/2	81/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	269								
14	14	163/4	163/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	270								
14	14	41	41	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	271								
