mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
8	7	19	19	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	44									1				
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	45													
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	46													
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	47													
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	48													
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	49													
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	50													
9	8	22	22	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	51													
9	8	23	23	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	52													
9	8	24	24	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	53													
9	8	22	22	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	54													
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	55													
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	56													
10	9	25	25	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	57													
10	9	27	27	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	58													
10	9	26	26	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	59													
10	9	27	27	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	60													
10	9	26	26	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	61													
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	62													
10	9	25	25	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	63									2				
11	10	28	28	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	64													
11	10	29	29	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	65													
11	10	61/2	61/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	66													
11	10	29	29	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	67													
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	68													
11	10	29	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	69													
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	70													
11	10	28	28	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	71									2				
12	11	31	31	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	72													
12	11	33	33	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	73													
12	11	32	32	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	74													
12	11	33	33	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	75													
12	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	76													
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	77													
12	11	31	31	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	78									2				
13	12	34	34	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	79													
13	12	35	35	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	80													
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	81													
13	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	82													
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	83													
13	12	34	34	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	84													
14	13	37	37	0.0	0	0	Spanner	3/4	1	1	0														0		
14	13	37	37	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	85											0		
14	13	39	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	86											0		
14	13	38	38	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	87											0		
14	13	39	39	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	88											0		
14	13	38	38	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	89													
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	90													
14	13	37	37	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	91									3				
15	14	40	40	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	92		articTenutoAbove									0		
15	14	41	41	0.0	1/4	1/4	Spanner	3/4	1	1	0																
15	14	41	41	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	93		articTenutoAbove											
15	14	42	42	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	94		articTenutoAbove											
15	14	41	41	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	95													
15	14	42	42	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	96													
15	14	41	41	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	97													
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	98													
15	14	40	40	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	99									3				
16	15	43	43	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	100													
16	15	45	45	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	101													
16	15	44	44	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	102													
16	15	45	45	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	103													
16	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	104													
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	105													
16	15	43	43	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	106									3				
17	16	46	46	0.0	0	0	Spanner	3/4	1	1	0													0			
17	16	46	46	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	107										0			
17	16	47	47	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	108										0			
17	16	48	48	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	109										0			
17	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	110													
17	16	48	48	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	111													
17	16	46	46	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	112													
18	17	49	49	0.0	0	0	Spanner	3/4	1	1	0																
18	17	49	49	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	113									4				
18	17	50	50	0.0	1/4	1/4	Spanner	3/4	1	1	0												4		1		
18	17	50	50	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	114									4		1		
18	17	51	51	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	115									4		1		
18	17	50	50	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	116											1		
18	17	51	51	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	117											1		
18	17	50	50	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	118													
18	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	119													
18	17	49	49	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	120													
19	18	52	52	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	121									4		1		
19	18	53	53	0.0	1/4	1/4	Spanner	3/4	1	1	0												4				
19	18	53	53	0.0	1/4	1/4	Spanner	3/4	1	1	0												4	1			
19	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	122									4	1			
19	18	54	54	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	123										1			
20	19	55	55	0.0	0	0	Spanner	3/4	1	1	0																
20	19	55	55	0.0	0	0	Spanner	3/4	1	1	0													2			
20	19	55	55	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	124		articAccentAbove							5	2			
20	19	56	56	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	125										2			
20	19	57	57	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	126										2			
20	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	127													
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	128													
20	19	55	55	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	129									6				
21	20	58	58	0.0	0	0	Spanner	3/4	1	1	0																
21	20	58	58	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	130													
21	20	59	59	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	131													
21	20	60	60	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	132													
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	133													
21	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	134													
21	20	58	58	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	135													
22	21	61	61	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	136									7				
22	21	62	62	0.0	1/4	1/4	Spanner	3/4	1	1	0												7		2		
22	21	62	62	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	137									7		2		
22	21	63	63	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	138									7		2		
22	21	62	62	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	139											2		
22	21	63	63	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	140											2		
22	21	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	141													
22	21	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	142													
22	21	61	61	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	143													
23	22	64	64	0.0	0	0	Spanner	3/4	1	1	0												7				
23	22	64	64	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	144									7				
23	22	65	65	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	145									7				
23	22	66	66	0.0	1/2	1/2	Spanner	3/4	1	1	0													3			
23	22	66	66	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	146										3			
24	23	67	67	0.0	0	0	Spanner	3/4	1	1	0																
24	23	67	67	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	147													
24	23	68	68	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	148													
24	23	69	69	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	149													
24	23	68	68	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	150													
24	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	151													
24	23	67	67	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	152													
25	24	70	70	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	153									8				
25	24	71	71	0.0	1/4	1/4	Spanner	3/4	1	1	0												8	4			
25	24	143/2	143/2	0.0	3/8	3/8	StaffText	3/4	1	1	0						 poco rit.						8	4			
25	24	143/2	143/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	154									8	4			
25	24	72	72	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	155		articTenutoAbove							8	4			
25	24	217/3	217/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	156		articTenutoAbove							8	4			
25	24	218/3	218/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	157		articTenutoAbove							8	4			
25	24	70	70	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	158										4			
25	24	71	71	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	159										4			
25	24	70	70	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	160													
25	24	70	70	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	161													
26	25	73	73	0.0	0	0	StaffText	3/4	1	1	0						"<font size=""9""/><font face=""Times New Roman""/><i>a tempo</i>"										
26	25	73	73	0.0	0	0	Dynamic	3/4	1	1	0				pp												
26	25	73	73	0.0	0	0	Spanner	3/4	1	1	0																
26	25	73	73	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	162													
26	25	75	75	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	163													
26	25	74	74	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	164													
26	25	75	75	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	165													
26	25	73	73	0.0	0	0	StaffText	3/4	2	1	0						una corda										
26	25	73	73	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	166													
26	25	74	74	0.0	1/4	1/4	StaffText	3/4	2	1	0						"<font size=""9""/><font face=""Times New Roman""/><i>dolce</i>"										
26	25	74	74	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	167													
26	25	75	75	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	168													
27	26	76	76	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	169													
27	26	77	77	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	170													
27	26	157/2	157/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	171													
27	26	77	77	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	172													
27	26	78	78	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	173													
27	26	76	76	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	174													
27	26	77	77	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	175													
27	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	176													
28	27	79	79	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	177									9				
28	27	81	81	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	178													
28	27	80	80	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	179													
28	27	81	81	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	180													
28	27	79	79	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	181													
28	27	80	80	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	182													
28	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	183													
29	28	82	82	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	184		articAccentAbove											
29	28	84	84	0.0	1/2	1/2	Spanner	3/4	1	1	0														3		
29	28	83	83	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	185											3		
29	28	84	84	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	186											3		
29	28	82	82	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	187													
29	28	83	83	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	188													
29	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	189													
30	29	85	85	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	190											3		
30	29	87	87	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	191											3		
30	29	86	86	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	192											3		
30	29	87	87	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	193											3		
30	29	85	85	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	194													
30	29	86	86	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	195													
30	29	87	87	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	196													
31	30	88	88	0.0	0	0	Spanner	3/4	1	1	0																
31	30	88	88	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	197													
31	30	89	89	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	198													
31	30	181/2	181/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	199													
31	30	89	89	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	200													
31	30	90	90	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	201													
31	30	88	88	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	202													
31	30	89	89	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	203													
31	30	90	90	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	204													
32	31	91	91	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	205									10				
32	31	93	93	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	206													
32	31	92	92	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	207													
32	31	93	93	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	208													
32	31	91	91	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	209													
32	31	92	92	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	210													
32	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	211													
33	32	94	94	0.0	0	0	Spanner	3/4	1	1	0													5			
33	32	94	94	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	212		articAccentAbove								5			
33	32	95	95	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	213										5			
33	32	96	96	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	214										5			
33	32	94	94	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	215													
33	32	95	95	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	216													
33	32	96	96	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	217													
34	33	97	97	0.0	0	0	Dynamic	3/4	1	1	0				pp												
34	33	97	97	0.0	0	0	Spanner	3/4	1	1	0																
34	33	97	97	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	218													
34	33	99	99	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	219		articTenutoAbove											
34	33	98	98	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	220													
34	33	99	99	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	221													
34	33	97	97	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	222													
34	33	98	98	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	223													
34	33	99	99	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	224													
35	34	100	100	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	225													
35	34	101	101	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	226													
35	34	205/2	205/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	227													
35	34	101	101	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	228													
35	34	102	102	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	229													
35	34	100	100	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	230													
35	34	101	101	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	231													
35	34	102	102	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	232													
36	35	103	103	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	233									11				
36	35	105	105	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	234													
36	35	104	104	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	235													
36	35	105	105	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	236													
36	35	103	103	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	237													
36	35	104	104	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	238													
36	35	105	105	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	239													
37	36	106	106	0.0	0	0	Spanner	3/4	1	1	0														4		
37	36	106	106	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	240		articAccentAbove									4		
37	36	107	107	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	241											4		
37	36	108	108	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	242											4		
37	36	106	106	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	243													
37	36	107	107	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	244													
37	36	108	108	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	245													
38	37	109	109	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	246											4		
38	37	111	111	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	247											4		
38	37	110	110	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	248											4		
38	37	111	111	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	249											4		
38	37	109	109	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	250													
38	37	110	110	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	251													
38	37	111	111	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	252													
39	38	112	112	0.0	0	0	Spanner	3/4	1	1	0																
39	38	112	112	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	253													
39	38	113	113	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	254													
39	38	229/2	229/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	255													
39	38	113	113	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	256													
39	38	114	114	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	257													
39	38	112	112	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	258													
39	38	113	113	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	259													
39	38	114	114	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	260													
40	39	115	115	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	261		articAccentAbove							12				
40	39	116	116	0.0	1/4	1/4	Spanner	3/4	1	1	0												12	6			
40	39	117	117	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	262									12	6			
40	39	116	116	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	263										6			
40	39	117	117	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	264										6			
40	39	115	115	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	265													
40	39	116	116	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	266													
40	39	117	117	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	267													
41	40	118	118	0.0	0	0	Spanner	3/4	1	1	0																
41	40	118	118	0.0	0	0	Spanner	3/4	1	1	0													7			
41	40	118	118	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	268										7			
41	40	119	119	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	269										7			
