mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	slur	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
15	13	75/2	75/2	0.125	1/4	1/4	Chord	6/8	1	1	1/32	1/32	1	132			articAccentBelow		25				
15	13	301/8	301/8	0.125	9/32	9/32	Chord	6/8	1	1	1/32	1/32	1	133					25				
15	13	151/4	151/4	0.125	5/16	5/16	Chord	6/8	1	1	1/32	1/32	1	134					25				
15	13	303/8	303/8	0.125	11/32	11/32	Chord	6/8	1	1	1/32	1/32	1	135					25				
15	13	38	38	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	136			articStaccatoBelow						
15	13	39	39	0.125	5/8	5/8	Chord	6/8	1	1	1/32	1/32	1	137			articAccentBelow		26				
15	13	313/8	313/8	0.125	21/32	21/32	Chord	6/8	1	1	1/32	1/32	1	138					26				
15	13	157/4	157/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32	1/32	1	139					26				
15	13	315/8	315/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32	1/32	1	140					26				
15	13	73/2	73/2	0.0	0	0	Spanner	6/8	2	1	0										7	7	
15	13	73/2	73/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	141			articAccentAbove				7	7	
15	13	75/2	75/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	142			articAccentAbove		27		7	7	
15	13	38	38	0.0	3/8	3/8	Spanner	6/8	2	1	0												
15	13	38	38	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	143			articStaccatoAbove						
15	13	39	39	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	144			articAccentAbove		28				
16	14	79/2	79/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	145			articStaccatoBelow						
16	14	81/2	81/2	0.125	1/4	1/4	Chord	6/8	1	1	1/32	1/32	1	146			articAccentBelow		29				
16	14	325/8	325/8	0.125	9/32	9/32	Chord	6/8	1	1	1/32	1/32	1	147					29				
16	14	163/4	163/4	0.125	5/16	5/16	Chord	6/8	1	1	1/32	1/32	1	148					29				
16	14	327/8	327/8	0.125	11/32	11/32	Chord	6/8	1	1	1/32	1/32	1	149					29				
16	14	41	41	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	150			articStaccatoBelow						
16	14	42	42	0.125	5/8	5/8	Chord	6/8	1	1	1/32	1/32	1	151			articAccentBelow		30				
16	14	337/8	337/8	0.125	21/32	21/32	Chord	6/8	1	1	1/32	1/32	1	152					30				
16	14	169/4	169/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32	1/32	1	153					30				
16	14	339/8	339/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32	1/32	1	154					30				
16	14	79/2	79/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	155			articStaccatoAbove						
16	14	81/2	81/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	156			articAccentAbove		31				
16	14	41	41	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	157			articStaccatoAbove						
16	14	42	42	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	158			articAccentAbove		32				
17	15	85/2	85/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	159			articStaccatoBelow						
17	15	87/2	87/2	0.125	1/4	1/4	Chord	6/8	1	1	1/32	1/32	1	160			articAccentBelow		33				
17	15	349/8	349/8	0.125	9/32	9/32	Chord	6/8	1	1	1/32	1/32	1	161					33				
17	15	175/4	175/4	0.125	5/16	5/16	Chord	6/8	1	1	1/32	1/32	1	162					33				
17	15	351/8	351/8	0.125	11/32	11/32	Chord	6/8	1	1	1/32	1/32	1	163					33				
17	15	44	44	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	164			articStaccatoBelow						
17	15	45	45	0.125	5/8	5/8	Chord	6/8	1	1	1/32	1/32	1	165			articAccentBelow		34				
17	15	361/8	361/8	0.125	21/32	21/32	Chord	6/8	1	1	1/32	1/32	1	166					34				
17	15	181/4	181/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32	1/32	1	167					34				
17	15	363/8	363/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32	1/32	1	168					34				
17	15	85/2	85/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	169			articStaccatoAbove						
17	15	87/2	87/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	170			articAccentAbove		35				
17	15	44	44	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	171			articStaccatoAbove						
17	15	45	45	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	172			articAccentAbove		36				
18	16	91/2	91/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	173			articStaccatoBelow						
18	16	48	48	0.0	5/8	5/8	StaffText	6/8	1	1	0							cresc.					
18	16	48	48	0.125	5/8	5/8	Chord	6/8	1	1	1/32	1/32	1	174			articAccentAbove		37				
18	16	385/8	385/8	0.125	21/32	21/32	Chord	6/8	1	1	1/32	1/32	1	175					37				
18	16	193/4	193/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32	1/32	1	176					37				
18	16	387/8	387/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32	1/32	1	177					37				
18	16	91/2	91/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	178			articStaccatoAbove						
18	16	185/4	185/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	179					38				
18	16	93/2	93/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	180			articStaccatoBelow						
18	16	47	47	0.0	3/8	3/8	Spanner	6/8	2	1	0										8	8	
18	16	47	47	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	181			articStaccatoBelow				8	8	
18	16	48	48	0.0	5/8	5/8	Spanner	6/8	2	1	0												
18	16	48	48	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	182			articAccentBelow		39				
19	17	97/2	97/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	183			articStaccatoBelow						
19	17	51	51	0.125	5/8	5/8	Chord	6/8	1	1	1/32	1/32	1	184			articAccentAbove		40				
19	17	409/8	409/8	0.125	21/32	21/32	Chord	6/8	1	1	1/32	1/32	1	185					40				
19	17	205/4	205/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32	1/32	1	186					40				
19	17	411/8	411/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32	1/32	1	187					40				
19	17	97/2	97/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	188			articStaccatoBelow						
19	17	197/4	197/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	189					41				
19	17	99/2	99/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	190			articStaccatoAbove						
19	17	50	50	0.0	3/8	3/8	Spanner	6/8	2	1	0										9	9	
19	17	50	50	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	191			articStaccatoBelow				9	9	
19	17	51	51	0.0	5/8	5/8	Spanner	6/8	2	1	0												
19	17	51	51	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	192			articAccentAbove		42				
20	18	103/2	103/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	193			articStaccatoAbove						
20	18	54	54	0.0	5/8	5/8	Dynamic	6/8	1	1	0					f							
20	18	54	54	0.0	5/8	5/8	Spanner	6/8	1	1	0												0
20	18	54	54	0.125	5/8	5/8	Chord	6/8	1	1	1/32	1/32	1	194			articAccentAbove		43				0
20	18	433/8	433/8	0.125	21/32	21/32	Chord	6/8	1	1	1/32	1/32	1	195					43				0
20	18	217/4	217/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32	1/32	1	196					43				0
20	18	435/8	435/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32	1/32	1	197					43				0
20	18	103/2	103/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	198			articStaccatoAbove						
20	18	209/4	209/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	199					44				
20	18	105/2	105/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	200			articStaccatoBelow						
20	18	53	53	0.0	3/8	3/8	Spanner	6/8	2	1	0										10	10	
20	18	53	53	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	201			articStaccatoBelow				10	10	
20	18	54	54	0.0	5/8	5/8	Spanner	6/8	2	1	0												
20	18	54	54	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	202			articAccentAbove						
21	19	109/2	109/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	203			articStaccatoAbove						0
21	19	55	55	0.0	1/8	1/8	Spanner	6/8	1	1	0												
21	19	111/2	111/2	0.125	1/4	1/4	Chord	6/8	1	1	1/32	1/32	1	204			articAccentAbove		45				
21	19	445/8	445/8	0.125	9/32	9/32	Chord	6/8	1	1	1/32	1/32	1	205					45				
21	19	223/4	223/4	0.125	5/16	5/16	Chord	6/8	1	1	1/32	1/32	1	206					45				
21	19	447/8	447/8	0.125	11/32	11/32	Chord	6/8	1	1	1/32	1/32	1	207					45				
21	19	56	56	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	208			articStaccatoAbove						
21	19	57	57	0.125	5/8	5/8	Chord	6/8	1	1	1/32	1/32	1	209			articAccentAbove		46				
21	19	457/8	457/8	0.125	21/32	21/32	Chord	6/8	1	1	1/32	1/32	1	210					46				
21	19	229/4	229/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32	1/32	1	211					46				
21	19	459/8	459/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32	1/32	1	212					46				
21	19	109/2	109/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	213			articStaccatoAbove						
21	19	111/2	111/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	214			articAccentAbove		47				
21	19	56	56	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	215			articStaccatoAbove						
21	19	57	57	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	216			articAccentBelow		48				
22	20	115/2	115/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	217			articStaccatoBelow						
22	20	117/2	117/2	0.125	1/4	1/4	Chord	6/8	1	1	1/32	1/32	1	218			articAccentBelow		49				
22	20	469/8	469/8	0.125	9/32	9/32	Chord	6/8	1	1	1/32	1/32	1	219					49				
22	20	235/4	235/4	0.125	5/16	5/16	Chord	6/8	1	1	1/32	1/32	1	220					49				
22	20	471/8	471/8	0.125	11/32	11/32	Chord	6/8	1	1	1/32	1/32	1	221					49				
22	20	59	59	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	222			articStaccatoBelow						
22	20	60	60	0.0	5/8	5/8	Dynamic	6/8	1	1	0					p							
22	20	60	60	0.125	5/8	5/8	Chord	6/8	1	1	1/32	1/32	1	223					50				
22	20	481/8	481/8	0.125	21/32	21/32	Chord	6/8	1	1	1/32	1/32	1	224					50				
22	20	241/4	241/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32	1/32	1	225					50				
22	20	483/8	483/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32	1/32	1	226					50				
22	20	115/2	115/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	227			articStaccatoBelow						
22	20	117/2	117/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	228			articAccentAbove		51				
22	20	59	59	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	229			articStaccatoAbove						
22	20	60	60	0.125	5/8	5/8	Chord	6/8	2	1	1/32	1/32	1	230					52				
22	20	481/8	481/8	0.125	21/32	21/32	Chord	6/8	2	1	1/32	1/32	1	231					52				
22	20	241/4	241/4	0.125	11/16	11/16	Chord	6/8	2	1	1/32	1/32	1	232					52				
22	20	483/8	483/8	0.125	23/32	23/32	Chord	6/8	2	1	1/32	1/32	1	233					52				
23	21	121/2	121/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	234			articAccentStaccatoAbove						
23	21	123/2	123/2	0.1	1/4	1/4	Chord	6/8	1	1	1/40	1/32	4/5	235					53				
