mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	42									2			
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	43												
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	44												
7	7	18	18	0.0	0	0	Spanner	3/4	2	1	0																
7	7	18	18	0.0	0	0	Spanner	3/4	2	1	0															3	3
7	7	18	18	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	45											3	3
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	46											3	3
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	47		articStaccatoBelow										
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	48									3			
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	49									3			
8	8	23	23	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	50									3			
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	51									3			
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	52												
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0																
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0															4	4
8	8	21	21	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	53											4	4
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	54											4	4
9	9	24	24	0.0	0	0	Spanner	3/4	1	1	0													3	1		
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	55									3	1		
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	56									3	1		
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	57									3	1		
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	58									3	1		
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	59									3	1		
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	60									3	1		
9	9	24	24	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	61										1		
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	62										1		
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	63										1		
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0																
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	64												
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	65												
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	66												
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	67									3	1		
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	68									3	1		
10	10	28	28	0.0	1/4	1/4	Dynamic	3/4	1	1	0					p											
10	10	28	28	0.0	1/4	1/4	Spanner	3/4	1	1	0																
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	69												
10	10	27	27	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	70												
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	71												
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	72												
10	10	28	28	0.0	1/4	1/4	Spanner	3/4	2	1	0															5	5
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	73											5	5
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	74											5	5
11	11	30	30	0.0	0	0	StaffText	3/4	1	1	0							.									
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	75												
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	76												
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	77												
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	78		articAccentAbove										
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	79												
11	11	30	30	0.0	0	0	Dynamic	3/4	1	2	0					fp											
11	11	30	30	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	80												
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	81									4			
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0																
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0															6	6
11	11	30	30	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	82											6	6
11	11	32	32	0.0	1/2	1/2	Spanner	3/4	2	1	0																
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	83		articAccentAbove							5			
12	12	33	33	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	84												
12	12	33	33	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	85												
12	12	33	33	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	86												
12	12	34	34	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	87												
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	88												
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	89		articAccentAbove										
12	12	33	33	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	90												
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	91									6			
12	12	33	33	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	92												
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	93		articAccentAbove							7			
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	94												
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	95												
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	96												
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	97		articAccentAbove										
13	13	36	36	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	98												
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	99									8			
13	13	36	36	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	100												
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	101		articAccentAbove							9			
14	14	39	39	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	102												
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	103												
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	104												
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	105		articAccentAbove										
14	14	39	39	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	106												
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	107									10			
14	14	39	39	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	108												
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	109		articAccentAbove							11			
15	15	42	42	0.0	0	0	StaffText	3/4	1	1	0							.									
15	15	42	42	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	110												
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	111												
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	112												
15	15	44	44	0.0	1/2	1/2	StaffText	3/4	1	1	0							cresc.									
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	113		articAccentAbove										
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	114												
15	15	42	42	0.0	0	0	Dynamic	3/4	1	2	0					fp											
15	15	42	42	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	115												
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	116									12			
15	15	42	42	0.0	0	0	Spanner	3/4	2	1	0															7	7
15	15	42	42	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	117											7	7
15	15	44	44	0.0	1/2	1/2	Spanner	3/4	2	1	0																
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	118		articAccentAbove							13			
16	16	45	45	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	119												
16	16	45	45	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	120												
16	16	45	45	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	121												
16	16	46	46	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	122												
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	123												
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	124		articAccentAbove										
16	16	45	45	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	125												
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	126									14			
16	16	45	45	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	127												
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	128		articAccentAbove							15			
17	17	48	48	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	129												
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	130												
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	131												
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	132		articAccentAbove							16			
17	17	48	48	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	133												
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	134									17			
17	17	48	48	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	135												
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	136		articAccentAbove							18			
18	18	51	51	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	137												
18	18	52	52	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	138												
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	139												
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	140		articAccentAbove										
18	18	51	51	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	141												
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	142												
18	18	51	51	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	143												
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	144												
19	19	54	54	0.0	0	0	StaffText	3/4	1	1	0							.									
19	19	54	54	0.0	0	0	Dynamic	3/4	1	1	0					ff											
19	19	54	54	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	145												
19	19	55	55	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	146		articAccentAbove										
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	147												
19	19	56	56	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	148												
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	149												
19	19	55	55	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	150												
19	19	55	55	0.0	1/4	1/4	Spanner	3/4	2	1	0															8	8
19	19	55	55	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	151		articAccentAbove									8	8
20	20	57	57	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	152		articAccentAbove										
20	20	58	58	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	153												
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	154												
20	20	59	59	0.0	1/2	1/2	StaffText	3/4	1	1	0							.									
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	155												
20	20	57	57	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	156												
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	157												
20	20	57	57	0.0	0	0	Spanner	3/4	2	1	0																
20	20	57	57	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	158		articAccentAbove										
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	159		articStaccatoAbove										
21	21	60	60	0.0	0	0	StaffText	3/4	1	1	0							.									
21	21	60	60	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	160												
21	21	61	61	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	161		articAccentAbove										
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	162												
21	21	62	62	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	163												
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	164												
21	21	61	61	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	165												
21	21	61	61	0.0	1/4	1/4	Spanner	3/4	2	1	0															9	9
21	21	61	61	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	166		articAccentAbove									9	9
22	22	63	63	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	167		articAccentAbove										
22	22	64	64	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	168												
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	169												
22	22	65	65	0.0	1/2	1/2	StaffText	3/4	1	1	0							.									
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	170												
22	22	63	63	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	171												
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	172												
22	22	63	63	0.0	0	0	Spanner	3/4	2	1	0																
22	22	63	63	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	173		articAccentAbove										
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	174		articStaccatoAbove										
23	23	66	66	0.0	0	0	StaffText	3/4	1	1	0							.									
23	23	66	66	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	175												
23	23	67	67	0.0	1/4	1/4	Dynamic	3/4	1	1	0					p											
23	23	67	67	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	176		articAccentAbove										
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	177												
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	178												
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	179												
23	23	67	67	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	180												
23	23	67	67	0.0	1/4	1/4	Spanner	3/4	2	1	0															10	10
23	23	67	67	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	181		articAccentBelow									10	10
24	24	69	69	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	182		articAccentAbove										
24	24	70	70	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	183												
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	184												
24	24	71	71	0.0	1/2	1/2	StaffText	3/4	1	1	0							.									
24	24	71	71	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	185												
24	24	69	69	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	186												
24	24	71	71	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	187												
24	24	69	69	0.0	0	0	Spanner	3/4	2	1	0																
24	24	69	69	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	188		articAccentAbove										
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	189		articStaccatoAbove										
25	25	72	72	0.0	0	0	StaffText	3/4	1	1	0							.									
25	25	72	72	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	190												
25	25	73	73	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	191		articAccentAbove										
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	192												
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	193												
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	194												
25	25	73	73	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	195												
25	25	73	73	0.0	1/4	1/4	Spanner	3/4	2	1	0															11	11
25	25	73	73	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	196		articAccentAbove									11	11
26	26	75	75	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	197		articAccentAbove										
26	26	76	76	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	198												
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	199												
26	26	77	77	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	200		articStaccatoAbove										
26	26	75	75	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	201												
26	26	77	77	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	202												
26	26	75	75	0.0	0	0	Spanner	3/4	2	1	0																
26	26	75	75	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	203		articAccentAbove										
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	204		articStaccatoBelow										
27	27	79	79	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	205												
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	206												
27	27	80	80	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	207												
27	27	241/3	241/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	208												
27	27	242/3	242/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	209												
27	27	79	79	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	210												
27	27	80	80	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	211												
27	27	78	78	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	212												
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	213												
28	28	81	81	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	214												
28	28	81	81	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	215												
28	28	81	81	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	216												
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	217												
29	29	84	84	0.0	0	0	StaffText	3/4	1	1	0							dim. poco a poco									
29	29	84	84	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	218												
29	29	84	84	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	219												
29	29	85	85	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	220												
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	221												
29	29	86	86	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	222												
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	223												
29	29	84	84	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	224												
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	225												
30	30	87	87	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	226												
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	227		ornamentShortTrill										
30	30	88	88	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	228												
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	229		articAccentAbove										
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	230												
30	30	87	87	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	231												
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	232												
31	31	90	90	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	233												
31	31	90	90	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	234												
31	31	91	91	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	235												
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	236		articAccentAbove										
31	31	92	92	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	237												
31	31	277/3	277/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	238												
31	31	278/3	278/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	239												
31	31	90	90	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	240												
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	241												
32	32	93	93	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	242												
32	32	93	93	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	243												
32	32	93	93	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	244												
32	32	95	95	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	245												
33	33	96	96	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	246												
33	33	98	98	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	247		articAccentBelow										
33	33	96	96	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	248												
33	33	98	98	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	249												
33	33	295/3	295/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	250												
33	33	296/3	296/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	251												
