mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
9	9	49/2	49/2	0.0	1/8	1/8	StaffText	3/4	1	1	0							sempre									
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	65		articStaccatoAbove										
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	66		articStaccatoAbove										
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	67		articStaccatoAbove										
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	68		articStaccatoBelow										
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	69		articStaccatoBelow										
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	70												
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	71		articStaccatoBelow										
10	10	27	27	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	72		articStaccatoAbove										
10	10	28	28	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	73		articTenutoAbove										
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0													2	2		
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	74		articStaccatoBelow							2	2		
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	75		articStaccatoAbove							2	2		
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	76		articStaccatoAbove							2	2		
11	11	30	30	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	77												
11	11	30	30	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	78												
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	79		articStaccatoAbove										
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	80		articStaccatoAbove										
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	81		articStaccatoAbove										
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	82		articStaccatoAbove										
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	83		articStaccatoBelow										
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	84		articStaccatoBelow										
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	85												
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0																
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	86		articStaccatoBelow										
12	12	33	33	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	87												
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0													3	3		
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	88		articStaccatoBelow							3	3		
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	89		articStaccatoAbove							3	3		
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	90		articStaccatoAbove							3	3		
13	13	36	36	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	91												
13	13	36	36	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	92												
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	93		articStaccatoAbove										
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	94		articStaccatoAbove										
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	95		articStaccatoAbove										
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	96		articStaccatoAbove										
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0																
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	97		articStaccatoBelow										
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	98		articStaccatoBelow										
14	14	39	39	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	99												
14	14	39	39	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	100												
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	101		articStaccatoAbove										
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	102		articStaccatoAbove										
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	103		articStaccatoAbove										
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	104		articStaccatoAbove										
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	105		articStaccatoBelow										
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	106		articStaccatoBelow										
15	15	42	42	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	107												
15	15	42	42	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	108												
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	109		articStaccatoAbove										
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	110		articStaccatoAbove										
15	15	43	43	0.0	1/4	1/4	StaffText	3/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>poco rit.</i>"									
15	15	43	43	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	111		articStaccatoAbove										
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	112		articStaccatoAbove										
15	15	43	43	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	113												
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	114		articStaccatoBelow										
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	115		articStaccatoBelow										
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	116												
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	117												
15	15	43	43	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	118		articStaccatoBelow										
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	119		articStaccatoBelow										
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	120												
16	16	45	45	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	121												
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0													4	4		
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	122		articStaccatoBelow							4	4		
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	123		articStaccatoBelow							4	4		
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	124		articStaccatoBelow							4	4		
17	17	48	48	0.0	0	0	Dynamic	3/4	1	1	0					pp											
17	17	48	48	0.0	0	0	StaffText	3/4	1	1	0							con moto									
17	17	48	48	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	125												
17	17	48	48	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	126												
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	127		articStaccatoBelow										
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	128		articStaccatoBelow										
17	17	49	49	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	129		articStaccatoAbove										
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	130		articStaccatoAbove										
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0																
17	17	48	48	0.0	0	0	Chord	3/4	2	1	0	grace16	1/16	1	131												
17	17	48	48	0.0	0	0	Chord	3/4	2	1	0	grace16	1/16	1	132												
17	17	48	48	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	133		articStaccatoAbove										
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	134		articStaccatoAbove										
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	135		articStaccatoAbove										
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	136		articStaccatoAbove										
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	137		articAccentStaccatoAbove										
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	138		articStaccatoAbove										
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	139		articStaccatoAbove										
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	140		articStaccatoAbove										
18	18	51	51	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	141		articAccentStaccatoAbove										
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	142		articStaccatoAbove										
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	143		articStaccatoAbove										
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	144		articStaccatoAbove										
19	19	54	54	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	145												
19	19	54	54	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	146												
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	147		articStaccatoBelow										
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	148		articStaccatoBelow										
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	149		articStaccatoAbove										
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	150		articStaccatoAbove										
19	19	54	54	0.0	0	0	Chord	3/4	2	1	0	grace16	1/16	1	151												
19	19	54	54	0.0	0	0	Chord	3/4	2	1	0	grace16	1/16	1	152												
19	19	54	54	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	153		articStaccatoAbove										
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	154		articStaccatoAbove										
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	155		articStaccatoAbove										
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	156		articStaccatoAbove										
20	20	57	57	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	157		articAccentStaccatoAbove										
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	158		articStaccatoAbove										
20	20	58	58	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	159		articStaccatoAbove										
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	160		articStaccatoAbove										
20	20	57	57	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	161		articAccentStaccatoAbove										
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	162		articStaccatoAbove										
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	163		articStaccatoAbove										
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	164		articStaccatoAbove										
21	21	60	60	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	165		articStaccatoAbove										
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	166		articStaccatoAbove										
21	21	61	61	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	167		articStaccatoAbove										
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	168		articStaccatoAbove										
21	21	62	62	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	169		articStaccatoAbove										
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	170		articStaccatoAbove										
21	21	60	60	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	171		articStaccatoAbove										
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	172		articStaccatoAbove										
21	21	61	61	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	173		articStaccatoAbove										
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	174		articStaccatoAbove										
21	21	62	62	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	175		articStaccatoAbove										
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	176		articStaccatoAbove										
22	22	63	63	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	177		articStaccatoBelow										
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	178		articStaccatoBelow										
22	22	64	64	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	179		articStaccatoBelow										
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	180		articStaccatoBelow										
22	22	65	65	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	181		articStaccatoBelow										
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	182		articStaccatoBelow										
22	22	63	63	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	183		articStaccatoAbove										
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	184		articStaccatoAbove										
22	22	64	64	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	185		articStaccatoAbove										
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	186		articStaccatoAbove										
22	22	65	65	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	187		articStaccatoAbove										
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	188		articStaccatoAbove										
23	23	66	66	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	189		articStaccatoBelow										
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	190		articStaccatoBelow										
23	23	67	67	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	191		articStaccatoBelow										
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	192		articStaccatoBelow										
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	193		articStaccatoBelow										
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	194		articStaccatoBelow										
23	23	66	66	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	195		articStaccatoAbove										
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	196		articStaccatoAbove										
23	23	67	67	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	197		articStaccatoAbove										
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	198		articStaccatoAbove										
23	23	68	68	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	199		articStaccatoAbove										
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	200		articStaccatoAbove										
24	24	69	69	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	201		articStaccatoBelow										
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	202		articStaccatoBelow										
24	24	70	70	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	203		articStaccatoBelow										
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	204		articStaccatoBelow										
24	24	71	71	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	205		articStaccatoBelow										
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	206		articStaccatoBelow										
24	24	69	69	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	207		articStaccatoAbove										
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	208		articStaccatoAbove										
24	24	70	70	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	209		articStaccatoAbove										
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	210		articStaccatoAbove										
24	24	71	71	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	211		articStaccatoAbove										
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	212		articStaccatoAbove										
25	25	72	72	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	213		articStaccatoBelow										
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	214		articStaccatoBelow										
25	25	73	73	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	215		articStaccatoBelow										
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	216		articStaccatoBelow										
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	217		articStaccatoBelow										
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	218		articStaccatoBelow										
25	25	72	72	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	219		articStaccatoAbove										
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	220		articStaccatoAbove										
25	25	73	73	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	221		articStaccatoAbove										
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	222		articStaccatoAbove										
25	25	74	74	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	223		articStaccatoAbove										
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	224		articStaccatoAbove										
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	225		articStaccatoBelow										
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	226		articStaccatoBelow										
26	26	76	76	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	227		articStaccatoBelow										
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	228		articStaccatoBelow										
26	26	77	77	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	229		articStaccatoBelow										
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	230		articStaccatoBelow										
26	26	75	75	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	231		articStaccatoAbove										
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	232		articStaccatoAbove										
26	26	76	76	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	233		articStaccatoAbove										
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	234		articStaccatoAbove										
26	26	77	77	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	235		articStaccatoAbove										
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	236		articStaccatoAbove										
27	27	78	78	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	237		articStaccatoBelow										
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	238		articStaccatoBelow										
27	27	79	79	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	239		articStaccatoBelow										
