mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	47						
9	9	32	32	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	48						
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	49						
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	50						
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	51						
10	10	36	36	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	52				0		
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	53		articStaccatoAbove				
10	10	37	37	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	54		articAccentAbove				
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	55						
10	10	36	36	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	56						
10	10	37	37	2.0	1/4	1/4	Chord	4/4	1	2	1/2	1/2	1	57						
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	58						
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	59						
10	10	37	37	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	60		articAccentAbove				
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	61						
11	11	40	40	0.0	0	0	Spanner	4/4	1	1	0									0
11	11	40	40	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	62						0
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	63						0
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	64						0
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	65						0
11	11	40	40	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	66						
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	67						
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	68						
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	69						
12	12	44	44	0.0	0	0	Dynamic	4/4	1	1	0				fz					
12	12	44	44	0.0	0	0	Spanner	4/4	1	1	0									
12	12	44	44	0.0	0	0	Spanner	4/4	1	1	0								0	
12	12	44	44	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	70					0	
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	71					0	
12	12	44	44	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	72						
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	73						
13	13	48	48	0.0	0	0	Dynamic	4/4	1	1	0				f					
13	13	48	48	0.0	0	0	Spanner	4/4	1	1	0									
13	13	48	48	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	74						
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	75						
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	76		articStaccatoBelow				
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	77		articStaccatoBelow				
13	13	48	48	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	78						
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	79						
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	80		articStaccatoAbove				
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	81		articStaccatoAbove				
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	82		articStaccatoBelow				
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	83		articStaccatoBelow				
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	84		articStaccatoBelow				
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	85		articStaccatoAbove				
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	86		articStaccatoAbove				
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	87		articStaccatoAbove				
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	88		articStaccatoAbove				
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	89						
15	15	56	56	0.0	0	0	Dynamic	4/4	1	1	0				fz					
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	90						
15	15	58	58	0.0	1/2	1/2	Dynamic	4/4	1	1	0				fz					
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	91						
15	15	56	56	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	92						
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	93						
16	16	60	60	0.0	0	0	Dynamic	4/4	1	1	0				fz					
16	16	60	60	4.0	0	0	Chord	4/4	1	1	1	1	1	94						
16	16	60	60	4.0	0	0	Chord	4/4	2	1	1	1	1	95						
16	16	60	60	4.0	0	0	Chord	4/4	2	2	1	1	1	96						
17	17	64	64	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	97						
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	98						
17	17	66	66	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	99				1		
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	100						
17	17	67	67	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	101				2		
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	102						
17	17	64	64	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	103						
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	104						
17	17	66	66	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	105		articStaccatoAbove				
17	17	67	67	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	106		articStaccatoAbove				
18	18	68	68	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	107		articStaccatoBelow				
18	18	69	69	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	108		articStaccatoBelow				
18	18	70	70	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	109		articStaccatoBelow				
18	18	68	68	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	110		articStaccatoAbove				
18	18	69	69	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	111		articStaccatoAbove				
18	18	70	70	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	112		articStaccatoAbove				
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	113		articStaccatoAbove				
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	114						
19	19	72	72	0.0	0	0	Dynamic	4/4	1	1	0				fz					
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	115						
19	19	74	74	0.0	1/2	1/2	Dynamic	4/4	1	1	0				fz					
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	116						
19	19	72	72	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	117						
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	118						
20	20	76	76	0.0	0	0	Dynamic	4/4	1	1	0				fz					
20	20	76	76	4.0	0	0	Chord	4/4	1	1	1	1	1	119						
20	20	76	76	4.0	0	0	Chord	4/4	2	1	1	1	1	120						
20	20	76	76	4.0	0	0	Chord	4/4	2	2	1	1	1	121						
21	21	80	80	0.0	0	0	Dynamic	4/4	1	1	0				p					
21	21	80	80	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	122						
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	123						
21	21	82	82	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	124						
21	21	83	83	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	125						
21	21	80	80	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	126						
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	127						
21	21	82	82	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	128						
21	21	83	83	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	129						
22	22	84	84	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	130				3		
22	22	169/2	169/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	131		articStaccatoAbove				
22	22	85	85	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	132		articAccentAbove				
22	22	87	87	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	133						
22	22	84	84	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	134						
22	22	85	85	2.0	1/4	1/4	Chord	4/4	1	2	1/2	1/2	1	135						
22	22	87	87	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	136						
22	22	84	84	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	137						
22	22	85	85	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	138		articAccentAbove				
22	22	87	87	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	139						
23	23	88	88	0.0	0	0	Spanner	4/4	1	1	0									1
23	23	88	88	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	140						1
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	141						1
23	23	90	90	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	142						1
23	23	91	91	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	143						1
23	23	88	88	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	144						
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	145						
23	23	90	90	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	146						
23	23	91	91	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	147						
24	24	92	92	0.0	0	0	Dynamic	4/4	1	1	0				fz					
24	24	92	92	0.0	0	0	Spanner	4/4	1	1	0									
24	24	92	92	0.0	0	0	Spanner	4/4	1	1	0								1	
24	24	92	92	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	148					1	
24	24	95	95	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	149					1	
24	24	92	92	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	150						
24	24	95	95	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	151						
25	25	96	96	0.0	0	0	Dynamic	4/4	1	1	0				f					
25	25	96	96	0.0	0	0	Spanner	4/4	1	1	0									
25	25	96	96	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	152						
25	25	195/2	195/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	153						
25	25	98	98	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	154		articStaccatoBelow				
25	25	99	99	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	155		articStaccatoBelow				
25	25	96	96	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	156						
25	25	195/2	195/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	157						
25	25	98	98	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	158		articStaccatoAbove				
25	25	99	99	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	159		articStaccatoAbove				
26	26	100	100	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	160		articStaccatoBelow				
26	26	101	101	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	161		articStaccatoBelow				
26	26	102	102	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	162		articStaccatoBelow				
26	26	100	100	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	163		articStaccatoAbove				
26	26	101	101	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	164		articStaccatoAbove				
26	26	102	102	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	165		articStaccatoAbove				
26	26	103	103	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	166		articStaccatoAbove				
26	26	103	103	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	167						
27	27	104	104	0.0	0	0	Dynamic	4/4	1	1	0				fz					
27	27	104	104	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	168						
27	27	106	106	0.0	1/2	1/2	Dynamic	4/4	1	1	0				fz					
27	27	106	106	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	169						
27	27	104	104	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	170						
27	27	106	106	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	171						
28	28	108	108	0.0	0	0	Dynamic	4/4	1	1	0				fz					
28	28	108	108	4.0	0	0	Chord	4/4	1	1	1	1	1	172						
28	28	108	108	4.0	0	0	Chord	4/4	2	1	1	1	1	173						
28	28	108	108	4.0	0	0	Chord	4/4	2	2	1	1	1	174						
29	29	112	112	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	175						
29	29	227/2	227/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	176						
29	29	114	114	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	177				4		
29	29	229/2	229/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	178						
29	29	115	115	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	179				5		
29	29	231/2	231/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	180						
29	29	112	112	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	181						
29	29	227/2	227/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	182						
29	29	114	114	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	183		articStaccatoAbove				
29	29	115	115	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	184		articStaccatoAbove				
30	30	116	116	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	185		articStaccatoBelow				
30	30	117	117	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	186		articStaccatoBelow				
30	30	118	118	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	187		articStaccatoBelow				
30	30	116	116	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	188		articStaccatoAbove				
30	30	117	117	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	189		articStaccatoAbove				
30	30	118	118	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	190		articStaccatoAbove				
30	30	119	119	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	191		articStaccatoAbove				
30	30	119	119	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	192						
31	31	120	120	0.0	0	0	Dynamic	4/4	1	1	0				fz					
31	31	120	120	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	193						
31	31	122	122	0.0	1/2	1/2	Dynamic	4/4	1	1	0				fz					
31	31	122	122	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	194						
31	31	120	120	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	195						
31	31	122	122	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	196						
32	32	124	124	0.0	0	0	Dynamic	4/4	1	1	0				fz					
32	32	124	124	4.0	0	0	Chord	4/4	1	1	1	1	1	197						
32	32	124	124	4.0	0	0	Chord	4/4	2	1	1	1	1	198						
32	32	124	124	4.0	0	0	Chord	4/4	2	2	1	1	1	199						
