mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	26				0				0
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	27				0				0
4	3	12	12	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	28				0				0
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	29				0				0
4	3	9	9	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	30								0
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	31								0
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	32								0
4	3	9	9	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	33								
4	3	11	11	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	34								
5	4	13	13	0.0	0	0	Spanner	4/4	1	1	0											
5	4	13	13	0.0	0	0	Spanner	4/4	1	1	0										0	
5	4	13	13	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	35							0	
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	36							0	
5	4	13	13	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	37							0	
5	4	15	15	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	38							0	
5	4	13	13	4.0	0	0	Chord	4/4	2	1	1	1	1	39								
5	4	13	13	4.0	0	0	Chord	4/4	2	2	1	1	1	40								
6	5	17	17	0.0	0	0	Spanner	4/4	1	1	0											
6	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	41				1				
6	5	18	18	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	42				1				
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	43				1				
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	44				1				
6	5	20	20	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	45				1				
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	46				1				
6	5	17	17	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	47								
6	5	19	19	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	48								
6	5	17	17	4.0	0	0	Chord	4/4	2	1	1	1	1	49								
6	5	17	17	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	50								
6	5	19	19	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	51								
7	6	21	21	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	52				1				
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	53				1				
7	6	22	22	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	54				1				
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	55				1				
7	6	23	23	0.0	1/2	1/2	StaffText	4/4	1	1	0						"<font size=""9""/><font face=""Times New Roman""/><i>poco cresc.</i>"					
7	6	23	23	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	56								
7	6	49/2	49/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	57				2				
7	6	21	21	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	58								
7	6	23	23	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	59								
7	6	21	21	4.0	0	0	Chord	4/4	2	1	1	1	1	60								
7	6	21	21	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	61								
7	6	23	23	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	62								
8	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	63				2				
8	7	26	26	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	64				2				
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	65				2				
8	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	66				2				
8	7	28	28	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	67				2				
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	68				2				
8	7	25	25	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	69								
8	7	27	27	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	70								
8	7	25	25	4.0	0	0	Chord	4/4	2	1	1	1	1	71								
8	7	25	25	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	72								
8	7	27	27	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	73								
9	8	29	29	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	74				2				
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	75				2				
9	8	30	30	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	76				2				
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	77				2				
9	8	31	31	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	78								
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	79				3				
9	8	29	29	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	80								
9	8	31	31	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	81								
9	8	29	29	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	82								
9	8	31	31	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	83								
9	8	29	29	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	84								
9	8	31	31	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	85								
10	9	33	33	0.0	0	0	Spanner	4/4	1	1	0							3				1
10	9	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	86				3				1
10	9	34	34	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	87				3				1
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	88								1
10	9	35	35	0.0	1/2	1/2	Spanner	4/4	1	1	0											
10	9	35	35	0.0	1/2	1/2	Spanner	4/4	1	1	0										1	
10	9	35	35	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	89				4			1	
10	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	90							1	
10	9	36	36	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	91							1	
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	92							1	
10	9	33	33	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	93							1	
10	9	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	94							1	
10	9	36	36	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	95							1	
10	9	33	33	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	96								
10	9	34	34	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	97								
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	98								
10	9	35	35	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	99								
10	9	33	33	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	100								
10	9	35	35	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	101								
11	10	37	37	0.0	0	0	Spanner	4/4	1	1	0											
11	10	37	37	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	102								
11	10	38	38	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	103								
11	10	40	40	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	104								
11	10	37	37	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	105								
11	10	38	38	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	106								
11	10	40	40	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	107								
12	11	41	41	0.0	0	0	Spanner	4/4	1	1	0											2
12	11	41	41	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	108				5				2
12	11	42	42	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	109				5				2
12	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	110								2
12	11	43	43	0.0	1/2	1/2	Spanner	4/4	1	1	0											
12	11	43	43	0.0	1/2	1/2	Spanner	4/4	1	1	0										2	
12	11	43	43	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	111				6			2	
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	112		articTenutoAbove					2	
12	11	44	44	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	113		articTenutoAbove					2	
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	114		articTenutoAbove					2	
12	11	41	41	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	115							2	
12	11	43	43	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	116							2	
12	11	41	41	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	117								
12	11	42	42	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	118								
12	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	119								
12	11	43	43	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	120								
12	11	41	41	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	121								
12	11	43	43	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	122								
13	12	45	45	0.0	0	0	Spanner	4/4	1	1	0											
13	12	45	45	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	123								
13	12	46	46	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	124								
13	12	48	48	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	125				7				
13	12	45	45	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	126								
13	12	46	46	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	127								
14	13	49	49	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	128				7				
14	13	50	50	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	129				7				
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	130				7				
14	13	51	51	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	131				7				
14	13	52	52	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	132				7				
14	13	105/2	105/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	133				7				
14	13	50	50	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	134								
14	13	51	51	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	135								
14	13	50	50	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	136								
14	13	51	51	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	137								
14	13	52	52	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	138								
14	13	105/2	105/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	139								
15	14	53	53	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	140				7				
15	14	54	54	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	141				7				
15	14	55	55	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	142				7				
15	14	56	56	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	143				7				
15	14	53	53	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	144								
15	14	55	55	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	145								
15	14	53	53	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	146								
15	14	55	55	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	147								
15	14	53	53	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	148								
15	14	54	54	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	149								
15	14	55	55	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	150								
16	15	57	57	0.0	0	0	Spanner	4/4	1	1	0							7				3
16	15	57	57	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	151				7				3
16	15	58	58	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	152				7				3
16	15	117/2	117/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	153				7				3
16	15	59	59	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	154				7				3
16	15	60	60	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	155				7				3
16	15	121/2	121/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	156				7				3
16	15	57	57	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	157								3
16	15	59	59	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	158								3
16	15	60	60	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	159								3
16	15	57	57	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	160								
16	15	59	59	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	161								
17	16	61	61	0.0	0	0	Spanner	4/4	1	1	0											
17	16	61	61	0.0	0	0	Spanner	4/4	1	1	0										3	
17	16	61	61	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	162							3	
17	16	64	64	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	163				8			3	
17	16	61	61	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	164							3	
17	16	63	63	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	165							3	
17	16	61	61	4.0	0	0	Chord	4/4	2	1	1	1	1	166								
18	17	65	65	0.0	0	0	Spanner	4/4	1	1	0							8				
18	17	65	65	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	167				8				
18	17	66	66	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	168				8				
18	17	133/2	133/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	169				8				
18	17	67	67	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	170				8				
18	17	68	68	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	171				8				
18	17	137/2	137/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	172				8				
18	17	65	65	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	173								
18	17	67	67	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	174								
18	17	65	65	4.0	0	0	Chord	4/4	2	1	1	1	1	175								
18	17	65	65	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	176								
18	17	67	67	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	177								
19	18	69	69	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	178				8				
19	18	139/2	139/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	179				8				
19	18	70	70	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	180				8				
19	18	141/2	141/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	181				8				
19	18	71	71	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	182								
19	18	145/2	145/2	0.0	7/8	7/8	StaffText	4/4	1	1	0						"<font size=""8""/><font face=""Times New Roman""/><i>poco cresc.</i>"					
19	18	145/2	145/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	183				9				
19	18	69	69	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	184								
19	18	71	71	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	185								
19	18	69	69	4.0	0	0	Chord	4/4	2	1	1	1	1	186								
19	18	69	69	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	187								
19	18	71	71	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	188								
20	19	73	73	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	189				9				
20	19	74	74	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	190				9				
20	19	149/2	149/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	191				9				
20	19	75	75	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	192				9				
20	19	76	76	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	193				9				
20	19	153/2	153/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	194				9				
20	19	73	73	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	195								
20	19	75	75	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	196								
20	19	73	73	4.0	0	0	Chord	4/4	2	1	1	1	1	197								
20	19	73	73	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	198								
20	19	75	75	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	199								
21	20	77	77	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	200				9				
21	20	155/2	155/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	201				9				
21	20	78	78	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	202				9				
21	20	157/2	157/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	203				9				
21	20	79	79	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	204								
21	20	161/2	161/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	205				10				
21	20	77	77	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	206								
21	20	79	79	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	207								
21	20	77	77	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	208								
21	20	79	79	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	209								
21	20	77	77	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	210								
21	20	79	79	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	211								
22	21	81	81	0.0	0	0	Spanner	4/4	1	1	0							10				4
22	21	81	81	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	212				10				4
22	21	82	82	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	213				10				4
22	21	165/2	165/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	214								4
22	21	83	83	0.0	1/2	1/2	Spanner	4/4	1	1	0											
22	21	83	83	0.0	1/2	1/2	Spanner	4/4	1	1	0										4	
22	21	83	83	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	215				11			4	
22	21	167/2	167/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	216							4	
22	21	84	84	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	217							4	
22	21	169/2	169/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	218							4	
22	21	81	81	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	219							4	
22	21	83	83	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	220							4	
22	21	84	84	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	221							4	
22	21	81	81	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	222								
22	21	82	82	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	223								
22	21	165/2	165/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	224								
22	21	83	83	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	225								
22	21	81	81	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	226								
22	21	83	83	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	227								
23	22	85	85	0.0	0	0	Spanner	4/4	1	1	0											
23	22	85	85	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	228								
23	22	86	86	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	229								
23	22	88	88	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	230								
23	22	85	85	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	231								
23	22	86	86	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	232								
23	22	88	88	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	233								
24	23	89	89	0.0	0	0	Spanner	4/4	1	1	0											5
24	23	89	89	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	234				12				5
24	23	90	90	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	235				12				5
24	23	181/2	181/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	236								5
24	23	91	91	0.0	1/2	1/2	Spanner	4/4	1	1	0											
24	23	91	91	0.0	1/2	1/2	Spanner	4/4	1	1	0										5	
24	23	91	91	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	237				13			5	
24	23	183/2	183/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	238		articTenutoAbove					5	
24	23	92	92	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	239		articTenutoAbove					5	
24	23	185/2	185/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	240		articTenutoAbove					5	
24	23	89	89	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	241							5	
24	23	91	91	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	242							5	
24	23	89	89	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	243								
24	23	90	90	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	244								
24	23	181/2	181/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	245								
24	23	91	91	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	246								
24	23	89	89	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	247								
24	23	91	91	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	248								
25	24	93	93	0.0	0	0	Spanner	4/4	1	1	0											
25	24	93	93	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	249								
25	24	94	94	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	250								
25	24	93	93	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	251								
25	24	94	94	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	252								
26	25	97	97	0.0	0	0	Dynamic	4/4	1	1	0				pp							
26	25	97	97	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	253				14				
26	25	98	98	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	254				14				
26	25	197/2	197/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	255								
26	25	97	97	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	256								
26	25	97	97	0.0	0	0	Spanner	4/4	2	1	0								0	0		
26	25	97	97	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	257					0	0		
26	25	99	99	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	258					0	0		
27	26	101	101	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	259				15				
27	26	102	102	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	260				15				
27	26	205/2	205/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	261								
27	26	101	101	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	262								
27	26	101	101	0.0	0	0	Spanner	4/4	2	1	0											
27	26	101	101	0.0	0	0	Spanner	4/4	2	1	0								1	1		
27	26	101	101	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	263					1	1		
27	26	103	103	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	264					1	1		
28	27	105	105	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	265				16				
28	27	106	106	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	266				16				
28	27	213/2	213/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	267								
28	27	105	105	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	268								
28	27	105	105	0.0	0	0	Spanner	4/4	2	1	0											
28	27	105	105	0.0	0	0	Spanner	4/4	2	1	0								2	2		
28	27	105	105	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	269					2	2		
