mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
4	4	12	12	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	52														
4	4	13	13	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	53														
4	4	14	14	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	54														
4	4	15	15	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	55														
4	4	12	12	4.0		0	0	Chord	4/4	2	2	1		1	1	56														
5	5	16	16	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	57									2					
5	5	33/2	33/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	58									2					
5	5	17	17	0.0		1/4	1/4	Chord	4/4	1	1	0	grace32	1/16	1	59									2					
5	5	17	17	0.0		1/4	1/4	Chord	4/4	1	1	0	grace32	1/16	1	60									2					
5	5	17	17	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	61									2					
5	5	35/2	35/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	62									2					
5	5	18	18	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	63														
5	5	19	19	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	64														
5	5	16	16	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	65														
5	5	17	17	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	66														
5	5	18	18	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	67														
5	5	16	16	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	68														
5	5	17	17	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	69														
5	5	18	18	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	70														
5	5	19	19	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	71														
5	5	16	16	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	72														
5	5	18	18	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	73														
6	6	20	20	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	74									3					
6	6	41/2	41/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	75									3					
6	6	21	21	0.0		1/4	1/4	Chord	4/4	1	1	0	grace32	1/16	1	76									3					
6	6	21	21	0.0		1/4	1/4	Chord	4/4	1	1	0	grace32	1/16	1	77									3					
6	6	21	21	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	78									3					
6	6	43/2	43/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	79									3					
6	6	22	22	0.0		1/2	1/2	StaffText	4/4	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>cresc.</i>"											
6	6	22	22	1.5		1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	80														
6	6	47/2	47/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	81									4					
6	6	20	20	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	82														
6	6	21	21	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	83														
6	6	22	22	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	84														
6	6	20	20	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	85														
6	6	21	21	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	86														
6	6	22	22	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	87														
6	6	23	23	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	88														
6	6	20	20	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	89														
6	6	22	22	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	90														
7	7	24	24	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	91									4					
7	7	49/2	49/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	92									4					
7	7	25	25	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	93									4					
7	7	51/2	51/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	94									4					
7	7	26	26	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	95									4					
7	7	27	27	0.0		3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	96									4					
7	7	27	27	0.0		3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	97									4					
7	7	27	27	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	98									4					
7	7	55/2	55/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	99														
7	7	24	24	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	100														
7	7	25	25	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	101														
7	7	26	26	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	102														
7	7	27	27	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	103														
7	7	24	24	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	104														
7	7	25	25	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	105														
7	7	51/2	51/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	106														
7	7	26	26	0.0		1/2	1/2	Spanner	4/4	2	1	0															0	0		
7	7	26	26	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	107											0	0		
7	7	27	27	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	108											0	0		
7	7	24	24	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	109											0	0		
7	7	26	26	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	110											0	0		
8	8		28	0.0	1	0	0	Dynamic	4/4	1	1	0					f													
8	8		28	2.0	1	0	0	Chord	4/4	1	1	1/2		1/2	1	111														
8	8		29	0.0	1	1/4	1/4	Spanner	4/4	1	1	0																		0
8	8		30	2.0	1	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	112														0
8	8		28	1.0	1	0	0	Chord	4/4	1	2	1/4		1/4	1	113														0
8	8		29	1.0	1	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	114														0
8	8		30	1.0	1	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	115														0
8	8		31	1.0	1	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	116														0
8	8		28	0.0	1	0	0	Spanner	4/4	2	1	0																		
8	8		28	1.0	1	0	0	Chord	4/4	2	1	1/4		1/4	1	117														
8	8		29	1.0	1	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	118														
8	8		30	1.0	1	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	119														
8	8		31	1.0	1	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	120														
8	8		28	4.0	1	0	0	Chord	4/4	2	2	1		1	1	121														
9	8	28	32	0.0	2	0	0	Dynamic	4/4	1	1	0					f													
9	8	28	32	0.0	2	0	0	Spanner	4/4	1	1	0																		
9	8	28	32	2.0	2	0	0	Chord	4/4	1	1	1/2		1/2	1	122														
9	8	30	34	0.0	2	1/2	1/2	Spanner	4/4	1	1	0																		1
9	8	30	34	2.0	2	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	123														1
9	8	28	32	1.0	2	0	0	Chord	4/4	1	2	1/4		1/4	1	124														1
9	8	29	33	1.0	2	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	125														1
9	8	30	34	2.0	2	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	126														1
9	8	28	32	1.0	2	0	0	Chord	4/4	2	1	1/4		1/4	1	127														
9	8	29	33	1.0	2	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	128														
9	8	30	34	2.0	2	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	129														
9	8	28	32	2.0	2	0	0	Chord	4/4	2	2	1/2		1/2	1	130														
9	8	30	34	2.0	2	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	131														
10	9	32	36	0.0		0	0	Dynamic	4/4	1	1	0					pp													
10	9	32	36	0.0		0	0	Spanner	4/4	1	1	0																		
10	9	32	36	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	132									5					
10	9	65/2	73/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	133									5					
10	9	33	37	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	134									5					
10	9	67/2	75/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	135														
10	9	34	38	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	136														
10	9	35	39	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	137														
10	9	33	37	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	138									6					
10	9	34	38	0.0		1/2	1/2	Spanner	4/4	2	1	0													6		1	1		
10	9	34	38	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	139									6		1	1		
10	9	35	39	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	140											1	1		
11	10	36	40	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	141														
11	10	37	41	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	142														
11	10	38	42	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	143														
11	10	36	40	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	144									7					
11	10	73/2	81/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	145									7					
11	10	37	41	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	146									7					
11	10	75/2	83/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	147														
11	10	38	42	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	148														
11	10	36	40	0.0		0	0	Spanner	4/4	2	1	0																		
11	10	37	41	0.0		1/4	1/4	Spanner	4/4	2	1	0															2	2		
11	10	37	41	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	149									8		2	2		
11	10	38	42	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	150									8		2	2		
11	10	39	43	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	151											2	2		
12	11	40	44	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	152									9					
12	11	81/2	89/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	153									9					
12	11	41	45	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	154									9					
12	11	83/2	91/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	155														
12	11	42	46	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	156														
12	11	43	47	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	157														
12	11	42	46	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	158														
12	11	40	44	0.0		0	0	Spanner	4/4	2	1	0																		
12	11	41	45	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	159									10					
12	11	42	46	0.0		1/2	1/2	Spanner	4/4	2	1	0													10		3	3		
12	11	42	46	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	160									10		3	3		
12	11	43	47	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	161											3	3		
13	12	44	48	4.0		0	0	Chord	4/4	1	1	1		1	1	162														
13	12	44	48	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	163									11					
13	12	46	50	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	164														
13	12	44	48	0.0		0	0	Spanner	4/4	2	1	0																		
13	12	44	48	0.0		0	0	Spanner	4/4	2	1	0															4	4		
13	12	45	49	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	165									12		4	4		
13	12	46	50	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	166									12		4	4		
13	12	47	51	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	167											4	4		
14	13	48	52	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	168									13					
14	13	97/2	105/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	169									13					
14	13	49	53	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	170									13					
14	13	99/2	107/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	171														
14	13	50	54	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	172														
14	13	51	55	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	173														
14	13	48	52	0.0		0	0	Spanner	4/4	2	1	0																		
14	13	49	53	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	174									14					
14	13	50	54	0.0		1/2	1/2	Spanner	4/4	2	1	0													14		5	5		
14	13	50	54	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	175									14		5	5		
14	13	51	55	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	176											5	5		
15	14	52	56	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	177														
15	14	53	57	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	178														
15	14	54	58	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	179														
15	14	52	56	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	180									15					
15	14	105/2	113/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	181									15					
15	14	53	57	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	182									15					
15	14	107/2	115/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	183														
15	14	54	58	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	184														
15	14	52	56	0.0		0	0	Spanner	4/4	2	1	0																		
15	14	53	57	0.0		1/4	1/4	Spanner	4/4	2	1	0															6	6		
15	14	53	57	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	185									16		6	6		
15	14	54	58	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	186									16		6	6		
15	14	55	59	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	187											6	6		
16	15	56	60	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	188									17					
16	15	113/2	121/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	189									17					
16	15	57	61	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	190									17					
16	15	115/2	123/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	191														
16	15	58	62	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	192														
16	15	59	63	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	193														
16	15	58	62	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	194														
16	15	56	60	0.0		0	0	Spanner	4/4	2	1	0																		
16	15	57	61	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	195									18					
16	15	58	62	0.0		1/2	1/2	Spanner	4/4	2	1	0													18		7	7		
16	15	58	62	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	196									18		7	7		
16	15	59	63	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	197											7	7		
17	16	60	64	4.0		0	0	Chord	4/4	1	1	1		1	1	198														
17	16	60	64	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	199									19					
17	16	62	66	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	200														
17	16	60	64	0.0		0	0	Spanner	4/4	2	1	0																		
17	16	60	64	0.0		0	0	Spanner	4/4	2	1	0															8	8		
17	16	61	65	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	201									20		8	8		
17	16	62	66	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	202									20		8	8		
17	16	63	67	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	203											8	8		
18	17	64	68	0.0		0	0	Dynamic	4/4	1	1	0					pp													
18	17	64	68	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	204									21					
18	17	129/2	137/2	0.0		1/8	1/8	StaffText	4/4	1	1	0							sempre						21					
18	17	129/2	137/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	205									21					
18	17	65	69	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	206									21					
18	17	131/2	139/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	207														
18	17	66	70	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	208														
18	17	67	71	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	209														
18	17	64	68	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	210														
18	17	65	69	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	211														
18	17	66	70	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	212														
18	17	67	71	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	213														
18	17	64	68	0.0		0	0	Spanner	4/4	2	1	0																		
18	17	65	69	2.0		1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	214									22					
18	17	67	71	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	215														
19	18	68	72	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	216									23					
19	18	137/2	145/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	217									23					
19	18	69	73	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	218									23					
19	18	139/2	147/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	219														
19	18	70	74	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	220														
19	18	68	72	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	221														
19	18	69	73	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	222														
19	18	70	74	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	223														
19	18	69	73	2.0		1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	224									24					
19	18	71	75	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	225														
20	19	72	76	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	226									25					
20	19	145/2	153/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	227									25					
20	19	73	77	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	228									25					
20	19	147/2	155/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	229														
20	19	74	78	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	230														
20	19	75	79	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	231														
20	19	72	76	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	232														
20	19	73	77	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	233														
20	19	74	78	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	234														
20	19	75	79	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	235														
20	19	73	77	2.0		1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	236									26					
20	19	75	79	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	237														
21	20	76	80	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	238									27					
21	20	153/2	161/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	239									27					
21	20	77	81	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	240									27					
21	20	155/2	163/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	241														
21	20	78	82	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	242														
21	20	76	80	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	243														
21	20	77	81	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	244														
21	20	78	82	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	245														
21	20	77	81	2.0		1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	246									28					
21	20	79	83	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	247														
22	21	80	84	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	248									29					
22	21	161/2	169/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	249									29					
22	21	81	85	0.0		1/4	1/4	StaffText	4/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>cresc. molto</i>"						29					
22	21	81	85	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	250									29					
22	21	163/2	171/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	251														
22	21	82	86	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	252														
22	21	83	87	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	253														
22	21	80	84	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	254														
22	21	81	85	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	255														
22	21	82	86	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	256														
22	21	83	87	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	257														
22	21	81	85	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	258														
22	21	82	86	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	259														
22	21	83	87	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	260														
23	22	84	88	0.0		0	0	Dynamic	4/4	1	1	0					fz													
23	22	84	88	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	261									30					
23	22	86	90	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	262														
23	22	84	88	0.0		0	0	Spanner	4/4	1	2	0																		2
23	22	84	88	4.0		0	0	Chord	4/4	1	2	1		1	1	263														2
23	22	84	88	0.0		0	0	Spanner	4/4	2	1	0															9	9		
23	22	85	89	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	264									31		9	9		
