mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	126									2				
22	22	65	65	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	127									2				
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	128													
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	129													
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	130													
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	131													
23	23	66	66	0.0	0	0	Dynamic	3/4	1	1	0					pp												
23	23	66	66	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	132													
23	23	66	66	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	133													
23	23	66	66	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	134		articAccentAbove											
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	135													
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	136													
24	24	69	69	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	137									3				
24	24	70	70	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	138									3				
24	24	70	70	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	139									3				
24	24	70	70	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	140									3				
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	141									3				
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	142													
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	143													
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	144													
25	25	72	72	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	145									3				
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	146									3				
25	25	73	73	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	147									3				
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	148													
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	149													
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	150									3				
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	151									3				
26	26	76	76	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	152									3				
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	153									3				
26	26	77	77	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	154									3				
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	155													
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	156													
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	157													
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	158													
27	27	78	78	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""9""/><i>stretto e cresc.</i>"										
27	27	78	78	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	159									4				
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	160									4				
27	27	79	79	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	161									4				
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	162									4				
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	163									4				
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	164													
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	165													
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	166													
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	167									5				
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	168									5				
28	28	82	82	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	169									5				
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	170									5				
28	28	83	83	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	171									5				
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	172													
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	173													
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	174													
29	29	84	84	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	175									6				
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	176									6				
29	29	85	85	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	177									6				
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	178									6				
29	29	86	86	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	179									6				
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	180													
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	181													
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	182													
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	183									7				
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	184									7				
30	30	88	88	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	185									7				
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	186									7				
30	30	89	89	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	187									7				
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	188													
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	189													
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	190													
31	31	92	92	0.0	1/2	1/2	Spanner	3/4	1	1	0																	0
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	191									8				0
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	192									8				0
31	31	90	90	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	193									9				
31	31	181/2	181/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	194									9				
31	31	91	91	0.0	1/4	1/4	Spanner	3/4	2	1	0													9			1	
31	31	91	91	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	195									9			1	
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	196												1	
32	32	93	93	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	197									8				0
32	32	187/2	187/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	198													0
32	32	94	94	0.0	1/4	1/4	Spanner	3/4	1	1	0																	
32	32	94	94	0.0	1/4	1/4	Spanner	3/4	2	1	0																1	1
32	32	94	94	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	199									10			1	1
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	200									10			1	1
32	32	95	95	0.0	1/2	1/2	Spanner	3/4	2	1	0													10				1
32	32	95	95	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	201									10				1
32	32	191/2	191/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	202													1
33	33	96	96	0.0	0	0	Dynamic	3/4	1	1	0					f												
33	33	96	96	0.0	0	0	Spanner	3/4	1	1	0																	2
33	33	96	96	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	203									11				2
33	33	193/2	193/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	204									11				2
33	33	97	97	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	205									11				2
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	206													2
33	33	98	98	0.0	1/2	1/2	Spanner	3/4	1	1	0																	
33	33	96	96	0.0	0	0	Spanner	3/4	2	1	0																	
33	33	98	98	0.0	1/2	1/2	Spanner	3/4	2	1	0																	3
33	33	98	98	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	207									12				3
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	208									12				3
34	34	100	100	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	209									13				
34	34	201/2	201/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	210									13				
34	34	101	101	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	211									13				
34	34	203/2	203/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	212													
34	34	99	99	0.0	0	0	StaffText	3/4	2	1	0							"<font size=""9""/><i>rit. molto</i>"						12				3
34	34	99	99	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	213									12				3
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	214													3
34	34	100	100	0.0	1/4	1/4	Spanner	3/4	2	1	0																	
35	35	102	102	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""10""/><i>molto più lento</i>"										
35	35	102	102	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""9""/><i>cantabile</i>"										
35	35	102	102	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	215		articAccentAbove											
35	35	102	102	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	216													
35	35	102	102	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	217									14				
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	218									14				
35	35	102	102	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	219													
36	36	105	105	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	220													
36	36	106	106	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	221													
36	36	215/2	215/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	222													
36	36	105	105	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	223													
36	36	105	105	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	224													
36	36	105	105	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	225													
37	37	108	108	0.0	0	0	Spanner	3/4	1	1	0															0		
37	37	108	108	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	226											0		
37	37	217/2	217/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	227											0		
37	37	109	109	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	228		articAccentAbove									0		
37	37	108	108	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	229											0		
37	37	108	108	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	230									15				
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	231									15				
37	37	108	108	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	232													
38	38	111	111	0.0	0	0	Spanner	3/4	1	1	0																	
38	38	111	111	0.0	0	0	Spanner	3/4	1	1	0															1		
38	38	111	111	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	233											1		
38	38	112	112	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	234											1		
38	38	227/2	227/2	0.0	5/8	5/8	StaffText	3/4	1	1	0							"<font size=""10""/><i>rit.</i>"								1		
38	38	227/2	227/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	235											1		
38	38	111	111	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	236											1		
38	38	111	111	2.0	0	0	Chord	3/4	1	3	1/2		1/2	1	237									16		1		
38	38	113	113	1.0	1/2	1/2	Chord	3/4	1	3	1/4		1/4	1	238											1		
38	38	111	111	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	239													
38	38	111	111	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	240													
39	39	114	114	0.0	0	0	Dynamic	3/4	1	1	0					p												
39	39	114	114	0.0	0	0	Spanner	3/4	1	1	0																	
39	39	114	114	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	241													
39	39	114	114	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	242									17				
39	39	114	114	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	243													
40	40	117	117	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	244													
40	40	117	117	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	245													
40	40	117	117	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	246													
41	41	120	120	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	247													
41	41	120	120	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	248													
41	41	120	120	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	249													
42	42	123	123	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	250													
42	42	123	123	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	251													
42	42	123	123	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	252													
43	43	126	126	0.0	0	0	Dynamic	3/4	1	1	0					pp												
43	43	126	126	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""12""/><b>Tempo I.</b>"										
43	43	127	127	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	253													
43	43	128	128	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	254													
43	43	126	126	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	255		articAccentBelow											
44	44	130	130	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	256													
44	44	131	131	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	257													
44	44	129	129	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	258													
44	44	130	130	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	259													
44	44	263/2	263/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	260													
45	45	133	133	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	261													
45	45	134	134	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	262													
