mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>
10	10	39	39	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	62		articStaccatoAbove									
11	11	40	40	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	63		articStaccatoBelow									
11	11	41	41	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	64		articStaccatoBelow									
11	11	42	42	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	65		articStaccatoBelow									
11	11	43	43	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	66											
11	11	87/2	87/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	67											
11	11	43	43	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	68											
11	11	40	40	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	69		articStaccatoBelow									
11	11	41	41	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	70		articStaccatoBelow									
11	11	42	42	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	71		articStaccatoBelow									
11	11	43	43	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	72		articStaccatoBelow									
12	12	44	44	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	73		articStaccatoBelow									
12	12	45	45	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	74		articStaccatoBelow									
12	12	46	46	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	75		articAccentBelow									
12	12	44	44	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	76		articStaccatoBelow									
12	12	45	45	2.0	1/4	1/4	Chord	2/2	2	1	1/2	1/2	1	77											
12	12	47	47	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	78		articStaccatoBelow									
13	13	48	48	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	79		articAccentBelow									
13	13	50	50	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	80		articAccentBelow									
13	13	48	48	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	81		articAccentAbove									
13	13	50	50	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	82		articAccentAbove									
14	14	52	52	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	83		articAccentBelow									
14	14	54	54	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	84											
14	14	55	55	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	85		articStaccatoBelow									
14	14	53	53	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	86		articStaccatoAbove									
14	14	54	54	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	87		articStaccatoAbove									
14	14	55	55	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	88		articStaccatoAbove									
15	15	56	56	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	89		articStaccatoBelow									
15	15	57	57	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	90		articStaccatoBelow									
15	15	58	58	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	91		articStaccatoBelow									
15	15	59	59	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	92											
15	15	119/2	119/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	93											
15	15	59	59	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	94											
15	15	56	56	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	95		articStaccatoAbove									
15	15	57	57	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	96		articStaccatoAbove									
15	15	58	58	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	97		articStaccatoAbove									
15	15	59	59	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	98		articStaccatoAbove									
16	16	60	60	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	99		articStaccatoBelow									
16	16	61	61	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	100		articStaccatoBelow									
16	16	62	62	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	101		articAccentBelow									
16	16	60	60	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	102		articStaccatoAbove									
16	16	61	61	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	103		articStaccatoBelow									
16	16	62	62	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	104		articStaccatoBelow									
16	16	63	63	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	105		articStaccatoBelow									
17	17	64	64	0.0	0	0	Dynamic	2/2	1	1	0				p										
17	17	64	64	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	106											
17	17	66	66	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	107											
17	17	64	64	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	108											
17	17	66	66	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	109											
18	18	68	68	4.0	0	0	Chord	2/2	1	1	1	1	1	110											
18	18	68	68	4.0	0	0	Chord	2/2	1	2	1	1	1	111											
18	18	69	69	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	112		articStaccatoAbove									
18	18	70	70	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	113		articStaccatoAbove									
18	18	71	71	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	114		articStaccatoBelow									
19	19	72	72	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	115									0		
19	19	145/2	145/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	116											
19	19	73	73	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	117											
19	19	147/2	147/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	118											
19	19	74	74	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	119		articStaccatoBelow									
19	19	75	75	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	120		articStaccatoBelow									
19	19	72	72	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	121											
19	19	74	74	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	122		articStaccatoAbove									
19	19	75	75	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	123		articStaccatoAbove									
20	20	76	76	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	124		articAccentBelow									
20	20	78	78	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	125											
20	20	76	76	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	126		articAccentAbove									
20	20	78	78	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	127											
21	21	80	80	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	128											
21	21	82	82	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	129											
21	21	80	80	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	130											
21	21	82	82	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	131											
22	22	84	84	4.0	0	0	Chord	2/2	1	1	1	1	1	132											
22	22	85	85	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	133		articStaccatoAbove									
22	22	86	86	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	134		articStaccatoAbove									
22	22	87	87	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	135		articStaccatoBelow									
23	23	88	88	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	136									1		
23	23	177/2	177/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	137											
23	23	89	89	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	138											
23	23	179/2	179/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	139											
23	23	90	90	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	140		articStaccatoAbove									
23	23	91	91	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	141		articStaccatoAbove									
23	23	88	88	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	142											
23	23	90	90	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	143											
23	23	91	91	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	144											
23	23	88	88	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	145											
23	23	90	90	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	146											
23	23	91	91	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	147											
23	23	88	88	0.5	0	0	Chord	2/2	2	2	1/8	1/8	1	148									2		
23	23	177/2	177/2	0.5	1/8	1/8	Chord	2/2	2	2	1/8	1/8	1	149											
23	23	89	89	0.5	1/4	1/4	Chord	2/2	2	2	1/8	1/8	1	150											
23	23	179/2	179/2	0.5	3/8	3/8	Chord	2/2	2	2	1/8	1/8	1	151											
23	23	90	90	1.0	1/2	1/2	Chord	2/2	2	2	1/4	1/4	1	152		articStaccatoBelow									
23	23	91	91	1.0	3/4	3/4	Chord	2/2	2	2	1/4	1/4	1	153		articStaccatoBelow									
24	24	92	92	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	154		articAccentBelow									
24	24	94	94	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	155											
24	24	92	92	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	156		articAccentAbove									
24	24	94	94	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	157											
25	25	96	96	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	158											
25	25	98	98	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	159											
25	25	96	96	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	160											
25	25	98	98	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	161											
26	26	100	100	4.0	0	0	Chord	2/2	1	1	1	1	1	162											
26	26	101	101	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	163		articStaccatoAbove									
26	26	102	102	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	164		articStaccatoAbove									
26	26	103	103	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	165		articStaccatoBelow									
27	27	104	104	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	166		articStaccatoBelow									
27	27	105	105	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	167		articStaccatoBelow									
27	27	106	106	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	168		articStaccatoBelow									
27	27	107	107	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	169		articStaccatoBelow									
27	27	105	105	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	170		articStaccatoAbove									
27	27	106	106	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	171		articStaccatoAbove									
27	27	107	107	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	172		articStaccatoAbove									
28	28	108	108	4.0	0	0	Chord	2/2	1	1	1	1	1	173											
28	28	109	109	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	174		articStaccatoAbove									
28	28	110	110	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	175		articStaccatoAbove									
28	28	111	111	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	176		articStaccatoBelow									
29	29	112	112	0.0	0	0	StaffText	2/2	1	1	0						"<font size=""9""/><font face=""Times New Roman""/><i>cresc.</i>"								
29	29	112	112	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	177		articStaccatoBelow									
29	29	113	113	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	178		articStaccatoBelow									
29	29	114	114	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	179		articStaccatoBelow									
29	29	115	115	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	180		articStaccatoBelow									
29	29	113	113	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	181		articStaccatoAbove									
29	29	114	114	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	182		articStaccatoAbove									
29	29	115	115	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	183		articStaccatoAbove									
30	30	116	116	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	184		articStaccatoBelow									
30	30	117	117	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	185		articStaccatoBelow									
30	30	118	118	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	186		articStaccatoBelow									
30	30	119	119	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	187		articStaccatoBelow									
30	30	117	117	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	188		articStaccatoAbove									
30	30	118	118	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	189		articStaccatoAbove									
30	30	119	119	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	190		articStaccatoAbove									
31	31	120	120	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	191		articStaccatoBelow									
31	31	121	121	0.0	1/4	1/4	StaffText	2/2	1	1	0						poco ritard.								
31	31	121	121	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	192		articStaccatoBelow									
31	31	122	122	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	193		articStaccatoBelow									
31	31	123	123	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	194		articStaccatoBelow									
31	31	121	121	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	195		articStaccatoAbove									
31	31	122	122	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	196		articStaccatoAbove									
31	31	123	123	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	197		articStaccatoAbove									
32	32	124	124	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	198		articStaccatoBelow									
32	32	125	125	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	199		articStaccatoBelow									
32	32	126	126	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	200		articStaccatoBelow									
32	32	127	127	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	201		articStaccatoBelow									
32	32	124	124	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	202		articStaccatoAbove									
32	32	125	125	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	203		articStaccatoBelow									
32	32	126	126	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	204		articStaccatoBelow									
32	32	127	127	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	205		articStaccatoBelow									
33	33	128	128	0.0	0	0	StaffText	2/2	1	1	0						"<font size=""9""/><font face=""Times New Roman""/><i>a tempo</i>"								
33	33	128	128	0.0	0	0	StaffText	2/2	1	1	0						"<font size=""8""/><font face=""Times New Roman""/><i>ma   ben  ten.</i>"								
33	33	128	128	0.0	0	0	Dynamic	2/2	1	1	0				ff										
33	33	128	128	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	206		articAccentBelow									
33	33	130	130	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	207		articAccentBelow									
33	33	128	128	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	208		articAccentBelow									
33	33	129	129	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	209		articAccentBelow									
33	33	130	130	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	210		articAccentBelow									
33	33	131	131	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	211		articAccentBelow									
34	34	132	132	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	212		articAccentBelow									
34	34	134	134	0.0	1/2	1/2	StaffText	2/2	1	1	0						"<font size=""11""/><font face=""Times New Roman""/><i>poco  a poco ritard.</i>"								
34	34	134	134	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	213											
34	34	135	135	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	214		articAccentBelow									
34	34	132	132	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	215		articAccentBelow									
34	34	133	133	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	216		articAccentBelow									
34	34	134	134	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	217		articAccentBelow									
34	34	135	135	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	218		articAccentBelow									
35	35	136	136	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	219		articAccentAbove									
35	35	137	137	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	220		articAccentAbove									
35	35	138	138	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	221		articAccentBelow									
35	35	139	139	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	222		articAccentAbove									
35	35	279/2	279/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	223		articAccentAbove									
35	35	136	136	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	224											
35	35	139	139	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	225		articAccentBelow									
35	35	136	136	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	226		articAccentBelow									
35	35	137	137	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	227		articAccentBelow									
35	35	138	138	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	228		articAccentBelow									
35	35	139	139	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	229		articAccentAbove									
36	36	140	140	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	230		articStaccatoBelow									
36	36	141	141	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	231		articStaccatoBelow									
36	36	140	140	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	232		articStaccatoAbove									
36	36	141	141	0.0	1/4	1/4	Spanner	2/2	2	1	0													0	0
36	36	141	141	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	233		articStaccatoAbove								0	0
36	36	142	142	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	234		articAccentAbove								0	0
36	36	142	142	2.0	1/2	1/2	Chord	2/2	2	2	1/2	1/2	1	235		articAccentBelow								0	0
37	37	144	144	0.0	0	0	Dynamic	2/2	1	1	0				p										
37	37	144	144	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	236											
37	37	146	146	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	237											
37	37	144	144	0.0	0	0	Spanner	2/2	2	1	0														
37	37	144	144	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	238											
37	37	146	146	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	239											
38	38	148	148	4.0	0	0	Chord	2/2	1	1	1	1	1	240											
38	38	149	149	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	241		articStaccatoAbove									
38	38	150	150	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	242		articStaccatoAbove									
38	38	151	151	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	243		articStaccatoBelow									
39	39	152	152	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	244									3		
39	39	305/2	305/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	245											
39	39	153	153	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	246											
39	39	307/2	307/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	247											
39	39	154	154	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	248		articStaccatoBelow									
39	39	155	155	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	249		articStaccatoBelow									
39	39	152	152	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	250											
39	39	154	154	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	251		articStaccatoAbove									
39	39	155	155	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	252		articStaccatoAbove									
40	40	156	156	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	253		articAccentBelow									
40	40	158	158	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	254											
