mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	33		articStaccatoBelow							
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	34		articStaccatoBelow							
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	35		articStaccatoBelow							
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	36		articStaccatoBelow							
6	6	21/2	21/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	37		articTenutoBelow							
6	6	23/2	23/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	38						1			
6	6	93/8	93/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	39						1			
6	6	47/4	47/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	40						1			
6	6	95/8	95/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	41						1			
6	6	10	10	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	42		articStaccatoBelow							
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	43		articStaccatoBelow							
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	44		articStaccatoBelow							
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	45		articStaccatoBelow							
7	7	12	12	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	46		articStaccatoAbove							
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	47		articStaccatoAbove							
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	48		articStaccatoAbove							
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	49		articStaccatoAbove							
7	7	12	12	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	50		articStaccatoBelow							
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	51		articStaccatoBelow							
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	52		articStaccatoBelow							
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	53		articStaccatoBelow							
8	8	14	14	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	54		articStaccatoAbove							
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	55		articStaccatoAbove							
8	8	15	15	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	56		articStaccatoAbove							
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	57		articStaccatoAbove							
8	8	14	14	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	58		articStaccatoBelow							
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	59		articStaccatoBelow							
8	8	15	15	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	60		articStaccatoBelow							
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	61		articStaccatoBelow							
9	9	16	16	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	62		articStaccatoAbove							
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	63		articStaccatoAbove							
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	64		articStaccatoAbove							
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	65		articStaccatoAbove							
9	9	16	16	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	66		articStaccatoBelow							
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	67		articStaccatoBelow							
9	9	17	17	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	68		articStaccatoBelow							
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	69		articStaccatoBelow							
10	10	18	18	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	70		articStaccatoBelow							
10	10	37/2	37/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	71		articTenutoBelow							
10	10	18	18	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	72		articStaccatoBelow							
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	73		articStaccatoBelow							
10	10	19	19	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	74		articStaccatoBelow							
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	75		articStaccatoBelow							
11	11	20	20	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	76		articAccentAbove				2			
11	11	161/8	161/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	77						2			
11	11	81/4	81/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	78						2			
11	11	163/8	163/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	79						2			
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	80		articStaccatoAbove							
11	11	21	21	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	81		articAccentAbove				3			
11	11	169/8	169/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	82						3			
11	11	85/4	85/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	83						3			
11	11	171/8	171/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	84						3			
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	85		articStaccatoAbove							
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	86		articStaccatoAbove							
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	87		articStaccatoAbove							
12	12	22	22	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	88		articAccentAbove				4			
12	12	177/8	177/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	89						4			
12	12	89/4	89/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	90						4			
12	12	179/8	179/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	91						4			
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	92		articStaccatoAbove							
12	12	23	23	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	93		articAccentAbove				5			
12	12	185/8	185/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	94						5			
12	12	93/4	93/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	95						5			
12	12	187/8	187/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	96						5			
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	97		articStaccatoAbove							
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	98		articStaccatoAbove							
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	99		articStaccatoAbove							
13	13	24	24	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	100		articAccentBelow				6			
13	13	193/8	193/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	101						6			
13	13	97/4	97/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	102						6			
13	13	195/8	195/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	103						6			
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	104		articStaccatoBelow							
13	13	25	25	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	105		articAccentBelow				7			
13	13	201/8	201/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	106						7			
13	13	101/4	101/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	107						7			
13	13	203/8	203/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	108						7			
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	109		articStaccatoBelow							
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	110		articStaccatoAbove							
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	111		articStaccatoAbove							
14	14	53/2	53/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8		1/4	3/2	112		articTenutoBelow							
14	14	55/2	55/2	0.0	3/8	3/8	Dynamic	2/4	1	1	0					other-dynamics								
14	14	26	26	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	113		articStaccatoBelow							
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	114		articStaccatoBelow							
14	14	27	27	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	115		articStaccatoBelow							
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	116		articStaccatoBelow							
15	15	28	28	0.0	0	0	Dynamic	2/4	1	1	0					pp								
15	15	28	28	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	117		articAccentAbove				8			
15	15	225/8	225/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	118						8			
15	15	113/4	113/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	119						8			
15	15	227/8	227/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	120						8			
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	121		articStaccatoAbove							
15	15	29	29	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	122		articAccentAbove				9			
15	15	233/8	233/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	123						9			
15	15	117/4	117/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	124						9			
15	15	235/8	235/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	125						9			
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	126		articStaccatoAbove							
15	15	28	28	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	127		articStaccatoBelow							
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	128		articStaccatoBelow							
15	15	29	29	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	129		articStaccatoBelow							
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	130		articStaccatoBelow							
16	16	61/2	61/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8		1/4	3/2	131		articTenutoBelow							
16	16	30	30	0.0	0	0	Dynamic	2/4	2	1	0					other-dynamics								
16	16	30	30	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	132		articStaccatoBelow							
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	133		articStaccatoBelow							
16	16	31	31	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	134		articStaccatoBelow							
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	135		articStaccatoBelow							
17	17	32	32	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	136		articAccentAbove				10			
17	17	257/8	257/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	137						10			
17	17	129/4	129/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	138						10			
17	17	259/8	259/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	139						10			
17	17	65/2	65/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	140		articStaccatoAbove							
17	17	33	33	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	141		articAccentAbove				11			
17	17	265/8	265/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	142						11			
17	17	133/4	133/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	143						11			
17	17	267/8	267/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	144						11			
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	145		articStaccatoAbove							
17	17	32	32	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	146		articStaccatoBelow							
17	17	65/2	65/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	147		articStaccatoBelow							
17	17	33	33	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	148		articStaccatoBelow							
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	149		articStaccatoBelow							
18	18	69/2	69/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	150									
18	18	35	35	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	151		articAccentAbove				12			
18	18	281/8	281/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	152						12			
18	18	141/4	141/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	153						12			
18	18	283/8	283/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	154						12			
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	155		articStaccatoAbove							
18	18	34	34	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	156		articStaccatoBelow							
18	18	69/2	69/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	157		articStaccatoBelow							
18	18	35	35	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	158		articStaccatoBelow							
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	159		articStaccatoBelow							
19	19	73/2	73/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	160									
19	19	37	37	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	161		articAccentAbove				13			
19	19	297/8	297/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	162						13			
19	19	149/4	149/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	163						13			
19	19	299/8	299/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	164						13			
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	165		articStaccatoAbove							
19	19	36	36	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	166		articStaccatoBelow							
19	19	73/2	73/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	167		articStaccatoBelow							
19	19	37	37	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	168		articStaccatoBelow							
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	169		articStaccatoBelow							
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	170									
20	20	39	39	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	171		articAccentAbove				14			
20	20	313/8	313/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	172						14			
20	20	157/4	157/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	173						14			
20	20	315/8	315/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	174						14			
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	175		articStaccatoAbove							
20	20	38	38	0.0	0	0	Dynamic	2/4	2	1	0					other-dynamics								
20	20	38	38	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	176		articStaccatoBelow							
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	177		articStaccatoBelow							
20	20	39	39	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	178		articStaccatoBelow							
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	179		articStaccatoBelow							
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	180									
21	21	41	41	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	181		articAccentAbove				15			
21	21	329/8	329/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	182						15			
21	21	165/4	165/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	183						15			
21	21	331/8	331/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	184						15			
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	185		articStaccatoAbove							
21	21	40	40	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	186		articStaccatoBelow							
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	187		articStaccatoBelow							
21	21	41	41	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	188		articStaccatoBelow							
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	189		articStaccatoBelow							
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	190		articStaccatoBelow							
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	191		articStaccatoBelow							
22	22	42	42	0.0	0	0	Dynamic	2/4	2	1	0					other-dynamics								
22	22	42	42	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	192		articStaccatoBelow							
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	193		articStaccatoBelow							
22	22	43	43	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	194		articStaccatoBelow							
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	195		articStaccatoBelow							
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	196		articStaccatoBelow							
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	197		articStaccatoBelow							
23	23	44	44	0.0	0	0	Dynamic	2/4	2	1	0					other-dynamics								
23	23	44	44	0.0	0	0	Dynamic	2/4	2	1	0					other-dynamics								
23	23	44	44	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	198		articStaccatoBelow							
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	199		articStaccatoBelow							
23	23	45	45	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	200		articStaccatoBelow							
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	201		articStaccatoBelow							
24	24	93/2	93/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	202		articStaccatoBelow							
24	24	95/2	95/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	203		articStaccatoBelow							
24	24	46	46	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	204		articStaccatoAbove							
24	24	93/2	93/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	205		articStaccatoAbove							
24	24	47	47	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	206		articStaccatoAbove							
24	24	95/2	95/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	207		articStaccatoAbove							
25	25	97/2	97/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	208		articStaccatoBelow							
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	209		articStaccatoBelow							
25	25	48	48	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	210		articStaccatoBelow							
25	25	97/2	97/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	211		articStaccatoBelow							
25	25	49	49	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	212		articStaccatoBelow							
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	213		articStaccatoBelow							
26	26	101/2	101/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	214		articStaccatoBelow							
26	26	103/2	103/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	215		articStaccatoBelow							
26	26	50	50	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	216		articStaccatoBelow							
26	26	101/2	101/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	217		articStaccatoBelow							
26	26	51	51	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	218		articStaccatoBelow							
26	26	103/2	103/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	219		articStaccatoBelow							
27	27	105/2	105/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	220		articStaccatoAbove							
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	221		articStaccatoAbove							
27	27	52	52	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	222		articStaccatoBelow							
27	27	105/2	105/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	223		articStaccatoBelow							
27	27	53	53	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	224		articStaccatoBelow							
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	225		articStaccatoBelow							
28	28	109/2	109/2	0.0	1/8	1/8	Spanner	2/4	1	1	0													0
28	28	109/2	109/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	226		articStaccatoAbove							0
28	28	111/2	111/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	227		articStaccatoAbove							0
28	28	54	54	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	228		articStaccatoBelow							
28	28	109/2	109/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	229		articStaccatoBelow							
28	28	55	55	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	230		articStaccatoBelow							
28	28	111/2	111/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	231		articStaccatoBelow							
29	29	56	56	0.0	0	0	Spanner	2/4	1	1	0													
29	29	113/2	113/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	232		articStaccatoAbove							
29	29	115/2	115/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	233		articStaccatoAbove							
29	29	56	56	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	234		articStaccatoBelow							
29	29	113/2	113/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	235		articStaccatoBelow							
29	29	57	57	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	236		articStaccatoBelow							
29	29	115/2	115/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	237		articStaccatoBelow							
30	30	58	58	0.0	0	0	Dynamic	2/4	1	1	0					ff								
30	30	58	58	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	238		articAccentBelow							
