mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin
10	10	57/2	57/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	95				23		2
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	96						2
10	10	27	27	3.0	0	0	Chord	6/8	1	2	3/4		1/2	3/2	97						2
10	10	27	27	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	98						
10	10	111/4	111/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	99						
10	10	28	28	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	100						
10	10	113/4	113/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	101						
10	10	57/2	57/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	102				24		
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	103						
10	10	27	27	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	104						
11	11	30	30	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	105						2
11	11	123/4	123/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	106						2
11	11	31	31	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	107						2
11	11	125/4	125/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	108						2
11	11	63/2	63/2	0.0	3/8	3/8	Spanner	6/8	1	1	0										
11	11	63/2	63/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	109				25		
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	110						
11	11	30	30	3.0	0	0	Chord	6/8	1	2	3/4		1/2	3/2	111						
11	11	30	30	0.0	0	0	Chord	6/8	2	1	0	acciaccatura	1/8	1	112						
11	11	30	30	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	113						
11	11	123/4	123/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	114						
11	11	31	31	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	115						
11	11	125/4	125/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	116						
11	11	63/2	63/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	117				26		
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	118						
11	11	30	30	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	119						
12	12	33	33	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	120		articTenutoBelow				
12	12	69/2	69/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	121		articTenutoBelow				
12	12	34	34	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	122						
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	123						
13	13	36	36	0.0	0	0	Spanner	6/8	1	1	0									3	
13	13	36	36	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	124					3	
13	13	147/4	147/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	125					3	
13	13	37	37	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	126					3	
13	13	75/2	75/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	127					3	
13	13	36	36	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	128					3	
13	13	75/2	75/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	129					3	
13	13	37	37	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	130						
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	131						
14	14	39	39	0.0	0	0	Spanner	6/8	1	1	0										
14	14	39	39	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	132						
14	14	159/4	159/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	133						
14	14	40	40	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	134						
14	14	161/4	161/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	135						
14	14	81/2	81/2	0.0	3/8	3/8	Spanner	6/8	1	1	0										3
14	14	81/2	81/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	136				27		3
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	137						3
14	14	39	39	3.0	0	0	Chord	6/8	1	2	3/4		1/2	3/2	138						3
14	14	39	39	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	139						
14	14	159/4	159/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	140						
14	14	40	40	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	141						
14	14	161/4	161/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	142						
14	14	81/2	81/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	143				28		
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	144						
14	14	39	39	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	145						
15	15	42	42	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	146						3
15	15	171/4	171/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	147						3
15	15	43	43	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	148						3
15	15	173/4	173/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	149						3
15	15	87/2	87/2	0.0	3/8	3/8	Spanner	6/8	1	1	0										
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	150				29		
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	151						
15	15	42	42	3.0	0	0	Chord	6/8	1	2	3/4		1/2	3/2	152						
15	15	42	42	0.0	0	0	Chord	6/8	2	1	0	acciaccatura	1/8	1	153						
15	15	42	42	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	154						
15	15	171/4	171/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	155						
15	15	43	43	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	156						
15	15	173/4	173/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	157						
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	158				30		
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	159						
15	15	42	42	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	160						
16	16	45	45	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	161		articTenutoBelow				
16	16	93/2	93/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	162		articTenutoBelow				
16	16	46	46	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	163						
16	16	95/2	95/2	0.0	5/8	5/8	Spanner	6/8	2	1	0									4	
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	164					4	
17	17	48	48	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	165						
17	17	195/4	195/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	166						
17	17	49	49	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	167						
17	17	99/2	99/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	168						
17	17	48	48	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	169						
17	17	99/2	99/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	170						
17	17	49	49	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	171					4	
17	17	101/2	101/2	0.0	5/8	5/8	Spanner	6/8	2	1	0										
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	172						
18	18	51	51	0.0	0	0	Dynamic	6/8	2	1	0					p					
18	18	51	51	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	173						
18	18	105/2	105/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	174						
18	18	51	51	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	175						
19	19	54	54	0.0	0	0	Spanner	6/8	1	1	0										4
19	19	54	54	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	176						4
19	19	219/4	219/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	177						4
19	19	55	55	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	178						4
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	179				31		4
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	180						4
19	19	54	54	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	181						4
19	19	111/2	111/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	182						4
19	19	54	54	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	183						
20	20	57	57	0.0	0	0	Dynamic	6/8	1	1	0					f					
20	20	57	57	0.0	0	0	Spanner	6/8	1	1	0										
20	20	57	57	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	184		articAccentAbove		32		
20	20	231/4	231/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	185				32		
20	20	58	58	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	186				32		
20	20	233/4	233/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	187						
20	20	117/2	117/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	188		articAccentAbove		33		
20	20	237/4	237/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	189				33		
20	20	119/2	119/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	190				33		
20	20	239/4	239/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	191						
20	20	57	57	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	192						
20	20	117/2	117/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	193						
20	20	57	57	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	194						
21	21	60	60	0.0	0	0	Spanner	9/8	1	1	0									5	
21	21	60	60	0.75	0	0	Chord	9/8	1	1	3/16		1/8	3/2	195		articAccentAbove		34	5	
21	21	243/4	243/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16		1/16	1	196				34	5	
21	21	61	61	0.25	1/4	1/4	Chord	9/8	1	1	1/16		1/16	1	197				34	5	
21	21	245/4	245/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16		1/16	1	198				34	5	
21	21	127/2	127/2	0.0	7/8	7/8	Spanner	9/8	1	1	0										
21	21	60	60	1.5	0	0	Chord	9/8	1	2	3/8		1/4	3/2	199						
21	21	60	60	1.5	0	0	Chord	9/8	2	1	3/8		1/4	3/2	200						
21	21	123/2	123/2	0.25	3/8	3/8	Chord	9/8	2	1	1/16		1/16	1	201						
21	21	247/4	247/4	0.25	7/16	7/16	Chord	9/8	2	1	1/16		1/16	1	202						
21	21	62	62	0.25	1/2	1/2	Chord	9/8	2	1	1/16		1/16	1	203						
21	21	249/4	249/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16		1/16	1	204						
21	21	125/2	125/2	0.25	5/8	5/8	Chord	9/8	2	1	1/16		1/16	1	205						
21	21	251/4	251/4	0.25	11/16	11/16	Chord	9/8	2	1	1/16		1/16	1	206						
22	22	129/2	129/2	0.0	0	0	Dynamic	6/8	2	1	0					p					
22	22	129/2	129/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	207						
22	22	66	66	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	208						
22	22	129/2	129/2	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	209						
23	23	135/2	135/2	0.0	0	0	Spanner	6/8	1	1	0										5
23	23	135/2	135/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	210						5
23	23	273/4	273/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	211						5
23	23	137/2	137/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	212						5
23	23	69	69	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	213				35		5
23	23	70	70	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	214						5
23	23	135/2	135/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	215						5
23	23	69	69	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	216						5
23	23	135/2	135/2	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	217						
24	24	141/2	141/2	0.0	0	0	Dynamic	6/8	1	1	0					f					
24	24	141/2	141/2	0.0	0	0	Spanner	6/8	1	1	0										
24	24	141/2	141/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	218		articAccentAbove		36		
24	24	285/4	285/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	219				36		
24	24	143/2	143/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	220				36		
24	24	287/4	287/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	221						
24	24	72	72	0.0	3/8	3/8	Spanner	6/8	1	1	0									6	
24	24	72	72	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	222		articAccentAbove		37	6	
24	24	291/4	291/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	223				37	6	
24	24	73	73	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	224				37	6	
24	24	293/4	293/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	225					6	
24	24	141/2	141/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	226					6	
24	24	72	72	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	227					6	
24	24	141/2	141/2	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	228						
25	25	147/2	147/2	0.75	0	0	Chord	9/8	1	1	3/16		1/8	3/2	229		articAccentAbove		38	6	
25	25	297/4	297/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16		1/16	1	230				38	6	
25	25	149/2	149/2	0.25	1/4	1/4	Chord	9/8	1	1	1/16		1/16	1	231				38	6	
25	25	299/4	299/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16		1/16	1	232				38	6	
25	25	75	75	0.0	3/8	3/8	Spanner	9/8	1	1	0								38		
25	25	75	75	0.25	3/8	3/8	Chord	9/8	1	1	1/16		1/16	1	233				38		
25	25	301/4	301/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16		1/16	1	234				38		
25	25	151/2	151/2	0.25	1/2	1/2	Chord	9/8	1	1	1/16		1/16	1	235				38		
25	25	303/4	303/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16		1/16	1	236				38		
25	25	76	76	0.25	5/8	5/8	Chord	9/8	1	1	1/16		1/16	1	237				38		
25	25	305/4	305/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16		1/16	1	238						
25	25	147/2	147/2	1.5	0	0	Chord	9/8	1	2	3/8		1/4	3/2	239						
25	25	147/2	147/2	1.5	0	0	Chord	9/8	2	1	3/8		1/4	3/2	240						
26	26	78	78	0.0	0	0	Dynamic	6/8	2	1	0					pp					
26	26	78	78	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	241				39		
26	26	313/4	313/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	242				39		
26	26	157/2	157/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	243				39		
26	26	315/4	315/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	244				39		
26	26	79	79	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	245				39		
26	26	317/4	317/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	246						
27	27	81	81	0.0	0	0	Dynamic	6/8	1	1	0					p					
27	27	81	81	0.0	0	0	StaffText	6/8	1	1	0							"<font size=""11""/><font face=""Times New Roman""/><i>più tranquillo</i>"			
27	27	81	81	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	247				40		
27	27	327/4	327/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	248				40		
27	27	82	82	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	249				40		
27	27	329/4	329/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	250				40		
27	27	165/2	165/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	251				40		
27	27	333/4	333/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	252				40		
27	27	167/2	167/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	253				40		
