mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
12	11	44	44	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	85									
12	11	89/2	89/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	86									
12	11	41	41	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	87									
12	11	42	42	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	88									
12	11	43	43	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	89									
12	11	41	41	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	90									
12	11	43	43	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	91									
13	12	45	45	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	92					7				
13	12	46	46	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	93					7				
13	12	47	47	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	94									
13	12	48	48	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	95					8				
13	12	45	45	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	96									
13	12	47	47	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	97									
13	12	45	45	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	98									
13	12	46	46	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	99									
13	12	47	47	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	100									
13	12	48	48	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	101					9				
14	13	49	49	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	102									
14	13	50	50	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	103									
14	13	51	51	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	104									
14	13	52	52	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	105									
14	13	105/2	105/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	106									
14	13	49	49	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	107									
14	13	50	50	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	108									
14	13	51	51	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	109									
14	13	52	52	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	110									
14	13	105/2	105/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	111									
15	14	53	53	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	112									
15	14	55	55	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	113									
15	14	53	53	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	114									
15	14	55	55	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	115									
16	15	57	57	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	116									
16	15	58	58	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	117									
16	15	59	59	1.5	1/2	1/2	Chord	2/2	1	1	3/8	1/4	3/2	118									
16	15	121/2	121/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	119									
16	15	59	59	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	120									
16	15	57	57	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	121									
16	15	58	58	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	122									
16	15	59	59	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	123					10				
16	15	60	60	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	124									
16	15	59	59	2.0	1/2	1/2	Chord	2/2	2	2	1/2	1/2	1	125									
17	16	61	61	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	126									
17	16	64	64	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	127									
17	16	61	61	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	128									
18	17	65	65	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	129									
18	17	131/2	131/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	130									
18	17	66	66	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	131									
18	17	67	67	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	132									
18	17	68	68	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	133									
18	17	65	65	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	134									
